Datetime,Timestamp,Price,VIX,1-Month-LIBOR,1-Month-VM,100-Calls,100-Calls-P,100-Calls-ROI,100-Puts,100-Puts-P,100-Puts-ROI,97-Calls,97-Calls-P,97-Calls-ROI,97-Puts,97-Puts-P,97-Puts-ROI,103-Calls,103-Calls-P,103-Calls-ROI,103-Puts,103-Puts-P,103-Puts-ROI,100-Strangles,100-Strangles-P,100-Strangles-ROI
2017-07-14,1500004800000,149.56,9.82,1.22833,20.18766714480604,3.5269924731579465,8.38300752684205,237.68146914518925,3.3760749408804442,-3.3760749408804442,-100.0,6.206130637446678,10.190669362553306,164.2032686367355,1.5729406311374987,-1.5729406311374987,-100.0,1.7546370051375035,5.668562994862505,323.0618628391622,6.085991946891639,-6.085991946891639,-100.0,3.3275776362750022,4.095622363724978,123.08119633565482
2017-07-17,1500264000000,150.08,9.89,1.2277799999999999,20.189521669883785,3.5395397639358066,9.290460236064176,262.47650416938984,3.388165287639879,-3.388165287639879,-100.0,6.22793291319239,11.104467086807587,178.30100679609802,1.5786996711853334,-1.5786996711853334,-100.0,1.7610024468864225,6.566597553113568,372.88974610590566,6.1074867363016105,-6.1074867363016105,-100.0,3.339702118071756,4.987897881928234,149.35158003876396
2017-07-18,1500350400000,151.02,9.79,1.22889,20.198760414420395,3.563371303902201,8.766628696097781,246.02063463040082,3.410911079019584,-3.410911079019584,-100.0,6.268388058387046,10.592211941612929,168.9782419810568,1.5899016402508934,-1.5899016402508934,-100.0,1.7735076255210769,6.0258923744789135,339.77256639696924,6.14707359389196,-6.14707359389196,-100.0,3.3634092657719705,4.435990734228021,131.88971022263837
2017-07-19,1500436800000,150.34,9.58,1.22722,20.22094684779764,3.551035159012073,10.108964840987925,284.6765629828435,3.399467567963768,-3.399467567963768,-100.0,6.243263068456756,11.92693693154324,191.03691131969882,1.5860425051399003,-1.5860425051399003,-100.0,1.7688840785309663,7.380915921469032,417.26396947383796,6.122969459751189,-6.122969459751189,-100.0,3.3549265836708666,5.794873416329132,172.72727947413216
2017-07-20,1500523200000,150.27,9.36,1.23222,16.597114185822388,2.9275127252358137,10.852487274764187,370.70674983624565,2.775398781680707,-2.775398781680707,-100.0,5.728504566684165,12.55959543331582,219.24736704165184,1.0728540414357326,-1.0728540414357326,-100.0,1.2233413116116054,8.048558688388411,657.9160379849676,5.5747639497498085,-5.5747639497498085,-100.0,2.296195353047338,6.97570464695265,303.7940407681349
2017-07-21,1500609600000,152.09,9.43,1.23278,15.218968626012366,2.7235185697489186,7.26648143025109,266.80491592612816,2.569492361021005,-2.569492361021005,-100.0,5.61206894816354,8.940631051836448,159.31078421198168,0.8999635256975083,-0.8999635256975083,-100.0,1.0383759085979634,4.388924091402038,422.6719875779914,5.442428913608238,-5.442428913608238,-100.0,1.9383394342954716,3.488960565704531,179.99739900935688
2017-07-24,1500868800000,152.74,9.43,1.23278,15.240090682002187,2.738844451358432,6.4311555486415575,234.81273445272822,2.5841599676902116,-2.5841599676902116,-100.0,5.6388543075899245,8.113345692410036,143.88287495723083,0.9066103584317844,-0.9066103584317844,-100.0,1.0458356785272187,3.5419643214727685,338.67311989782974,5.468710660348961,-5.468710660348961,-100.0,1.952446036959003,2.635353963040984,134.9770448532156
2017-07-25,1500955200000,153.46,9.6,1.23333,15.196594386368284,2.744163157734904,5.05583684226508,184.23965892896425,2.5886802059213494,-2.5886802059213494,-100.0,5.6596940693384274,6.744105930661532,119.16025580248129,0.9050756060792722,-0.9050756060792722,-100.0,1.044532953278683,2.1516670467212933,205.99321830560052,5.488185512910718,-5.488185512910718,-100.0,1.949608559357955,1.246591440642021,63.94060154580715
2017-07-26,1501041600000,150.56,10.11,1.23389,16.01331526401249,2.832837145979994,5.237162854019999,184.87341785432042,2.6802231941408654,-2.6802231941408654,-100.0,5.6608433446928075,6.925956655307175,122.34849533153827,0.996007811408866,-0.996007811408866,-100.0,1.1411560792183408,2.412043920781663,211.36845035552403,5.50076370882401,-5.50076370882401,-100.0,2.137163890627207,1.4160361093727687,66.25772200171302
2017-07-27,1501128000000,149.5,10.29,1.23167,16.057508110162527,2.8203055237303833,9.179694476269617,325.4858170162978,2.6690385425402923,-2.6690385425402923,-100.0,5.626674648220657,10.858325351779328,192.97944222193647,0.9949456764662941,-0.9949456764662941,-100.0,1.139368416956586,6.375631583043429,559.5759447215189,5.468563426330789,-5.468563426330789,-100.0,2.13431409342288,5.380685906577106,252.103751887235
