Datetime,Timestamp,Price,VIX,5-Day-LIBOR,5-Day-VM,90-Calls,90-Calls-P,90-Calls-ROI,90-Puts,90-Puts-P,90-Puts-ROI,90-Calls.1,90-Calls-P.1,90-Calls-ROI.1,100-Calls,100-Calls-P,100-Calls-ROI,100-Puts,100-Puts-P,100-Puts-ROI,100-Straddles,100-Straddles-P,100-Straddles-ROI,100-Calls.1,100-Calls-P.1,100-Calls-ROI.1,100-Puts.1,100-Puts-P.1,100-Puts-ROI.1,100-Calls.1.1,100-Calls-P.1.1,100-Calls-ROI.1.1,100-Puts.1.1,100-Puts-P.1.1,100-Puts-ROI.1.1,100-Calls.1.1.1,100-Calls-P.1.1.1,100-Calls-ROI.1.1.1,100-Puts.1.1.1,100-Puts-P.1.1.1,100-Puts-ROI.1.1.1,100-Calls.1.1.1.1,100-Calls-P.1.1.1.1,100-Calls-ROI.1.1.1.1,100-Puts.1.1.1.1,100-Puts-P.1.1.1.1,100-Puts-ROI.1.1.1.1,100-Calls,100-Calls-P,100-Calls-ROI,100-Puts,100-Puts-P,100-Puts-ROI
2012-07-06,1341547200000,86.5543,17.1,0.1899,19.0695549236086,8.657456831312942,-0.13202683131292758,-1.525007099491423,4.199424662690733e-07,-4.199424662690733e-07,-100.0,,,,0.7717869462513107,-0.7717869462513107,-100.0,0.7695353780618959,-0.6395353780619004,-83.10668960699306,1.5413223243132066,-1.4113223243132111,-91.56568370227676,0.7717869462513107,-0.7717869462513107,-100.0,0.7695353780618959,-0.6395353780619004,-83.10668960699306,0.7717869462513107,-0.7717869462513107,-100.0,0.7695353780618959,-0.6395353780619004,-83.10668960699306,0.7717869462513107,-0.7717869462513107,-100.0,0.7695353780618959,-0.6395353780619004,-83.10668960699306,0.7717869462513107,-0.7717869462513107,-100.0,0.7695353780618959,-0.6395353780619004,-83.10668960699306,0.7717869462513107,-0.7717869462513107,-100.0,0.7695353780618959,-0.6395353780619004,-83.10668960699307
2012-07-09,1341806400000,87.6985,17.98,0.190566667,15.174869108831803,8.771910407670687,-0.9991604076706722,-11.390453860506213,3.504122396194388e-10,-3.504122396194388e-10,-100.0,,,,0.6225212029633127,-0.6225212029633127,-100.0,0.6202318614963431,0.37686813850364587,60.7624602829063,1.2427530644596558,-0.24565306445966684,-19.766844394503728,0.6225212029633127,-0.6225212029633127,-100.0,0.6202318614963431,0.37686813850364587,60.7624602829063,0.6225212029633127,-0.6225212029633127,-100.0,0.6202318614963431,0.37686813850364587,60.7624602829063,0.6225212029633127,-0.6225212029633127,-100.0,0.6202318614963431,0.37686813850364587,60.7624602829063,0.6225212029633127,-0.6225212029633127,-100.0,0.6202318614963431,0.37686813850364587,60.7624602829063,0.6225212029633127,-0.6225212029633127,-100.0,0.6202318614963431,0.37686813850364587,60.7624602829063
2012-07-10,1341892800000,86.8871,18.72,0.1899,19.50387182548057,8.690744936271287,-0.18343493627129706,-2.1106928993591967,7.333791345893048e-07,-7.333791345893048e-07,-100.0,,,,0.7923732857277983,-0.7923732857277983,-100.0,0.7901130602920858,-0.6087130602920752,-77.04126040734582,1.582486346019884,-1.4010863460198737,-88.5370258987542,0.7923732857277983,-0.7923732857277983,-100.0,0.7901130602920858,-0.6087130602920752,-77.04126040734582,0.7923732857277983,-0.7923732857277983,-100.0,0.7901130602920858,-0.6087130602920752,-77.04126040734582,0.7923732857277983,-0.7923732857277983,-100.0,0.7901130602920858,-0.6087130602920752,-77.04126040734582,0.7923732857277983,-0.7923732857277983,-100.0,0.7901130602920858,-0.6087130602920752,-77.04126040734582,0.7923732857277983,-0.7923732857277983,-100.0,0.7901130602920858,-0.6087130602920752,-77.04126040734582
2012-07-11,1341979200000,86.3471,17.95,0.1899,19.94942668253337,8.636732802927026,0.259377197072979,3.0031865404597777,1.242527983922844e-06,-1.242527983922844e-06,-100.0,,,,0.8054110477078851,-0.5440110477078761,-67.5445226702656,0.8031648694867215,-0.8031648694867215,-100.0,1.6085759171946066,-1.3471759171945976,-83.74960129603976,0.8054110477078851,-0.5440110477078761,-67.5445226702656,0.8031648694867215,-0.8031648694867215,-100.0,0.8054110477078851,-0.5440110477078761,-67.5445226702656,0.8031648694867215,-0.8031648694867215,-100.0,0.8054110477078851,-0.5440110477078761,-67.5445226702656,0.8031648694867215,-0.8031648694867215,-100.0,0.8054110477078851,-0.5440110477078761,-67.5445226702656,0.8031648694867215,-0.8031648694867215,-100.0,0.8054110477078851,-0.5440110477078761,-67.5445226702656,0.8031648694867215,-0.8031648694867215,-100.0
2012-07-12,1342065600000,85.5571,18.33,0.1894,15.061736678685612,8.557707791225724,2.2009022087742807,25.71836130033419,2.5662477071718404e-10,-2.5662477071718404e-10,-100.0,,,,0.6027945656948006,1.600105434305199,265.4478864554569,0.6005747979513599,-0.6005747979513599,-100.0,1.2033693636461609,0.999530636353839,83.06100076582484,0.6027945656948006,1.600105434305199,265.4478864554569,0.6005747979513599,-0.6005747979513599,-100.0,0.6027945656948006,1.600105434305199,265.4478864554569,0.6005747979513599,-0.6005747979513599,-100.0,0.6027945656948006,1.600105434305199,265.4478864554569,0.6005747979513599,-0.6005747979513599,-100.0,0.6027945656948006,1.600105434305199,265.4478864554569,0.6005747979513599,-0.6005747979513599,-100.0,0.6027945656948006,1.600105434305199,265.4478864554569,0.60057479795136,-0.60057479795136,-100.0
2012-07-13,1342152000000,86.4243,16.74,0.1894,17.452424576850518,8.644448078077176,-0.09781807807716802,-1.131571121645584,3.765679442648135e-08,-3.765679442648135e-08,-100.0,,,,0.7053720850708274,-0.7053720850708274,-100.0,0.7031298179370822,-0.6073298179370852,-86.3752044706246,1.4085019030079096,-1.3127019030079126,-93.19844724416686,0.7053720850708274,-0.7053720850708274,-100.0,0.7031298179370822,-0.6073298179370852,-86.3752044706246,0.7053720850708274,-0.7053720850708274,-100.0,0.7031298179370822,-0.6073298179370852,-86.3752044706246,0.7053720850708274,-0.7053720850708274,-100.0,0.7031298179370822,-0.6073298179370852,-86.3752044706246,0.7053720850708274,-0.7053720850708274,-100.0,0.7031298179370822,-0.6073298179370852,-86.3752044706246,0.7053720850708274,-0.7053720850708274,-100.0,0.7031298179370822,-0.6073298179370852,-86.3752044706246
2012-07-16,1342411200000,86.7014,17.11,0.1894,13.645354698032868,8.672164510815179,-0.44202451081518745,-5.0970494190225795,3.956220402596837e-12,-3.956220402596837e-12,-100.0,,,,0.5535199317566182,-0.5535199317566182,-100.0,0.5512704752997024,-0.11127047529969047,-20.184370519607,1.1047904070563206,-0.6647904070563087,-60.17344129803063,0.5535199317566182,-0.5535199317566182,-100.0,0.5512704752997024,-0.11127047529969047,-20.184370519607,0.5535199317566182,-0.5535199317566182,-100.0,0.5512704752997024,-0.11127047529969047,-20.184370519607,0.5535199317566182,-0.5535199317566182,-100.0,0.5512704752997024,-0.11127047529969047,-20.184370519607,0.5535199317566182,-0.5535199317566182,-100.0,0.5512704752997024,-0.11127047529969047,-20.184370519606997,0.5535199317566182,-0.5535199317566182,-100.0,0.5512704752997024,-0.11127047529969047,-20.184370519606993
2012-07-17,1342497600000,86.7057,16.48,0.1894,12.152743423054746,8.672594611217889,-0.8620246112178904,-9.939639172144316,9.69514405961725e-15,-9.69514405961725e-15,-100.0,,,,0.49312131546973603,-0.49312131546973603,-100.0,0.4908717474498872,0.3691282525501123,75.19851253769629,0.9839930629196232,-0.12399306291962375,-12.601009864004705,0.49312131546973603,-0.49312131546973603,-100.0,0.4908717474498872,0.3691282525501123,75.19851253769629,0.493121315469736,-0.493121315469736,-100.0,0.4908717474498872,0.3691282525501123,75.19851253769629,0.49312131546973603,-0.49312131546973603,-100.0,0.4908717474498872,0.3691282525501123,75.19851253769629,0.493121315469736,-0.493121315469736,-100.0,0.4908717474498872,0.3691282525501123,75.19851253769629,0.49312131546973603,-0.49312131546973603,-100.0,0.49087174744988715,0.3691282525501123,75.19851253769629
2012-07-18,1342584000000,86.6085,16.16,0.1894,11.10831050959575,8.662872341560758,-4.472022341560759,-51.62285862283701,3.3535559295956005e-17,-3.3535559295956005e-17,-100.0,,,,0.4503334405719386,-0.4503334405719386,-100.0,0.4480863943933287,4.021913605606684,897.5754800705382,0.8984198349652672,3.571580165034746,397.54021739433466,0.4503334405719386,-0.4503334405719386,-100.0,0.4480863943933287,4.021913605606684,897.5754800705382,0.4503334405719386,-0.4503334405719386,-100.0,0.4480863943933287,4.0219136056066835,897.5754800705382,0.4503334405719386,-0.4503334405719386,-100.0,0.4480863943933287,4.021913605606684,897.5754800705382,0.4503334405719386,-0.4503334405719386,-100.0,0.4480863943933287,4.0219136056066835,897.5754800705382,0.4503334405719386,-0.4503334405719386,-100.0,0.44808639439332865,4.021913605606684,897.5754800705381
2012-07-19,1342670400000,87.76,15.45,0.1894,9.989802182440119,8.778049229525651,-5.636349229525647,-64.20958782695536,1.053502412300895e-20,-1.053502412300895e-20,-100.0,,,,0.4104887488792528,-0.4104887488792528,-100.0,0.4082118271841111,5.226088172815898,1280.239283821347,0.8187005760633639,4.815599423936646,588.2003219164634,0.4104887488792528,-0.4104887488792528,-100.0,0.4082118271841111,5.226088172815898,1280.239283821347,0.4104887488792528,-0.4104887488792528,-100.0,0.4082118271841111,5.226088172815898,1280.239283821347,0.4104887488792528,-0.4104887488792528,-100.0,0.4082118271841111,5.226088172815898,1280.239283821347,0.4104887488792528,-0.4104887488792528,-100.0,0.4082118271841111,5.226088172815898,1280.239283821347,0.4104887488792528,-0.4104887488792528,-100.0,0.4082118271841111,5.226088172815899,1280.239283821347
