Datetime,Timestamp,Price,VIX,1-Month-LIBOR,1-Month-VM,100-Calls,100-Calls-P,100-Calls-ROI,100-Puts,100-Puts-P,100-Puts-ROI,100-Straddles,100-Straddles-P,100-Straddles-ROI,95-Calls,95-Calls-P,95-Calls-ROI,95-Puts,95-Puts-P,95-Puts-ROI,100-Bear-Spreads,100-Bear-Spreads-P,100-Bear-Spreads-ROI
2017-07-06,1499313600000,144.18,11.19,1.22689,20.012827211254553,3.371233617624527,9.948766382375467,295.10759297024543,3.225915392573185,-3.225915392573185,-100.0,6.597149010197714,6.72285098980228,101.90539852003134,8.139177916154807,12.38982208384519,152.22449013251835,0.7921256023559913,-0.7921256023559913,-100.0,2.433789790217194,-2.433789790217194,-100.0
2017-07-07,1499400000000,145.06,11.11,1.22333,20.15532679437911,3.4152165500697147,8.73478344993029,255.76074962953624,3.269435400236788,-3.269435400236788,-100.0,6.6846519503065025,5.465348049693503,81.7596501706107,8.203769017576152,11.199230982423842,136.513241150867,0.8122769252349009,-0.8122769252349009,-100.0,2.457158475001887,-2.457158475001887,-100.0
2017-07-10,1499659200000,145.53,10.89,1.22333,20.200332502592907,3.4337650359304064,10.816234964069594,314.99636261916936,3.287511549544192,-3.287511549544192,-100.0,6.721276585474597,7.528723414525403,112.01329567058413,8.235197089348745,13.291302910651257,161.3962940588512,0.8197562772818614,-0.8197562772818614,-100.0,2.4677552722623304,-2.4677552722623304,-100.0
2017-07-11,1499745600000,145.74,10.3,1.22444,20.182620734286303,3.435836600788832,10.804163399211149,314.4550994284952,3.2892392413006064,-3.2892392413006064,-100.0,6.7250758420894385,7.514924157910542,111.74482391526016,8.245271067212386,13.2817289327876,161.08298713917205,0.8190035756985381,-0.8190035756985381,-100.0,2.4702356656020683,-2.4702356656020683,-100.0
2017-07-12,1499832000000,147.77,9.9,1.22633,20.639185219539907,3.560887991070686,7.939112008929312,222.9531518216103,3.412019371011837,-3.412019371011837,-100.0,6.9729073620825215,4.527092637917477,64.92403244212065,8.410689553967003,10.47781044603299,124.57730580593129,0.8807643649110908,-0.8807643649110908,-100.0,2.5312550061007464,-2.5312550061007464,-100.0
2017-07-13,1499918400000,149.04,9.51,1.22389,20.30133926605211,3.5338163718530216,7.286183628147,206.1845569051557,3.3839669056110893,-3.3839669056110893,-100.0,6.917783277464111,3.9022167225359112,56.40848471284241,8.445046795268992,9.826953204731026,116.36351393856329,0.8506898023391294,-0.8506898023391294,-100.0,2.53327710327196,-2.53327710327196,-100.0
2017-07-14,1500004800000,149.56,9.82,1.22389,20.18766714480604,3.5267223592819903,8.383277640718006,237.7073323805611,3.3763500688153703,-3.3763500688153703,-100.0,6.90307242809736,5.0069275719026365,72.5318707583466,8.461895206572535,10.926104793427443,129.1212491610733,0.8410415306292549,-0.8410415306292549,-100.0,2.5353085381861153,-2.5353085381861153,-100.0
2017-07-17,1500264000000,150.08,9.89,1.22444,20.189521669883785,3.5393358643859334,9.290664135614053,262.49738627803157,3.3883729735392483,-3.3883729735392483,-100.0,6.927708837925183,5.902291162074803,85.19831448116277,8.491574257686779,11.842425742313194,139.46089833216902,0.8441595113824611,-0.8441595113824611,-100.0,2.544213462156787,-2.544213462156787,-100.0
2017-07-18,1500350400000,151.02,9.79,1.22556,20.198760414420395,3.563166742638132,8.766833257361853,246.040499661573,3.4111194407102663,-3.4111194407102663,-100.0,6.974286183348397,5.355713816651586,76.79228634808149,8.545899800487389,11.33510019951258,132.63787856330958,0.8504548636559264,-0.8504548636559264,-100.0,2.56066457705434,-2.56066457705434,-100.0
2017-07-19,1500436800000,150.34,9.58,1.22611,20.22094684779764,3.550967282136781,10.109032717863217,284.68391609004465,3.399536712378364,-3.399536712378364,-100.0,6.950503994515145,6.709496005484851,96.53251060325293,8.509944006587261,12.667055993412733,148.85005099454932,0.8490849653167487,-0.8490849653167487,-100.0,2.5504517470616155,-2.5504517470616155,-100.0
2017-07-20,1500523200000,150.27,9.36,1.22833,16.597114185822388,2.9272732282328486,10.852726771767152,370.745261053707,2.775639251398516,-2.775639251398516,-100.0,5.702912479631365,8.077087520368638,141.63092190555128,8.136194479796401,13.157305520203593,161.71326229818487,0.47864220180380107,-0.47864220180380107,-100.0,2.296997049594715,-2.296997049594715,-100.0
2017-07-21,1500609600000,152.09,9.43,1.2277799999999999,15.218968626012366,2.7232060331303813,7.266793966869629,266.8470133534589,2.5698042200983195,-2.5698042200983195,-100.0,5.293010253228702,4.696989746771309,88.73947946551166,8.113797813631038,9.480702186368973,116.84666544736372,0.3635660912506147,-0.3635660912506147,-100.0,2.206238128847705,-2.206238128847705,-100.0
2017-07-24,1500868800000,152.74,9.43,1.22889,15.240090682002187,2.738600268907078,6.43139973109291,234.842587438274,2.58440364098648,-2.58440364098648,-100.0,5.323003909893559,3.8469960901064297,72.27114905845255,8.150344518346301,8.656655481653686,106.21214185692013,0.3668577218217415,-0.3668577218217415,-100.0,2.2175459191647384,-2.2175459191647384,-100.0
2017-07-25,1500955200000,153.46,9.6,1.23222,15.196594386368284,2.744093143438235,5.055906856561748,184.2469111754314,2.5887500558095127,-2.5887500558095127,-100.0,5.3328431992477485,2.467156800752236,46.26344163091563,8.18549100171262,7.2875089982873655,89.02958902236439,0.3649150684653186,-0.3649150684653186,-100.0,2.223834987344194,-2.223834987344194,-100.0
2017-07-26,1501041600000,150.56,10.11,1.23278,16.01331526401249,2.8327685832806964,5.237231416719297,184.88031276645745,2.6802918524892334,-2.6802918524892334,-100.0,5.51306043576993,2.5569395642300634,46.37967593534955,8.099998923389679,7.498001076610308,92.56792682970571,0.4271460291377913,-0.4271460291377913,-100.0,2.253145823351442,-2.253145823351442,-100.0
2017-07-27,1501128000000,149.5,10.29,1.23278,16.057508110162527,2.8203735959600778,9.179626404039922,325.4755475369958,2.6689703596866963,-2.6689703596866963,-100.0,5.489343955646774,6.510656044353226,118.60535788900327,8.04682424914219,11.428175750857804,142.02094387827685,0.4279911746824645,-0.4279911746824645,-100.0,2.2409791850042318,-2.2409791850042318,-100.0
2017-07-28,1501214400000,148.73,10.26,1.23333,15.518415507103565,2.714270173707732,9.415729826292294,346.8972955418904,2.563579574051573,-2.563579574051573,-100.0,5.277849747759305,6.852150252240719,129.82844491072865,7.959633617646261,11.60686638235376,145.82161616863488,0.37997754797291705,-0.37997754797291705,-100.0,2.183602026078656,-2.183602026078656,-100.0
2017-07-31,1501473600000,150.05,10.09,1.23389,13.504393444295195,2.3931070121958844,7.20689298780411,301.1521403378932,2.241010017818468,-2.241010017818468,-100.0,4.6341170300143535,4.965882969985642,107.15920503997849,7.877885633655126,9.224614366344866,117.095053105828,0.2308934889965961,-0.2308934889965961,-100.0,2.010116528821872,-2.010116528821872,-100.0
2017-08-01,1501560000000,157.14,10.28,1.23167,18.53296108800372,3.408881750961811,-2.268881750961796,-66.5579482280849,3.2498844705323218,-3.2498844705323218,-100.0,6.658766221494132,-5.5187662214941176,-82.87971131468531,8.70587280477497,0.2911271952250445,3.3440322613646267,0.6978253883669545,-0.6978253883669545,-100.0,2.5520590821653673,-2.5520590821653673,-100.0
2017-08-02,1501646400000,155.57,10.44,1.23167,18.864825310896336,3.433810434078879,0.8761895659211234,25.51653863082752,3.2764017099067075,-3.2764017099067075,-100.0,6.710212143985586,-2.400212143985584,-35.76954189349904,8.654615746052187,3.433884253947795,39.676911774091934,0.726577458088645,-0.726577458088645,-100.0,2.5498242518180625,-2.5498242518180625,-100.0
2017-08-03,1501732800000,156.39,10.03,1.23167,18.850323720014263,3.4493186796961908,-1.1693186796961896,-33.89998977418871,3.2910802637208576,-3.2910802637208576,-100.0,6.740398943417048,-4.460398943417046,-66.17410899355232,8.698651822310964,1.400848177689042,16.10419874601763,0.7288253271343771,-0.7288253271343771,-100.0,2.5622549365864806,-2.5622549365864806,-100.0
2017-08-04,1501819200000,158.81,9.93,1.23056,19.21600122813223,3.568972553926031,-3.568972553926031,-100.0,3.408430275710174,-3.3284302757101614,-97.65287849453384,6.9774028296362065,-6.897402829636192,-98.85344157484764,8.873997580333906,-1.013497580333933,-11.420981030916591,0.7809824160288272,-0.7809824160288272,-100.0,2.6274478596813466,-2.6274478596813466,-100.00000000000001
2017-08-07,1502078400000,160.08,10.96,1.23056,19.189998340379574,3.5927577266071893,-3.5927577266071893,-100.0,3.4309315954013755,0.5790684045986438,16.877876707737162,7.0236893220085665,-3.013689322008545,-42.907497525057394,8.942010480419741,-4.948010480419769,-55.33442944687208,0.7842756557742271,-0.7842756557742271,-100.0,2.6466559396271485,-2.6466559396271485,-100.0
2017-08-08,1502164800000,161.06,11.11,1.22889,18.46778300591665,3.4817427234572733,-3.4817427234572733,-100.0,3.3191467506086667,4.350853249391348,131.08348549498413,6.80088947406594,0.8691105259340759,12.779365541055832,8.915568366199437,-8.532568366199456,-95.70414375989752,0.7081021919932553,-0.7081021919932553,-100.0,2.6110445586154114,-2.6110445586154114,-100.00000000000001
2017-08-09,1502251200000,155.32,16.04,1.22889,21.522957191588997,3.899810111258192,-3.899810111258192,-100.0,3.7430088787805857,-0.3130088787805789,-8.362493622578645,7.642818990038776,-4.21281899003877,-55.121271294394425,8.945777543840961,-4.609777543840976,-51.530205409754934,1.0308163729872426,-1.0308163729872426,-100.0,2.712192505793343,-2.712192505793343,-100.0
2017-08-10,1502337600000,157.48,15.51,1.23056,21.161130803675878,3.8890526006300514,-3.8890526006300514,-100.0,3.7298548298760754,3.2001451701239034,85.79811590764321,7.618907430506128,-0.6889074305061484,-9.042076397302864,9.02631238730696,-8.082312387306944,-89.54168702018896,1.001074505090692,-1.001074505090692,-100.0,2.7287803247853835,-2.7287803247853835,-100.0
2017-08-11,1502424000000,159.85,12.33,1.22889,21.43731963334269,3.997911079150228,-3.997911079150228,-100.0,3.83653664564811,2.8734633543518977,74.8973258892587,7.834447724798339,-1.1244477247983298,-14.352609964313393,9.196057406622645,-7.913557406622673,-86.05380606827917,1.0502516947956801,-1.0502516947956801,-100.0,2.78628495085243,-2.78628495085243,-100.0
2017-08-14,1502683200000,161.6,12.04,1.22889,21.432479036682906,4.04078558532656,-4.04078558532656,-100.0,3.877644462686973,3.4923555373130317,90.06384084251602,7.918430048013533,-0.5484300480135289,-6.925994732391574,9.296127215415707,-8.586127215415727,-92.3624108884548,1.061143148908133,-1.061143148908133,-100.0,2.81650131377884,-2.81650131377884,-100.0
2017-08-15,1502769600000,160.95,11.74,1.2266700000000001,21.557023768909225,4.0472885631948685,-4.0472885631948685,-100.0,3.885097021796227,3.78490297820376,97.42106714374552,7.932385584991096,-0.2623855849911081,-3.30777648388108,9.274086769830744,-8.896586769830748,-95.9295183518443,1.0725048055020494,-1.0725048055020494,-100.0,2.8125922162941777,-2.8125922162941777,-100.0
2017-08-16,1502856000000,157.86,15.55,1.2277799999999999,22.262260456377266,4.096844505173635,-4.096844505173635,-100.0,3.9376229244961536,-0.1976229244961445,-5.018838225131264,8.034467429669789,-4.29446742966978,-53.45055496536227,9.183800790054024,-5.03080079005403,-54.77907137862078,1.139540288410391,-1.139540288410391,-100.0,2.7980826360857627,-2.7980826360857627,-100.0
2017-08-17,1502942400000,157.5,14.26,1.22833,22.225453204486193,4.080913918177487,-4.080913918177487,-100.0,3.921984315785721,-0.23198431578572354,-5.914973062283863,8.002898233963206,-4.31289823396321,-53.89170407865314,9.15829810614359,-4.973298106143588,-54.30373687887915,1.1323149838714173,-1.1323149838714173,-100.0,2.7896693319143036,-2.7896693319143036,-100.0
2017-08-18,1503028800000,157.21,13.19,1.22833,22.246902148458094,4.077252118379247,-4.077252118379247,-100.0,3.918615148271286,-1.1886151482712677,-30.33253083798317,7.995867266650532,-5.265867266650516,-65.85736219776427,9.144117232503504,-4.01361723250352,-43.8928890613606,1.132912110900925,-1.132912110900925,-100.0,2.785703037370361,-2.785703037370361,-99.99999999999999
