Datetime,Timestamp,Price,VIX,5-Month-LIBOR,5-Month-VM,105-Calls,105-Calls-P,105-Calls-ROI,105-Puts,105-Puts-P,105-Puts-ROI,105-Straddles,105-Straddles-P,105-Straddles-ROI
2016-12-19,1482123600000,116.95,11.45,1.209686667,19.219274223251514,3.6212016541170087,27.041298345882982,746.7493094492336,8.859751487526507,-8.859751487526507,-100.0,12.480953141643516,18.181546858356477,145.67434595754196
2016-12-20,1482210000000,117.06,11.27,1.2100600000000001,19.207263838286174,3.6212277544381024,24.02577224556189,663.4703441703273,8.8645171824475,-8.8645171824475,-100.0,12.485744936885602,15.161255063114389,121.42851820018161
2016-12-21,1482296400000,116.29,11.43,1.2100600000000001,19.19663755238788,3.5943816637251658,23.80111833627482,662.1755996720638,8.803181660164697,-8.803181660164697,-100.0,12.397563323889862,14.997936676110122,120.97487453207349
2016-12-22,1482382800000,116.52,11.44,1.2100600000000001,19.14020721632059,3.5853913866200315,22.798608613379955,635.875031620253,8.804493421060966,-8.804493421060966,-100.0,12.389884807680998,13.994115192318988,112.94790395180641
2016-12-23,1482469200000,117.26,11.99,1.21117,19.066224530309686,3.587118213176673,23.33988178682332,650.6582833286119,8.838807079135362,-8.838807079135362,-100.0,12.425925292312035,14.501074707687971,116.70016008111556
2016-12-27,1482814800000,116.76,12.95,1.211076667,18.961253029867148,3.5418272634078463,31.00017273659213,875.2593063153688,8.771169567815349,-8.771169567815349,-100.0,12.312996831223195,22.229003168776778,180.5328424385577
2016-12-28,1482901200000,116.73,13.37,1.211076667,18.940947592821868,3.5351219518147015,29.46837804818529,833.5887262123484,8.763120643091568,-8.763120643091568,-100.0,12.29824259490627,20.705257405093718,168.35948100153345
2016-12-29,1482987600000,115.82,14.04,1.211076667,18.97442961440871,3.517044835347754,31.26195516465223,888.8699640805444,8.70428726166223,-8.70428726166223,-100.0,12.221332097009984,22.557667902989998,184.57617978083465
2016-12-30,1483074000000,116.15,12.85,1.211353333,18.96058187631956,3.5231792273631233,33.32932077263687,946.0012852534261,8.725063422938549,-8.725063422938549,-100.0,12.248242650301671,24.604257349698322,200.87989805698638
2017-01-03,1483419600000,116.02,11.85,1.216076667,18.85978399939028,3.49144154299426,34.767558457005755,995.7938011813054,8.685150671936753,-8.685150671936753,-100.0,12.176592214931013,26.082407785069,214.20120937520264
2017-01-04,1483506000000,116.61,11.67,1.217093333,18.83292814011392,3.5017158336510192,35.11778416634898,1002.8736149538976,8.721327673176845,-8.721327673176845,-100.0,12.223043506827864,26.39645649317214,215.95649625583775
2017-01-05,1483592400000,117.91,11.32,1.21959,18.87637943642748,3.553698351635468,27.96080164836452,786.8085268266092,8.830235909497873,-8.830235909497873,-100.0,12.38393426113334,19.130565738866657,154.47890254801698
2017-01-06,1483678800000,118.99,11.56,1.225983333,18.888124718986465,3.590763479034564,28.949736520965427,806.2278869102524,8.912365430434832,-8.912365430434832,-100.0,12.503128909469396,20.0373710905306,160.25885388860587
2017-01-09,1483938000000,119.11,11.49,1.228483333,18.884622602558263,3.5937953736756683,31.19070462632433,867.9043012519393,8.91948564192073,-8.91948564192073,-100.0,12.513281015596398,22.271218984403596,177.98065077132867
2017-01-10,1484024400000,119.75,11.26,1.230333333,18.890084135575464,3.615024341474793,32.24747565852519,892.0403464107643,8.968379393998973,-8.968379393998973,-100.0,12.583403735473766,23.279096264526217,184.99840547037613
2017-01-11,1484110800000,119.25,11.54,1.22904,18.887563876020373,3.5989727492185253,32.13852725078146,892.9916809667415,8.930637746731861,-8.930637746731861,-100.0,12.529610495950386,23.207889504049596,185.22434924493834
2017-01-12,1484197200000,119.04,11.23,1.228763333,18.851258110554067,3.582024303071428,29.285975696928574,817.5817141111279,8.904441603446513,-8.904441603446513,-100.0,12.48646590651794,20.381534093482053,163.2290052771688
2017-01-13,1484283600000,120.0,11.87,1.229866667,18.74894359908616,3.581108441519241,27.918891558480762,779.6159210034007,8.945880025640193,-8.945880025640193,-100.0,12.526988467159434,18.973011532840566,151.45708469820923
2017-01-17,1484629200000,119.99,12.48,1.22987,18.74991236555519,3.5810944725454874,27.639405527454514,771.8144756959755,8.945417275357002,-8.945417275357002,-100.0,12.52651174790249,18.693988252097512,149.23538674066816
2017-01-18,1484715600000,119.78,12.78,1.235703333,18.744487820451027,3.5742475980750115,30.43675240192498,851.5569100002292,8.926182279674507,-8.926182279674507,-100.0,12.500429877749518,21.510570122250478,172.07864315561505
2017-01-19,1484802000000,120.0,11.54,1.248113333,18.740981893418525,3.5819324330146003,30.398067566985393,848.6499434441308,8.937303729386656,-8.937303729386656,-100.0,12.519236162401256,21.460763837598734,171.42231010907332
2017-01-20,1484888400000,120.08,11.77,1.253293333,18.468878633748023,3.505483337882481,29.68051666211753,846.6882823652589,8.861754607260153,-8.861754607260153,-100.0,12.367237945142634,20.818762054857373,168.33800843165767
2017-01-23,1485147600000,119.97,11.07,1.247556667,18.46447171066689,3.499995385177364,30.391504614822644,868.3298481915724,8.854314538893759,-8.854314538893759,-100.0,12.354309924071122,21.537190075928883,174.3293652846271
2017-01-24,1485234000000,121.88,10.81,1.241073333,18.535115644456265,3.575576421656109,29.920423578343893,836.8000022912547,9.018532126683553,-9.018532126683553,-100.0,12.594108548339662,20.901891451660333,165.96562886077334
2017-01-25,1485320400000,121.94,10.63,1.25033,18.52251564274429,3.575211324188317,31.297788675811677,875.4108733115863,9.016000731082002,-9.016000731082002,-100.0,12.591212055270319,22.281787944729672,176.96301076434622
2017-01-26,1485406800000,121.95,10.58,1.2542200000000001,18.51577895372514,3.5741825641519824,31.728317435848,887.7083603415742,9.013381658420158,-9.013381658420158,-100.0,12.58756422257214,22.71493577742784,180.45537147445253
