Datetime,Timestamp,Price,VIX,11-Month-LIBOR,11-Month-VM,100-Calls,100-Calls-P,100-Calls-ROI,100-Puts,100-Puts-P,100-Puts-ROI,100-Calls,100-Calls-P,100-Calls-ROI
2016-01-26,1453784400000,9.54,22.5,1.100905405,,,,,,,,,,
2016-01-27,1453870800000,9.05,23.11,1.098564865,,,,,,,,,,
2016-01-28,1453957200000,8.74,22.42,1.096912162,,,,,,,,,,
2016-01-29,1454043600000,8.77,20.2,1.096445946,,,,,,,,,,
2016-02-01,1454302800000,8.76,19.98,1.097074324,,,,,,,,,,
2016-02-02,1454389200000,8.47,21.98,1.086871622,,,,,,,,,,
2016-02-03,1454475600000,8.43,21.65,1.0881756759999999,,,,,,,,,,
2016-02-04,1454562000000,8.9,21.84,1.086201351,,,,,,,,,,
2016-02-05,1454648400000,8.63,23.38,1.079744595,,,,,,,,,,
2016-02-08,1454907600000,8.37,26.0,1.07862973,,,,,,,,,,
2016-02-09,1454994000000,8.62,26.54,1.084740541,,,,,,,,,,
2016-02-10,1455080400000,8.88,26.29,1.0889918920000001,,,,,,,,,,
2016-02-11,1455166800000,8.62,28.14,1.0828378379999999,,,,,,,,,,
2016-02-12,1455253200000,9.3,25.4,1.0680662159999998,,,,,,,,,,
2016-02-16,1455598800000,9.93,24.11,1.066836486,,,,,,,,,,
2016-02-17,1455685200000,9.84,22.31,1.0781810809999999,,,,,,,,,,
2016-02-18,1455771600000,9.98,21.64,1.0817689190000002,,,,,,,,,,
2016-02-19,1455858000000,9.97,20.53,1.083937838,,,,,,,,,,
2016-02-22,1456117200000,10.38,19.38,1.090616216,,,,,,,,,,
2016-02-23,1456203600000,9.71,20.98,1.088318919,,,,,,,,,,
2016-02-24,1456290000000,9.89,20.72,1.106104054,,,,,,,,,,
2016-02-25,1456376400000,10.26,19.11,1.104793243,,,,,,,,,,
2016-02-26,1456462800000,10.32,19.81,1.102448649,,,,,,,,,,
2016-02-29,1456722000000,10.44,20.55,1.107274324,,,,,,,,,,
2016-03-01,1456808400000,10.72,17.7,1.1079608109999999,,,,,,,,,,
2016-03-02,1456894800000,11.97,17.09,1.123345946,,,,,,,,,,
2016-03-03,1456981200000,12.25,16.7,1.122933784,,,,,,,,,,
2016-03-04,1457067600000,12.01,16.86,1.1375135140000001,,,,,,,,,,
2016-03-07,1457326800000,12.26,17.35,1.142643243,,,,,,,,,,
