Datetime,Timestamp,Price,VIX,7-Day-LIBOR,7-Day-VM,100-Calls,100-Calls-P,100-Calls-ROI,100-Puts,100-Puts-P,100-Puts-ROI,95-Calls,95-Calls-P,95-Calls-ROI,95-Puts,95-Puts-P,95-Puts-ROI,100-Bear-Spreads,100-Bear-Spreads-P,100-Bear-Spreads-ROI
2014-03-23,1395547200000,561.3534,15.09,0.11975,21.91538711236236,6.802809824381086,-6.802809824381086,-100.0,6.78991806864758,92.69398193135237,1365.1708458658209,28.390405580030237,-28.390405580030237,-100.0,0.3104884120833233,71.10574158791661,22901.254546283846,6.479429656564257,-6.479429656564257,-100.0
2014-03-24,1395633600000,586.2718,14.02,0.1195,48.74548025273624,15.792227533753815,-15.792227533753815,-100.0,15.778791623038444,111.99580837696152,709.7869789562192,34.295911408317124,-34.295911408317124,-100.0,4.969557293137584,93.49145270686242,1881.283325497905,10.80923432990086,-10.80923432990086,-100.0
2014-03-25,1395720000000,582.2802,14.93,0.11875,48.63072705557593,15.647772077075727,-15.647772077075727,-100.0,15.634511394753645,87.92938860524643,562.4057342447695,34.03543076426581,-34.03543076426581,-100.0,4.908823116059821,69.54106688394022,1416.654567495578,10.725688278693823,-10.725688278693823,-100.0
2014-03-26,1395806400000,579.0722,14.93,0.12275,48.64903836172988,15.567633647491107,-15.567633647491107,-100.0,15.554001813758195,126.00319818624178,810.101475459431,33.852509552569124,-33.852509552569124,-100.0,4.885949310523031,107.71764068947702,2204.640978519404,10.668052503235163,-10.668052503235163,-100.0
2014-03-27,1395892800000,478.1595,14.62,0.12275,142.8921492543055,37.69167417843454,-37.69167417843454,-100.0,37.680417912287076,-6.603117912287103,-17.524003920704697,49.927551907387,-49.927551907387,-100.0,26.008883454546947,-18.839558454546925,-72.43509121593354,11.67153445774013,-11.67153445774013,-99.99999999999999
2014-03-28,1395979200000,502.4399,14.41,0.12275,153.86080815601613,42.63428572993335,-42.63428572993335,-100.0,42.622457883289094,10.93824211671091,25.66309560716217,55.324040717821894,-55.324040717821894,-100.0,30.190809263509887,-1.7521042635098638,-5.8034359006982426,12.431648619779207,-12.431648619779207,-100.0
2014-03-29,1396065600000,493.1803,14.41,0.1201,153.74783144127275,41.817844000222266,-41.817844000222266,-100.0,41.80648476999379,-13.452084769993803,-32.17702909967907,54.27534742781711,-54.27534742781711,-100.0,29.605541159100113,-25.91015615910007,-87.51792787660575,12.200943610893674,-12.200943610893674,-100.0
2014-03-30,1396152000000,461.8695,13.88,0.1201,156.56578009391188,39.877845955841615,-39.877845955841615,-100.0,39.867207895103945,-38.700507895103954,-97.07353471286542,51.50675797276526,-29.57998297276529,-57.42932410618044,28.4031768150646,-28.4031768150646,-100.0,11.464031080039344,-11.464031080039344,-100.0
2014-03-31,1396238400000,458.4972,13.1,0.1195,146.46835641826226,37.04296870353886,-37.04296870353886,-100.0,37.03246107304656,-24.754761073046524,-66.84611380328663,48.72450272386837,-38.07734272386843,-78.14824286593637,25.78966047490076,-25.78966047490076,-100.0,11.242800598145802,-11.242800598145802,-100.0
2014-04-01,1396324800000,478.7163,13.1,0.11885,156.44836010146562,41.30147452612067,-41.30147452612067,-100.0,41.290563197711656,-13.038063197711663,-31.576375297380878,53.356159663953456,-53.356159663953456,-100.0,29.40997890196502,-25.093293901965012,-85.32237981404472,11.880584295746637,-11.880584295746637,-100.0
