Datetime,Timestamp,Price,VIX,5-Day-LIBOR,5-Day-VM,100-Calls,100-Calls-P,100-Calls-ROI,100-Puts,100-Puts-P,100-Puts-ROI,100-Calls.1,100-Calls-P.1,100-Calls-ROI.1,105-Calls,105-Calls-P,105-Calls-ROI,105-Puts,105-Puts-P,105-Puts-ROI,100-Bull-Spreads,100-Bull-Spreads-P,100-Bull-Spreads-ROI,100-Straps,100-Straps-P,100-Straps-ROI
2016-07-27,1469592000000,10.12,12.72,0.432033333,20.552763999269878,0.0974124565446246,1.1025875434553765,1131.875308934727,0.09681354586599512,-0.09681354586599512,-100.0,,,,0.001975832483492091,0.6920241675165087,35024.435183564936,0.5073469762709326,-0.5073469762709326,-100.0,0.09543662406113253,-0.09543662406113253,-100.0,0.2916384589552443,2.108361541044758,722.9367308405347
2016-07-28,1469678400000,10.07,11.87,0.4312,19.06285460154179,0.08992581876287087,0.9900741812371292,1100.989899072142,0.0893310166040493,-0.0893310166040493,-100.0,,,,0.001176832018691676,0.5753231679813077,48887.450276965945,0.5040522897519306,-0.5040522897519306,-100.0,0.08874898674417919,-0.08874898674417919,-100.0,0.26918265412979103,1.890817345870209,702.4291189871838
2016-07-29,1469764800000,10.19,12.44,0.436033333,18.991697197470558,0.09066224431920757,0.9793377556807928,1080.204624355755,0.09005360774810711,-0.09005360774810711,-100.0,,,,0.00115929919560398,0.5593407008043954,48248.17466667749,0.5100202307959503,-0.5100202307959503,-100.0,0.08950294512360359,-0.08950294512360359,-100.0,0.2713780963865222,1.8686219036134784,688.5676952173809
2016-08-01,1470024000000,10.05,13.37,0.4347,15.082754256477509,0.07107411779922224,1.1789258822007778,1658.7274224509315,0.0704756787679921,-0.0704756787679921,-100.0,,,,0.0001578811402858683,0.7473421188597128,473357.4368075464,0.5020295201574942,-0.5020295201574942,-100.0,0.07091623665893637,-0.07091623665893637,-100.0,0.21262391436643657,2.2873760856335634,1075.784956950559
2016-08-02,1470110400000,10.44,12.86,0.435533333,31.995834368107356,0.1562683986816289,0.4737316013183719,303.15252815991414,0.15564554493390315,-0.15564554493390315,-100.0,,,,0.018187070975128616,0.08981292902487192,493.8284408066251,0.5395330745400173,-0.5395330745400173,-100.0,0.13808132770650028,-0.13808132770650028,-100.0,0.46818234229716094,0.7918176577028406,169.12591231393867
2016-08-03,1470196800000,11.32,12.42,0.435366667,60.67430116348278,0.3209613801582858,-0.2709613801582869,-84.42180178333578,0.32028628375941803,-0.32028628375941803,-100.0,,,,0.12042051000356804,-0.12042051000356804,-100.0,0.6857116587847559,-0.16971165878475425,-24.74971172074332,0.20054087015471775,-0.20054087015471775,-100.0,0.9622090440759896,-0.8622090440759917,-89.60724796595235
2016-08-04,1470283200000,11.15,11.39,0.4352,63.91038956297805,0.3329772907597457,0.1770227092402541,53.163598285140104,0.3323125872858981,-0.3323125872858981,-100.0,,,,0.13240862647074625,-0.13240862647074625,-100.0,0.6892106878232074,-0.6417106878232062,-93.10805812515407,0.20056866428899944,-0.20056866428899944,-100.0,0.9982671688053895,0.021732831194610114,2.1770555892985493
2016-08-05,1470369600000,11.26,11.5,0.4347,64.09695228087422,0.3372420478784441,-0.1172420478784435,-34.7649555018425,0.3365715579787745,-0.3365715579787745,-100.0,,,,0.13452752825929482,-0.13452752825929482,-100.0,0.6968235138646452,-0.3538235138646453,-50.77663236452923,0.20271451961914927,-0.20271451961914927,-100.0,1.0110556537356628,-0.5710556537356615,-56.48112956252378
2016-08-08,1470628800000,11.3,11.66,0.434533333,59.33279971603889,0.31332013418270943,0.026679865817290427,8.515209495516281,0.3126475204121766,-0.3126475204121766,-100.0,,,,0.1145101173973222,-0.1145101173973222,-100.0,0.6788038729382642,-0.4538038729382627,-66.85345959708972,0.19881001678538726,-0.19881001678538726,-100.0,0.9392877887775954,-0.25928778877759573,-27.60472262873098
2016-08-09,1470715200000,11.07,12.05,0.435033333,64.5959560855179,0.33412909202053953,-0.00412909202053946,-1.235777464204056,0.3334694104447653,-0.3334694104447653,-100.0,,,,0.13439984965073393,-0.13439984965073393,-100.0,0.687207183996172,-0.4637071839961706,-67.47705710811569,0.1997292423698056,-0.1997292423698056,-100.0,1.0017275944858444,-0.3417275944858442,-34.11382459332593
2016-08-10,1470801600000,11.37,11.68,0.434566667,30.451675369905033,0.16199186886682426,0.21800813113317646,134.57967529987815,0.16131503654655702,-0.16131503654655702,-100.0,,,,0.01635556551284301,-0.01635556551284301,-100.0,0.5841448915765621,-0.3956448915765627,-67.73060884068464,0.14563630335398126,-0.14563630335398126,-100.0,0.4852987742802055,0.27470122571979605,56.604557909142166
2016-08-11,1470888000000,11.66,11.55,0.4357,30.546580237440487,0.16664107924816296,-0.02664107924816239,-15.987101960908644,0.16594517371453674,-0.16594517371453674,-100.0,,,,0.016981368950359066,-0.016981368950359066,-100.0,0.5992506681400513,-0.15625066814005173,-26.07434191521573,0.1496597102978039,-0.1496597102978039,-100.0,0.4992273322108627,-0.21922733221086155,-43.91332726916176
2016-08-12,1470974400000,11.48,11.81,0.4357,35.06745381671231,0.18829666848939647,0.15170333151060333,80.56612617081228,0.1876115059228436,-0.1876115059228436,-100.0,,,,0.027795834161517208,-0.027795834161517208,-100.0,0.601076413466636,-0.367076413466636,-61.06984157797291,0.16050083432787926,-0.16050083432787926,-100.0,0.5642048429016365,0.11579515709836319,20.523602119904332
2016-08-15,1471233600000,11.64,12.64,0.434833333,35.762303759912164,0.19469593197011026,0.5553040680298897,285.2160609678995,0.19400260193543506,-0.19400260193543506,-100.0,,,,0.030121433348684112,0.13787856665131515,457.74238249302476,0.6113934368122784,-0.6113934368122784,-100.0,0.16457449862142615,-0.16457449862142615,-100.0,0.5833944658756556,0.9166055341243444,157.11591174396042
2016-08-16,1471320000000,11.4,12.19,0.433483333,35.88865608168937,0.1913529455766492,0.5686470544233506,297.1718322441872,0.1906760191004037,-0.1906760191004037,-100.0,,,,0.0298508076516546,0.1601491923483449,536.4986911483717,0.5991400348516009,-0.5991400348516009,-100.0,0.1615021379249946,-0.1615021379249946,-100.0,0.5733819102537021,0.9466180897462975,165.09381841632413
2016-08-17,1471406400000,11.75,11.43,0.43348,37.23160431678673,0.2045938367433502,0.3554061632566503,173.71303501311453,0.2038961328011375,-0.2038961328011375,-100.0,,,,0.03471322317179215,-0.03471322317179215,-100.0,0.6214806340324674,-0.5939806340324676,-95.5750833583395,0.16988061357155804,-0.16988061357155804,-100.0,0.6130838062878379,0.5069161937121631,82.6830179680476
2016-08-18,1471492800000,11.8,11.34,0.432926667,33.408861049364894,0.1844068591408341,0.055593140859164336,30.147002729820947,0.1837070806212848,-0.1837070806212848,-100.0,,,,0.024101701943195275,-0.024101701943195275,-100.0,0.613366934497666,-0.2633669344976646,-42.93790872723785,0.16030515719763885,-0.16030515719763885,-100.0,0.552520798902953,-0.07252079890295615,-13.125442344785649
2016-08-19,1471579200000,11.82,12.27,0.433113333,29.59873860248864,0.16369544818546444,0.02630455181453506,16.069201743919233,0.16299418137306,-0.16299418137306,-100.0,,,,0.015158880765722029,-0.015158880765722029,-100.0,0.6054225506126993,-0.20442255061269776,-33.76526863854315,0.14853656741974242,-0.14853656741974242,-100.0,0.4903850777439889,-0.11038507774398987,-22.509876983169065
2016-08-22,1471838400000,12.39,12.38,0.433666667,42.05770516490212,0.2436495119598927,-0.2436495119598927,-100.0,0.2429134886163089,0.07708651138369138,31.734141987253928,,,,0.053059661884263136,-0.053059661884263136,-100.0,0.6717868373735012,0.2677131626264995,39.85090920703108,0.1905898500756296,-0.1905898500756296,-100.0,0.7302125125360943,-0.41021251253609403,-56.17714096837218
