Datetime,Timestamp,Price,VIX,5-Day-LIBOR,5-Day-VM,100-Calls,100-Calls-P,100-Calls-ROI,100-Puts,100-Puts-P,100-Puts-ROI,100-Calls.1,100-Calls-P.1,100-Calls-ROI.1,108-Calls,108-Calls-P,108-Calls-ROI,108-Puts,108-Puts-P,108-Puts-ROI,113-Calls,113-Calls-P,113-Calls-ROI,113-Puts,113-Puts-P,113-Puts-ROI,108-Bull-Spreads,108-Bull-Spreads-P,108-Bull-Spreads-ROI
2012-06-19,1340078400000,83.9157,18.38,0.186066667,16.009374947354,0.6283397648210425,-0.6283397648210425,-100.0,0.626200899667424,1.5716991003325802,250.98959473985286,,,,7.2621045754332324e-06,-7.2621045754332324e-06,-100.0,6.7109532877386915,2.2002027122613157,32.78524850234343,8.557528014199683e-12,-8.557528014199683e-12,-100.0,10.90662408238498,2.2003169176150266,20.174133636536574,7.262096017905218e-06,-7.262096017905218e-06,-100.0
2012-06-20,1340164800000,83.6773,17.24,0.186066667,14.442998662936235,0.5653578227134304,-0.5653578227134304,-100.0,0.5632250339609186,1.0426749660390868,185.12582061674422,,,,7.930711877207207e-07,-7.930711877207207e-07,-100.0,6.691881381218495,1.6082026187815046,24.03214473130237,4.9015171663880594e-14,-4.9015171663880594e-14,-100.0,10.875638948709707,1.6083100512902888,14.788189079052682,7.93071138705549e-07,-7.93071138705549e-07,-100.0
2012-06-21,1340251200000,82.5243,20.08,0.186066667,19.597837485613386,0.7561853958732954,-0.7561853958732954,-100.0,0.7540819950842135,0.4774180049157834,63.311152902207525,,,,0.00020354639643031108,-0.00020354639643031108,-100.0,6.599875873544235,1.233568126455765,18.69077767660076,1.7698376445562933e-08,-1.7698376445562933e-08,-100.0,10.72578217480671,1.2338768251932777,11.50384004712937,0.00020352869805386552,-0.00020352869805386552,-100.0
2012-06-22,1340337600000,83.1571,18.11,0.1864,19.957442443565537,0.7759474561282218,-0.5045474561282219,-65.02340488952485,0.7738241293412216,-0.7738241293412216,-100.0,,,,0.00026311162902104696,-0.00026311162902104696,-100.0,6.650537918699072,-0.2693699186990699,-4.050347836401209,3.1162952518896715e-08,-3.1162952518896715e-08,-100.0,10.808023671893638,-0.269000671893636,-2.4888978786489395,0.00026308046606852807,-0.00026308046606852807,-100.0
2012-06-25,1340596800000,81.5378,20.38,0.1855,18.074231416071814,0.6891400887154973,2.4187599112845035,350.9823257841349,0.687068161355505,-0.687068161355505,-100.0,,,,6.029945402859921e-05,-6.029945402859921e-05,-100.0,6.520846617905235,-3.1057226179052293,-47.62759806951135,1.1486578598758516e-09,-1.1486578598758516e-09,-100.0,10.597572723231877,-3.10555872323188,-29.30443417881823,6.029830537073933e-05,-6.029830537073933e-05,-100.0
2012-06-26,1340683200000,81.7178,19.72,0.1859,17.918608923530734,0.6847260761076797,3.2274739238923185,471.35256513653917,0.6826450972594387,-0.6826450972594387,-100.0,,,,5.260911199849588e-05,-5.260911199849588e-05,-100.0,6.535229151955902,-3.9100051519559003,-59.829656482446225,8.39568601962831e-10,-8.39568601962831e-10,-100.0,10.620962494741036,-3.909848494741041,-36.812562860258666,5.260827242989392e-05,-5.260827242989392e-05,-100.0
2012-06-27,1340769600000,82.0714,19.45,0.187233333,19.213656033405034,0.7373206999959478,4.325579300004051,586.6618555572661,0.7352157267487414,-0.7352157267487414,-100.0,,,,0.0001530265581344975,-0.0001530265581344975,-100.0,6.5635916554511615,-5.0607796554511575,-77.10381634189723,9.382621704228511e-09,-9.382621704228511e-09,-100.0,10.666903389613283,-5.060521389613285,-47.44133517268829,0.00015301717551279327,-0.00015301717551279327,-100.0
2012-06-28,1340856000000,81.2928,19.71,0.186733333,17.99873716968825,0.6842108216106553,4.577289178389343,668.9881296548701,0.6821313858103579,-0.6821313858103579,-100.0,,,,5.623217941245172e-05,-5.623217941245172e-05,-100.0,6.501234441515095,-5.2593104415150975,-80.89710483182375,9.836004536666997e-10,-9.836004536666997e-10,-100.0,10.565714238529267,-5.259150238529274,-49.77562443768439,5.623119581199805e-05,-5.623119581199805e-05,-100.0
2012-06-29,1340942400000,83.4285,17.08,0.188733333,27.16637102553551,1.0592862029626104,3.2107137970373856,303.10163467226,1.0571292803147117,-1.0571292803147117,-100.0,,,,0.007066142560548605,-0.007066142560548605,-100.0,6.679016666100807,-4.274736666100806,-64.0024853927545,3.994744037226581e-05,-3.994744037226581e-05,-100.0,10.843307624848222,-4.267602624848223,-39.357018840530756,0.007026195120176339,-0.007026195120176339,-100.0
2012-07-02,1341201600000,84.6457,16.8,0.189733333,21.25041113180182,0.8409549173367665,1.4004450826632322,166.5303399495331,0.8387549307506248,-0.8387549307506248,-100.0,,,,0.000599062302611364,-0.000599062302611364,-100.0,6.7698790767895805,-2.2396230767895844,-33.082172537883224,1.9019098297660188e-07,-1.9019098297660188e-07,-100.0,11.001455205348632,-2.2389142053486357,-20.35107323129517,0.0005988721116283874,-0.0005988721116283874,-100.0
2012-07-03,1341288000000,85.63,16.66,0.1899,20.82059477309445,0.8335511244266556,-0.11645112442665352,-13.97048375488096,0.8313236003861562,-0.8313236003861562,-100.0,,,,0.0004705362743536584,-0.0004705362743536584,-100.0,6.848464810310588,-0.715164810310597,-10.442702563556914,1.0981929886734786e-07,-1.0981929886734786e-07,-100.0,11.12938300765353,-0.7145830076535304,-6.420688434948472,0.0004704264550547911,-0.0004704264550547911,-100.00000000000001
2012-07-05,1341460800000,87.1343,17.5,0.190566667,20.901224494413466,0.8514785854734583,-0.8514785854734583,-100.0,0.8492039722681497,0.7279960277318409,85.72687499181464,,,,0.000502609128303147,-0.000502609128303147,-100.0,6.968790026866572,1.5791539731334154,22.66037528818273,1.2445393263391737e-07,-1.2445393263391737e-07,-100.0,11.32488881153192,1.5797701884680606,13.949542593825825,0.0005024846743705131,-0.0005024846743705131,-100.0
