Datetime,Timestamp,Price,VIX,5-Day-LIBOR,5-Day-VM,100-Calls,100-Calls-P,100-Calls-ROI,100-Puts,100-Puts-P,100-Puts-ROI,100-Calls.1,100-Calls-P.1,100-Calls-ROI.1,103-Calls,103-Calls-P,103-Calls-ROI,103-Puts,103-Puts-P,103-Puts-ROI,103-Calls,103-Calls-P,103-Calls-ROI
2016-12-30,1483074000000,216.99000499999997,12.85,0.7140333329999999,31.353308287277017,3.1869567306547277,9.693033269345264,304.1469994276931,3.1657333718490577,-3.1657333718490577,-100.0,,,,0.9664438196172896,5.4038460303827165,559.1474559299921,7.454283910047451,-7.454283910047451,-100.0,,,
2017-01-03,1483419600000,226.99000499999997,11.85,0.7090333329999999,40.522344438964865,4.3052900660164255,-1.5652990660164219,-36.357575030124586,4.283244084645375,-4.283244084645375,-100.0,,,,1.7798672438982095,-1.7798672438982095,-100.0,8.566860033086044,-4.497150883086049,-52.494739796350316,,,
2017-01-04,1483506000000,226.75,11.67,0.709853333,40.72639144810787,4.322346838641097,-1.4823508386410822,-34.29504604741805,4.300298699235866,-4.300298699235866,-100.0,,,,1.7960817484881346,-1.7960817484881346,-100.0,8.575872164900744,-4.6133681649007485,-53.794740362179155,,,
2017-01-05,1483592400000,229.00999500000003,11.32,0.709073333,31.254492647504893,3.3528547447399006,5.387150255260067,160.67353540178425,3.3306113208758177,-3.3306113208758177,-100.0,,,,1.0121865510550094,0.8575185989449494,84.71942232893251,7.859575674474996,-7.859575674474996,-100.0,,,
2017-01-06,1483678800000,231.27999900000003,11.56,0.70996,27.610866260943972,2.992703998404025,1.3072990015959505,43.68287014997535,2.9702120033694968,-2.9702120033694968,-100.0,,,,0.7455543820832489,-0.7455543820832489,-100.0,7.66078759719764,-5.022390627197608,-65.55971645832902,,,
2017-01-09,1483938000000,229.86999500000002,11.49,0.710816667,31.73998608221057,3.4175704206482607,5.072435579351762,148.4222694784911,3.395188575598141,-3.395188575598141,-100.0,,,,1.0544179491313486,0.5394882008686892,51.164550196924374,7.927464498729704,-7.927464498729704,-100.0,,,
2017-01-10,1484024400000,229.729996,11.26,0.7091466670000001,11.384842436015587,1.2323404082582383,12.797658591741795,1038.4840508337877,1.2100247441067469,-1.2100247441067469,-100.0,,,,0.014712448862290728,7.123386671137759,48417.40989425365,6.883627194786242,-6.883627194786242,-100.0,,,
2017-01-11,1484110800000,229.58999599999999,11.54,0.7091466670000001,11.30322317272763,1.222840536094438,13.917159463905547,1138.100925927332,1.2005384713554577,-1.2005384713554577,-100.0,,,,0.0139463069663206,8.23835381303368,59071.93806165858,6.87867506028516,-6.87867506028516,-100.0,,,
2017-01-12,1484197200000,237.75,11.23,0.711446667,26.019099182218298,2.899774396779108,8.270223603220884,285.2023113386664,2.8766047799336434,-2.8766047799336434,-100.0,,,,0.6510416139897899,3.386456386010209,520.1597429781683,7.759676908638966,-7.759676908638966,-100.0,,,
2017-01-13,1484283600000,235.580002,11.87,0.710553333,28.3313211020537,3.1275885913217394,15.902410408678264,508.4559539833148,3.1046592749894018,-3.1046592749894018,-100.0,,,,0.8130547998860891,11.14954414011393,1371.3152104478086,7.856837664063732,-7.856837664063732,-100.0,,,
