Datetime,Timestamp,Price,VIX,5-Day-LIBOR,5-Day-VM,90-Calls,90-Calls-P,90-Calls-ROI,90-Puts,90-Puts-P,90-Puts-ROI,88-Calls,88-Calls-P,88-Calls-ROI,88-Puts,88-Puts-P,88-Puts-ROI,92-Calls,92-Calls-P,92-Calls-ROI,92-Puts,92-Puts-P,92-Puts-ROI,90-Butterfly-Spreads,90-Butterfly-Spreads-P,90-Butterfly-Spreads-ROI
2016-08-11,1470888000000,108.18,11.55,0.434566667,9.31060683801902,10.823795756232713,1.1742042437672922,10.848359209763775,2.2017808868593587e-23,-2.2017808868593587e-23,-100.0,12.987266961649766,1.174333038350241,9.042187565851547,3.858933192988304e-33,-3.858933192988304e-33,-100.0,8.660324550815645,1.1740754491843433,13.556945150211105,1.3599908728619654e-15,-1.3599908728619654e-15,-100.0,-1.4210854715202004e-14,1.4210854715202004e-14,-100.0
2016-08-12,1470974400000,109.48,11.81,0.4357,11.223428146663027,10.953880700174906,-0.9758807001748976,-8.908995148717617,8.361715027317156e-17,-8.361715027317156e-17,-100.0,13.143350017948787,-0.9757500179487836,-7.4239065125427075,1.436659631667736e-23,-1.436659631667736e-23,-100.0,8.764411382423019,-0.9760113824230244,-11.136074515858647,2.2038756737905637e-11,-2.2038756737905637e-11,-100.0,2.19912976717751e-11,-2.19912976717751e-11,-100.0
2016-08-15,1471233600000,109.38,12.64,0.4357,11.215754928729401,10.943875328691378,-0.5358753286913753,-4.896577424328655,7.977923438096904e-17,-7.977923438096904e-17,-100.0,13.131344765831551,-0.5357447658315522,-4.07989261865691,1.3424853694086254e-23,-1.3424853694086254e-23,-100.0,8.756405891572541,-0.5360058915725432,-6.1213002024999,2.1376886027270087e-11,-2.1376886027270087e-11,-100.0,2.1334045641197008e-11,-2.1334045641197008e-11,-100.0
2016-08-16,1471320000000,109.22,12.19,0.434833333,8.916874536996676,10.927855064926844,-1.1958550649268318,-10.943181967749105,2.8667979587926556e-25,-2.8667979587926556e-25,-100.0,13.112124952372909,-1.1957249523728992,-9.119230915783088,6.844621698700906e-36,-6.844621698700906e-36,-100.0,8.743585177480767,-1.1959851774807646,-13.678429994152081,8.587591848943912e-17,-8.587591848943912e-17,-100.0,-1.0658141036401503e-14,1.0658141036401503e-14,-100.0
2016-08-17,1471406400000,109.08,11.43,0.43348333299999997,9.056878228333924,10.913829405791745,-1.5158294057917487,-13.889069999457107,1.4339691605558267e-24,-1.4339691605558267e-24,-100.0,13.095299863440815,-1.5156998634408154,-11.574380726265874,7.166430126061231e-35,-7.166430126061231e-35,-100.0,8.732358948142661,-1.515958948142668,-17.36024546339917,2.3928651665670954e-16,-2.3928651665670954e-16,-100.0,-1.4210854715202004e-14,1.4210854715202004e-14,-100.0
2016-08-18,1471492800000,109.36,11.34,0.43348000000000003,9.061987646248546,10.94184432449434,-2.425844324494335,-22.170342152134765,1.5225996292822864e-24,-1.5225996292822864e-24,-100.0,13.128914450616687,-2.425714450616681,-18.47612351912873,7.812245273256101e-35,-7.812245273256101e-35,-100.0,8.754774198371962,-2.425974198371975,-27.710300042040025,2.488360885494286e-16,-2.488360885494286e-16,-100.0,-3.197442310920451e-14,3.197442310920451e-14,-100.0
2016-08-19,1471579200000,108.51,12.27,0.43292666700000004,5.952387191946495,10.856791497494982,-1.6957914974949944,-15.619637697622442,2.345198799106939e-53,-2.345198799106939e-53,-100.0,13.026862797550647,-1.6956627975506535,-13.016662752212891,5.5109381749278776e-77,-5.5109381749278776e-77,-100.0,8.6867201974393,-1.695920197439321,-19.52313599256081,1.399864359281358e-34,-1.399864359281358e-34,-100.0,-1.4210854715202004e-14,1.4210854715202004e-14,-100.0
2016-08-22,1471838400000,108.85,12.38,0.433113333,6.9337928947099385,10.890812149177435,-2.8558121491774244,-26.2222147445002,4.4388758932942706e-40,-4.4388758932942706e-40,-100.0,13.067682990306835,-2.8556829903068177,-21.853017037718672,1.5468724388273966e-57,-1.5468724388273966e-57,-100.0,8.713941308048035,-2.855941308048031,-32.77439228802628,3.443285876988834e-26,-3.443285876988834e-26,-100.0,0.0,-0.0,
2016-08-23,1471924800000,108.03,13.45,0.433666667,8.402509099279166,10.80877573378747,-1.9357757337874657,-17.909296866400574,3.810559311002717e-28,-3.810559311002717e-28,-100.0,12.96924738414775,-1.9356473841477424,-14.924901398007686,4.360857235193665e-40,-4.360857235193665e-40,-100.0,8.648304083427178,-1.9359040834271892,-22.38478278229115,1.2658633965556775e-18,-1.2658633965556775e-18,-100.0,-1.4210854715202004e-14,1.4210854715202004e-14,-100.0
2016-08-24,1472011200000,107.57,13.63,0.435336667,8.466133948632535,10.762773286584675,-0.8457732865846594,-7.858321122854821,9.169005939844703e-28,-9.169005939844703e-28,-100.0,12.914044991327245,-0.8456449913272195,-6.548258054661679,1.574739777903705e-39,-1.574739777903705e-39,-100.0,8.611501581842107,-0.8459015818420994,-9.822927787945092,2.2085073226683707e-18,-2.2085073226683707e-18,-100.0,0.0,-0.0,
