Datetime,Timestamp,Price,VIX,1-Year-LIBOR,1-Year-VM,100-Calls,100-Calls-P,100-Calls-ROI,100-Puts,100-Puts-P,100-Puts-ROI,105-Calls,105-Calls-P,105-Calls-ROI,105-Puts,105-Puts-P,105-Puts-ROI,100-Bull-Spreads,100-Bull-Spreads-P,100-Bull-Spreads-ROI
2012-11-09,1352437200000,31.07,16.68,0.862,54.00949909582921,6.719836834637654,162.06016916536237,2411.668216853378,6.453164443884085,-6.453164443884085,-100.0,6.131075444676116,161.09543055532387,2627.5232136510435,7.404569434384871,-7.404569434384871,-100.0,0.5887613899615376,4.411238610038462,749.2404708003421
2012-11-13,1352782800000,31.610001,16.65,0.862,53.875357673884366,6.820389003264077,160.0796049967359,2347.074410566988,6.5490818085942095,-6.5490818085942095,-100.0,6.221037778106468,159.09845617189353,2557.426298419285,7.5166652737031106,-7.5166652737031106,-100.0,0.5993512251576085,4.4006487748423915,734.2353848839091
2012-11-14,1352869200000,31.379999,17.92,0.8615,53.87004258216821,6.770061146696878,168.76993785330308,2492.8864628592937,6.500883602405152,-6.500883602405152,-100.0,6.175059434664143,167.79593961533584,2717.31699736202,7.461422963157832,-7.461422963157832,-100.0,0.5950017120327349,4.404998287967265,740.3337165061665
2012-11-15,1352955600000,30.82,17.99,0.8605,53.7592018228897,6.636036551827031,170.43396244817296,2568.30957932637,6.371968235191443,-6.371968235191443,-100.0,6.051370523193929,169.47762847680607,2800.648676646482,7.315098790726564,-7.315098790726564,-100.0,0.5846660286331016,4.415333971366898,755.1890746396821
2012-11-16,1353042000000,31.84,16.41,0.8595,53.80527247956231,6.8611517615675055,169.0288442384325,2463.563700561785,6.58865967381981,-6.58865967381981,-100.0,6.257264583813408,168.0407314161866,2685.530221158977,7.56314789167833,-7.56314789167833,-100.0,0.6038871777540971,4.396112822245903,727.969227396976
2012-11-19,1353301200000,32.919998,15.24,0.86,53.870655389856395,7.102188858220549,170.88781714177944,2406.1288787608405,6.820290774609791,-6.820290774609791,-100.0,6.477996617809076,169.86600948219092,2622.199724760605,7.828003530017778,-7.828003530017778,-100.0,0.6241922404114728,4.375807759588527,701.0352702724978
2012-11-20,1353387600000,33.0,15.08,0.86,53.84566287981789,7.1162894539018815,176.49371154609813,2480.136771970765,6.833706303102328,-6.833706303102328,-100.0,6.49051087937602,175.46949012062396,2703.477328390106,7.843798571036482,-7.843798571036482,-100.0,0.6257785745258619,4.374221425474138,699.0046645154614
2012-11-21,1353474000000,32.470001,15.31,0.861,53.86130488241319,7.004071956341393,167.80592604365862,2395.833839081699,6.7257053356896845,-6.7257053356896845,-100.0,6.388381258310548,166.79811669168944,2610.960585276659,7.7195963566262575,-7.7195963566262575,-100.0,0.6156906980308454,4.384309301969155,712.0960761615252
2012-11-23,1353646800000,32.130001,15.14,0.86,53.73173758018508,6.9146563489049,162.30534865109507,2347.2655828629863,6.639523108972387,-6.639523108972387,-100.0,6.305067499390571,161.30843745060943,2558.393505956931,7.622677647461437,-7.622677647461437,-100.0,0.6095888495143296,4.39041115048567,720.2249768813177
2012-11-26,1353906000000,32.27,15.5,0.8590000000000001,53.67088528086322,6.937133970334193,139.3828620296658,2009.2283445255573,6.661121839634356,-6.661121839634356,-100.0,6.324729010737674,138.3817669892623,2187.947764312551,7.648416273502848,-7.648416273502848,-100.0,0.6124049595965184,4.387595040403482,716.453218029821
