Datetime,Timestamp,Price,VIX,1-Month-LIBOR,1-Month-VM,105-Calls,105-Calls-P,105-Calls-ROI,105-Puts,105-Puts-P,105-Puts-ROI,105-Straddles,105-Straddles-P,105-Straddles-ROI,103-Calls,103-Calls-P,103-Calls-ROI,103-Puts,103-Puts-P,103-Puts-ROI,107-Calls,107-Calls-P,107-Calls-ROI,107-Puts,107-Puts-P,107-Puts-ROI,105-Butterfly-Spreads,105-Butterfly-Spreads-P,105-Butterfly-Spreads-ROI,95-Calls,95-Calls-P,95-Calls-ROI,95-Puts,95-Puts-P,95-Puts-ROI,93-Calls,93-Calls-P,93-Calls-ROI,93-Puts,93-Puts-P,93-Puts-ROI,97-Calls,97-Calls-P,97-Calls-ROI,97-Puts,97-Puts-P,97-Puts-ROI,95-Butterfly-Spreads,95-Butterfly-Spreads-P,95-Butterfly-Spreads-ROI,95-Straps,95-Straps-P,95-Straps-ROI,100-Calls,100-Calls-P,100-Calls-ROI,100-Puts,100-Puts-P,100-Puts-ROI,100-Straps,100-Straps-P,100-Straps-ROI
2017-05-19,1495166400000,303.859985,10.72,1.00356,36.019815969951104,6.712053923114013,1.3249578268859636,19.739975901016873,21.641992792601823,-21.641992792601823,-100.0,28.35404671571584,-20.31703496571586,-71.65479823539512,8.753893757520759,5.360317692479214,61.233524657230255,17.61164360092306,-17.61164360092306,-100.0,5.060709720474847,-3.1008976704748648,-61.273968311778745,26.06283761604809,-26.06283761604809,-100.0,0.3904956317675801,-0.3904956317675801,-100.0,21.429573958994094,16.99343629100585,79.29899270756907,5.9985676980545435,-5.9985676980545435,-100.0,25.743650121993646,18.756559828006345,72.85897586054433,4.240454834968531,-4.240454834968531,-100.0,17.559782600235792,14.786027949764161,84.20393513052727,8.20096536538172,-8.20096536538172,-100.0,0.4442848042412493,-0.4442848042412493,-100.0,48.857715616042725,27.98830488395728,57.28533258474153,12.6330716630128,10.596939336987194,83.88252374133988,12.38253796728688,-12.38253796728688,-100.0,37.64868129331248,8.811340706687503,23.404115108415915
2017-05-22,1495425600000,310.22000099999997,10.02,1.00994,36.395920213917975,6.975740168917568,-6.975740168917568,-100.0,22.21646712150985,-5.315453071509836,-23.925735097473922,29.192207290427426,-12.29119324042746,-42.10436407958071,9.067853652757037,-9.067853652757037,-100.0,18.109328644347528,-7.41271461434755,-40.93312767097682,5.279057798420767,-5.279057798420767,-100.0,26.71903671201477,-3.613622642014832,-13.52452440918235,0.3954311133426671,-0.3954311133426671,-100.0,21.993611154535493,-7.872625104535444,-35.79505452387686,6.238078302118964,-6.238078302118964,-100.0,26.383657014794665,-6.0582709447946845,-22.962210816330362,4.428872201376379,-4.428872201376379,-100.0,18.05363655372676,-10.137050523726742,-56.14963220046756,8.497355662312046,-8.497355662312046,-100.0,0.4500712594504392,-0.4500712594504392,-100.0,50.22530061118996,-21.983328511189843,-43.76943142933039,13.031481508032355,-13.031481508032355,-100.0,12.774078558120234,-11.384064558120231,-89.11847931985353,38.837041574184944,-37.44702757418499,-96.42090657872382
2017-05-23,1495512000000,316.829987,9.99,1.01711,34.892204383945604,6.625715477167418,-6.625715477167418,-100.0,22.189224058245514,-2.7377387082455296,-12.338145313504945,28.814939535412933,-9.363454185412893,-32.495137371034254,8.731111728946741,-8.731111728946741,-100.0,17.963315632290005,-4.8484300222900165,-26.99073000518184,4.937699440556543,-4.937699440556543,-100.0,26.83251269936946,-1.0444276093694214,-3.892395844813909,0.417380215168448,-0.417380215168448,-100.0,21.997953656865548,-9.766440306865604,-44.39704010294387,5.904938849269558,-5.904938849269558,-100.0,26.54187024243637,-7.973757152436378,-30.04218270831407,4.117550757105505,-4.117550757105505,-100.0,17.92820882759912,-12.033295217599175,-67.11933876559284,8.166498697737937,-8.166498697737937,-100.0,0.4741717563044006,-0.4741717563044006,-100.0,49.90084616300065,-25.437819463000764,-50.9767296929362,12.766105741653464,-12.766105741653464,-100.0,12.501352628394473,-8.891366628394481,-71.1232367623917,38.0335641117014,-34.42357811170135,-90.5084204325479
2017-05-24,1495598400000,325.140015,9.99,1.02939,35.00802594041563,6.839820762836922,-6.839820762836922,-100.0,22.8080965420516,2.538931207948451,11.131710194524077,29.64791730488853,-4.300889554888472,-14.506548674767506,9.003243545228829,-9.003243545228829,-100.0,18.474218547696488,0.3700089023035105,2.002839261364297,5.103650245549389,-5.103650245549389,-100.0,27.569226801510922,4.28060124848912,15.5267366738574,0.4272522651043733,-0.4272522651043733,-100.0,22.613655898106856,-15.446682148106902,-68.30687712640065,6.095427793586807,-6.095427793586807,-100.0,27.27202847907277,-13.602254429072811,-49.87621085652111,4.256499597805785,-4.256499597805785,-100.0,18.44069339933916,-17.776519949339193,-96.3983271365286,8.419766071565986,-8.419766071565986,-100.0,0.4854100821982144,-0.4854100821982144,-100.0,51.32273958980052,-36.9887920898005,-72.07096188830762,13.145525887347304,-13.145525887347304,-100.0,12.870549724694571,-3.7805227246945488,-29.373436298846702,39.16160149938918,-30.071574499389158,-76.78841862444823
2017-05-25,1495684800000,352.850006,9.81,1.02356,41.73577201474246,9.945604506132213,-9.945604506132213,-100.0,27.27654713073136,15.99595816926862,58.64363290779804,37.22215163686357,6.050353663136463,16.2547123072391,12.427268395989161,-12.427268395989161,-100.0,22.707145332500744,13.508359847499234,59.48946752088962,7.866173360458447,-7.866173360458447,-100.0,32.24818167314521,18.08132374685482,56.069281456300246,0.40223274418318056,-0.40223274418318056,-100.0,26.89857389661841,-26.89857389661841,-100.0,8.974188080779584,-0.9866833807795388,-10.994681322678789,31.68365009483409,-31.68365009483409,-100.0,6.708198590907612,-5.777694010907624,-86.12884565967964,22.573529832991337,-22.573529832991337,-100.0,11.700209705240129,3.3442951147599733,28.58320661775982,0.4600321345886087,-0.4600321345886087,-100.0,62.7713358740164,-54.78383117401636,-87.27523544180873,16.974787988703383,-16.974787988703383,-100.0,16.678066393083554,8.951938606916428,53.67491887805906,50.62764237049032,-24.99763737049028,-49.37547197548513
2017-05-26,1495771200000,335.100006,10.38,1.03272,44.82081893222991,10.567846021658012,-10.567846021658012,-100.0,27.024314652765185,-4.6892973527651804,-17.35214162881781,37.59216067442321,-15.257143374423196,-40.5859708532364,12.9686252694749,-12.9686252694749,-100.0,22.72878009808477,-7.0957629180848025,-31.21928624177557,8.526548088062441,-8.526548088062441,-100.0,31.679330521666884,-2.6423131016669004,-8.34081105299781,0.35948131422131624,-0.35948131422131624,-100.0,26.59945964027688,-15.424476340276868,-57.987931141733206,9.574359258897617,-9.574359258897617,-100.0,31.04616826524159,-13.169184845241599,-42.41806825477219,7.324754081365158,-7.324754081365158,-100.0,22.564731359668713,-18.091748179668734,-80.1771042220569,12.23594478078681,-12.23594478078681,-100.0,0.4119803443565431,-0.4119803443565431,-100.0,62.77327853945138,-40.42331193945136,-64.39573155964183,17.30167116318026,-17.30167116318026,-100.0,17.017355288044254,-11.43733828804426,-67.20984603335923,51.620697614404776,-46.04068061440478,-89.19034949569745
2017-05-30,1496116800000,341.01001,10.41,1.04383,44.823038171522605,10.756132651204007,-10.756132651204007,-100.0,27.49956957421281,7.150936925787192,26.003814010575805,38.255702225416826,-3.605195725416813,-9.423943401100466,13.199441172352806,-13.199441172352806,-100.0,23.128526725399496,4.701779574600521,20.328919478632766,8.678637786328537,-8.678637786328537,-100.0,32.23642607929935,9.234280620700645,28.645485073267626,0.3658136562733283,-0.3658136562733283,-100.0,27.071229960770125,-27.071229960770125,-100.0,9.742910033968528,-9.193404533968518,-94.35994484107759,31.596430421331178,-25.3257357213312,-80.1537875754264,7.453759124567554,-7.453759124567554,-100.0,22.96524442456638,-22.96524442456638,-100.0,12.451275867726906,-5.081570167726852,-40.81164229039396,0.4192149243573056,6.950490775642692,1657.9778943458234,63.885369955508786,-63.33586445550878,-99.13985705900629,17.60916030242646,-17.60916030242646,-100.0,17.316718800530086,0.28328719946992464,1.6359173047335789,52.535039405383,-34.935033405382995,-66.49853850076941
2017-05-31,1496203200000,340.369995,9.89,1.04467,44.67213360944521,10.680027993762195,-10.680027993762195,-100.0,27.391793937121488,2.2167018128784832,8.092576258301937,38.07182193088369,-8.463326180883769,-22.229895370513802,13.116758992089359,-13.116758992089359,-100.0,23.02696758414652,-0.2258717341466081,-0.9809009081252844,8.609488349610642,-8.609488349610642,-100.0,32.12281164427196,4.293084005727962,13.364596017526665,0.3661913541756121,-0.3661913541756121,-100.0,26.96797701993401,-22.53947326993395,-83.57865795151551,9.67195620678288,-9.67195620678288,-100.0,31.48930803720933,-20.253404387209255,-64.31835327494917,7.391729872756102,-7.391729872756102,-100.0,22.86625289053418,-22.86625289053418,-100.0,12.371789428685162,-9.992893278685218,-80.77160815165306,0.4196068878754886,1.9592892621244573,466.93448528562857,63.607910246650896,-54.75090274665078,-86.07561942271722,17.517624313229675,-17.517624313229675,-100.0,17.225496878333757,-4.635500878333829,-26.910694716530145,52.26074550479311,-39.67074950479318,-75.90926826934523
2017-06-01,1496289600000,339.850006,9.75,1.04467,44.658914975691786,10.658815368017015,-10.658815368017015,-100.0,27.34505046380229,9.927448836197755,36.3043719715899,38.0038658318193,-0.7313665318192548,-1.9244529886928168,13.091647681373784,-13.091647681373784,-100.0,22.98671628009646,7.488782899903582,32.57874160298358,8.59170826331271,-8.59170826331271,-100.0,32.06910985616051,12.000389563839548,37.42040118252381,0.3657252086524672,-0.3657252086524672,-100.0,26.922179625854373,-26.922179625854373,-100.0,9.652582236326793,-6.365083536326723,-65.94176957511111,31.437007955359462,-27.92750653535953,-88.83640127271835,7.376244068769267,-7.376244068769267,-100.0,22.82642060208505,-22.82642060208505,-100.0,12.347989709620009,-2.2634908896199306,-18.33084528614809,0.4190693057357677,9.665429514264254,2306.4035905217347,63.49694148803554,-60.209442788035524,-94.8225873200216,17.485737131295252,-17.485737131295252,-100.0,17.194055984424068,3.085943015575964,17.947731578700743,52.16553024701457,-31.88553124701454,-61.12375566016478
2017-06-02,1496376000000,347.320007,10.07,1.0505,44.95538415681797,11.005960438476322,-11.005960438476322,-100.0,28.05721779545661,8.388799554543425,29.898900224889182,39.06317823393293,-2.617160883932897,-6.699815535386858,13.496355562386155,-13.496355562386155,-100.0,23.60720788399536,5.892409326004639,24.960212808561028,8.887205448496204,-8.887205448496204,-100.0,32.87886784084753,10.51354964915248,31.97661701748386,0.3716401339297164,-0.3716401339297164,-100.0,27.620381100910354,-27.620381100910354,-100.0,9.969613281035349,-8.255596631035331,-82.80759141118844,32.22528884849953,-26.99290535849957,-83.76311376261383,7.634115993253473,-7.634115993253473,-100.0,23.441385774212108,-23.441385774212108,-100.0,12.73102298970818,-4.0706061997081235,-31.97391288193275,0.4259124208909313,8.234504369109068,1933.3797196813327,65.21037548285605,-63.4963588328561,-97.37155837961616,17.988345767843388,-17.988345767843388,-100.0,17.688590536395992,1.391426463604006,7.866237056824911,53.66528207208277,-34.58526507208277,-64.44625600891862
