Datetime,Timestamp,Price,VIX,6-Month-LIBOR,6-Month-VM,107-Calls,107-Calls-P,107-Calls-ROI,107-Puts,107-Puts-P,107-Puts-ROI,105-Calls,105-Calls-P,105-Calls-ROI,105-Puts,105-Puts-P,105-Puts-ROI,109-Calls,109-Calls-P,109-Calls-ROI,109-Puts,109-Puts-P,109-Puts-ROI,107-Butterfly-Spreads,107-Butterfly-Spreads-P,107-Butterfly-Spreads-ROI
2014-03-06,1394082000000,658.7245,14.21,0.3311,146.51148754324527,245.77316331609543,-245.77316331609543,-100.0,290.7339470006151,-61.216832000615064,-21.05596289396695,249.51547769321581,-249.51547769321581,-100.0,281.32326542101544,-64.98064042101538,-23.098210638131317,242.1114906495985,-242.1114906495985,-100.0,300.2252702908381,-57.53366529083809,-19.163498540646934,0.08064171062341075,-0.08064171062341075,-100.0
2014-03-07,1394168400000,625.8278,14.11,0.332,146.70346342584315,233.8041775214307,-233.8041775214307,-100.0,276.5166525467389,-81.41790654673882,-29.44412417728693,237.3570514513444,-237.3570514513444,-100.0,267.57344656963755,-84.9912565696374,-31.76371110782772,230.32779151963064,-230.32779151963064,-100.0,285.5363464519539,-77.92104445195389,-27.28936102888232,0.07648792811369276,-0.07648792811369276,-100.0
2014-03-08,1394254800000,615.24,14.2,0.3318,146.72435896627442,229.88101171199148,-229.88101171199148,-100.0,271.8715222215417,-102.65122222154163,-37.7572543761658,233.37350427666115,-233.37350427666115,-100.0,263.0793323467806,-106.16383234678051,-40.35430354781335,226.4636995738076,-226.4636995738076,-100.0,280.73889252278855,-99.2137925227886,-35.34023790976345,0.07518042648581513,-0.07518042648581513,-100.0
2014-03-09,1394341200000,633.1825,14.8,0.3318,146.75056244044606,236.62711172652462,-236.62711172652462,-100.0,279.842208958033,-82.83793395803298,-29.601658115290213,240.2211049171753,-240.2211049171753,-100.0,270.7932564060387,-86.45263140603869,-31.92569584392013,233.1104740550277,-233.1104740550277,-100.0,288.96851702918116,-79.30059202918119,-27.44264075701129,0.07735551915379801,-0.07735551915379801,-100.0
2014-03-10,1394424000000,625.8285,14.8,0.332,146.74270312622656,233.8665821142825,-233.8665821142825,-100.0,276.57910491428606,-89.1797099142861,-32.24383488475153,237.41893844514163,-237.41893844514163,-100.0,267.63536736103293,-92.75254236103294,-34.65630991733326,230.39068800103303,-230.39068800103303,-100.0,285.5993046851488,-85.68333968514884,-30.00124239784411,0.07646221760967364,-0.07646221760967364,-100.0
2014-03-11,1394510400000,628.9543,14.47,0.331,146.7408684030477,235.0308142453342,-235.0308142453342,-100.0,277.9599849249348,-84.46218392493482,-30.38645434800425,238.60093512072342,-238.60093512072342,-100.0,268.97153625491103,-88.05282125491095,-32.73685479175057,231.537538868109,-231.537538868109,-100.0,287.02527909312266,-80.94839209312272,-28.20253057461875,0.07684549816400477,-0.07684549816400477,-100.0
2014-03-12,1394596800000,631.3913,16.22,0.3305,146.7420240962823,235.94286350503018,-235.94286350503018,-100.0,279.040034332736,-75.59924333273597,-27.092615406787505,239.52680058571403,-239.52680058571403,-100.0,270.0167102764534,-79.20374527645339,-29.332905061824352,232.43606899160847,-232.43606899160847,-100.0,288.14050095628085,-72.07188395628083,-25.01275721985928,0.07714256726217172,-0.07714256726217172,-100.0
2014-03-13,1394683200000,638.165,16.22,0.3305,146.68625599034522,238.38404721677662,-238.38404721677662,-100.0,281.9435736487418,-70.66462364874185,-25.06339220087316,242.00718940782528,-242.00718940782528,-100.0,272.8242013270436,-74.30855132704356,-27.236788732670888,234.83891258358003,-234.83891258358003,-100.0,291.14095352829224,-67.09870352829229,-23.04681039033961,0.07800755785206093,-0.07800755785206093,-100.0
2014-03-14,1394769600000,626.7067,17.82,0.3318,146.73573533323375,234.18352210845413,-234.18352210845413,-100.0,276.95664198485275,-83.90777298485285,-30.29635699780109,237.7409555109748,-237.7409555109748,-100.0,268.00043389435655,-87.48569889435673,-32.64386464719039,230.70266283908558,-230.70266283908558,-100.0,285.989424208501,-80.40642120850111,-28.11517294075906,0.07657413315212125,-0.07657413315212125,-100.0
2014-03-15,1394856000000,633.6652,15.64,0.3328,146.73420389343622,236.7822104016172,-236.7822104016172,-100.0,280.0269140126056,-78.3400500126055,-27.975900205463446,240.37916638870186,-240.37916638870186,-100.0,270.9713484368679,-81.95778843686787,-30.2459241206318,233.26267962373527,-233.26267962373527,-100.0,289.1599047975457,-74.79973679754569,-25.86794903322314,0.07742520920271545,-0.07742520920271545,-100.0
2014-03-16,1394942400000,630.7167,15.64,0.3328,146.74692682392725,235.7007476630358,-235.7007476630358,-100.0,278.74422985836645,-77.7027608583665,-27.876006939353786,239.2807962626532,-239.2807962626532,-100.0,269.7306301926506,-81.30349519265064,-30.14247775070298,232.1977555788104,-232.1977555788104,-100.0,287.83488603947416,-74.17908303947428,-25.771401118244306,0.07705651539203018,-0.07705651539203018,-100.0
