Datetime,Price,Timestamp,VIX,7-Month-LIBOR,7-Month-VM,102-Calls,102-Calls-P,102-Calls-ROI,102-Puts,102-Puts-P,102-Puts-ROI,102-Straddles,102-Straddles-P,102-Straddles-ROI
2016-07-01,213.979996,1467345600000,15.58,0.9770783783783784,44.079582609985856,27.10990320828228,50.09049187171772,184.76824312827014,30.165988831300965,-30.165988831300965,-100.0,57.27589203958324,19.924503040416752,34.786892584138144
2016-07-05,214.440002,1467691200000,14.96,0.9738283783783784,44.05257733430145,27.149098966672927,62.47210499332707,230.1074708594019,30.215821485286302,-30.215821485286302,-100.0,57.36492045195923,32.256283508040774,56.2299803676257
2016-07-06,215.940002,1467777600000,14.76,0.9854297297297296,43.96726546125434,27.28978729247187,59.641412667528115,218.54847026961156,30.363342327864927,-30.363342327864927,-100.0,57.6531296203368,29.278070339663188,50.783141405276844
2016-07-07,216.77999900000003,1467864000000,13.2,0.9885783783783784,43.96828056551329,27.3982657306004,72.74614528939958,265.51368617522144,30.479793817951368,-30.479793817951368,-100.0,57.87805954855177,42.26635147144821,73.02655237774951
2016-07-08,224.77999900000003,1467950400000,13.54,1.0029837837837838,44.1534615174524,28.54222485077682,67.40217716922318,236.14899511727697,31.718579052912702,-31.718579052912702,-100.0,60.26080390368952,35.68359811631041,59.215270631538395
2016-07-11,224.649994,1468209600000,13.55,1.017648648648649,44.14567112792001,28.52848081588111,65.42853130411889,229.34460382375644,31.683776453253998,-31.683776453253998,-100.0,60.21225726913511,33.744754850864894,56.04299918542085
2016-07-12,222.52999900000003,1468296000000,13.04,1.0309054054054054,44.13592316446729,28.259929608059377,69.56946941194057,246.17707962053888,31.368238614416047,-31.368238614416047,-100.0,59.62816822247542,38.20123079752456,64.06574599943104
2016-07-13,221.52999900000003,1468382400000,12.82,1.0343743243243242,44.13735517950235,28.135758975179076,61.783647044820874,219.591186785917,31.22561689208803,-31.22561689208803,-100.0,59.36137586726711,30.558030152732833,51.47796813379297
2016-07-14,220.399994,1468468800000,12.67,1.044791891891892,43.97810926443532,27.8924612665015,64.30955485349854,230.56249586239812,30.953164194572324,-30.953164194572324,-100.0,58.84562546107382,33.3563906589262,56.68457153368408
2016-07-15,226.25,1468555200000,12.44,1.0552756756756756,44.07763736514331,28.706183010368022,46.62880198963197,162.43469907786312,31.834289221790012,-31.834289221790012,-100.0,60.54047223215804,14.794512767841951,24.437392412646833
2016-07-18,225.25999500000003,1468814400000,11.97,1.0594513513513515,44.07627902631833,28.581945247828735,54.71285785217122,191.42454223379897,31.690877264714022,-31.690877264714022,-100.0,60.27282251254276,23.021980587457207,38.196287526880525
2016-07-19,228.36000099999998,1468900800000,11.77,1.072854054054054,44.076377234865205,28.982809231857356,48.91997674814265,168.789630973283,32.1166745531186,-32.1166745531186,-100.0,61.09948378497596,16.803302195024074,27.501545273539474
2016-07-20,220.5,1468987200000,12.74,1.084927027027027,44.21823657672121,28.085619524297034,57.354386475702974,204.21264493056805,31.096093476000853,-31.096093476000853,-100.0,59.18171300029789,26.25829299970212,44.36893031394673
2016-07-21,222.270004,1469073600000,12.02,1.0975081081081082,44.22853258828353,28.324748487385282,48.819832432614696,172.35751432835187,31.343080273801636,-31.343080273801636,-100.0,59.66782876118692,17.476752158813063,29.290075609691772
2016-07-22,230.00999500000003,1469160000000,12.87,1.1125972972972973,44.38460176828053,29.427277994829183,46.182528105170796,156.93781841897092,32.530477068555356,-32.530477068555356,-100.0,61.95775506338454,13.65205103661539,22.034450768348457
2016-07-25,229.50999500000003,1469419200000,13.05,1.1259675675675676,44.31117100363218,29.32020231016588,53.40958978983409,182.15969052613238,32.39876306586288,-32.39876306586288,-100.0,61.71896537602876,21.010826723971206,34.042739692670985
2016-07-26,228.49000499999997,1469505600000,12.83,1.1397108108108107,44.1640536212758,29.096660355238186,62.98354954476181,216.46315685649841,32.14323086239399,-32.14323086239399,-100.0,61.23989121763218,30.84031868236785,50.35985216363074
2016-07-27,230.61000099999998,1469592000000,12.72,1.1453567567567569,44.170249459039574,29.374088914290226,88.25371606570974,300.4475009360209,32.441335595154875,-32.441335595154875,-100.0,61.8154245094451,55.812380470554906,90.2887603109917
2016-07-28,234.789993,1469678400000,11.87,1.1636567567567566,44.208328605476616,29.943822219171143,65.67039092082885,219.3119850904813,33.04161724665383,-33.04161724665383,-100.0,62.98543946582497,32.62877367417504,51.8036770893358
2016-07-29,230.00999500000003,1469764800000,12.44,1.1664135135135136,44.100692673257726,29.261451313370713,77.13836378662927,263.61769606206,32.292483294062784,-32.292483294062784,-100.0,61.5539346074335,44.84588049256649,72.85623701973833
2016-08-01,227.19999700000002,1470024000000,13.37,1.178345945945946,43.98142235649878,28.829247978898835,79.79675008110117,276.79095250596646,31.80744747458613,-31.80744747458613,-100.0,60.63669545348496,47.98930260651504,79.14234482538404
2016-08-02,225.789993,1470110400000,12.86,1.1945351351351352,43.98214580569167,28.659740441488086,80.8844726985119,282.223326005503,31.598151714293394,-31.598151714293394,-100.0,60.25789215578148,49.286320984218506,81.79230839472653
2016-08-03,230.61000099999998,1470196800000,12.42,1.2098324324324323,43.99605970131125,29.289785245510203,82.80802073448973,282.71979476934985,32.27036403875832,-32.27036403875832,-100.0,61.560149284268526,50.53765669573145,82.09475981346615
2016-08-04,230.02999900000003,1470283200000,11.39,1.2116837837837842,43.77694626622977,29.06588057428448,89.1535264457155,306.72914318856897,32.03648113633912,-32.03648113633912,-100.0,61.1023617106236,57.11704530937638,93.47763934212333
2016-08-05,226.16000400000001,1470369600000,11.5,1.2375621621621622,43.74472260548033,28.56929652498957,100.39749339501043,351.4174502238539,31.455814971439892,-31.455814971439892,-100.0,60.02511149642946,68.94167842357051,114.85472780449803
2016-08-08,229.080002,1470628800000,11.66,1.2491135135135134,43.66627708266258,28.890686338834442,107.44771162116554,371.9112462784793,31.79905479451841,-31.79905479451841,-100.0,60.689741133352854,75.64865682664713,124.64817844654375
2016-08-09,225.649994,1470715200000,12.05,1.2557216216216216,43.621449375182706,28.43138837709424,98.72562474290571,347.2416592305569,31.28752212187673,-31.28752212187673,-100.0,59.71891049897097,67.43810262102902,112.92587566913342
2016-08-10,224.91000400000001,1470801600000,11.68,1.2551202702702704,43.584487051853664,28.312867939398387,101.28893798060163,357.7487741524567,31.160423363597985,-31.160423363597985,-100.0,59.47329130299637,70.12851461700363,117.91598056970227
2016-08-11,225.61000099999998,1470888000000,11.55,1.2584297297297298,43.5688831300237,28.392244980167163,117.43556599983282,413.61845842716934,31.244312847597822,-31.244312847597822,-100.0,59.63655782776499,86.19125315223505,144.52754533747918
2016-08-12,225.58999599999999,1470974400000,11.81,1.2475756756756755,43.513058654419524,28.345941213725578,122.21226686627442,431.14555958754755,31.21202236185475,-31.21202236185475,-100.0,59.55796357558033,91.00024450441968,152.79274011600216
2016-08-15,223.61000099999998,1471233600000,12.64,1.2438021621621622,43.43425156926126,28.04218801841164,119.21560696158835,425.12947592860814,30.88803012363546,-30.88803012363546,-100.0,58.930218142047096,88.3275768379529,149.8850328791344
2016-08-16,223.24000499999997,1471320000000,12.19,1.2596229729729729,43.431291258096884,28.002438220980125,115.69275067901985,413.15241825027914,30.822993619746104,-30.822993619746104,-100.0,58.825431840726225,84.86975705927381,144.2739209957087
2016-08-17,223.50999500000003,1471406400000,11.43,1.2646129729729731,42.77684044061193,27.599848728658763,114.21994437134121,413.8426463647209,30.417317490076428,-30.417317490076428,-100.0,58.01716621873519,83.80262688126476,144.44453657959392
