Datetime,Timestamp,Price,VIX,8-Month-LIBOR,8-Month-VM,100-Calls,100-Calls-P,100-Calls-ROI,100-Puts,100-Puts-P,100-Puts-ROI,95-Calls,95-Calls-P,95-Calls-ROI,95-Puts,95-Puts-P,95-Puts-ROI,100-Bear-Spreads,100-Bear-Spreads-P,100-Bear-Spreads-ROI
2016-11-10,1478754000000,108.43,14.17,1.379931622,25.40225794108209,9.352631070844083,38.62736892915591,413.01072004831843,8.373238960365377,-8.373238960365377,-100.0,12.17669261440682,41.224807385593174,338.55504685088425,5.824770109452054,-5.824770109452054,-100.0,2.5484688509133235,-2.5484688509133235,-100.0
2016-11-11,1478840400000,105.71,14.48,1.384523243,25.515718821702556,9.157905750617573,42.54209424938243,464.5395509395098,8.19991932724399,-8.19991932724399,-100.0,11.908842396144125,45.076657603855885,378.51418386770246,5.713255293939213,-5.713255293939213,-100.0,2.486664033304777,-2.486664033304777,-100.0
2016-11-14,1479099600000,107.11,13.37,1.38181,25.326549274504014,9.213448284510656,46.72655171548936,507.15595586556327,8.244668095300298,-8.244668095300298,-100.0,12.004922509184214,49.29057749081579,410.5863861520694,5.729081329434379,-5.729081329434379,-100.0,2.515586765865919,-2.515586765865919,-100.0
2016-11-15,1479186000000,109.99,13.72,1.390034865,25.46945249406001,9.514289781555014,47.215710218445,496.26100636518623,8.513566350961142,-8.513566350961142,-100.0,12.377943451651506,49.851556548348505,402.74506619835256,5.927756192587317,-5.927756192587317,-100.0,2.5858101583738247,-2.5858101583738247,-99.99999999999999
2016-11-16,1479272400000,109.95,13.35,1.387376486,25.46945027751915,9.509921569074592,49.5800784309254,521.351076039947,8.51146650037149,-8.51146650037149,-100.0,12.372400813361914,52.21509918663806,422.0288363940403,5.926368498093979,-5.926368498093979,-100.0,2.585098002277512,-2.585098002277512,-99.99999999999999
2016-11-17,1479358800000,110.06,12.85,1.391626486,25.368763345085693,9.485426965644207,47.34457303435578,499.1295932785704,8.482925311038699,-8.482925311038699,-100.0,12.353302767922145,49.97969723207785,404.5857061146454,5.8979261960469245,-5.8979261960469245,-100.0,2.584999114991774,-2.584999114991774,-100.0
2016-11-18,1479445200000,111.73,12.42,1.393296486,25.411964591577483,9.645380014841926,46.73461998515808,484.5285505935973,8.626451154340188,-8.626451154340188,-100.0,12.555844973008092,49.41065502699192,393.5271193074809,6.001362555531423,-6.001362555531423,-100.0,2.625088598808765,-2.625088598808765,-100.0
2016-11-21,1479704400000,111.8,12.41,1.403804865,25.27178696335919,9.604923683796253,51.095076316203745,531.9675407978768,8.577702212365978,-8.577702212365978,-100.0,12.521045583848029,53.76895441615196,429.4286292313571,5.9551851859892935,-5.9551851859892935,-100.0,2.622517026376684,-2.622517026376684,-100.0
2016-11-22,1479790800000,111.23,12.43,1.405096486,25.26922995391974,9.555490489126733,53.46450951087326,559.516118735202,8.532570217138897,-8.532570217138897,-100.0,12.456870943755824,56.124629056244174,450.55158161028714,5.923596685367387,-5.923596685367387,-100.0,2.60897353177151,-2.60897353177151,-99.99999999999999
2016-11-23,1479877200000,111.79,12.34,1.403834865,25.207929130518952,9.581231300287484,53.4387686997125,557.7442713245956,8.55407986001994,-8.55407986001994,-100.0,12.498603215632265,56.110896784367725,448.9373397676042,5.933309347378093,-5.933309347378093,-100.0,2.6207705126418466,-2.6207705126418466,-100.0
