Datetime,Timestamp,Price,VIX,9-Month-LIBOR,9-Month-VM,97-Calls,97-Calls-P,97-Calls-ROI,97-Puts,97-Puts-P,97-Puts-ROI,97-Strips,97-Strips-P,97-Strips-ROI
2013-07-05,1372996800000,59.2928,14.78,0.545994595,30.438330215178514,7.127825354297425,30.958158645702568,434.32824328443513,5.117218523841989,-5.117218523841989,-100.0,17.362262401981404,20.723721598018592,119.36072107546062
2013-07-08,1373256000000,60.3357,14.35,0.5484405410000001,30.45834215127544,7.257726637109535,30.346644362890448,418.1287871566394,5.210700635072172,-5.210700635072172,-100.0,17.67912790725388,19.925243092746115,112.70489809947377
2013-07-09,1373342400000,60.1043,14.21,0.5461972970000001,30.444574005114557,7.226666576876514,30.06216242312348,415.9893375918949,5.188454879248091,-5.188454879248091,-100.0,17.603576335372697,19.685252664627303,111.8253035042185
2013-07-10,1373428800000,61.0411,14.01,0.54717027,30.481637142251692,7.347014844809568,28.56311815519043,388.7717495952708,5.2766106586593375,-5.2766106586593375,-100.0,17.900236162128245,18.009896837871764,100.61262139085925
2013-07-11,1373515200000,60.93,13.84,0.542332432,30.481721024086298,7.332605914706303,28.525294085293684,389.01987120408637,5.2680766064856925,-5.2680766064856925,-100.0,17.868759127677688,17.989140872322306,100.67369952095976
2013-07-12,1373601600000,61.0628,13.79,0.540089189,30.478494132827755,7.347444886529274,27.901639113470715,379.7461504559943,5.2793947748736585,-5.2793947748736585,-100.0,17.90623443627659,17.342849563723412,96.8536943121229
2013-07-15,1373860800000,61.4564,14.42,0.542805405,30.41806406775343,7.383090895987188,27.7442011040128,375.78029980766127,5.300517515416292,-5.300517515416292,-100.0,17.98412592681977,17.143166073180225,95.32387697316209
2013-07-16,1373947200000,61.4728,13.78,0.5407410810000001,30.415997216202058,7.384186140198704,28.977197859801283,392.4223646266523,5.301963920238404,-5.301963920238404,-100.0,17.988113980675514,18.37327001932448,102.14116965826842
2013-07-17,1374033600000,61.6797,13.77,0.538254595,30.418670217029987,7.409037341083593,28.731653658916407,387.79199423921807,5.3209030205843755,-5.3209030205843755,-100.0,18.050843382252346,18.089847617747658,100.21607985105926
2013-07-18,1374120000000,60.7071,12.54,0.535646486,30.42722048884345,7.293362093538487,31.060750906461507,425.8769893514488,5.239286216391112,-5.239286216391112,-100.0,17.771934526320713,20.582178473679285,115.81281960721005
2013-07-19,1374206400000,60.9014,12.29,0.53538973,30.41824152205282,7.314836619062589,31.1108053809374,425.3110083123676,5.254298193518412,-5.254298193518412,-100.0,17.823433006099414,20.602208993900582,115.5905766686487
2013-07-22,1374465600000,59.8557,12.66,0.534876216,30.40571189285901,7.186641976330518,32.733329023669484,455.4746031801496,5.16170344777257,-5.16170344777257,-100.0,17.510048871875657,22.409922128124347,127.98320719777533
2013-07-23,1374552000000,62.93,13.18,0.532443784,30.80438859213368,7.6383873861108285,30.479512613889163,399.0307256386502,5.5105382746500835,-5.5105382746500835,-100.0,18.659463935410997,19.458436064589,104.28186003597754
2013-07-24,1374638400000,62.6428,12.97,0.532200541,30.80207425090488,7.602992345468269,32.163491654531725,423.0372752341732,5.484963218059843,-5.484963218059843,-100.0,18.572918781587955,21.193565218412044,114.11004090225192
2013-07-25,1374724800000,62.9986,12.72,0.530835676,30.797628774724952,7.644940916364084,31.816417083635894,416.1761017084185,5.5154963067682425,-5.5154963067682425,-100.0,18.67593352990057,20.78542447009942,111.29523692521988
2013-07-26,1374811200000,63.97,13.39,0.5305924320000001,30.727763295556606,7.747949088467322,30.781150911532674,397.2812748260032,5.585780954526489,-5.585780954526489,-100.0,18.919510997520298,19.6095890024797,103.64744102027716
2013-07-29,1375070400000,64.76,13.39,0.531362703,30.718080009851228,7.841731734412908,30.661068265587073,390.9986888614545,5.65250529839183,-5.65250529839183,-100.0,19.146742331196567,19.356057668803427,101.09321645419448
2013-07-30,1375156800000,64.6471,13.45,0.531105946,30.694028299794308,7.822846824463205,31.0094661755368,396.3961825069307,5.637555631956115,-5.637555631956115,-100.0,19.097958088375435,19.734354911624578,103.33227678217864
2013-07-31,1375243200000,65.2394,12.94,0.531362703,30.657744551091696,7.886732412256098,29.720049587743894,376.8360334066678,5.681299750888687,-5.681299750888687,-100.0,19.249331914033473,18.357450085966523,95.36668684373022
2013-08-01,1375329600000,66.0771,11.98,0.5315924320000001,30.68194299658264,7.993356270564481,30.041856729435505,375.83532764659293,5.759496478300298,-5.759496478300298,-100.0,19.51234922716508,18.52286377283492,94.92892709734512
2013-08-02,1375416000000,67.0643,11.84,0.527284324,30.68970168592473,8.113471931544659,29.08415706845533,358.46746391489927,5.848302997785478,-5.848302997785478,-100.0,19.810077927115614,17.387551072884378,87.77124015794338
2013-08-05,1375675200000,66.4643,12.72,0.526797838,30.68893481691032,8.040599272380463,29.98902972761954,372.9700823498586,5.795927088998521,-5.795927088998521,-100.0,19.632453450377504,18.39717554962251,93.70797998387083
2013-08-06,1375761600000,66.4257,12.98,0.526797838,30.68474833547873,8.035007636109839,30.832063363890143,383.7216435903418,5.7916390750677005,-5.7916390750677005,-100.0,19.618285786245238,19.248785213754758,98.11655015878327
2013-08-07,1375848000000,65.8586,12.73,0.526297838,30.68325732765948,7.9659668338616685,27.09119116613833,340.0866678352125,5.741986074467835,-5.741986074467835,-100.0,19.449938982797338,15.607219017202663,80.2430230295663
2013-08-08,1375934400000,64.9214,13.41,0.526041081,30.69152777975247,7.854327851576278,27.291914148423714,347.47612608183294,5.662114564445329,-5.662114564445329,-100.0,19.178556980466936,15.967685019533064,83.25801068242988
2013-08-09,1376020800000,66.7657,12.81,0.526656757,30.81713821169517,8.105405577794407,26.101865422205588,322.03034347490683,5.850621657317856,-5.850621657317856,-100.0,19.80664889243012,14.400622107569887,72.70599981743327
2013-08-12,1376280000000,69.9386,12.31,0.526413514,31.15534936890953,8.56895731670175,21.950600683298255,256.16419678639727,6.207141107742177,-6.207141107742177,-100.0,20.983239532186104,9.5363184678139,45.44731261913195
2013-08-13,1376366400000,71.2143,13.04,0.527872973,31.208627166083364,8.738205717079204,20.17392328292079,230.8703175011087,6.332566445053214,-6.332566445053214,-100.0,21.40333860718563,7.508790392814376,35.082332390393944
2013-08-14,1376452800000,71.13,14.73,0.527359459,31.179395163771353,8.72083868032427,23.28306131967573,266.98190590552224,6.318308153675122,-6.318308153675122,-100.0,21.357454987674515,10.646445012325486,49.848846777247566
