,Unnamed: 0,Date,Price,5-Day,5-Day-Vol-Mean,5-Day-Vol-No-Mean,5-Day,90%-Spot-Vol-Mean-B-S-Call,90%-Spot-Vol-Mean-B-S-Put,90%-Spot-Vol-No-Mean-B-S-Call,90%-Spot-Vol-No-Mean-B-S-Put,95%-Spot-Vol-Mean-B-S-Call,95%-Spot-Vol-Mean-B-S-Put,95%-Spot-Vol-No-Mean-B-S-Call,95%-Spot-Vol-No-Mean-B-S-Put,100%-Spot-Vol-Mean-B-S-Call,100%-Spot-Vol-Mean-B-S-Put,100%-Spot-Vol-No-Mean-B-S-Call,100%-Spot-Vol-No-Mean-B-S-Put,105%-Spot-Vol-Mean-B-S-Call,105%-Spot-Vol-Mean-B-S-Put,105%-Spot-Vol-No-Mean-B-S-Call,105%-Spot-Vol-No-Mean-B-S-Put,110%-Spot-Vol-Mean-B-S-Call,110%-Spot-Vol-Mean-B-S-Put,110%-Spot-Vol-No-Mean-B-S-Call,110%-Spot-Vol-No-Mean-B-S-Put
28,28,1/29/18,11158.3938,1.4586566666666667,0.5533910606372578,0.6413623667759928,10042.55442,11151.56394499364,5.077785540967636e-08,11151.563951948045,7.005180729496528e-06,11151.184508619417,6.861587381548187e-08,11151.18451740585,8.85505106910073e-06,11150.805072249883,9.114569752183839e-08,11150.80508320474,1.1046001793962503e-05,11150.425635885898,1.1922584921801963e-07,11150.42564938267,1.361599633905182e-05,11150.04619952842,1.5380808776317364e-07,11150.046215979177,1.6604565413034317e-05
29,29,1/30/18,10034.9975,1.4595866666666666,0.6104468405840084,0.617241360867771,9031.49775,10028.883752412994,1.3751245423121105e-06,10028.88375298672,1.9488484482464665e-06,10028.544100091705,1.773953140572873e-06,10028.54410082003,2.5022785348686e-06,10028.20444785329,2.255656059802353e-06,10028.204448765322,3.1676874194867292e-06,10027.864795708745,2.83122878269033e-06,10027.864796836891,3.959374500393975e-06,10027.525143669742,3.512343880118284e-06,10027.52514504985,4.892452461338775e-06
30,30,1/31/18,10166.5063,1.4604199999999998,1.0774101921226145,1.165771663325848,9149.855669999999,10160.43244324291,0.0942588823578662,10160.547829062483,0.20964470193454632,10160.100574805745,0.10506353627550506,10160.226841216492,0.23132994702239545,10159.769248192566,0.11641001417688963,10159.906726159965,0.25388798157580444,10159.438456843447,0.12829175613811677,10159.58746521444,0.27730012713163144,10159.10819436966,0.14070237343247863,10159.269040683803,0.30154868757483244
31,31,2/1/18,9052.5763,1.46167,1.1112468167746696,1.1716859520317555,8147.318670000001,9047.233396367243,0.11516040235501683,9047.31172504039,0.1934890755005412,9046.94284532531,0.12783514014801528,9047.028395360585,0.2133851754254845,9046.65287863148,0.1410942260474882,9046.74585580603,0.23407140059696438,9046.363487001678,0.1549283759745331,9046.464089072524,0.25553044682200127,9046.074661517896,0.16932867192060938,9046.183078783368,0.2777459373935559
32,32,2/2/18,8827.63,1.4625033333333333,1.246506544389544,1.5903554243059692,7944.866999999999,8822.651414569073,0.32172119098774354,8823.84667585786,1.5169824797755487,8822.38764032747,0.3524084283797674,8823.664703559765,1.6294716606744948,8822.12488398827,0.38411356817572107,8823.48439764917,1.7436272290746344,8821.8631169468,0.41680800570008547,8823.305681281596,1.8593723404960334,8821.602312438992,0.4504649768867653,8823.128484364748,1.9766369026423147
33,33,2/3/18,9224.3913,1.46167,1.0426661821096068,1.590768274464758,8301.95217,9218.887928065058,0.058284408162046705,9220.425533836982,1.5958901800874896,9218.585937239168,0.06527449022322017,9220.234844829729,1.7141820807847354,9218.284329891918,0.07264805092357693,9220.045905030433,1.8342231894367873,9217.983103069879,0.08040213683510011,9219.858633721366,1.9559327883205047,9217.682253815059,0.08853378996501565,9219.67295728003,2.0792372549362117
34,34,2/4/18,8186.6488,1.4625,1.3582380257689604,1.5830354469577352,7367.98392,8182.301605073348,0.5683341618751229,8183.109608342446,1.376337430974239,8182.07771191168,0.6175259495718193,8182.938998778161,1.4788128160511826,8181.855071433788,0.6679704210418911,8182.769933480199,1.5828324674520236,8181.633639157248,0.7196230938627548,8182.602341642539,1.6883255791557223,8181.41337393012,0.7724428160985907,8182.436158659173,1.7952275451520197
35,35,2/5/18,6914.26,1.4637533333333332,1.4219452528681018,1.6668090376490985,6222.834000000001,6910.775212438778,0.6408230768780391,6911.587164666691,1.4527753047910519,6910.5988859655345,0.6936971946400032,6911.461521582761,1.5563328118668769,6910.423720929138,0.7477327492494884,6911.337161921638,1.6611737417497903,6910.2496721211,0.8028845322172549,6911.214023261049,1.767235672166696,6910.076697915884,0.8591109180071523,6911.0920488438915,1.8744618460149045
36,36,2/6/18,7700.3863,1.4633333333333334,1.6291569669976316,2.3165638003105373,6930.34767,7697.25191167874,1.4699482537104598,7699.595794110783,3.8138306857533455,7697.10289462686,1.5767276782181918,7699.564451378129,4.03828442948726,7696.955323009466,1.6849525372117335,7699.533633395297,4.263262923042969,7696.809128260502,1.7945542646351478,7699.50330814088,4.48873414501343,7696.664247942963,1.9054704234829598,7699.473446931479,4.714669411998707
37,37,2/7/18,7581.8038,1.4625,2.172107387625141,2.2794071598836534,6823.62342,7580.678154226029,3.4267147868501495,7580.943040985184,3.6916015460055513,7580.632062890671,3.633532371538277,7580.908643628417,3.9101131092842514,7580.586693087592,3.8410714885041264,7580.874813244957,4.129191645869924,7580.5420020914235,4.049289412380975,7580.841515478499,4.348802799457357,7580.497951548783,4.258147789786558,7580.808719538649,4.568915779652528
