Datetime,Timestamp,Price,VIX,7-Day-LIBOR,7-Day-VM,100-Calls,100-Calls-P,100-Calls-ROI,100-Puts,100-Puts-P,100-Puts-ROI,102-Calls,102-Calls-P,102-Calls-ROI,102-Puts,102-Puts-P,102-Puts-ROI,102-Calls.1,102-Calls-P.1,102-Calls-ROI.1,102-Puts.1,102-Puts-P.1,102-Puts-ROI.1,102-Calls.1.1,102-Calls-P.1.1,102-Calls-ROI.1.1,102-Puts.1.1,102-Puts-P.1.1,102-Puts-ROI.1.1,102-Calls.1.1.1,102-Calls-P.1.1.1,102-Calls-ROI.1.1.1,102-Puts.1.1.1,102-Puts-P.1.1.1,102-Puts-ROI.1.1.1,102-Calls,102-Calls-P,102-Calls-ROI,102-Puts,102-Puts-P,102-Puts-ROI
2010-12-28,1293512400000,46.4957,17.52,0.25438,6.192105372534863,0.16019335738330298,1.0198066426166967,636.6098190804206,0.15792511043378354,-0.15792511043378354,-100.0,0.0014588256397233268,0.2486271743602727,17042.967136732394,0.9290592137512236,-0.9290592137512236,-100.0,0.0014588256397233268,0.2486271743602727,17042.967136732394,0.9290592137512236,-0.9290592137512236,-100.0,0.0014588256397233268,0.2486271743602727,17042.967136732394,0.9290592137512236,-0.9290592137512236,-100.0,0.0014588256397233268,0.2486271743602727,17042.967136732394,0.9290592137512236,-0.9290592137512236,-100.0,0.0014588256397233268,0.2486271743602727,17042.967136732394,0.9290592137512235,-0.9290592137512235,-100.0
2010-12-29,1293598800000,46.47,17.28,0.25438,5.866889019057506,0.1517557844685058,1.3953442155314946,919.466905606536,0.14948879126819034,-0.14948879126819034,-100.0,0.0009435149453413947,0.6167564850546579,65367.9613767533,0.9280311818810176,-0.9280311818810176,-100.0,0.0009435149453413947,0.6167564850546579,65367.9613767533,0.9280311818810176,-0.9280311818810176,-100.0,0.0009435149453413947,0.6167564850546579,65367.9613767533,0.9280311818810176,-0.9280311818810176,-100.0,0.0009435149453413947,0.6167564850546579,65367.961376753294,0.9280311818810176,-0.9280311818810176,-100.0,0.0009435149453413949,0.6167564850546579,65367.96137675329,0.9280311818810176,-0.9280311818810176,-100.0
2010-12-30,1293685200000,46.2371,17.52,0.25438,6.782696830532285,0.17438821621199452,2.510611783788008,1439.6682518593975,0.17213258480888882,-0.17213258480888882,-100.0,0.002813389063062832,1.7574446109369375,62467.17292003947,0.9252546450318846,-0.9252546450318846,-100.0,0.002813389063062832,1.7574446109369375,62467.17292003947,0.9252546450318846,-0.9252546450318846,-100.0,0.002813389063062832,1.7574446109369375,62467.17292003947,0.9252546450318846,-0.9252546450318846,-100.0,0.002813389063062832,1.7574446109369375,62467.17292003947,0.9252546450318846,-0.9252546450318846,-100.0,0.002813389063062832,1.7574446109369375,62467.17292003947,0.9252546450318846,-0.9252546450318846,-100.0
2011-01-03,1294030800000,46.08,17.75,0.25438,5.875771960459275,0.15070830323818996,2.5749916967618134,1708.5931175882965,0.1484603358039145,-0.1484603358039145,-100.0,0.0009475360809955703,1.8031524639190024,190299.08201748284,0.9202546092980484,-0.9202546092980484,-100.0,0.0009475360809955703,1.8031524639190024,190299.08201748284,0.9202546092980484,-0.9202546092980484,-100.0,0.0009475360809955703,1.8031524639190024,190299.08201748284,0.9202546092980484,-0.9202546092980484,-100.0,0.0009475360809955703,1.8031524639190024,190299.08201748284,0.9202546092980484,-0.9202546092980484,-100.0,0.0009475360809955702,1.8031524639190026,190299.08201748284,0.9202546092980484,-0.9202546092980484,-100.0
2011-01-04,1294117200000,47.0814,17.61,0.25438,14.686164022117092,0.3831397938420089,1.7382602061579924,453.68824489026565,0.3808429740946124,-0.3808429740946124,-100.0,0.08507287672945463,1.0946991232705452,1286.7780723483274,1.0243581205871166,-1.0243581205871166,-100.0,0.08507287672945463,1.0946991232705452,1286.7780723483274,1.0243581205871166,-1.0243581205871166,-100.0,0.08507287672945463,1.0946991232705452,1286.7780723483274,1.0243581205871166,-1.0243581205871166,-100.0,0.08507287672945463,1.0946991232705452,1286.7780723483274,1.0243581205871166,-1.0243581205871166,-100.0,0.08507287672945463,1.0946991232705452,1286.7780723483274,1.0243581205871166,-1.0243581205871166,-100.0
2011-01-05,1294203600000,47.3271,17.38,0.25438,13.969648465443045,0.366405929533407,1.6892940704665946,461.044413942153,0.3640971235534103,-0.3640971235534103,-100.0,0.07399281792296808,1.035165182077033,1399.0076484919323,1.0181798358233678,-1.0181798358233678,-100.0,0.07399281792296808,1.035165182077033,1399.0076484919323,1.0181798358233678,-1.0181798358233678,-100.0,0.07399281792296808,1.035165182077033,1399.0076484919323,1.0181798358233678,-1.0181798358233678,-100.0,0.07399281792296808,1.035165182077033,1399.0076484919323,1.0181798358233678,-1.0181798358233678,-100.0,0.07399281792296808,1.0351651820770327,1399.0076484919323,1.0181798358233678,-1.0181798358233678,-100.0
2011-01-06,1294290000000,47.7143,17.02,0.25438,14.262091113677261,0.3771121164761766,1.6913878835238236,448.5106178312555,0.3747844213253728,-0.3747844213253728,-100.0,0.07927034892160201,1.034943651078395,1305.5873541088474,1.0311820998677843,-1.0311820998677843,-100.0,0.07927034892160201,1.034943651078395,1305.5873541088474,1.0311820998677843,-1.0311820998677843,-100.0,0.07927034892160201,1.034943651078395,1305.5873541088474,1.0311820998677843,-1.0311820998677843,-100.0,0.07927034892160201,1.034943651078395,1305.5873541088474,1.0311820998677843,-1.0311820998677843,-100.0,0.07927034892160201,1.034943651078395,1305.5873541088474,1.0311820998677845,-1.0311820998677845,-100.0
2011-01-07,1294376400000,47.6757,17.4,0.25438,14.545632633638466,0.38427484347888097,0.6043251565211172,157.2637831428405,0.3819490313910734,-0.3819490313910734,-100.0,0.08382494647822547,-0.04873894647823285,-58.14372513902335,1.0349666181486654,-1.0349666181486654,-100.0,0.08382494647822547,-0.04873894647823285,-58.14372513902335,1.0349666181486654,-1.0349666181486654,-100.0,0.08382494647822547,-0.04873894647823285,-58.14372513902335,1.0349666181486654,-1.0349666181486654,-100.0,0.08382494647822547,-0.04873894647823285,-58.14372513902335,1.0349666181486654,-1.0349666181486654,-100.0,0.08382494647822547,-0.04873894647823285,-58.14372513902335,1.0349666181486654,-1.0349666181486654,-100.0
2011-01-10,1294635600000,48.0171,17.14,0.25438,14.358347710741167,0.38205863347248936,0.00654136652751447,1.7121368173415423,0.3797161665217921,-0.3797161665217921,-100.0,0.08134250903705986,-0.08134250903705986,-100.0,1.0392951927473533,-0.4675531927473529,-44.987525778059904,0.08134250903705986,-0.08134250903705986,-100.0,1.0392951927473533,-0.4675531927473529,-44.987525778059904,0.08134250903705986,-0.08134250903705986,-100.0,1.0392951927473533,-0.4675531927473529,-44.987525778059904,0.08134250903705986,-0.08134250903705986,-100.0,1.0392951927473533,-0.4675531927473529,-44.987525778059904,0.08134250903705986,-0.08134250903705986,-100.0,1.0392951927473533,-0.46755319274735285,-44.9875257780599
2011-01-11,1294722000000,48.9221,17.54,0.25438,14.668705926316008,0.39764724833345255,-0.39764724833345255,-100.0,0.3952606318487284,1.0011393681512717,253.28587961535743,0.08810173755121653,-0.08810173755121653,-100.0,1.0641093887367958,1.3107326112632052,123.1764915465294,0.08810173755121653,-0.08810173755121653,-100.0,1.0641093887367958,1.3107326112632052,123.1764915465294,0.08810173755121653,-0.08810173755121653,-100.0,1.0641093887367958,1.3107326112632052,123.1764915465294,0.08810173755121653,-0.08810173755121653,-100.0,1.0641093887367958,1.3107326112632052,123.1764915465294,0.08810173755121653,-0.08810173755121653,-100.0,1.0641093887367958,1.3107326112632052,123.1764915465294
