Datetime,Timestamp,Price,VIX,5-Day-LIBOR,5-Day-VM,100-Calls,100-Calls-P,100-Calls-ROI,100-Puts,100-Puts-P,100-Puts-ROI,100-Calls.1,100-Calls-P.1,100-Calls-ROI.1,105-Calls,105-Calls-P,105-Calls-ROI,105-Puts,105-Puts-P,105-Puts-ROI,100-Bull-Spreads,100-Bull-Spreads-P,100-Bull-Spreads-ROI
2015-03-09,1425873600000,190.880005,15.06,0.132833333,31.80623120575738,2.8363400800876657,1.9836519199123188,69.93702672815623,2.832866792884573,-2.832866792884573,-100.0,,,,0.3243716878749119,-0.3243716878749119,-100.0,9.8647249863117,-5.140716736311674,-52.11211405736032,2.511968392212754,2.488031607787246,99.04709054064084
2015-03-10,1425960000000,190.320007,16.69,0.133166667,28.168853194895345,2.5048386795753714,1.9051503204246245,76.05880314606097,2.5013668919271907,-2.5013668919271907,-100.0,,,,0.1974740146540359,-0.1974740146540359,-100.0,9.709828987623466,-4.60381763762345,-47.413993011531495,2.3073646649213355,2.6926353350786645,116.6974330505518
2015-03-11,1426046400000,193.740005,16.87,0.1331,30.06730935116186,2.7215613711933737,4.2484406288066205,156.10306178558545,2.718028965771026,-2.718028965771026,-100.0,,,,0.26419394960028697,-0.26419394960028697,-100.0,9.947485173906868,-7.230486923906852,-72.68658155805105,2.4573674215930867,2.5426325784069133,103.46977647968288
2015-03-12,1426132800000,191.070007,15.42,0.13296666699999998,30.287501989164266,2.703694261513036,1.8762927384869528,69.39737104138933,2.7002140271820707,-2.7002140271820707,-100.0,,,,0.2683100707674839,-0.2683100707674839,-100.0,9.818156174719944,-4.844642824719927,-49.34371320344286,2.4353841907455522,2.5646158092544478,105.30641608826956
2015-03-13,1426219200000,188.679993,16.0,0.133,22.05665148596901,1.9448322444122537,7.455176755587757,383.33263843230753,1.9413946813341447,-1.9413946813341447,-100.0,,,,0.05672773500478101,-0.05672773500478101,-100.0,9.487117943772743,-9.453127293772752,-99.6417178514967,1.8881045094074727,3.111895490592527,164.81584970998804
2015-03-16,1426478400000,195.699997,15.61,0.133,34.478656915397764,3.152115389509703,0.7778926104903121,24.678430652607226,3.148549928893644,-3.148549928893644,-100.0,,,,0.44598837110397227,-0.44598837110397227,-100.0,10.22724448745717,-4.372252637457166,-42.75103272263957,2.7061270184057307,2.2938729815942693,84.7659021913046
2015-03-17,1426564800000,194.729996,15.66,0.1335,34.80139016408709,3.1658363661490228,3.8241686338509737,120.79489245689466,3.162275240565449,-3.162275240565449,-100.0,,,,0.4583602332808461,-0.4583602332808461,-100.0,10.191120851418077,-7.444626051418054,-73.05012039359879,2.7074761328681767,2.2925238671318233,84.67383476814726
2015-03-18,1426651200000,200.71000700000002,13.97,0.134333333,38.683293185665114,3.626780241865873,-3.626780241865873,-100.0,3.6230868451353615,2.7869171548646245,76.92106962897003,,,,0.6681434108133999,-0.6681434108133999,-100.0,10.699765694246366,5.745738655753628,53.69966801089213,2.958636831052473,2.041363168947527,68.99674699923732
2015-03-19,1426737600000,195.649994,14.07,0.134333333,43.272619319496926,3.9544766865927694,-3.9544766865927694,-100.0,3.9508764024865566,1.2891135975134491,32.628547850854595,,,,0.9071170045069225,-0.9071170045069225,-100.0,10.68583640619542,4.336653293804602,40.58319001861477,3.047359682085847,1.952640317914153,64.07646361513899
2015-03-20,1426824000000,198.080002,13.02,0.134833333,40.516093801190685,3.748729844161929,-3.748729844161929,-100.0,3.74507127700835,9.334930722991658,249.25909368669258,,,,0.7591935875621374,-0.7591935875621374,-100.0,10.659352192050903,12.324649907949127,115.62287919466715,2.9895362565997914,2.0104637434002086,67.25002043249509
2015-03-23,1427083200000,199.630005,13.41,0.135,32.971749376929466,3.0750084099624218,-3.0750084099624218,-100.0,3.0713166563349006,5.988681343665108,194.98742766600918,,,,0.3878898055496229,-0.3878898055496229,-100.0,10.365513714240734,8.675984535759284,83.70047809439218,2.687118604412799,2.312881395587201,86.07291809855272
2015-03-24,1427169600000,201.720001,13.62,0.136333333,32.14060564931711,3.0289507059110155,-3.0289507059110155,-100.0,3.025183458888065,9.924813541111929,328.07311278767503,,,,0.3566028398664223,-0.3566028398664223,-100.0,10.43864728049232,12.5973497695077,120.6799064190008,2.672347866044593,2.327652133955407,87.1013898875606
