Date,Price
3/1/17,17.219999
3/2/17,16.99
3/3/17,16.889999
3/6/17,16.860001
3/7/17,16.76
3/8/17,16.83
3/9/17,17.07
3/10/17,16.91
3/13/17,16.93
3/14/17,16.77
3/15/17,16.950001
3/16/17,17.209999
3/17/17,17.280001
3/20/17,17.24
3/21/17,16.51
3/22/17,16.41
3/23/17,16.610001
3/24/17,16.59
3/27/17,17.25
3/28/17,17.23
3/29/17,17.219999
3/30/17,17.32
3/31/17,17.280001
4/3/17,17.030001
4/4/17,17.040001
4/5/17,16.75
4/6/17,17
4/7/17,16.690001
4/10/17,16.99
4/11/17,16.92
4/12/17,17.299999
4/13/17,16.92
4/17/17,17.08
4/18/17,16.98
4/19/17,17.200001
4/20/17,17.709999
4/21/17,17.49
4/24/17,17.85
4/25/17,18.219999
4/26/17,18.08
4/27/17,18.23
4/28/17,18.24
5/1/17,18.610001
5/2/17,18.809999
5/3/17,18.280001
5/4/17,19.9
5/5/17,19.780001
5/8/17,19.559999
5/9/17,19.799999
5/10/17,19.950001
5/11/17,19.709999
5/12/17,20.08
5/15/17,20.25
5/16/17,20.34
5/17/17,19.559999
5/18/17,19.68
5/19/17,19.91
5/22/17,20.950001
5/23/17,21.639999
5/24/17,21.92
5/25/17,22.33
5/26/17,22.33
5/30/17,22.74
5/31/17,22.99
6/1/17,23.23
6/2/17,23.200001
6/5/17,23.389999
6/6/17,24.209999
6/7/17,24.290001
6/8/17,24.780001
6/9/17,23.030001
6/12/17,23.6
6/13/17,23.48
6/14/17,23.469999
6/15/17,23.99
6/16/17,23.559999
6/19/17,24.200001
6/20/17,23.85
6/21/17,24.16
6/22/17,24.280001
6/23/17,24.17
6/26/17,23.93
6/27/17,23.32
6/28/17,24.299999
6/29/17,23.4
6/30/17,23.459999
7/3/17,22.83
7/5/17,23.76
7/6/17,23.219999
7/7/17,23.59
7/10/17,23.940001
7/11/17,25.440001
7/12/17,26.209999
7/13/17,25.98
7/14/17,26.33
7/17/17,26.190001
7/18/17,26.59
7/19/17,26.360001
7/20/17,26.389999
7/21/17,26.85
7/24/17,26.75
7/25/17,26.889999
7/26/17,27.309999
7/27/17,25.92
7/28/17,26.200001
7/31/17,26.35
8/1/17,26.809999
8/2/17,26.459999
8/3/17,25.219999
8/4/17,25.209999
8/7/17,25.68
8/8/17,26.02
8/9/17,25.59
8/10/17,24.65
8/11/17,24.82
8/14/17,25.200001
8/15/17,24.83
8/16/17,24.99
8/17/17,24.540001
8/18/17,24.83
8/21/17,24.459999
8/22/17,25.34
8/23/17,25.48
8/24/17,25.66
8/25/17,24.99
8/28/17,24.91
8/29/17,25.040001
8/30/17,25.76
8/31/17,26.110001
9/1/17,25.93
9/5/17,25.77
9/6/17,26.049999
9/7/17,26.299999
9/8/17,26.530001
9/11/17,27.57
9/12/17,27.27
9/13/17,27.49
9/14/17,28.639999
9/15/17,28.5
9/18/17,28.690001
9/19/17,28.559999
9/20/17,28.469999
9/21/17,28.4
9/22/17,28.75
9/25/17,27.450001
9/26/17,27.610001
9/27/17,28.07
9/28/17,28.49
9/29/17,28.809999
10/2/17,29.389999
10/3/17,29.940001
10/4/17,30.15
10/5/17,30.76
10/6/17,30.76
10/9/17,31.07
10/10/17,31.32
10/11/17,32
10/12/17,32.810001
10/13/17,32.810001
10/16/17,33.220001
10/17/17,32.689999
10/18/17,32.52
10/19/17,32.119999
10/20/17,32.5
