,Unnamed: 0,Date,Price,14-Day,14-Day-Vol-Mean,14-Day-Vol-No-Mean,14-Day,90%-Spot-Vol-Mean-B-S-Call,90%-Spot-Vol-Mean-B-S-Put,90%-Spot-Vol-No-Mean-B-S-Call,90%-Spot-Vol-No-Mean-B-S-Put,95%-Spot-Vol-Mean-B-S-Call,95%-Spot-Vol-Mean-B-S-Put,95%-Spot-Vol-No-Mean-B-S-Call,95%-Spot-Vol-No-Mean-B-S-Put,100%-Spot-Vol-Mean-B-S-Call,100%-Spot-Vol-Mean-B-S-Put,100%-Spot-Vol-No-Mean-B-S-Call,100%-Spot-Vol-No-Mean-B-S-Put,105%-Spot-Vol-Mean-B-S-Call,105%-Spot-Vol-Mean-B-S-Put,105%-Spot-Vol-No-Mean-B-S-Call,105%-Spot-Vol-No-Mean-B-S-Put,110%-Spot-Vol-Mean-B-S-Call,110%-Spot-Vol-Mean-B-S-Put,110%-Spot-Vol-No-Mean-B-S-Call,110%-Spot-Vol-No-Mean-B-S-Put
0,0,1/1/18,13412.44,1.5059056521739131,,,,,,,,,,,,,,,,,,,,,,,
1,1,1/2/18,14740.7563,1.5051447826086957,,,,,,,,,,,,,,,,,,,,,,,
2,2,1/3/18,15134.6513,1.4977495652173909,,,,,,,,,,,,,,,,,,,,,,,
3,3,1/4/18,15155.2263,1.4956678260869565,,,,,,,,,,,,,,,,,,,,,,,
4,4,1/5/18,16937.1738,1.4949,,,,,,,,,,,,,,,,,,,,,,,
5,5,1/6/18,17135.8363,1.494320434782609,,,,,,,,,,,,,,,,,,,,,,,
6,6,1/7/18,16178.495,1.491579565217391,,,,,,,,,,,,,,,,,,,,,,,
7,7,1/8/18,14970.3575,1.4918021739130434,,,,,,,,,,,,,,,,,,,,,,,
8,8,1/9/18,14439.4738,1.4933143478260869,,,,,,,,,,,,,,,,,,,,,,,
9,9,1/10/18,14890.7225,1.4943152173913044,,,,,,,,,,,,,,,,,,,,,,,
10,10,1/11/18,13287.26,1.4934060869565216,,,,,,,,,,,,,,,,,,,,,,,
11,11,1/12/18,13812.715,1.4934726086956522,,,,,,,,,,,,,,,,,,,,,,,
12,12,1/13/18,14188.785,1.4933886956521738,,,,,,,,,,,,,,,,,,,,,,,
13,13,1/14/18,13619.0288,1.4945017391304347,,,,,,,,,,,,,,,,,,,,,,,
14,14,1/15/18,13585.9013,1.4949704347826087,1.1914092915354615,0.0,,,,,,,,,,,,,,,,,,,,,
15,15,1/16/18,11348.02,1.4945539130434782,1.1915508873633738,0.0,,,,,,,,,,,,,,,,,,,,,
16,16,1/17/18,11141.2488,1.4947621739130434,1.3935963094958783,0.9537212510534322,,,,,,,,,,,,,,,,,,,,,
17,17,1/18/18,11250.6475,1.4943300000000002,1.3715326148129612,0.9586858373061421,10125.58275,11250.647492059488,3.715792447139994e-07,11250.647491687998,8.839107604608977e-11,11250.647491627033,4.0090673823490255e-07,11250.647491226227,9.970132821362197e-11,11250.647491195172,4.308288622177258e-07,11250.647490764457,1.1174410391644427e-10,11250.647490763888,4.613244942024622e-07,11250.647490302686,1.2452422798540138e-10,11250.647490333155,4.923741890491766e-07,11250.647489840918,1.3804617814158e-10
