,Unnamed: 0,Date,Price,1-Month,1-Month-Vol-Mean,1-Month-Vol-No-Mean,1-Month,90%-Spot-Vol-Mean-B-S-Call,90%-Spot-Vol-Mean-B-S-Put,90%-Spot-Vol-No-Mean-B-S-Call,90%-Spot-Vol-No-Mean-B-S-Put,95%-Spot-Vol-Mean-B-S-Call,95%-Spot-Vol-Mean-B-S-Put,95%-Spot-Vol-No-Mean-B-S-Call,95%-Spot-Vol-No-Mean-B-S-Put,100%-Spot-Vol-Mean-B-S-Call,100%-Spot-Vol-Mean-B-S-Put,100%-Spot-Vol-No-Mean-B-S-Call,100%-Spot-Vol-No-Mean-B-S-Put,105%-Spot-Vol-Mean-B-S-Call,105%-Spot-Vol-Mean-B-S-Put,105%-Spot-Vol-No-Mean-B-S-Call,105%-Spot-Vol-No-Mean-B-S-Put,110%-Spot-Vol-Mean-B-S-Call,110%-Spot-Vol-Mean-B-S-Put,110%-Spot-Vol-No-Mean-B-S-Call,110%-Spot-Vol-No-Mean-B-S-Put
38,38,2/8/18,8237.2363,1.6207,1.3803189466518495,0.9429650243274699,7413.512670000001,8237.2363,1.5566641069428792e-20,8237.2363,8.735988485069846e-30,8237.2363,1.6794546984187198e-20,8237.2363,9.929352576518492e-30,8237.2363,1.8048088631549185e-20,8237.2363,1.1210729998613739e-29,8237.2363,1.932642619355279e-20,8237.2363,1.2581594573438718e-29,8237.2363,2.0628785404049034e-20,8237.2363,1.4043362725993933e-29
39,39,2/9/18,8689.8388,1.6312,1.4273742307675927,0.9877799865346716,7820.85492,8689.8388,2.9152928224922627e-20,8689.8388,1.996990455037591e-28,8689.8388,3.137010365831703e-20,8689.8388,2.2513333365338014e-28,8689.8388,3.3627855908054776e-20,8689.8388,2.52228114931773e-28,8689.8388,3.592475498671778e-20,8689.8388,2.809981697796449e-28,8689.8388,3.825948606021061e-20,8689.8388,3.1145753782211065e-28
40,40,2/10/18,8556.6125,1.648,1.4394345804691118,1.0058429478758686,7700.951249999999,8556.6125,1.8456888325801853e-20,8556.6125,2.640321364636268e-28,8556.6125,1.9854669765910715e-20,8556.6125,2.9696455650206863e-28,8556.6125,2.1277630346366512e-20,8556.6125,3.3196772813614644e-28,8556.6125,2.272487615798939e-20,8556.6125,3.690554866749649e-28,8556.6125,2.4195585515489722e-20,8556.6125,4.082409085595337e-28
41,41,2/11/18,8070.7963,1.66418,1.3971527525333023,1.007335296699573,7263.71667,8070.7963,3.596721690463529e-21,8070.7963,9.691783524457361e-29,8070.7963,3.880563526868346e-21,8070.7963,1.0906925506809312e-28,8070.7963,4.170344817093452e-21,8070.7963,1.219920789514222e-28,8070.7963,4.4658715437071174e-21,8070.7963,1.3569190406469274e-28,8070.7963,4.766964821333528e-21,8070.7963,1.5017402908934876e-28
42,42,2/12/18,8891.2125,1.6700700000000002,1.3914857306558606,1.028458662984585,8002.0912499999995,8891.2125,2.702944524526536e-21,8891.2125,3.558607651586611e-28,8891.2125,2.917756271668555e-21,8891.2125,3.9915657992409283e-28,8891.2125,3.1371725819678365e-21,8891.2125,4.450536248604271e-28,8891.2125,3.3610453318136135e-21,8891.2125,4.935625669168183e-28,8891.2125,3.589237877406421e-21,8891.2125,5.446933906397294e-28
43,43,2/13/18,8516.2438,1.6862,1.4403467918413355,1.08429261878403,7664.61942,8516.2438,3.945468435638646e-21,8516.2438,5.416555987811023e-27,8516.2438,4.247865968180109e-21,8516.2438,6.028221904084563e-27,8516.2438,4.555965958709611e-21,8516.2438,6.671740081128578e-27,8516.2438,4.869570876366441e-21,8516.2438,7.347004396081259e-27,8516.2438,5.188498986352067e-21,8516.2438,8.05391204316666e-27
44,44,2/14/18,9477.84,1.6905,1.4408325182029922,1.0950149718259663,8530.056,9477.84,3.718931832416199e-21,9477.84,9.026881765255468e-27,9477.84,4.004259149082106e-21,9477.84,1.0033012846320378e-26,9477.84,4.294987878591896e-21,9477.84,1.1090187647157591e-26,9477.84,4.590931325971192e-21,9477.84,1.219817249726631e-26,9477.84,4.891917712355261e-21,9477.84,1.3356742692479673e-26
45,45,2/15/18,10016.4888,1.7017,1.5026820085468446,1.1589246226813328,9014.83992,10016.4888,8.290645502461233e-21,10016.4888,1.732285915723395e-25,10016.4888,8.898590026635638e-21,10016.4888,1.9105982837742166e-25,10016.4888,9.516163474417687e-21,10016.4888,2.096564405547525e-25,10016.4888,1.0143004088455912e-20,10016.4888,2.2900935538103764e-25,10016.4888,1.0778780086372324e-20,10016.4888,2.4910999774389607e-25
46,46,2/16/18,10178.7125,1.71131,1.391626782943706,1.1753990273424826,9160.84125,10178.7125,5.329106964766802e-22,10178.7125,2.3674220677187e-25,10178.7125,5.758675161842958e-22,10178.7125,2.607111850087767e-25,10178.7125,6.197902397916174e-22,10178.7125,2.856719684361467e-25,10178.7125,6.646488095123378e-22,10178.7125,3.1161137622746196e-25,10178.7125,7.104154664257135e-22,10178.7125,3.385169769893874e-25
47,47,2/17/18,11092.1475,1.7179400000000002,1.3923821239317848,1.176780159921624,9982.93275,11092.1475,4.449698985837872e-22,11092.1475,1.9344910662928728e-25,11092.1475,4.808958383731644e-22,11092.1475,2.130545167520071e-25,11092.1475,5.176339341449368e-22,11092.1475,2.3347305020646837e-25,11092.1475,5.551590119911683e-22,11092.1475,2.5469397823631517e-25,11092.1475,5.934478203786113e-22,11092.1475,2.7670718091566705e-25
48,48,2/18/18,10396.63,1.73957,1.4261214363353312,1.215634360375022,9356.966999999999,10396.63,3.8090566551707193e-22,10396.63,3.5582831336821523e-25,10396.63,4.109814503173216e-22,10396.63,3.9054878479936854e-25,10396.63,4.416884387054139e-22,10396.63,4.265896056476053e-25,10396.63,4.730060986085375e-22,10396.63,4.639291189433732e-25,10396.63,5.04915497578468e-22,10396.63,5.025469848768455e-25
49,49,2/19/18,11159.7238,1.75032,1.4406667422772514,1.2371518358660416,10043.75142,11159.7238,3.660775466347617e-22,11159.7238,5.619096275983763e-25,11159.7238,3.947284216785953e-22,11159.7238,6.156222207603236e-25,11159.7238,4.239625185364548e-22,11159.7238,6.71279818003635e-25,11159.7238,4.537605179778108e-22,11159.7238,7.288472208712206e-25,11159.7238,4.841046174890098e-22,11159.7238,7.882914417190415e-25
50,50,2/20/18,11228.2413,1.76495,1.4152413787087852,1.2624133085386549,10105.41717,11228.2413,1.0688202542564921e-22,11228.2413,7.700393615811576e-25,11228.2413,1.1547417552604768e-22,11228.2413,8.420018862401584e-25,11228.2413,1.2425794896952742e-22,11228.2413,9.16429806938191e-25,11228.2413,1.3322735905164811e-22,11228.2413,9.93274019460086e-25,11228.2413,1.4237687790914653e-22,11228.2413,1.0724886051051695e-24
51,51,2/21/18,10456.1725,1.7766,1.371057633775386,1.2626000615709534,9410.555250000001,10456.1725,1.7732807879867854e-23,10456.1725,4.050007846143319e-25,10456.1725,1.9222795418061062e-23,10456.1725,4.430081504757872e-25,10456.1725,2.0750972105722474e-23,10456.1725,4.823314380855172e-25,10456.1725,2.2316266479015736e-23,10456.1725,5.229448999405867e-25,10456.1725,2.3917685767430394e-23,10456.1725,5.648244492722453e-25
52,52,2/22/18,9830.4263,1.78638,1.373485264611618,1.2876471042379187,8847.38367,9830.4263,1.1559687358381209e-23,9830.4263,6.325706933518335e-25,9830.4263,1.2532050779216221e-23,9830.4263,6.905576757054774e-25,9830.4263,1.3529421587206165e-23,9830.4263,7.504369165621454e-25,9830.4263,1.455110045808376e-23,9830.4263,8.121678659422411e-25,9830.4263,1.5596439369467024e-23,9830.4263,8.757126723726014e-25
53,53,2/23/18,10149.4625,1.8082,1.3893386076396832,1.3061260169927151,9134.51625,10149.4625,7.187830919874555e-24,10149.4625,4.566579864715642e-25,10149.4625,7.788032349636374e-24,10149.4625,4.980408377126957e-25,10149.4625,8.403336502877002e-24,10149.4625,5.407347047082605e-25,10149.4625,9.033313355248326e-24,10149.4625,5.847103414911282e-25,10149.4625,9.677564657818655e-24,10149.4625,6.299404765963858e-25
54,54,2/24/18,9682.3825,1.82207,1.3818641358130552,1.3110316222660647,8714.14425,9682.3825,2.948571273237427e-24,9682.3825,2.683857239580884e-25,9682.3825,3.197679510303274e-24,9682.3825,2.927045760040889e-25,9682.3825,3.453280897338642e-24,9682.3825,3.177937519967044e-25,9682.3825,3.7151962004342554e-24,9682.3825,3.4363607339131494e-25,9682.3825,3.983259273563477e-24,9682.3825,3.7021552156170407e-25
55,55,2/25/18,9586.46,1.84067,1.3885618966098938,1.3216430691276098,8627.814,9586.46,1.5505073030770824e-24,9586.46,1.6155255413008108e-25,9586.46,1.6815042237845873e-24,9586.46,1.7612788727717734e-25,9586.46,1.815916639521453e-24,9586.46,1.9115977327163684e-25,9586.46,1.953650348879093e-24,9586.46,2.06637886130681e-25,9586.46,2.0946180283531925e-24,9586.46,2.225526007754873e-25
56,56,2/26/18,10313.0825,1.85382,1.3886829893970714,1.3221149909374077,9281.77425,10313.0825,9.251381634706981e-25,10313.0825,9.405229631474274e-26,10313.0825,1.0036380780831226e-24,10313.0825,1.0257319652661575e-25,10313.0825,1.0842113059834745e-24,10313.0825,1.1136398167918765e-25,10313.0825,1.1668013526384479e-24,10313.0825,1.2041863940590252e-25,10313.0825,1.2513558298527266e-24,10313.0825,1.2973156336684417e-25
57,57,2/27/18,10564.4188,1.86125,1.4107670097592273,1.3472835983932796,9507.97692,10564.4188,1.3264701041455781e-24,10564.4188,1.6985972801258415e-25,10564.4188,1.4370199954771015e-24,10564.4188,1.8489996902305074e-25,10564.4188,1.5503370679144701e-24,10564.4188,2.0038834203236888e-25,10564.4188,1.666342309812579e-24,10564.4188,2.163140732025134e-25,10564.4188,1.7849625573873532e-24,10564.4188,2.326671363301188e-25
58,58,2/28/18,10309.6413,1.8715,1.4105690173588041,1.3499889603809088,9278.677169999999,10309.6413,8.154987357460165e-25,10309.6413,1.125972939674901e-25,10309.6413,8.837061758883143e-25,10309.6413,1.2257568794934766e-25,10309.6413,9.536396941398167e-25,10309.6413,1.3285211139649148e-25,10309.6413,1.0252504717517445e-24,10309.6413,1.434194218333674e-25,10309.6413,1.0984932902377937e-24,10309.6413,1.5427097193042406e-25
59,59,3/1/18,10907.59,1.875,1.4039942329756256,1.3527641962123216,9816.831,10907.59,6.046507561667348e-25,10907.59,1.1150376570598147e-25,10907.59,6.555887480348882e-25,10907.59,1.2136990926721106e-25,10907.59,7.078440397731292e-25,10907.59,1.315294967134125e-25,10907.59,7.613800715703662e-25,10907.59,1.4197546167152464e-25,10907.59,8.161629603295592e-25,10907.59,1.5270122850946483e-25
60,60,3/2/18,11019.5213,1.87688,1.367184970523867,1.3674713559819252,9917.56917,11019.5213,1.704383023759409e-25,11019.5213,1.7211190869006613e-25,11019.5213,1.8531638400724592e-25,11019.5213,1.8713189690763007e-25,11019.5213,2.006207756477534e-25,11019.5213,2.0258192656819965e-25,11019.5213,2.163407736697629e-25,11019.5213,2.184511913013591e-25,11019.5213,2.3246642918773317e-25,11019.5213,2.347296469582198e-25
61,61,3/3/18,11438.6513,1.87688,1.3669551480572564,1.3679509549844582,10294.78617,11438.6513,1.7553802245007318e-25,11438.6513,1.8160256575314766e-25,11438.6513,1.9086470381086406e-25,11438.6513,1.974433986968606e-25,11438.6513,2.0663082340331678e-25,11438.6513,2.137371843206981e-25,11438.6513,2.2282535541132555e-25,11438.6513,2.3047252456664177e-25,11438.6513,2.3943805128703574e-25,11438.6513,2.476388257466684e-25
62,62,3/4/18,11479.7313,1.88688,1.302444909855607,1.3112303442011557,10331.75817,11479.7313,9.53210199297781e-27,11479.7313,1.367787819590595e-26,11479.7313,1.0424086950155888e-26,11479.7313,1.494593329800421e-26,11479.7313,1.1346768557930588e-26,11479.7313,1.625661780907188e-26,11479.7313,1.2299542852977495e-26,11479.7313,1.760906111502591e-26,11479.7313,1.328184498908117e-26,11479.7313,1.9002449698140994e-26
63,63,3/5/18,11432.9825,1.88313,1.2971373757571645,1.3082498203983564,10289.68425,11432.9825,9.161931434270733e-27,11432.9825,1.451497020145132e-26,11432.9825,1.0023014692407552e-26,11432.9825,1.586308548213035e-26,11432.9825,1.0914052088235033e-26,11432.9825,1.7256728973237896e-26,11432.9825,1.1834464665250362e-26,11432.9825,1.8694977309848827e-26,11432.9825,1.2783710740924278e-26,11432.9825,2.0176967536864978e-26
64,64,3/6/18,10709.5275,1.88313,1.2915374809918323,1.298999397348252,9638.57475,10709.5275,6.767916402466906e-27,10709.5275,9.27957041125169e-27,10709.5275,7.407853512363191e-27,10709.5275,1.014996851164761e-26,10709.5275,8.070385935448309e-27,10709.5275,1.1050495077440185e-26,10709.5275,8.75508801854556e-27,10709.5275,1.1980562917909592e-26,10709.5275,9.461561281861194e-27,10709.5275,1.293962275076247e-26
65,65,3/7/18,9906.8,1.88313,1.2375917537624226,1.249763196783112,8916.119999999999,9906.8,5.164198460536936e-28,9906.8,9.384902811758242e-28,9906.8,5.6830538179478885e-28,9906.8,1.0314618154680097e-27,9906.8,6.223043731538247e-28,9906.8,1.128100460092941e-27,9906.8,6.783877432358646e-28,9906.8,1.2283513396624548e-27,9906.8,7.365280973352526e-28,9906.8,1.3321628357847928e-27
66,66,3/8/18,9299.2838,1.8775,1.1067607751838964,1.131009178609838,8369.35542,9299.2838,2.392272602986016e-31,9299.2838,1.319373599153449e-30,9299.2838,2.6759698018699687e-31,9299.2838,1.4706729143513053e-30,9299.2838,2.9759364236094484e-31,9299.2838,1.630105708088171e-30,9299.2838,3.2922004346472783e-31,9299.2838,1.7976588105192606e-30,9299.2838,3.6247873939142017e-31,9299.2838,1.9733191981249645e-30
67,67,3/9/18,9237.05,1.89063,1.0810666138752794,1.0879515798465544,8313.345,9237.05,1.4458158519499958e-32,9237.05,2.4960296311873493e-32,9237.05,1.6246794045535472e-32,9237.05,2.8017291536710294e-32,9237.05,1.8146417725327954e-32,9237.05,3.1260510237422234e-32,9237.05,2.0157706274881182e-32,9237.05,3.469089165372573e-32,9237.05,2.2281299358697143e-32,9237.05,3.830932060239499e-32
68,68,3/10/18,8787.1638,1.89519,1.0792658551262833,1.0868186339288572,7908.44742,8787.1638,8.849778194842121e-33,8787.1638,1.620230246099306e-32,8787.1638,9.949546741426421e-33,8787.1638,1.8193637416501792e-32,8787.1638,1.1118124488816263e-32,8787.1638,2.0307068097698392e-32,8787.1638,1.2355964093764788e-32,8787.1638,2.2543255613457727e-32,8787.1638,1.366349399402921e-32,8787.1638,2.4902823594285525e-32
