Datetime,Timestamp,Price,VIX,1-Month-LIBOR,1-Month-VM,100-Calls,100-Calls-P,100-Calls-ROI,100-Puts,100-Puts-P,100-Puts-ROI,98-Calls,98-Calls-P,98-Calls-ROI,98-Puts,98-Puts-P,98-Puts-ROI,102-Calls,102-Calls-P,102-Calls-ROI,102-Puts,102-Puts-P,102-Puts-ROI,100-Butterfly-Spreads,100-Butterfly-Spreads-P,100-Butterfly-Spreads-ROI,100-Straps,100-Straps-P,100-Straps-ROI
2012-06-15,1339732800000,29.91,21.11,0.24275,61.59833355077274,2.1072587744395648,-2.1072587744395648,-100.0,2.101291710146288,0.4587082898537105,21.829824371304262,2.3991076516923115,-2.3991076516923115,-100.0,1.7950599286848998,0.16674007131509685,9.288830342129815,1.8423039663128,-1.8423039663128,-100.0,2.4344175607336567,0.7237824392663441,29.73123637212915,0.0268940691259818,-0.0268940691259818,-100.0,6.315809259025418,-3.755809259025419,-59.46679364419204
2012-06-18,1339992000000,31.84,18.32,0.24275,64.18827381759228,2.3371580485788623,-2.3371580485788623,-100.0,2.3308059480406467,2.0891940519593515,89.63397633833902,2.64630152993095,-2.64630152993095,-100.0,2.003276471403499,1.7799235285964985,88.8506181750081,2.055481982352472,-2.055481982352472,-100.0,2.685802839803493,2.3709971601965094,88.27889840082165,0.02746741512569706,-0.02746741512569706,-100.0,7.005122045198371,-2.585122045198373,-36.903312012534215
2012-06-19,1340078400000,32.09,18.38,0.24375,63.957887469365865,2.34710179540136,-2.34710179540136,-100.0,2.3406734496321526,3.4993265503678512,149.50084348236558,2.6588093503222137,-2.6588093503222137,-100.0,2.0107095714683934,3.1874904285316106,158.5256505345937,2.0631776755184283,-2.0631776755184283,-100.0,2.698420762833841,3.7833792371661663,140.20716447470994,0.027783435037922462,-0.027783435037922462,-100.0,7.034877040434873,-1.1948770404348696,-16.985045133937497
2012-06-20,1340164800000,33.779999,17.24,0.24375,61.828283358053,2.3887745490948014,-2.3887745490948014,-100.0,2.3820076586723844,5.297991341327611,222.41705739436856,2.718239209657828,-2.718239209657828,-100.0,2.03600767704385,4.968391342956144,244.0261595756812,2.0895701107225366,-2.0895701107225366,-100.0,2.7582678624916674,5.597331117508329,202.92920762423734,0.03026022219076196,-0.03026022219076196,-100.0,7.159556756861987,0.5204422431380085,7.269196415535043
2012-06-21,1340251200000,32.189999,20.08,0.24525,63.608967810678045,2.341643049401231,-2.341643049401231,-100.0,2.3351549932668667,2.584844006733133,110.69260987755476,2.654530424287387,-2.654530424287387,-100.0,2.004372149275712,2.271826870724288,113.34356604112774,2.056779524241972,-2.056779524241972,-100.0,2.6939616869849314,2.869837293015073,106.52851177801942,0.028023849726896092,-0.028023849726896092,-100.0,7.018441092069329,-2.0984420920693285,-29.898977059742197
2012-06-22,1340337600000,33.790001000000004,18.11,0.24525,59.374091569667044,2.2950216232130565,-2.2950216232130565,-100.0,2.2882110786315497,3.2317899213684544,141.23652977422026,2.626177871270194,-2.626177871270194,-100.0,1.9437035175803192,2.900497462419681,149.22530294283038,1.9953925061454605,-1.9953925061454605,-100.0,2.6642457706723266,3.531555249327681,132.55365883292694,0.03152713098954152,-0.03152713098954152,-100.0,6.878254325057663,-1.3582533250576585,-19.74706460198056
2012-06-25,1340596800000,33.110001000000004,20.38,0.24525,59.327678944816064,2.2470848564099395,-2.2470848564099395,-100.0,2.2404113692471554,0.6195896307528486,27.655172583821024,2.5716068348693355,-2.5716068348693355,-100.0,1.902866797449807,0.2949341825501968,15.499465487834618,1.9534798345502082,-1.9534798345502082,-100.0,2.608872897644161,0.9133281223558428,35.00853273383257,0.03091695659966476,-0.03091695659966476,-100.0,6.734581082067034,-3.8745800820670304,-57.53260722310305
2012-06-26,1340683200000,31.610001,19.72,0.24525,57.19708615893669,2.0685318580681518,-2.0685318580681518,-100.0,2.062160703446647,0.4578402965533535,22.201969797413454,2.3796881719567327,-2.3796881719567327,-100.0,1.7412444204276554,0.14655655957234615,8.416771238603674,1.7879964683900234,-1.7879964683900234,-100.0,2.413697910676092,0.7385031093239114,30.596335442700536,0.03062092421045204,-0.03062092421045204,-100.0,6.199224419582951,-3.67922341958295,-59.349737492330824
2012-06-27,1340769600000,31.959999,19.45,0.24525,56.839077968680535,2.0783938807138216,-2.0783938807138216,-100.0,2.0719521822357905,0.4780468177642092,23.072290078063546,2.3932266884255995,-2.3932266884255995,-100.0,1.747713843917131,0.16308517608286802,9.331343151539444,1.7947168677269172,-1.7947168677269172,-100.0,2.4273463152793298,0.7618526647206743,31.38623689273621,0.031155794724873512,-0.031155794724873512,-100.0,6.228739943663434,-3.678740943663434,-59.06075670097381
2012-06-28,1340856000000,31.41,19.71,0.24525,57.048511935804946,2.050124891902831,-2.050124891902831,-100.0,2.043794048488385,-0.5737950484883836,-28.074993608713626,2.3594066433845238,-2.3594066433845238,-100.0,1.7250024168383682,-0.88320341683837,-51.200126342844754,1.771349899375835,-1.771349899375835,-100.0,2.3930924390931025,-0.29489343909309795,-12.322693192948792,0.030506758954697236,-0.030506758954697236,-100.0,6.144043832294047,-4.6740448322940455,-76.0744057151178
2012-06-29,1340942400000,31.290001,17.08,0.24525,56.64605333699362,2.027938841324433,-2.027938841324433,-100.0,2.0216321843117298,-1.901631184311732,-94.06415267172585,2.3362941916684083,-1.8304951716684064,-78.35037120736935,1.7043136477959615,-1.7043136477959615,-100.0,1.750190512758845,-1.750190512758845,-100.0,2.3695577426058847,-1.6237567226058864,-68.52572922828143,0.030607021778386926,0.4751919982216144,1552.5587613923615,6.077509866960596,-5.957508866960597,-98.02549065938396
2012-07-02,1341201600000,30.4,16.8,0.24575,56.255290900358744,1.9567219523983823,-1.9567219523983823,-100.0,1.9505821889316708,-0.970582188931674,-49.75858973998218,2.2565492520690955,-2.2565492520690955,-100.0,1.6425322838717165,-1.27053228387172,-77.35204332647079,1.68683847946596,-1.68683847946596,-100.0,2.288575920729909,-0.7005759207299107,-30.611871530417577,0.02994382673829055,-0.02994382673829055,-100.0,5.864026093728436,-4.884026093728439,-83.28793248297266
2012-07-03,1341288000000,30.66,16.66,0.24475,55.01513940445095,1.9300995783611798,-1.9300995783611798,-100.0,1.9239324986803688,-0.6639324986803672,-34.5091368400794,2.2332755129412725,-2.2332755129412725,-100.0,1.6140317748540802,-0.9672317748540776,-59.92643948670231,1.657806922543335,-1.657806922543335,-100.0,2.2647165012689072,-0.3915165012689029,-17.287660554843782,0.030883278762247283,-0.030883278762247283,-100.0,5.784131655402728,-4.524131655402726,-78.21626347624564
2012-07-05,1341460800000,31.23,17.5,0.24575,51.60777156631187,1.844654520130831,-1.844654520130831,-100.0,1.8383471249642067,-0.908346124964206,-49.41102323000568,2.1557540622602542,-2.1557540622602542,-100.0,1.5249728149969553,-1.2195718149969554,-79.97334791829653,1.5670957372632088,-1.5670957372632088,-100.0,2.1852621941932533,-0.6306611941932516,-28.859749455651784,0.03354075926180089,-0.03354075926180089,-100.0,5.527656165225869,-4.597655165225868,-83.17549116295298
2012-07-06,1341547200000,30.99,17.1,0.24575,51.6205941411111,1.8309316989304352,-1.8309316989304352,-100.0,1.8246727755806529,-0.8446727755806567,-46.29173991549592,2.139631666786279,-2.139631666786279,-100.0,1.5136979219034874,-1.153497921903492,-76.20397076670086,1.5555064447441325,-1.5555064447441325,-100.0,2.1689223429273525,-0.5691223429273542,-26.239867221766023,0.03327471366954127,-0.03327471366954127,-100.0,5.4865361734415234,-4.506536173441527,-82.13809279625555
