Datetime,Timestamp,Price,VIX,5-Day-LIBOR,5-Day-VM,100-Calls,100-Calls-P,100-Calls-ROI,100-Puts,100-Puts-P,100-Puts-ROI,100-Calls.1,100-Calls-P.1,100-Calls-ROI.1,100-Straddles,100-Straddles-P,100-Straddles-ROI,105-Calls,105-Calls-P,105-Calls-ROI,105-Puts,105-Puts-P,105-Puts-ROI,100-Bull-Spreads,100-Bull-Spreads-P,100-Bull-Spreads-ROI,95-Calls,95-Calls-P,95-Calls-ROI,95-Puts,95-Puts-P,95-Puts-ROI,100-Bear-Spreads,100-Bear-Spreads-P,100-Bear-Spreads-ROI
2014-03-13,1394683200000,237.789993,16.22,0.1103,38.57738584095332,4.284666109020407,-4.284666109020407,-100.0,4.281073227091667,-1.4010842270916442,-32.72740625470371,,,,8.565739336112074,-5.685750336112051,-66.3778118036075,0.7847354451498347,-0.7847354451498347,-100.0,12.670462569124625,2.099026080875376,16.566294004058555,3.499930663870572,1.5000693361294282,42.8599729593072,12.560739957742785,-3.551229307742801,-28.27245305364137,0.6678270699104765,-0.6678270699104765,-100.0,3.613246157181191,-3.613246157181191,-100.0
2014-03-14,1394769600000,230.970001,17.82,0.112166667,39.112370850326,4.219488401605203,-4.219488401605203,-100.0,4.215939506241527,-2.1359375062415182,-50.6633812719407,,,,8.435427907846732,-6.355425907846723,-75.34206891786526,0.7954798487365906,-0.7954798487365906,-100.0,12.340253558604731,1.2882484913952226,10.439400497544401,3.424008552868613,1.5759914471313872,46.02767261813734,12.230276157946124,-2.7617781079461,-22.581486078315145,0.6784046573506899,-0.6784046573506899,-100.0,3.5375348488908367,-3.5375348488908367,-100.0
2014-03-17,1395028800000,233.979996,15.64,0.110133333,38.91916687330826,4.253342503832569,-4.253342503832569,-100.0,4.2498125308968895,9.560185469103118,224.9554633198259,,,,8.50315503472946,5.3068429652705476,62.41028116735252,0.7936139290213617,-0.7936139290213617,-100.0,12.48890725743891,13.02009054256112,104.25324068929899,3.459728574811208,1.5402714251887923,44.520007621489285,12.378666560260939,-12.378666560260939,-100.0,0.6763132859720251,1.4346849140279865,212.13318498778253,3.5734992449248644,-3.5734992449248644,-100.0
2014-03-18,1395115200000,240.039993,14.52,0.111566667,41.086010900974884,4.606319435043544,-4.606319435043544,-100.0,4.6026509066432055,14.997340093356812,325.84135528746054,,,,9.208970341686749,10.391020658313266,112.8358575689582,0.9587382064097554,-0.9587382064097554,-100.0,12.956885901589404,18.645104748410628,143.90112632020217,3.647581228633789,1.3524187713662108,37.07713924914464,12.829086116102646,-12.829086116102646,-100.0,0.8236013641223394,6.77438998587769,822.5326330167914,3.779049542520866,-3.779049542520866,-100.0
2014-03-19,1395201600000,235.839996,15.12,0.1101,36.426499706000655,4.012729854446178,-4.012729854446178,-100.0,4.009172897220353,18.87081610277967,470.69100252232124,,,,8.02190275166653,14.858086248333493,185.21897744580315,0.6474721328568656,-0.6474721328568656,-100.0,12.435737127769785,22.236251672230225,178.80927719656663,3.3652577215893125,1.6347422784106875,48.57703075527442,12.341214449030444,-12.341214449030444,-100.0,0.5458355396659016,10.542153660334108,1931.379123240457,3.463337357554451,-3.463337357554451,-100.0
2014-03-20,1395288000000,234.910004,14.52,0.109366667,35.19154864345149,3.8614690351925423,-3.8614690351925423,-100.0,3.8579497020783995,23.732047297921586,615.1466227031518,,,,7.719418737270943,19.87057826272904,257.41029135768736,0.574422057054008,-0.574422057054008,-100.0,12.316226957284215,27.019270242715805,219.37944417901244,3.2870469781385343,1.7129530218614657,52.112216018023474,12.230144740857355,-12.230144740857355,-100.0,0.4813011743989222,15.363195625601108,3192.012910582981,3.3766485276794773,-3.3766485276794773,-99.99999999999999
2014-03-21,1395374400000,228.889999,15.0,0.110366667,33.7335392412006,3.6067355129089975,-3.6067355129089975,-100.0,3.603275014917628,12.916728985082376,358.47191600993165,,,,7.2100105278266255,9.309993472173378,129.1259345078899,0.4828733869078654,-0.4828733869078654,-100.0,11.923739814016955,16.040764135983068,134.5279617484302,3.123862126001132,1.876137873998868,60.058280369771616,11.849147829132164,-11.849147829132164,-100.0,0.4013604060403715,4.674143643959635,1164.5751732395545,3.2019146088772565,-3.2019146088772565,-100.0
2014-03-24,1395633600000,220.169998,15.09,0.111666667,39.074080915765634,4.018245268743228,-4.018245268743228,-100.0,4.01487739726241,7.7051236027375865,191.91429377124732,,,,8.033122666005639,3.6868783339943576,45.89595462791069,0.7559969345602973,-0.7559969345602973,-100.0,11.760960569505446,10.967540330494556,93.25378029862532,3.2622483341829307,1.7377516658170693,53.26852795381411,11.656338835134733,-11.656338835134733,-100.0,0.644639457227953,0.06686164277206785,10.371943886212462,3.370237940034457,-3.370237940034457,-100.0
2014-03-25,1395720000000,220.440002,14.02,0.1095,25.844469799128213,2.6616855765987992,-2.6616855765987992,-100.0,2.6583790013681607,0.8116219986318356,30.53071056512733,,,,5.32006457796696,-1.8500635779669643,-34.775209038420314,0.15417902196698918,-0.15417902196698918,-100.0,11.172707217974878,3.3192938820251636,29.708948934820533,2.50750655463181,2.49249344536819,99.40127337909095,11.145085873589863,-3.5930867735899032,-32.239202230862304,0.11994452712080415,-0.11994452712080415,-100.0,2.5384344742473566,-2.5384344742473566,-100.0
2014-03-26,1395806400000,212.960007,14.93,0.11,28.713279485684627,2.8566025672363224,14.473383432763695,506.6642310962516,2.8533936050066586,-2.8533936050066586,-100.0,,,,5.709996172242981,11.619989827757035,203.5025852424085,0.2398753453237568,6.442110304676247,2685.607516679719,10.884506284982619,-10.884506284982619,-100.0,2.6167272219125657,2.3832727780874343,91.07838058662836,10.843314668591006,17.134671681409007,158.0206072137857,0.19226580447282693,-0.19226580447282693,-100.0,2.6611278005338317,-2.6611278005338317,-100.0
