Datetime,Timestamp,Price,VIX,10-Day-LIBOR,10-Day-VM,100-Calls,100-Calls-P,100-Calls-ROI,100-Puts,100-Puts-P,100-Puts-ROI,100-Straddles,100-Straddles-P,100-Straddles-ROI,98-Calls,98-Calls-P,98-Calls-ROI,98-Puts,98-Puts-P,98-Puts-ROI,102-Calls,102-Calls-P,102-Calls-ROI,102-Puts,102-Puts-P,102-Puts-ROI,100-Butterfly-Spreads,100-Butterfly-Spreads-P,100-Butterfly-Spreads-ROI
2015-11-19,1447909200000,13.07,16.99,0.165597826,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-20,1447995600000,12.85,15.47,0.163586957,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-23,1448254800000,12.12,15.62,0.16526087,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-24,1448341200000,12.02,15.93,0.16526087,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-25,1448427600000,11.9,15.19,0.16676087,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-27,1448600400000,12.05,15.12,0.166663043,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-30,1448859600000,12.04,16.13,0.16675,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-01,1448946000000,11.91,14.67,0.16699999999999998,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-02,1449032400000,11.93,15.91,0.16675,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-03,1449118800000,11.92,18.11,0.17,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-04,1449205200000,12.04,14.81,0.17316521699999998,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-07,1449464400000,12.36,15.84,0.17371739100000005,35.52108548322847,0.2901589968378637,-0.2901589968378637,-100.0,0.2895707513972843,-0.16957075139728506,-58.55935054871546,0.579729748235148,-0.4597297482351488,-79.30069996143699,0.4277035430669738,-0.3005035430669736,-70.25977407437982,0.17992706253520474,-0.17992706253520474,-100.0,0.18583005344757894,-0.18583005344757894,-100.0,0.4324300430981865,-0.06523004309818603,-15.084530813548277,0.0332156028388253,0.0939843971611749,282.95255581307026
2015-12-08,1449550800000,12.12,17.6,0.18,21.30562002624395,0.17080012162154198,0.16919987837845962,99.06309010327978,0.17020243772893728,-0.17020243772893728,-100.0,0.3410025593504793,-0.0010025593504776607,-0.2940034680054233,0.31737848476400465,0.2650215152359969,83.50330219550351,0.07439275454925197,-0.07439275454925197,-100.0,0.07763720171135358,0.01996279828864811,25.71292865869581,0.319427564140895,-0.319427564140895,-100.0,0.05341544323227426,-0.05341544323227426,-100.0
2015-12-09,1449637200000,11.99,19.61,0.17918695699999998,21.612435816168293,0.17139552870600827,0.3386044712939915,197.55735394637608,0.17080692627338934,-0.17080692627338934,-100.0,0.3422024549793976,0.16779754502060218,49.0345824756589,0.31601601533725265,0.4337839846627478,137.26645600534297,0.07563918495328448,-0.07563918495328448,-100.0,0.07890513421965561,0.1912948657803435,242.43652542028263,0.3181047597383859,-0.3181047597383859,-100.0,0.052130092144891726,-0.052130092144891726,-100.0
2015-12-10,1449723600000,12.05,19.34,0.191804348,21.015887130792848,0.16752788988064626,0.3824721101193527,228.30354419902352,0.1668946894237786,-0.1668946894237786,-100.0,0.3344225793044249,0.21557742069557406,64.46257939399898,0.31364214268352697,0.4773578573164716,152.1982515589871,0.0720216062357979,-0.0720216062357979,-100.0,0.07521425172231266,0.2337857482776866,310.82639649306384,0.31556838725630604,-0.31556838725630604,-100.0,0.05380061464454711,-0.05380061464454711,-100.0
2015-12-11,1449810000000,11.95,24.39,0.234565217,20.48480177616321,0.16201670451785866,0.7179832954821421,443.15386960793336,0.16124876909958008,-0.16124876909958008,-100.0,0.32326547361743874,0.556734526382562,172.22208117450143,0.3076521902836511,0.8113478097163505,263.72242270347533,0.06789961357373553,-0.06789961357373553,-100.0,0.07104245219397143,0.5699575478060286,802.2774132990787,0.3092591580673272,-0.3092591580673272,-100.0,0.05466123344190521,-0.05466123344190521,-100.0
2015-12-14,1450069200000,12.33,22.73,0.272586957,26.074912920534114,0.2127361043066891,0.19726389569331104,92.727041484659,0.211815317544767,-0.211815317544767,-100.0,0.4245514218514561,-0.014551421851455968,-3.4274815964571856,0.3566760152253714,0.2999239847746296,84.08863281292345,0.10917364419868614,-0.10917364419868614,-100.0,0.1135790026949728,0.04982099730502654,43.86461944803792,0.3592398001978125,-0.3592398001978125,-100.0,0.04478280930696599,-0.04478280930696599,-100.0
2015-12-15,1450155600000,12.47,20.95,0.30476087,25.285246494990336,0.20870504057516914,0.10129495942482958,48.53498465857429,0.2076638873161816,-0.2076638873161816,-100.0,0.4163689278913507,-0.106368927891352,-25.546797747383398,0.3550558800050148,0.2043441199949836,57.55266466565698,0.10463554981120504,-0.10463554981120504,-100.0,0.10900866122700403,-0.04840866122700671,-44.40808710254552,0.3573466849028364,-0.3573466849028364,-100.0,0.04665446008168056,-0.04665446008168056,-100.0
2015-12-16,1450242000000,12.27,17.86,0.33423913,27.363387683261,0.222239438355885,0.5977605616441153,268.97141482462104,0.2211158968883593,-0.2211158968883593,-100.0,0.4433553352442443,0.37664466475575603,84.95322708776304,0.3643757530275416,0.7010242469724588,192.3904763551793,0.11787468238936415,-0.11787468238936415,-100.0,0.12263647771276175,0.4519635222872385,368.5392231712852,0.3668904654158833,-0.3668904654158833,-100.0,0.042533354028533366,-0.042533354028533366,-100.0
2015-12-17,1450328400000,12.32,18.94,0.343478261,27.290947070712253,0.22257124704361345,-0.22257124704361345,-100.0,0.22141194483132587,-0.06141194483132573,-27.736509373109946,0.4439831918749393,-0.28398319187493914,-63.96259972718319,0.3653535216745514,-0.278953521674552,-76.35167177149519,0.11781740550651155,-0.11781740550651155,-100.0,0.12260538213721885,-0.12260538213721885,-100.0,0.3678228938806871,0.038577106119314315,10.487956775150538,0.042816409724543314,0.04358359027545605,101.79179094148328
2015-12-18,1450414800000,12.34,20.7,0.376795652,27.036672501311266,0.2209166360866348,-0.2209166360866348,-100.0,0.21964282283789416,0.6103571771621059,277.8862378820253,0.44055945892452897,0.3894405410754711,88.39681754334666,0.3641683541984229,-0.3641683541984229,-100.0,0.11612001721465905,0.4670799827853407,402.23898858187243,0.12094106050253205,-0.12094106050253205,-100.0,0.3664417709888159,0.7103582290111845,193.85296253053676,0.04327614252768536,-0.04327614252768536,-100.0
2015-12-21,1450674000000,12.24,18.7,0.389826087,23.898877153203845,0.19379376800110207,-0.19379376800110207,-100.0,0.19248658539468888,0.5275134146053118,274.0520403142166,0.38628035339579103,0.3337196466042096,86.39311931618572,0.3389058526572075,-0.3389058526572075,-100.0,0.0928248137029244,0.38237518629707656,411.9320804896267,0.09702553993536522,-0.09702553993536522,-100.0,0.34049221367682314,0.6243077863231772,183.35449717970246,0.048343856590368606,-0.048343856590368606,-100.0
2015-12-22,1450760400000,12.46,16.6,0.394195652,23.099536288491784,0.19070918365011647,-0.19070918365011647,-100.0,0.18936359115538,1.1106364088446208,586.5100054705352,0.3800727748054964,0.9199272251945044,242.03975821874653,0.33932805437584257,-0.33932805437584257,-100.0,0.0888093737309994,0.9619906262690012,1083.2084338110958,0.09293260125628278,-0.09293260125628278,-100.0,0.34076009691165154,1.2084399030883493,354.63069591791435,0.050842288331892416,-0.050842288331892416,-100.0
2015-12-23,1450846800000,12.5,15.57,0.393586957,21.83458664703867,0.1808816804407352,-0.1808816804407352,-100.0,0.1795338525738872,1.0104661474261123,562.8276411047631,0.3604155330146224,0.8295844669853771,230.17444893300976,0.3315149112709061,-0.3315149112709061,-100.0,0.08019403996139429,0.8598059600386052,1072.15693392242,0.08406812554268718,-0.08406812554268718,-100.0,0.3326933411184996,1.1073066588815001,332.8310254598984,0.05381967593212289,-0.05381967593212289,-100.00000000000001
2015-12-24,1450933200000,12.6,15.74,0.394643478,21.91708819591272,0.18301681271874148,-0.18301681271874148,-100.0,0.1816545554543625,0.5783454445456373,318.3765158539811,0.364671368173104,0.3953286318268958,108.40681948993574,0.3347500406711674,-0.3347500406711674,-100.0,0.0814150285520765,0.4265849714479226,523.9634242406005,0.0853395442423368,-0.0853395442423368,-100.0,0.3359500418326711,0.6760499581673294,201.23526536247738,0.054055959476021265,-0.054055959476021265,-100.0
2015-12-28,1451278800000,12.83,16.91,0.3939,21.60896958439843,0.18374647401141164,-0.18374647401141164,-100.0,0.18236196323998755,0.5576380367600127,305.78637499430926,0.3661084372513992,0.37389156274860097,102.125907164455,0.3386548510306397,-0.3386548510306397,-100.0,0.08069803047464541,0.4027019695253542,499.02329357577,0.08462668780326554,-0.08462668780326554,-100.0,0.33981448681641346,0.6567855131835874,193.27766727568007,0.05578859081108195,-0.05578859081108195,-100.0
2015-12-29,1451365200000,12.74,16.08,0.3939,17.828192569186808,0.15065729557806584,-0.15065729557806584,-100.0,0.14928249688531905,0.9807175031146818,656.9541128911336,0.2999397924633849,0.8300602075366159,276.7422757478721,0.3103805290558146,-0.3103805290558146,-100.0,0.054233226336920286,0.8209667736630809,1513.7708543520532,0.05730157977628414,-0.05730157977628414,-100.0,0.31069928510968303,1.0741007148903192,345.7042762461265,0.06636751767596705,-0.06636751767596705,-100.0
2015-12-30,1451451600000,12.78,17.29,0.3939,17.262115695689353,0.14635395003267604,-0.14635395003267604,-100.0,0.14497483486051532,1.8150251651394842,1251.958774007761,0.29132878489319136,1.6686712151068075,572.7793824831233,0.3076526889133042,-0.3076526889133042,-100.0,0.050701156044588025,1.6536988439554117,3261.659048762325,0.05364874965188049,-0.05364874965188049,-100.0,0.3078420521762784,1.9077579478237217,619.7197343042951,0.06859353849983263,-0.06859353849983263,-100.0
2015-12-31,1451538000000,13.09,18.21,0.396630435,16.891591928547186,0.14670665598884902,-0.14670665598884902,-100.0,0.14528429699881773,2.6747157030011826,1841.0218848517045,0.29199095298766675,2.528009047012333,865.783347444711,0.3126739214839009,-0.3126739214839009,-100.0,0.04948000967366984,2.508719990326329,5070.168754759386,0.052415448695815936,-0.052415448695815936,-100.0,0.3127646425259858,2.7690353574740154,885.3415575080397,0.07167605820201878,-0.07167605820201878,-100.0
2016-01-04,1451883600000,12.16,20.7,0.394934783,43.747306510358065,0.3518385312216026,-0.3518385312216026,-100.0,0.3505228744661819,2.3394771255338176,667.4249516801586,0.7023614056877845,1.9876385943122152,282.9937092522657,0.4834946808609297,-0.4834946808609297,-100.0,0.23900533724061826,2.2077946627593814,923.742828611684,0.2467953328540231,-0.2467953328540231,-100.0,0.4886533629634942,2.4445466370365048,500.26190799368965,0.026612951271747676,-0.026612951271747676,-100.0
2016-01-05,1451970000000,11.51,19.34,0.394934783,51.25564754404261,0.3900507863187128,-0.3900507863187128,-100.0,0.38880545661025057,1.631194543389749,419.5400336227544,0.7788562429289634,1.2411437570710362,159.35466504108598,0.5122328428083014,-0.5122328428083014,-100.0,0.2808124196940085,1.5089875803059911,537.3649719447175,0.2894006640406799,-0.2894006640406799,-100.0,0.5183304277380509,1.7318695722619486,334.12462004588025,0.021531934211555637,-0.021531934211555637,-100.0
2016-01-06,1452056400000,11.52,20.59,0.392065217,51.397059452999656,0.3914599853502656,-0.3914599853502656,-100.0,0.3902226295328939,1.109777370467106,284.3959541238131,0.7816826148831595,0.7183173851168405,91.89373940780425,0.5137066712801186,-0.5137066712801186,-100.0,0.28209406257909464,0.9875059374209059,350.062645201554,0.2907050933767117,-0.2907050933767117,-100.0,0.5198429904429931,1.2105570095570082,232.8697379424913,0.021491793956299077,-0.021491793956299077,-100.0
2016-01-07,1452142800000,11.16,24.99,0.390913043,50.97046433108062,0.3760844285710743,-0.3760844285710743,-100.0,0.3748892625566311,0.9351107374433694,249.43652188547563,0.7509736911277054,0.5590263088722951,74.44019883477263,0.4946302494757928,-0.4946302494757928,-100.0,0.27025898678163873,0.8165410132183615,302.13278860476987,0.2785317375304857,-0.2785317375304857,-100.0,0.5005126681957552,1.0326873318042455,206.3259128938474,0.020993129864129823,-0.020993129864129823,-100.0
2016-01-08,1452229200000,11.31,27.01,0.391891304,52.007199506819674,0.3888760738994401,-0.3888760738994401,-100.0,0.3876618128816824,1.1123381871183176,286.93519716315524,0.7765378867811226,0.7234621132188774,93.1650761069427,0.5087233603830494,-0.5087233603830494,-100.0,0.28133338458564605,0.9924666154143535,352.77242936385954,0.2898830405234376,-0.2898830405234376,-100.0,0.5148444942853256,1.2113555057146748,235.28570649205474,0.0208542531076068,-0.0208542531076068,-100.0
2016-01-11,1452488400000,11.84,24.3,0.38976087,58.7032760059356,0.4593904212948123,-0.4593904212948123,-100.0,0.4581261686048661,1.8418738313951344,402.0451040821794,0.9175165898996784,1.3824834101003225,150.67666626621798,0.5830670037055556,-0.5830670037055556,-100.0,0.345028036069408,1.718171963930592,497.980391247091,0.3550688366378951,-0.3550688366378951,-100.0,0.5905792988941512,1.94622070110585,329.54434819339457,0.01935499775382621,-0.01935499775382621,-100.0
2016-01-12,1452574800000,12.09,22.47,0.389930435,59.04451416832202,0.4718115328522519,-0.4718115328522519,-100.0,0.4705200240425613,2.5694799759574383,546.0936505701219,0.9423315568948132,2.097668443105186,222.6040747290113,0.5980143575451322,-0.5980143575451322,-100.0,0.3549486789116356,2.443251321088364,688.3393195264183,0.3652586888228786,-0.3652586888228786,-100.0,0.605741349836995,2.676058650163005,441.78239621302595,0.019649980663506983,-0.019649980663506983,-100.0
2016-01-13,1452661200000,11.61,25.22,0.390913043,61.55640405983616,0.4723134013370771,-0.4723134013370771,-100.0,0.4710700431446329,2.3989299568553664,509.2512232026654,0.9433834444817099,1.9266165555182893,204.2241218868073,0.5929223511711683,-0.5929223511711683,-100.0,0.3595038601425724,2.2782961398574257,633.7334288855473,0.3698074278673964,-0.3698074278673964,-100.0,0.6007392025111038,2.501460797488896,416.39712990807516,0.018102976364410495,-0.018102976364410495,-100.0
2016-01-14,1452747600000,10.82,23.95,0.391369565,68.13521628071578,0.4871097332734689,-0.4871097332734689,-100.0,0.485949625965552,1.564050374034449,321.85442491632267,0.9730593592390208,1.0769406407609798,110.67573941256771,0.5982137918361303,-0.5982137918361303,-100.0,0.3806768866743706,1.4529231133256295,381.66832928011576,0.3912523530188805,-0.3912523530188805,-100.0,0.6064690435648048,1.659930956435196,273.7041525941996,0.015246678308073025,-0.015246678308073025,-100.0
