Datetime,Timestamp,Price,VIX,10-Day-LIBOR,10-Day-VM,100-Calls,100-Calls-P,100-Calls-ROI,100-Puts,100-Puts-P,100-Puts-ROI,98-Calls,98-Calls-P,98-Calls-ROI,98-Puts,98-Puts-P,98-Puts-ROI,102-Calls,102-Calls-P,102-Calls-ROI,102-Puts,102-Puts-P,102-Puts-ROI,100-Butterfly-Spreads,100-Butterfly-Spreads-P,100-Butterfly-Spreads-ROI,105-Calls,105-Calls-P,105-Calls-ROI,105-Puts,105-Puts-P,105-Puts-ROI,103-Calls,103-Calls-P,103-Calls-ROI,103-Puts,103-Puts-P,103-Puts-ROI,107-Calls,107-Calls-P,107-Calls-ROI,107-Puts,107-Puts-P,107-Puts-ROI,105-Butterfly-Spreads,105-Butterfly-Spreads-P,105-Butterfly-Spreads-ROI,97-Calls,97-Calls-P,97-Calls-ROI,97-Puts,97-Puts-P,97-Puts-ROI,100-Strangles,100-Strangles-P,100-Strangles-ROI
2017-03-01,1488344400000,138.96,11.81,0.720843043,11.526314989179369,1.0713112732747019,0.6586887267252877,61.4843456945859,1.0438705996526778,-1.0438705996526778,-100.0,2.9973712380071764,1.5118287619928168,50.43848899404157,0.19127937785757965,-0.19127937785757965,-100.0,0.21157066640689592,-0.21157066640689592,-100.0,2.9627811793124152,-1.9135811793124016,-64.58732736234319,1.0663193578646686,-0.01711935786465535,-1.605462541628926,0.004701749757154872,-0.004701749757154872,-100.0,6.92388904245405,-1.7058890424540325,-24.63772934537683,0.07209775459069158,-0.07209775459069158,-100.0,4.2126338607600085,-1.7738338607599928,-42.10747763490589,0.0001388894352024328,-0.0001388894352024328,-100.0,9.697977368659622,-1.7007773686596008,-17.537444190743347,0.06283314451158427,-0.06283314451158427,-100.0,4.2551196313878,1.6436803686121664,38.62829981294987,0.059702177974481074,-0.059702177974481074,-100.0,0.13179993256517264,-0.13179993256517264,-100.0
2017-03-02,1488430800000,139.78,10.96,0.7201686959999999,11.433375847770446,1.069043415513562,-0.8590434155135541,-80.35627019889317,1.041466634682564,-1.041466634682564,-100.0,3.0102653559821846,-0.004665355982169217,-0.15498155247004836,0.187640110767763,-0.187640110767763,-100.0,0.20772801527196805,-0.20772801527196805,-100.0,2.9751996988243405,-0.3895996988243411,-13.09490919141638,1.0799065402270287,1.5056934597729708,139.42812675774968,0.004395261323126176,-0.004395261323126176,-100.0,6.9644396414505545,-0.18543964145055725,-2.6626642055574465,0.06988353998181829,-0.06988353998181829,-100.0,4.234879455725888,-0.2514794557258995,-5.938290767305776,0.0001234437874533499,-0.0001234437874533499,-100.0,9.755216288298273,-0.1806162882982676,-1.8514842004571768,0.06121646112301929,-0.06121646112301929,-100.0,4.2779065139121135,0.12549348608789046,2.933525678501272,0.05775703650603602,-0.05775703650603602,-100.0,0.12764057648785432,-0.12764057648785432,-100.0
2017-03-03,1488517200000,139.34,11.24,0.721161739,11.87724598599826,1.1065300718282032,1.0134699281718014,91.58991282517536,1.0790021950173525,-1.0790021950173525,-100.0,3.0239302589846204,1.8828697410153838,62.26564701421442,0.21015293970997465,-0.21015293970997465,-100.0,0.2316850830359876,-0.2316850830359876,-100.0,2.990406648688904,-2.3236066486889086,-77.70202924433895,1.0425551983642016,-0.3757551983642067,-36.04175577022465,0.006137651890720242,-0.006137651890720242,-100.0,6.944233381239343,-2.0972333812393344,-30.20107859429459,0.08268053192670699,-0.08268053192670699,-100.0,4.234526818811503,-2.1743268188115223,-51.34757463696469,0.00021712610740199503,-0.00021712610740199503,-100.0,9.724562297919787,-2.090762297919781,-21.499808771516868,0.0706223542526685,-0.0706223542526685,-100.0,4.275852700923282,2.024347299076709,47.343709914038755,0.06895066041675157,-0.06895066041675157,-100.0,0.15163119234345857,-0.15163119234345857,-100.0
2017-03-06,1488776400000,139.52,11.45,0.7212552170000001,11.608970855896384,1.0832500322757994,-0.7632500322758062,-70.45926697756884,1.055683022378929,-1.055683022378929,-100.0,3.0137364732652685,0.09666352673472996,3.207431293088435,0.19632080356634413,-0.19632080356634413,-100.0,0.21697815221706307,-0.21697815221706307,-100.0,2.9792598021222574,-0.5088598021222452,-17.08007478098292,1.0642145609307327,1.4061854390692794,132.13364021626128,0.0050323974870702965,-0.0050323974870702965,-100.0,6.9520870370953665,-0.29608703709536144,-4.258966199868936,0.07477380299745029,-0.07477380299745029,-100.0,4.231979782803677,-0.3663797828036763,-8.657408626866136,0.00015532916332599428,-0.00015532916332599428,-100.0,9.737058628573664,-0.2906586285736523,-2.9850762911163615,0.0648643371866357,-0.0648643371866357,-100.0,4.2743631057426645,0.2312368942573215,5.409856124451653,0.062023106142698126,-0.062023106142698126,-100.0,0.13679690914014841,-0.13679690914014841,-100.0
2017-03-07,1488862800000,139.0,11.86,0.7240817390000001,11.940999679918999,1.1097362180295818,1.3102637819704055,118.06984044342316,1.082164333305812,-1.082164333305812,-100.0,3.020034350177625,2.179965649822364,72.18347200899049,0.21301390314830826,-0.21301390314830826,-100.0,0.23474119435979546,-0.23474119435979546,-100.0,2.986617871941519,-2.6266178719415048,-87.94623164275156,1.0353031084782571,-0.6753031084782433,-65.22757470233421,0.006410723457484724,-0.006410723457484724,-100.0,6.9274602444975235,-2.397460244497495,-34.60806933394956,0.0844447704750575,-0.0844447704750575,-100.0,4.226045729209517,-2.476045729209517,-58.590131008181544,0.00023395861160578624,-0.00023395861160578624,-100.0,9.700732041957108,-2.390732041957108,-24.644862177584496,0.07185728217169382,-0.07185728217169382,-100.0,4.267239930713302,2.3227600692866734,54.43237565735859,0.07049520253123198,-0.07049520253123198,-100.0,0.15493997300628948,-0.15493997300628948,-100.0
2017-03-08,1488949200000,138.68,12.3,0.727104348,11.724137831119275,1.0873836562797266,1.152616343720254,105.99904983524479,1.0597604266462923,-1.0597604266462923,-100.0,3.0017517476280915,2.0118482523719052,67.02247292640429,0.20108098258728896,-0.20108098258728896,-100.0,0.22206759940251786,-0.22206759940251786,-100.0,2.9674919051764306,-2.4338919051763948,-82.01848506918469,1.0490520344711562,-0.5154520344711209,-49.13503024956893,0.005459191755135207,-0.005459191755135207,-100.0,6.910454800640025,-2.2164548006400087,-32.073935284761966,0.07770686060280417,-0.07770686060280417,-100.0,4.209654934080362,-2.2892549340803328,-54.381059016193255,0.00017887514001651422,-0.00017887514001651422,-100.0,9.67822201943224,-2.210622019432208,-22.84119970583079,0.06696735223255026,-0.06696735223255026,-100.0,4.251777034734317,2.1486229652656452,50.534704612042454,0.06458250198991955,-0.06458250198991955,-100.0,0.14228936259272373,-0.14228936259272373,-100.0
2017-03-09,1489035600000,139.14,11.66,0.727826522,11.749535562312833,1.0933373131105668,0.4066626868894332,37.19462255728468,1.0655949333528412,-1.0655949333528412,-100.0,3.013062138974803,1.269737861025206,42.14111101795051,0.20307460681223333,-0.20307460681223333,-100.0,0.224224768992638,-0.224224768992638,-100.0,2.9787275416397847,-1.695927541639776,-56.934631245466996,1.0506122817463073,0.23218771825370155,22.100228817786487,0.0055822012061595965,-0.0055822012061595965,-100.0,6.933452702460527,-1.4764527024605345,-21.29462427769319,0.07872223738237416,-0.07872223738237416,-100.0,4.2243475862319135,-1.5501475862319296,-36.695550131438154,0.00018528729422397777,-0.00018528729422397777,-100.0,9.710300940953488,-1.4705009409534853,-15.14372159931319,0.06774312226427895,-0.06774312226427895,-100.0,4.26656675495434,1.4076332450456448,32.99217675221184,0.06545664658938842,-0.06545664658938842,-100.0,0.1441788839717626,-0.1441788839717626,-100.0
2017-03-10,1489122000000,139.2,11.35,0.732222609,11.768595143086287,1.095644205993409,0.5843557940065978,53.334448428609036,1.0677222431756943,-1.0677222431756943,-100.0,3.0155022023512146,1.4484977976487845,48.03504359968225,0.20413867878983186,-0.20413867878983186,-100.0,0.22541324997450474,-0.22541324997450474,-100.0,2.980932847900405,-1.87693284790042,-62.96461355117147,1.0496270403389012,0.0543729596610838,5.1802171220291715,0.005665249751322876,-0.005665249751322876,-100.0,6.936347188792695,-1.6563471887926935,-23.87924283070653,0.07933723691392912,-0.07933723691392912,-100.0,4.2265776152116254,-1.7305776152116437,-40.945128015234474,0.00018987700546903297,-0.00018987700546903297,-100.0,9.714313376790471,-1.6503133767904783,-16.98847167864095,0.0681966144167524,-0.0681966144167524,-100.0,4.269058560451612,1.586941439548383,37.17310074520282,0.06597425651841604,-0.06597425651841604,-100.0,0.14531149343234517,-0.14531149343234517,-100.0
2017-03-13,1489377600000,138.99,12.3,0.751014783,11.864718932877011,1.1031696231932102,3.706830376806792,336.0163567663405,1.0745743337196672,-1.0745743337196672,-100.0,3.016615628219384,4.573184371780613,151.599836883429,0.20879224453532075,-0.20879224453532075,-100.0,0.2305790894889732,1.7996209105110346,780.4787999204483,2.9812118942259502,-2.9812118942259502,-100.0,1.040855471321937,-1.040855471321937,-100.0,0.006074643107849553,-0.006074643107849553,-100.0,6.925549589160652,-4.786049589160655,-69.1071448921746,0.08216833317616512,0.5581316668238312,679.2539719982183,4.222415185018433,-4.222415185018433,-100.0,0.00021365053584786886,-0.00021365053584786886,-100.0,9.698916690799136,-4.779616690799145,-49.279902520797215,0.07023269749631389,4.849067302503707,6904.287426462876,4.265813099808867,4.713886900191113,110.5038310375652,0.06837566901956826,-0.06837566901956826,-100.0,0.15054400219573338,0.48975599780426293,325.3241515178366
2017-03-14,1489464000000,140.46,11.63,0.8242421740000001,7.8979012064959715,0.7484132412681248,2.911586758731872,389.034639980237,0.7166981769335337,-0.7166981769335337,-100.0,2.8863826431527286,3.582817356847272,124.12828788818672,0.04610188010478389,-0.04610188010478389,-100.0,0.05464761451182909,0.7961523854881634,1456.8840609059473,2.83149824889054,-2.83149824889054,-100.0,1.4442037751283083,-1.4442037751283083,-100.0,4.5822279871175764e-05,-4.5822279871175764e-05,-100.0,6.989745004728492,-3.626745004728492,-51.88665684191677,0.008031806582768029,-0.008031806582768029,-100.0,4.18916529031813,-3.6353652903181337,-86.7801826468886,4.294074360166797e-08,-4.294074360166797e-08,-100.0,9.79826492410271,-3.6260649241027054,-37.00721456492736,0.007940204963769279,-0.007940204963769279,-100.0,4.250323233580758,3.6234767664192304,85.25179303519866,0.005759621176181451,-0.005759621176181451,-100.0,0.01379142775894948,-0.01379142775894948,-100.0
