DATE,USD2MTD156N
2013-08-21,0.22572
2013-08-22,0.22572
2013-08-23,0.22572
2013-08-26,.
2013-08-27,0.22572
2013-08-28,0.22572
2013-08-29,0.22572
2013-08-30,0.22522
2013-09-02,0.22522
2013-09-03,0.22522
2013-09-04,0.22446
2013-09-05,0.22446
2013-09-06,0.22446
2013-09-09,0.22446
2013-09-10,0.22446
2013-09-11,0.22396
2013-09-12,0.22346
2013-09-13,0.22246
2013-09-16,0.22150
2013-09-17,0.22050
2013-09-18,0.22050
2013-09-19,0.21800
2013-09-20,0.21825
2013-09-23,0.21875
2013-09-24,0.21900
2013-09-25,0.21800
2013-09-26,0.21800
2013-09-27,0.21650
2013-09-30,0.21650
2013-10-01,0.21600
2013-10-02,0.21450
2013-10-03,0.21325
2013-10-04,0.21300
2013-10-07,0.21400
2013-10-08,0.21550
2013-10-09,0.21725
2013-10-10,0.21450
2013-10-11,0.21525
2013-10-14,0.21575
2013-10-15,0.21375
2013-10-16,0.21625
2013-10-17,0.21250
2013-10-18,0.21075
2013-10-21,0.21000
2013-10-22,0.20975
2013-10-23,0.20975
2013-10-24,0.20960
2013-10-25,0.20900
2013-10-28,0.20835
2013-10-29,0.20925
2013-10-30,0.21140
2013-10-31,0.21160
2013-11-01,0.20990
2013-11-04,0.20975
2013-11-05,0.20885
2013-11-06,0.20895
2013-11-07,0.20795
2013-11-08,0.20775
2013-11-11,0.20730
2013-11-12,0.20755
2013-11-13,0.20725
2013-11-14,0.20700
2013-11-15,0.20700
2013-11-18,0.20840
2013-11-19,0.20940
2013-11-20,0.20825
2013-11-21,0.20715
2013-11-22,0.20615
2013-11-25,0.20475
2013-11-26,0.20500
2013-11-27,0.20505
2013-11-28,0.20650
2013-11-29,0.20700
2013-12-02,0.21050
2013-12-03,0.20975
2013-12-04,0.21000
2013-12-05,0.21000
2013-12-06,0.21150
2013-12-09,0.21275
2013-12-10,0.21500
2013-12-11,0.21400
2013-12-12,0.21400
2013-12-13,0.21375
2013-12-16,0.21325
2013-12-17,0.21325
2013-12-18,0.21405
2013-12-19,0.21450
2013-12-20,0.21525
2013-12-23,0.21275
2013-12-24,0.21280
2013-12-25,.
2013-12-26,.
2013-12-27,0.21205
2013-12-30,0.21275
2013-12-31,0.21275
2014-01-01,.
2014-01-02,0.21250
2014-01-03,0.20995
2014-01-06,0.20825
2014-01-07,0.20820
2014-01-08,0.20750
2014-01-09,0.20830
2014-01-10,0.20865
2014-01-13,0.20775
2014-01-14,0.20550
2014-01-15,0.20300
2014-01-16,0.20130
2014-01-17,0.20230
2014-01-20,0.20210
2014-01-21,0.20235
2014-01-22,0.20435
2014-01-23,0.20435
