Datetime,Price,Timestamp,VIX,7-Day-LIBOR,7-Day-VM,100-Calls,100-Calls-P,100-Calls-ROI,100-Puts,100-Puts-P,100-Puts-ROI,100-Puts,100-Puts-P,100-Puts-ROI
2014-06-20,588.5215,1403236800000,10.85,0.12300000000000001,53.5151435889703,17.402853293283613,-5.059853293283538,-29.074848865365762,17.388970799172284,-17.388970799172284,-100.0,,,
2014-06-21,591.0298,1403323200000,10.85,0.12300000000000001,40.233216230251024,13.142438131529445,-12.178238131529438,-92.66346175382151,13.128496469724267,-13.128496469724267,-100.0,,,
2014-06-22,598.8765,1403409600000,10.98,0.12300000000000001,32.706270621342284,10.82735002952984,-10.82735002952984,-100.0,10.81322327377899,-10.539923273779037,-97.47253901005934,,,
2014-06-23,587.4598,1403496000000,12.13,0.12300000000000001,35.77603224718076,11.616962694232257,40.285537305767775,346.78201493897603,11.60310524431054,-11.60310524431054,-100.0,,,
2014-06-24,575.0667,1403582400000,12.13,0.1235,25.7714274336277,8.194120443930558,52.329679556069486,638.6247299407279,8.180500189827228,-8.180500189827228,-100.0,,,
2014-06-25,562.1263,1403668800000,11.59,0.12325,27.5947206601597,8.575859322899019,76.637840677101,893.6461967428122,8.562572508276958,-8.562572508276958,-100.0,,,
2014-06-26,579.3842,1403755200000,11.63,0.12325,38.37408471749941,12.288622455013694,49.015077544986354,398.8655174688718,12.274927720466792,-12.274927720466792,-100.0,,,
2014-06-27,600.8645,1403841600000,11.63,0.1225,47.52757206744278,15.781404247899331,10.311595752100631,65.34016612287978,15.767288213475295,-15.767288213475295,-100.0,,,
2014-06-28,591.994,1403928000000,11.26,0.12300000000000001,49.18985154070374,16.09180977858523,20.2454902214148,125.81238841362163,16.077845372494835,-16.077845372494835,-100.0,,,
2014-06-29,598.6032,1404014400000,11.57,0.12300000000000001,48.87761496335529,16.16826353632348,16.93503646367651,104.74245688555487,16.154143227381553,-16.154143227381553,-100.0,,,
2014-06-30,639.3623,1404100800000,11.57,0.12300000000000001,64.65604343105332,22.838209942729012,-22.838209942729012,-100.0,22.823128177042065,-1.4526281770420724,-6.364719883154671,,,
2014-07-01,635.5905,1404187200000,11.15,0.12300000000000001,60.64509874855889,21.29638715066585,-21.29638715066585,-100.0,21.28139435707465,-5.9101943570746025,-27.771650005206805,,,
2014-07-02,647.34,1404273600000,10.82,0.12300000000000001,52.01681241822102,18.60664555031616,-18.60664555031616,-100.0,18.59137560055564,8.199024399444339,44.10122508201759,,,
2014-07-03,640.6879,1404360000000,10.32,0.12300000000000001,55.376875472745354,19.60394810929949,-19.60394810929949,-100.0,19.588835074348427,5.986164925651622,30.559065421355783,,,
2014-07-04,626.9575,1404446400000,10.32,0.12300000000000001,57.16623593484898,19.8031395515124,-15.58023955151242,-78.67560348693563,19.78835039971119,-19.78835039971119,-100.0,,,
2014-07-05,628.3313,1404532800000,11.33,0.12300000000000001,54.634853553794926,18.96846368604804,-12.822263686048133,-67.59779757745667,18.95364212800439,-18.95364212800439,-100.0,,,
2014-07-06,631.7065,1404619200000,11.98,0.12300000000000001,54.62653117284146,19.067453947301658,-19.067453947301658,-100.0,19.052552772465447,-14.921952772465488,-78.31996557453729,,,
2014-07-07,617.9918,1404705600000,11.98,0.12300000000000001,28.086166173323573,9.595893424240499,-9.207893424240467,-95.95660369653652,9.581315762210581,-9.581315762210581,-100.0,,,
2014-07-08,620.2193,1404792000000,11.65,0.12225,28.7012972984942,9.841172019385963,-9.841172019385963,-100.0,9.826631020914249,-8.963131020914318,-91.21265469149981,,,
2014-07-09,620.5496,1404878400000,12.59,0.1225,22.7302898507685,7.799688873356899,-7.799688873356899,-100.0,7.785110379344702,-2.439410379344622,-31.33430690741157,,,
2014-07-10,615.1129,1404964800000,12.59,0.1225,22.58097450919273,7.680619329173851,-0.17011932917387185,-2.2149168170292644,7.666168558873607,-7.666168558873607,-100.0,,,
