Datetime,Price,Timestamp,VIX,10-Month-LIBOR,10-Month-VM,96-Calls,96-Calls-P,96-Calls-ROI,96-Puts,96-Puts-P,96-Puts-ROI,94-Calls,94-Calls-P,94-Calls-ROI,94-Puts,94-Puts-P,94-Puts-ROI,98-Calls,98-Calls-P,98-Calls-ROI,98-Puts,98-Puts-P,98-Puts-ROI,96-Butterfly-Spreads,96-Butterfly-Spreads-P,96-Butterfly-Spreads-ROI
2016-01-27,94.09,1453870800000,22.42,1.0501567567567571,27.646939936014448,11.604061626475065,42.08953837352495,362.71384734372856,7.064171109807602,-7.064171109807602,-100.0,12.621390042025151,42.954009957974854,340.3270940439353,6.21587224445495,-6.21587224445495,-100.0,10.64840357735685,41.163396422643146,386.56871073307616,7.974140341592153,-7.974140341592153,-100.0,0.061670366431869184,-0.061670366431869184,-100.0
2016-01-28,97.34,1453957200000,20.2,1.0508094594594597,27.82244638063141,12.063803913231645,38.14979608676836,316.2335558598184,7.366602237724336,-7.366602237724336,-100.0,13.11452077828674,39.04587922171326,297.7301258797057,6.4872608043524815,-6.4872608043524815,-100.0,11.076494393755972,37.190305606244024,335.75880855597137,8.309351016675585,-8.309351016675585,-100.0,0.06340734557942085,-0.06340734557942085,-100.0
2016-01-29,96.43,1454043600000,19.98,1.0415472972972972,27.80107259179349,11.94025735521592,38.826942644784076,325.1767653720054,7.293955275081822,-7.293955275081822,-100.0,12.981213614699163,39.71458638530083,305.9389327075734,6.422751161234538,-6.422751161234538,-100.0,10.962168929262798,37.87643107073721,345.5194981499376,8.228027222459232,-8.228027222459232,-100.0,0.06286783353012027,-0.06286783353012027,-100.0
2016-02-01,94.48,1454302800000,21.98,1.0435405405405405,27.85961588855256,11.718574894016767,40.75062510598322,347.74386369104934,7.164756718476753,-7.164756718476753,-100.0,12.737944830364782,41.62085516963521,326.74702021333286,6.310664533481855,-6.310664533481855,-100.0,10.760673821237752,39.818926178762226,370.0411966783511,8.080317767040654,-8.080317767040654,-100.0,0.06146886356900083,-0.06146886356900083,-100.0
2016-02-02,96.35,1454389200000,21.65,1.0419310810810811,27.86714332109927,11.952366071340116,37.1816339286599,311.08178670845416,7.30962936329432,-7.30962936329432,-100.0,12.991811700160724,38.06918829983928,293.02447709712663,6.438507006865898,-6.438507006865898,-100.0,10.975590455099416,36.23140954490059,330.1089785840813,8.243421732302679,-8.243421732302679,-100.0,0.06267001257990756,-0.06267001257990756,-100.0
2016-02-03,96.6,1454475600000,21.84,1.0363256756756758,27.859067927241675,11.978465055511125,37.0855349444889,309.60172920842115,7.327917988509334,-7.327917988509334,-100.0,13.020597189123926,37.975402810876076,291.6563830313163,6.454436519351352,-6.454436519351352,-100.0,10.99918702165733,36.132812978342685,328.50439679948545,8.264253557426336,-8.264253557426336,-100.0,0.06285409975900436,-0.06285409975900436,-100.0
2016-02-04,94.02,1454562000000,23.38,1.0358837837837838,27.940137350835013,11.684550891637812,39.10624910836221,334.6833735505321,7.158536022829582,-7.158536022829582,-100.0,12.698063283906135,39.97313671609388,314.7971137201442,6.30759039153142,-6.30759039153142,-100.0,10.732040800012527,38.178359199987504,355.7418380290069,8.070483954770793,-8.070483954770793,-100.0,0.061002300643039575,-0.061002300643039575,-100.0
2016-02-05,95.01,1454648400000,26.0,1.0412324324324325,27.95918613744047,11.815897243412126,38.804502756587894,328.4092774099156,7.238249282238427,-7.238249282238427,-100.0,12.839981458397009,39.680618541602996,309.0395314835357,6.378326163081128,-6.378326163081128,-100.0,10.85341319703742,37.866786802962594,348.89288849058863,8.159772570005963,-8.159772570005963,-100.0,0.06160016861018036,-0.06160016861018036,-100.0
2016-02-08,94.99,1454907600000,26.54,1.0453135135135136,27.801525120542827,11.763577180070401,38.24602281992961,325.122386111643,7.183860137890051,-7.183860137890051,-100.0,12.789044251774905,39.120355748225094,305.88959564195613,6.3257796479733415,-6.3257796479733415,-100.0,10.800035693707226,37.30976430629277,345.45963887908056,8.103866213148143,-8.103866213148143,-100.0,0.06192558534133141,-0.06192558534133141,-100.0
2016-02-09,94.27,1454994000000,26.29,1.0375648648648648,27.807335461244545,11.673276862406206,38.507523137593815,329.87757929058733,7.133987453392706,-7.133987453392706,-100.0,12.690792487115974,39.37540751288403,310.267523110625,6.282113274123603,-6.282113274123603,-100.0,10.717209910196672,37.57819008980334,350.63407738286753,8.047310305162064,-8.047310305162064,-100.0,0.06144867250023367,-0.06144867250023367,-100.0
