Datetime,Timestamp,Price,VIX,1-Month-LIBOR,1-Month-VM,100-Calls,100-Calls-P,100-Calls-ROI,100-Puts,100-Puts-P,100-Puts-ROI,105-Calls,105-Calls-P,105-Calls-ROI,105-Puts,105-Puts-P,105-Puts-ROI,100-Bull-Spreads,100-Bull-Spreads-P,100-Bull-Spreads-ROI,95-Calls,95-Calls-P,95-Calls-ROI,95-Puts,95-Puts-P,95-Puts-ROI,100-Bear-Spreads,100-Bear-Spreads-P,100-Bear-Spreads-ROI,90-Calls,90-Calls-P,90-Calls-ROI,90-Puts,90-Puts-P,90-Puts-ROI,95-Bear-Spreads,95-Bear-Spreads-P,95-Bear-Spreads-ROI,105-Bear-Spreads,105-Bear-Spreads-P,105-Bear-Spreads-ROI,97-Calls,97-Calls-P,97-Calls-ROI,97-Puts,97-Puts-P,97-Puts-ROI,103-Calls,103-Calls-P,103-Calls-ROI,103-Puts,103-Puts-P,103-Puts-ROI,100-Strangles,100-Strangles-P,100-Strangles-ROI
2010-08-28,1282968000000,0.0641,27.37,0.25938,103.11699276217522,0.00753843080647763,-0.00753843080647763,-100.0,0.007524766845498494,-0.00562476684549849,-74.75004822060855,0.006227746152374144,-0.006227746152374144,-100.0,0.009418398993346051,-0.0043133989933460464,-45.79758190742815,0.001310684654103486,-0.001310684654103486,-100.0,0.009062653082591169,-0.007757653082591173,-85.60024323884996,0.005844672319660998,-0.005844672319660998,-100.0,0.0016800945258374962,4.998319905474164,297502.30291254557,0.010813873657835114,-0.006303873657835114,-58.29431577710073,0.004391576092953896,-0.004391576092953896,-100.0,0.001453096226707102,4.998546903773293,343992.83487925824,0.0018936321478475566,4.998106367852152,263942.8345961157,0.008426362741806453,-0.008403362741806466,-99.727047117425,0.006490108699656709,-0.006490108699656709,-100.0,0.0067274516430383255,-0.0067274516430383255,-100.0,0.008636377763229824,-0.004813377763229825,-55.73375661869753,0.013217560342695035,-0.013217560342695035,-100.0
2010-08-29,1283054400000,0.064,27.37,0.25938,95.79076749942485,0.006995880294991555,-0.006995880294991555,-100.0,0.006982237650644218,-0.004882237650644213,-69.92368199031084,0.0056819795696941965,-0.0056819795696941965,-100.0,0.008867654793129502,-0.003567654793129489,-40.232224600055964,0.001313900725297359,-0.001313900725297359,-100.0,0.00853954851723724,-0.00743954851723725,-87.11875694857147,0.005326588005107276,-0.005326588005107276,-100.0,0.001655649645536942,4.998344350354463,301896.2595032269,0.01032685597641927,-0.00602685597641927,-58.36099573947017,0.003914577596506659,-0.003914577596506659,-100.0,0.0014120104086006169,4.9985879895914005,354005.03842923406,0.0018854171424852843,4.9981145828575135,265093.3032394726,0.007893469563187594,-0.007893469563187594,-100.0,0.005960236198170689,-0.005780236198170675,-96.97998545669618,0.006181112653290585,-0.006181112653290585,-100.0,0.008087060729612825,-0.0040670607296128146,-50.29096312731078,0.012141348851461273,-0.011961348851461273,-98.51746290958162
2010-08-30,1283140800000,0.065,24.45,0.25938,91.65654430101245,0.0068006363909755285,-0.0068006363909755285,-100.0,0.006786780580310268,-0.003686780580310263,-54.32296707818003,0.0054637457972807465,-0.0054637457972807465,-100.0,0.008699197196082227,-0.0023491971960822172,-27.004758521167933,0.001336890593694782,-0.001336890593694782,-100.0,0.008381542374566515,-0.008231542374566525,-98.21035325842699,0.005118379354434533,-0.005118379354434533,-100.0,0.0016684012258757347,4.998331598774124,299588.1039436739,0.010220759722538358,-0.006820759722538358,-66.73437110058977,0.003708289492939616,-0.003708289492939616,-100.0,0.0014100898614949173,4.998589910138505,354487.33067545155,0.0019124166157719602,4.998087583384228,261349.30758101144,0.007718802393680311,-0.007718802393680311,-100.0,0.005755362257335011,-0.004605362257334999,-80.01863395246099,0.005970442134087248,-0.005970442134087248,-100.0,0.007906170649102021,-0.0028561706491020203,-36.12584114189874,0.011725804391422259,-0.01057580439142226,-90.19257049144318
2010-08-31,1283227200000,0.06,27.21,0.25781,88.38772465600044,0.006055040393605115,-0.004155040393605116,-68.62118373303277,0.006042327822732639,-0.006042327822732639,-100.0,0.004819501909294218,-0.004819501909294218,-100.0,0.007806153709878125,-0.006706153709878121,-85.90855316353773,0.0012355384843108974,-0.0012355384843108974,-100.0,0.007524242340185016,-0.002624242340185021,-34.877163992574076,0.004512165397856175,-0.004512165397856175,-100.0,0.0015301624248764644,4.998469837575124,326662.69647672656,0.009240426118472587,-0.0013404261184725846,-14.506107199893426,0.0032289848046873626,-0.0032289848046873626,-100.0,0.0012831805931688128,4.998716819406831,389556.76590015343,0.0017638258871454854,4.998236174112853,283374.69194319553,0.006907479751806524,-0.003207479751806529,-46.43487736562199,0.005095148558060234,-0.005095148558060234,-100.0,0.005286852982600711,-0.005186852982600708,-98.10851558896931,0.007073759034602056,-0.007073759034602056,-100.0,0.010382001540660945,-0.010282001540660949,-99.03679459487319
2010-09-01,1283313600000,0.0629,26.05,0.25781,89.68447989242675,0.006440223641806736,-0.006440223641806736,-100.0,0.006426896630008762,-0.005526896630008764,-85.9963517104402,0.005145550850017212,-0.005145550850017212,-100.0,0.008276557487629344,-0.004231557487629337,-51.12702345092251,0.0012946727917895248,-0.0012946727917895248,-100.0,0.00797627698794793,-0.005731276987947932,-71.85403662144421,0.00481861632673986,-0.00481861632673986,-100.0,0.0016082803032689025,4.998391719696731,310791.07973512297,0.009767626211263545,-0.004377626211263537,-44.81770817781168,0.0034656319006453537,-0.0034656319006453537,-100.0,0.0013529844260945073,4.9986470155739084,369453.4038357621,0.0018496608576205817,4.99815033914238,270219.82535609475,0.007331810373468505,-0.00634481037346851,-86.53811337549543,0.005431883172024473,-0.005431883172024473,-100.0,0.00563566622081195,-0.00563566622081195,-100.0,0.0075089393986600425,-0.004721939398660044,-62.884239011206645,0.011067549392836423,-0.011067549392836423,-100.0
2010-09-02,1283400000000,0.0634,26.05,0.25781,89.70951638798691,0.006493218113886343,-0.006493218113886343,-100.0,0.006479785163997762,-0.004479785163997767,-69.13477917273917,0.005188265640548511,-0.005188265640548511,-100.0,0.008344161043165516,-0.0031741610431655146,-38.04050553129469,0.0013049524733378323,-0.0013049524733378323,-100.0,0.008041401310364661,-0.006871401310364657,-85.45029709570673,0.004858640007970507,-0.004858640007970507,-100.0,0.0016211451560272545,4.998378854843973,308323.9545984209,0.009846840203455366,-0.005506840203455357,-55.924947390970594,0.0034947505485556397,-0.0034947505485556397,-100.0,0.0013638894594148671,4.998636110540585,366498.6246528431,0.001864375879167754,4.998135624120832,268086.26307437365,0.007391852403357155,-0.007391852403357155,-100.0,0.0054768224419652406,-0.0053788224419652406,-98.21064127898157,0.005682280111337198,-0.005682280111337198,-100.0,0.007570444172951961,-0.0036684441729519647,-48.45744964421975,0.01115910255330244,-0.011061102553302445,-99.12179317707773
2010-09-03,1283486400000,0.0609,23.89,0.25781,88.96478467198679,0.0061857324648905716,-0.005985732464890575,-96.76675315113978,0.0061728292054550075,-0.0061728292054550075,-100.0,0.004931906396842913,-0.004931906396842913,-100.0,0.00796335797443557,-0.005118357974435571,-64.27386525717942,0.0012538260680476582,-0.0012538260680476582,-100.0,0.007675173690328659,-0.004430173690328661,-57.72082651251319,0.004617915593864885,-0.004617915593864885,-100.0,0.001554913611590122,4.9984450863884105,321461.2727762273,0.009413728731682268,-0.0031237287316822626,-33.18269328464111,0.003312115798190248,-0.003312115798190248,-100.0,0.0013057997956746376,4.9986942002043255,382807.0900885511,0.0017905287689805622,4.99820947123102,279147.11887465237,0.007050071165205619,-0.005023071165205624,-71.24851717804076,0.005210555003553122,-0.005210555003553122,-100.0,0.005406347154025579,-0.005406347154025579,-100.0,0.00722005679680696,-0.005593056796806956,-77.46555123057291,0.010616902157578701,-0.010616902157578701,-100.0
2010-09-04,1283572800000,0.0624,23.19,0.25781,86.17721288702988,0.006140726948641234,-0.006140726948641234,-100.0,0.00612750587493386,-0.005027505874933863,-82.04816082674306,0.004854896088908682,-0.004854896088908682,-100.0,0.007961013961515941,-0.0037410139615159455,-46.991676934624785,0.0012858308597325516,-0.0012858308597325516,-100.0,0.0076758580136228535,-0.005655858013622853,-73.68372374247969,0.00454329799360086,-0.00454329799360086,-100.0,0.0015842078813329994,4.998415792118667,315515.144888236,0.009474205695757168,-0.004334205695757161,-45.74743081309865,0.003222306729420529,-0.003222306729420529,-100.0,0.0013209912641803313,4.998679008735818,378403.63856134017,0.0018335080865820809,4.998166491913418,272601.27885395417,0.007030783222749831,-0.006258783222749836,-89.01971550620422,0.005145958781253693,-0.005145958781253693,-100.0,0.0053405704476966855,-0.0053405704476966855,-100.0,0.007198952741778095,-0.0042269527417781,-58.716217391560065,0.010486529228950377,-0.010486529228950377,-99.99999999999999
2010-09-05,1283659200000,0.0616,23.19,0.25781,85.98327351236837,0.006048440963414422,-0.006048440963414422,-100.0,0.0060353893906520215,-0.005835389390652025,-96.68621215542828,0.004779026858992088,-0.004779026858992088,-100.0,0.007845322707591564,-0.0045653227075915645,-58.191649696881285,0.0012694141044223336,-0.0012694141044223336,-100.0,0.007564518876725462,-0.004684518876725462,-61.927519159728796,0.004472119882601175,-0.004472119882601175,-100.0,0.0015632695080508461,4.9984367304919495,319742.4823263023,0.009341003342353334,-0.003381003342353327,-36.19529100287775,0.0031692569268671512,-0.0031692569268671512,-100.0,0.0013028629557340242,4.9986971370442665,383670.2175807918,0.0018099333169395427,4.998190066683058,276153.2714992293,0.00692739392016407,-0.0052793939201640746,-76.21038995338431,0.005066733894584539,-0.005066733894584539,-100.0,0.005258437949535493,-0.005258437949535493,-100.0,0.007092994829590219,-0.005044994829590217,-71.12644166246601,0.010325171844120032,-0.010325171844120032,-100.0
2010-09-06,1283745600000,0.0616,21.31,0.25766,83.7439973212383,0.005891851550482816,-0.004691851550482823,-79.63288807061582,0.0058788075706323285,-0.0058788075706323285,-100.0,0.00462173819764054,-0.00462173819764054,-100.0,0.007688042018797511,-0.005808042018797505,-75.5464395823625,0.001270113352842276,-0.001270113352842276,-100.0,0.007415276271245614,-0.0031352762712456225,-42.28131436455517,0.00432288449038766,-0.00432288449038766,-100.0,0.0015559230802446686,4.998444076919755,321252.64676540124,0.009205797820408305,-0.001845797820408307,-20.050384077698983,0.003034058238542861,-0.003034058238542861,-100.0,0.0012888262518447988,4.998711173748156,387849.8879575975,0.0018092344481651828,4.9981907655518345,276259.98226049147,0.006774391662915727,-0.0037263916629157374,-55.007030126626645,0.004913739002460758,-0.004913739002460758,-100.0,0.0051006694213451475,-0.0051006694213451475,-100.0,0.0069352341220991496,-0.006287234122099139,-90.65640772046676,0.010014408423805906,-0.010014408423805906,-99.99999999999999
