Datetime,Timestamp,Price,VIX,1-Year-LIBOR,1-Year-VM,100-Calls,100-Calls-P,100-Calls-ROI,100-Puts,100-Puts-P,100-Puts-ROI,100-Straddles,100-Straddles-P,100-Straddles-ROI
2014-05-08,1399521600000,435.343,13.43,0.5436,119.30619401846806,196.19891252868763,-196.19891252868763,-100.0,193.83880855505996,-1.8904085550599063,-0.9752477169828124,390.03772108374756,-198.08932108374754,-50.787221434209556
2014-05-09,1399608000000,448.235,12.92,0.5421,119.3311771562968,202.0444737397624,-202.0444737397624,-100.0,199.62116611460453,8.131333885395492,4.073382619520022,401.66563985436693,-193.9131398543669,-48.277253669164864
2014-05-10,1399694400000,452.7108,12.92,0.5402,119.26953753732708,203.96666868105498,-203.96666868105498,-100.0,201.52771847499858,11.551881525001392,5.7321551657592495,405.49438715605356,-192.41478715605356,-47.451899027643805
2014-05-11,1399780800000,436.542,12.23,0.5402,119.31778991096095,196.75204284183238,-196.75204284183238,-100.0,194.4002010018491,0.2878989981508653,0.14809603933903692,391.1522438436815,-196.46414384368154,-50.22702718335822
2014-05-12,1399867200000,438.4278,12.13,0.5377,119.3129326224306,197.59187362248642,-197.59187362248642,-100.0,195.2407739379936,2.197026062006387,1.1252905925809016,392.83264756048004,-195.39484756048006,-49.73997165813396
2014-05-13,1399953600000,437.413,12.13,0.5392,119.29117809753599,197.10463870712707,-197.10463870712707,-100.0,194.75245499728925,6.862445002710757,3.5236757363630025,391.85709370441634,-190.24219370441634,-48.54887068802661
2014-05-14,1400040000000,441.7498,12.17,0.5371,119.1359469529632,198.82788372021872,-198.82788372021872,-100.0,196.46160587203843,8.549194127961558,4.351585181243968,395.28948959225715,-190.27868959225717,-48.13654159854604
2014-05-15,1400126400000,444.3162,13.17,0.5371,119.11711582880145,199.95512040703568,-199.95512040703568,-100.0,197.57509537556385,9.431004624436158,4.77337723487319,397.5302157825995,-190.52411578259952,-47.926952019866825
2014-05-16,1400212800000,445.0133,13.17,0.5346,119.07773095571147,200.20736330307187,-200.20736330307187,-100.0,197.83467006121288,11.452129938787152,5.788737603597842,398.04203336428475,-188.75523336428472,-47.420929837210814
2014-05-17,1400299200000,446.3583,12.44,0.5346,119.00967358693008,200.7112218220887,-200.7112218220887,-100.0,198.3313573958847,11.927342604115296,6.013846101152527,399.0425792179734,-188.78387921797344,-47.309206849039526
2014-05-18,1400385600000,444.809,12.42,0.5346,119.010287929478,200.0154683512962,-200.0154683512962,-100.0,197.64386438301483,14.299635616985256,7.2350516225861385,397.659332734311,-185.715832734311,-46.70224421927342
2014-05-19,1400472000000,444.3128,12.42,0.5346,119.00754259854912,199.78827834369957,-199.78827834369957,-100.0,197.41931998260918,14.950080017390805,7.57275428702103,397.20759832630876,-184.83819832630877,-46.53440646783975
2014-05-20,1400558400000,485.8305,12.96,0.5346,119.3139526879284,218.9529580479806,-218.9529580479806,-100.0,216.36263828891063,35.222361711089356,16.279317903332586,435.3155963368912,-183.7305963368912,-42.20629765690773
2014-05-21,1400644800000,489.1625,11.91,0.5336,119.31388049193356,220.45315119292198,-220.45315119292198,-100.0,217.84993165940108,36.007768340598936,16.528703069274098,438.3030828523231,-184.44538285232306,-42.081698730480525
2014-05-22,1400731200000,526.0577,12.03,0.5336,119.51234821193728,237.42846771722245,-237.42846771722245,-100.0,234.6288997200864,50.90980027991355,21.69800921397545,472.0573674373088,-186.51866743730886,-39.51186451127242
2014-05-23,1400817600000,519.0392,12.03,0.5341,119.51413545660749,234.264571424587,-234.264571424587,-100.0,231.49977302396408,48.50632697603598,20.953077552700133,465.76434444855107,-185.758244448551,-39.88245271726035
2014-05-24,1400904000000,525.6332,11.36,0.5354,119.41816962596715,237.0747001700064,-237.0747001700064,-100.0,234.26798031089191,50.178819689108074,21.419410208137226,471.3426804808983,-186.8958804808983,-39.65180498617555
2014-05-25,1400990400000,570.095,11.51,0.5354,119.6625365547363,257.59178191120867,-257.59178191120867,-100.0,254.5476496948993,78.05945030510074,30.66594816281461,512.139431606108,-179.53233160610796,-35.05536198278679
2014-05-26,1401076800000,581.8267,11.51,0.5354,119.671450167749,262.9098868651728,-262.9098868651728,-100.0,259.80311097382304,84.69648902617695,32.60025975389907,522.7129978389958,-178.21339783899577,-34.09392890090107
2014-05-27,1401163200000,569.6332,11.68,0.5354,119.65417456354629,257.36727615505936,-257.36727615505936,-100.0,254.325609808925,78.12289019107493,30.717665535047253,511.6928859639844,-179.24438596398443,-35.02968106079954
2014-05-28,1401249600000,574.4547,11.57,0.5354,119.65075965700652,259.53916292705475,-259.53916292705475,-100.0,256.4717512516666,80.51134874833343,31.391897296841286,516.0109141787214,-179.02781417872131,-34.694578982628784
2014-05-29,1401336000000,565.5058,11.57,0.5354,119.64887545620172,255.4924968736885,-255.4924968736885,-100.0,252.47286957597527,75.9280304240248,30.073738438329983,507.96536644966375,-179.5644664496637,-35.34974592947125
2014-05-30,1401422400000,616.47,11.4,0.5344,119.89227020922108,279.0151480950032,-279.0151480950032,-100.0,275.7295194341218,107.44658056587821,38.96810932191455,554.7446675291251,-171.56856752912506,-30.92748386267587
2014-05-31,1401508800000,623.2567,11.58,0.5344,119.89338580393186,282.08912906360587,-282.08912906360587,-100.0,278.7673290139583,114.49017098604172,41.07015387743269,560.8564580775642,-167.59895807756413,-29.882683111475533
2014-06-01,1401595200000,629.0242,11.58,0.5344,119.89436989996814,284.70158653980087,-284.70158653980087,-100.0,281.3490471787486,124.36655282125132,44.20365168048283,566.0506337185495,-160.3350337185496,-28.32521053200888
2014-06-02,1401681600000,658.7860000000003,11.87,0.5345,119.82417473590247,298.01845856232273,-298.01845856232273,-100.0,294.5066410852928,138.53325891470735,47.03909507921296,592.5250996476155,-159.48519964761527,-26.916193042702115
2014-06-03,1401768000000,665.73,12.08,0.535,119.8102767719907,301.1299008897106,-301.1299008897106,-100.0,297.577755850293,142.50704414970704,47.88901097211051,598.7076567400036,-158.62285674000356,-26.494208810308827
2014-06-04,1401854400000,636.7837,11.68,0.534,119.91093783285248,288.2479737244023,-288.2479737244023,-100.0,284.85661176173227,127.5560882382677,44.77905127403598,573.1045854861345,-160.69188548613454,-28.03884134862192
2014-06-05,1401940800000,656.0598,11.68,0.534,119.9375752916041,297.03162836343347,-297.03162836343347,-100.0,293.53760637298853,137.48649362701144,46.83777841136713,590.569234736422,-159.54513473642203,-27.01548359653867
2014-06-06,1402027200000,645.5647,10.73,0.5345,119.9205288193001,292.24426902125214,-292.24426902125214,-100.0,288.8029308689333,131.08266913106672,45.388275228604115,581.0471998901854,-161.1615998901854,-27.73640418896159
2014-06-07,1402113600000,652.7083,11.15,0.5335,119.69248612800972,294.9814037942593,-294.9814037942593,-100.0,291.50847728249363,137.81022271750643,47.27485938049,586.4898810767529,-157.17118107675287,-26.79861769962646
2014-06-08,1402200000000,653.6402,11.15,0.5335,119.6465583480213,295.30269537836665,-295.30269537836665,-100.0,291.8248104185218,133.1701895814783,45.63360784523142,587.1275057968885,-162.13250579688844,-27.6145307784263
2014-06-09,1402286400000,645.341,10.99,0.5351,119.41362118887844,291.0558304165192,-291.0558304165192,-100.0,287.6118333573686,128.39646664263142,44.64227536948869,578.6676637738879,-162.65936377388783,-28.109288622259417
2014-06-10,1402372800000,649.8068,11.6,0.5366,119.29942447891553,292.82555565806234,-292.82555565806234,-100.0,289.3480309124586,131.50666908754135,45.449305002296114,582.1735865705209,-161.31888657052093,-27.709757071051826
2014-06-11,1402459200000,627.9098,11.6,0.5396,119.34748469743042,283.06368411726487,-283.06368411726487,-100.0,279.68460778340494,118.20629221659505,42.264139293692224,562.7482919006698,-164.85739190066977,-29.295049718208404
2014-06-12,1402545600000,581.8033,12.56,0.5396,119.62060754511394,262.80762163973907,-262.80762163973907,-100.0,259.67666594834577,91.92253405165422,35.39884252439502,522.4842875880848,-170.88508758808484,-32.70626345089384
2014-06-13,1402632000000,597.4267,12.18,0.5401,119.53538032011585,269.69629975959936,-269.69629975959936,-100.0,266.4782961941692,98.19510380583084,36.84919380236546,536.1745959537686,-171.50119595376862,-31.986072680055923
2014-06-14,1402718400000,571.6902,12.18,0.5446,119.55592014172724,258.1242239243035,-258.1242239243035,-100.0,255.01926158171003,82.81733841828992,32.47493460087313,513.1434855060136,-175.3068855060136,-34.163326721987424
2014-06-15,1402804800000,591.9718,12.65,0.5446,119.59178922947686,267.35223486015394,-267.35223486015394,-100.0,264.1371191438494,90.52508085615062,34.27200279520371,531.4893540040034,-176.82715400400338,-33.27012153147877
2014-06-16,1402891200000,588.06,12.06,0.5466,119.59670427406657,265.5983989586381,-265.5983989586381,-100.0,262.3928317947955,74.76946820520449,28.49524039729789,527.9912307534336,-190.8289307534336,-36.142443214657995
2014-06-17,1402977600000,607.3427,12.06,0.5506,119.61816191020178,274.3575033197497,-274.3575033197497,-100.0,271.0226636520771,87.15193634792297,32.15669685093328,545.3801669718268,-187.20556697182678,-34.32570128306433
2014-06-18,1403064000000,604.8752,10.61,0.5506,119.52963861334946,273.0646873311576,-273.0646873311576,-100.0,269.7433963846271,86.25860361537286,31.978022361806673,542.8080837157847,-186.80608371578478,-34.41475713423545
2014-06-19,1403150400000,592.2648,10.62,0.5506,119.55691762619564,267.4256139508504,-267.4256139508504,-100.0,264.1735650683888,84.54423493161119,32.00329105969574,531.5991790192393,-182.88137901923926,-34.40211840745159
2014-06-20,1403236800000,588.5215,10.85,0.5456,119.53961113937551,265.6934146246884,-265.6934146246884,-100.0,262.4911849468928,80.76911505310716,30.770219986415306,528.1845995715812,-184.9242995715813,-35.01130092046915
2014-06-21,1403323200000,591.0298,10.85,0.5471,119.5214585562224,266.7925451255089,-266.7925451255089,-100.0,263.5678502858598,83.45194971414027,31.662416195158148,530.3603954113687,-183.34059541136867,-34.569058511460376
2014-06-22,1403409600000,598.8765,10.98,0.5471,119.51295979372424,270.31762986729836,-270.31762986729836,-100.0,267.0501229511715,85.0563770488285,31.850341841774977,537.3677528184699,-185.26125281846987,-34.47569226973202
2014-06-23,1403496000000,587.4598,12.13,0.5471,119.53462346311356,265.2067736726932,-265.2067736726932,-100.0,262.0015569720104,81.47204302798963,31.096014836542853,527.2083306447037,-183.7347306447037,-34.850498363715396
2014-06-24,1403582400000,575.0667,12.13,0.5471,119.41174228604977,259.3767522465522,-259.3767522465522,-100.0,256.2391530596008,78.61204694039918,30.679170611414786,515.6159053061531,-180.76470530615313,-35.05801575279605
2014-06-25,1403668800000,562.1263,11.59,0.5471,119.44108525463041,253.5950512390501,-253.5950512390501,-100.0,250.52805566819902,69.176244331801,27.612174671334405,504.1231069072491,-184.41880690724912,-36.58209758299759
2014-06-26,1403755200000,579.3842,11.63,0.5471,119.4683836917732,261.4333452567591,-261.4333452567591,-100.0,258.2721895249937,78.46961047500629,30.382524196401164,519.7055347817527,-182.96373478175275,-35.20526962611382
2014-06-27,1403841600000,600.8645,11.63,0.5461,119.4802230166238,271.1478439675726,-271.1478439675726,-100.0,267.87546629285544,82.28243370714459,30.71667399999564,539.023310260428,-188.865410260428,-35.038449481744685
2014-06-28,1403928000000,591.994,11.26,0.5451,119.2474084044325,266.6844036316985,-266.6844036316985,-100.0,263.46622345635234,80.46047654364777,30.53919985951346,530.1506270880509,-186.22392708805086,-35.12660696280221
2014-06-29,1404014400000,598.6032,11.57,0.5451,119.24886798306558,269.664658936168,-269.664658936168,-100.0,266.41055002435667,75.70514997564334,28.416723725363717,536.0752089605246,-193.9595089605246,-36.18139875123518
2014-06-30,1404100800000,639.3623,11.57,0.5451,119.3855575549668,288.3172362898129,-288.3172362898129,-100.0,284.84155397086414,92.03644602913583,32.31145341895939,573.158790260677,-196.28079026067707,-34.2454470900476
2014-07-01,1404187200000,635.5905,11.15,0.5462,118.4764912644508,284.69206760362226,-284.69206760362226,-100.0,281.2299359813543,96.70016401864576,34.38473350328432,565.9220035849766,-187.9919035849765,-33.218694872101466
