Datetime,Timestamp,Price,VIX,2-Month-LIBOR,2-Month-VM,90-Calls,90-Calls-P,90-Calls-ROI,90-Puts,90-Puts-P,90-Puts-ROI
2017-03-01,1488344400000,138.96,11.81,0.8522200000000001,15.107094148749303,14.20380988362588,14.342190116374127,100.97424728915705,0.13272919152592255,-0.13272919152592255,-100.0
2017-03-02,1488430800000,139.78,10.96,0.85167,14.932603548312589,14.279477303467203,13.588522696532792,95.16120518804536,0.1254770435522321,-0.1254770435522321,-100.0
2017-03-03,1488517200000,139.34,11.24,0.85167,14.987605799868856,14.23702389451907,13.11697610548093,92.13285165961312,0.1275776488719762,-0.1275776488719762,-100.0
2017-03-06,1488776400000,139.52,11.45,0.8627799999999999,14.94753057315786,14.25578643538067,13.356213564619338,93.68977029195155,0.1258235266567196,-0.1258235266567196,-100.0
2017-03-07,1488862800000,139.0,11.86,0.89333,14.973615735697637,14.209844764529237,16.140155235470758,113.5843177946601,0.12627177718126248,-0.12627177718126248,-100.0
2017-03-08,1488949200000,138.68,12.3,0.905,14.787015680282671,14.171156572281305,14.946843427718704,105.47370182159045,0.11761539671764343,-0.11761539671764343,-100.0
2017-03-09,1489035600000,139.14,11.66,0.92556,14.667743952083429,14.21709491264535,15.006905087354653,105.55535557413216,0.11271236637081028,-0.11271236637081028,-100.0
2017-03-10,1489122000000,139.2,11.35,0.92889,14.42180958372096,14.213733151379003,15.876266848621015,111.69667165927282,0.10258377346021419,-0.10258377346021419,-100.0
2017-03-13,1489377600000,138.99,12.3,0.93222,14.439227316897751,14.193648281604808,15.705351718395193,110.65056289121647,0.103103577524708,-0.103103577524708,-100.0
2017-03-14,1489464000000,140.46,11.63,0.94833,14.511209171069693,14.34993402807109,8.216065971928899,57.25507835685358,0.10702094028995379,-0.10702094028995379,-100.0
2017-03-15,1489550400000,140.69,11.21,0.95833,14.509445749477926,14.375360357028796,4.423639642971196,30.772373930843887,0.10704664683560772,-0.10704664683560772,-100.0
2017-03-16,1489636800000,139.99,11.28,0.96944,14.59602521677084,14.309641490934155,5.329358509065841,37.243130880967534,0.11002212929856459,-0.11002212929856459,-100.0
2017-03-17,1489723200000,141.46,11.34,0.97722,14.674338142286615,14.464811436912726,4.811188563087271,33.2613292891576,0.11445980059306038,-0.11445980059306038,-100.0
2017-03-20,1489982400000,139.84,12.47,0.98722,14.974285668660217,14.314332222439106,4.989667777560896,34.857845270204834,0.12625529313308448,-0.12625529313308448,-100.0
2017-03-21,1490068800000,141.42,12.81,1.01556,14.933824029183032,14.479891654726472,2.5321083452735422,17.48706693151962,0.1255892775467755,-0.1255892775467755,-100.0
2017-03-22,1490155200000,140.92,13.12,1.02167,14.996780537150912,14.432784605878993,1.0092153941210285,6.992520304847746,0.12796112974454843,-0.12796112974454843,-100.0
2017-03-23,1490241600000,140.64,12.96,1.02,15.018766976995547,14.404783688295467,5.359216311704557,37.204420612432806,0.12872997478735648,-0.12872997478735648,-100.0
2017-03-24,1490328000000,140.88,12.5,1.02,14.944388342582048,14.425965864750182,3.7920341352498212,26.286171552059812,0.12555028483675112,-0.12555028483675112,-100.0
2017-03-27,1490587200000,143.8,11.53,1.02389,15.34428581712624,14.74504441827564,1.7049555817243487,11.562905701465054,0.1473999406722708,-0.1473999406722708,-100.0
2017-03-28,1490673600000,144.12,11.42,1.02,15.165295396000836,14.768223780281957,1.15377621971804,7.812559160015733,0.13892300389691492,-0.13892300389691492,-100.0
2017-03-29,1490760000000,143.93,11.54,1.02278,15.198636276938599,14.750940593734683,1.9920594062653123,13.504626322686297,0.14033532165127127,-0.14033532165127127,-100.0
2017-03-30,1490846400000,143.66,12.37,1.02278,15.20942221390776,14.723794925683151,1.8022050743168592,12.240085408777459,0.1405978619194892,-0.1405978619194892,-100.0
2017-03-31,1490932800000,143.7,12.38,1.02056,15.220808580491074,14.728000652544779,-0.3280006525447732,-2.2270548479918726,0.14121428741084152,-0.14121428741084152,-100.0
2017-04-03,1491192000000,144.77,11.79,1.02444,15.160974089570322,14.835527801852976,0.7014721981470302,4.7283265382672495,0.1392976068194045,-0.1392976068194045,-100.0
2017-04-04,1491278400000,144.02,12.89,1.02556,15.214877779608086,14.76152380723039,-0.6995238072303778,-4.738831955056982,0.14119112560221936,-0.14119112560221936,-100.0
2017-04-05,1491364800000,143.66,12.39,1.025,15.253266280098984,14.726393875061504,-0.00039387506147647855,-0.0026746199023203404,0.14272577023539945,-0.14272577023539945,-100.0
2017-04-06,1491451200000,143.34,12.87,1.02556,15.285016902371963,14.695268454035727,-0.20126845403572702,-1.3696139996711196,0.1439666446718828,-0.1439666446718828,-100.0
2017-04-07,1491537600000,143.17,14.05,1.02833,15.237138707230677,14.676047700848173,0.5609522991518503,3.822230007602327,0.14141787675046658,-0.14141787675046658,-100.0
2017-04-10,1491796800000,141.63,15.07,1.02722,15.470323150149971,14.529500696531542,0.7334993034684629,5.048344872880336,0.1514439863217456,-0.1514439863217456,-100.0
2017-04-11,1491883200000,141.8,15.77,1.02667,15.436768341084026,14.545136707938951,2.014863292061051,13.852487828191459,0.14993705071510544,-0.14993705071510544,-100.0
2017-04-12,1491969600000,141.05,15.96,1.02611,15.515020834727263,14.472040834017008,3.6429591659829867,25.172394189353664,0.1530960597880462,-0.1530960597880462,-100.0
2017-04-13,1492056000000,141.83,14.66,1.02611,15.497524861381965,14.551178207738488,3.3318217922615077,22.89726470733212,0.15305032876726976,-0.15305032876726976,-100.0
2017-04-14,1492142400000,141.2,14.42,1.02722,15.56792372145968,14.490355421071428,4.169644578928597,28.77530921612336,0.15595164022256913,-0.15595164022256913,-100.0
2017-04-17,1492401600000,140.68,14.93,1.03333,15.617878117327004,14.440767313611815,6.717232686388201,46.51576014286001,0.1578836035237412,-0.1578836035237412,-100.0
