Datetime,Timestamp,Price,VIX,7-Day-LIBOR,7-Day-VM,106-Calls,106-Calls-P,106-Calls-ROI,106-Puts,106-Puts-P,106-Puts-ROI,106-Straddles,106-Straddles-P,106-Straddles-ROI
2013-03-26,1364270400000,65.8766,12.77,0.1762,20.366324271885507,0.013629931308219323,-0.013629931308219323,-100.0,3.963866318289988,5.408229681710012,136.43824608200012,3.9774962495982074,5.394599750401792,135.62802858573997
2013-03-27,1364356800000,64.5828,13.15,0.1752,19.06926933815932,0.00845416754575168,-0.00845416754575168,-100.0,3.8811220251835716,3.6895459748164328,95.06390035860626,3.8895761927293235,3.6810918072706955,94.63992026050698
2013-03-28,1364443200000,63.2371,12.7,0.1752,22.559244189323948,0.0246694687148632,-0.0246694687148632,-100.0,3.81664325399867,2.2175827460013195,58.102961121083915,3.8413127227135333,2.1929132772864706,57.08760092142093
2013-03-29,1364529600000,61.2728,13.58,0.1752,28.123017626368114,0.07277094293445074,-0.07277094293445074,-100.0,3.746956687551752,-1.03918868755175,-27.734206029233608,3.8197276304862027,-1.1119596304862012,-29.110966489112283
2013-04-01,1364788800000,61.3988,12.78,0.1752,28.20780482879907,0.07389180425985398,-0.07389180425985398,-100.0,3.755633061336553,-0.7200050613365505,-19.171336751421485,3.829524865596407,-0.7938968655964045,-20.730949490068493
2013-04-02,1364875200000,61.7128,14.21,0.1752,23.032514963154245,0.027104942727639525,-0.027104942727639525,-100.0,3.727675016568213,0.2878929834317958,7.7231245254002046,3.7547799592958526,0.2607880407041563,6.945494637002985
2013-04-03,1364961600000,61.1028,13.89,0.1712,21.133659217970862,0.016062512090566642,-0.016062512090566642,-100.0,3.680103995459461,1.1102640045405394,30.16936493942539,3.6961665075500276,1.0942014924499732,29.603685067079276
2013-04-04,1365048000000,60.4571,13.92,0.1712,20.71269712629116,0.013972001836924708,-0.013972001836924708,-100.0,3.639293957036713,-0.44616795703671386,-12.25973945231962,3.6532659588736376,-0.4601399588736381,-12.595304148496949
2013-04-05,1365134400000,60.8871,13.19,0.1712,22.775730714569338,0.02509246818506305,-0.02509246818506305,-100.0,3.676199458405314,3.3213265415946798,90.34674476110789,3.701291926590377,3.2962340734096163,89.05631165510636
2013-04-08,1365393600000,60.9971,12.84,0.1717,21.544783227902414,0.018080981855345124,-0.018080981855345124,-100.0,3.6757779440496714,4.974048055950327,135.31960122896677,3.6938589259050163,4.955967074094995,134.16774093181579
2013-04-09,1365480000000,62.2414,12.36,0.1727,16.748998919831358,0.002881186803930125,-0.002881186803930125,-100.0,3.7351800655610745,6.45070393443892,172.7012840402364,3.7380612523650045,6.447822747635004,172.4910939743318
2013-04-10,1365566400000,62.0471,12.24,0.1727,17.05880592925823,0.003367640455608667,-0.003367640455608667,-100.0,3.724015340541619,5.093110659458375,136.76395486377442,3.727382980997228,5.089743019002767,136.55004181086463
2013-04-11,1365652800000,61.4,12.06,0.1742,18.20185653054381,0.00566036889656274,-0.00566036889656274,-100.0,3.6874860646796113,3.3779139353203926,91.60479188451887,3.693146433576174,3.37225356642383,91.31112527153127
2013-04-12,1365739200000,59.9786,17.27,0.1752,22.38592666363717,0.022371713881954358,-0.022371713881954358,-100.0,3.618951551952073,2.0352644480479256,56.23906313280426,3.6413232658340275,2.0128927341659777,55.27915505477469
2013-04-15,1365998400000,60.8914,13.96,0.1752,23.815125245363266,0.03215377025115895,-0.03215377025115895,-100.0,3.683469098582648,2.5214149014173444,68.45218010346693,3.715622868833807,2.489261131166186,66.99445070289038
2013-04-16,1366084800000,57.5428,16.51,0.1742,41.24788808327289,0.27156531586727795,-0.27156531586727795,-100.0,3.7220956032826464,-2.32742760328265,-62.53003284574449,3.9936609191499244,-2.5989929191499215,-65.07795658583687
2013-04-17,1366171200000,56.0071,17.56,0.1747,41.9735032005399,0.27818430178474784,1.7999896982152563,647.049343427022,3.6366212790080175,-3.6366212790080175,-100.0,3.9148055807927653,-1.8366315807927682,-46.91501385927938
2013-04-18,1366257600000,55.79,14.97,0.1747,36.26913769025753,0.17575124929704433,3.941148750702957,2242.458455610669,3.5211699365578752,-3.5211699365578752,-100.0,3.6969211858549196,0.41997881414508154,11.360231745053031
2013-04-19,1366344000000,56.9528,14.39,0.1737,42.049177992880026,0.2843646119610099,2.101367388038988,738.9693722955626,3.699521581235573,-3.699521581235573,-100.0,3.9838861931965828,-1.5981541931965926,-40.11545801498583
2013-04-22,1366603200000,58.0186,13.48,0.1717,45.980349294664634,0.3717849900397976,1.7741990099602007,477.21103796317396,3.8508759135553134,-3.8508759135553134,-100.0,4.222660903595111,-2.0766769035951125,-49.179343333656284
