Datetime,Timestamp,Price,VIX,5-Day-LIBOR,5-Day-VM,90-Calls,90-Calls-P,90-Calls-ROI,90-Puts,90-Puts-P,90-Puts-ROI,88-Calls,88-Calls-P,88-Calls-ROI,88-Puts,88-Puts-P,88-Puts-ROI,92-Calls,92-Calls-P,92-Calls-ROI,92-Puts,92-Puts-P,92-Puts-ROI,90-Butterfly-Spreads,90-Butterfly-Spreads-P,90-Butterfly-Spreads-ROI,100-Calls,100-Calls-P,100-Calls-ROI,100-Puts,100-Puts-P,100-Puts-ROI,98-Calls,98-Calls-P,98-Calls-ROI,98-Puts,98-Puts-P,98-Puts-ROI,102-Calls,102-Calls-P,102-Calls-ROI,102-Puts,102-Puts-P,102-Puts-ROI,100-Butterfly-Spreads,100-Butterfly-Spreads-P,100-Butterfly-Spreads-ROI
2014-12-09,1418101200000,111.95,18.53,0.128066667,23.951770771990226,11.196827845988624,-2.541827845988621,-22.70132113265685,6.027833792790309e-05,-6.027833792790309e-05,-100.0,13.435729804413539,-2.5417298044135355,-18.91769067563859,1.5160439647322627e-06,-1.5160439647322627e-06,-100.0,8.959062994652614,-2.543062994652629,-28.385367936027517,0.0012561477208137828,-0.0012561477208137828,-100.0,0.0011371070889047985,-0.0011371070889047985,-100.0,1.252947637375577,-1.252947637375577,-100.0,1.2509836733192683,1.2890163266807375,103.04021980243404,2.6690084712740543,-2.6690084712740543,-100.0,0.42808378649885626,-0.12708378649885432,-29.6866619355587,0.4484304937760726,-0.4484304937760726,-100.0,2.685427250438636,2.0935727495613747,77.96050886202231,0.6115436902989728,-0.6115436902989728,-100.0
2014-12-10,1418187600000,111.62,20.08,0.12733333300000002,24.03048665934561,11.163815770601774,1.0281842293982348,9.209971308428463,6.350479284618696e-05,-6.350479284618696e-05,-100.0,13.396114959385159,1.0282850406148472,7.675994448632606,1.6328164219690387e-06,-1.6328164219690387e-06,-100.0,8.932691456146458,1.026908543853537,11.496070908695009,0.00130025109733084,-0.00130025109733084,-100.0,0.0011748743280683982,-0.0011748743280683982,-100.0,1.2533508225940435,-0.2233508225940426,-17.820295687984334,1.2514038605841191,-1.2514038605841191,-100.0,2.664265974584808,0.5981340254151917,22.450236992888946,0.4299579518150765,-0.4299579518150765,-100.0,0.4503381293447717,-0.4503381293447717,-100.0,2.6807522280946334,-1.4783522280946355,-55.14691781662295,0.6079024587414925,0.5944975412585047,97.79489006990707
2014-12-11,1418274000000,109.73,21.08,0.12733333300000002,24.878117229051885,10.974832279218132,2.048167720781862,18.662405663002783,0.00010968356130639305,-0.00010968356130639305,-100.0,13.169287845922769,2.0483121540772373,15.55370478678844,3.5301694177590796e-06,-3.5301694177590796e-06,-100.0,8.782037444849111,2.0463625551508784,23.301683328065554,0.0018765692888263465,-0.0018765692888263465,-100.0,0.001660732335615478,-0.001660732335615478,-100.0,1.2755527687781552,0.774447231221842,60.71463683652074,1.273638773603892,-1.273638773603892,-100.0,2.652645472416765,1.5919545275832403,60.013844448381825,0.4561697571459824,-0.4561697571459824,-100.0,0.4772464296227135,-0.4772464296227135,-100.0,2.669894154544977,-2.525294154544966,-94.58405496136022,0.5787863644831681,-0.43418636448315695,-75.01668856191301
2014-12-12,1418360400000,108.225,20.42,0.12716666699999998,22.502306387695324,10.824215967451993,4.7132840325480165,43.543883887024094,1.922178109974807e-05,-1.922178109974807e-05,-100.0,12.9886593491009,4.713340650899114,36.28812277092616,3.088893614381028e-07,-3.088893614381028e-07,-100.0,8.660307333613218,4.712692666386786,54.41715270421674,0.0005728824829691197,-0.0005728824829691197,-100.0,0.0005347478101320746,-0.0005347478101320746,-100.0,1.1380121735014157,3.576987826498588,314.31894225638865,1.1361269005337746,-1.1361269005337746,-100.0,2.5252205082037733,4.354279491796234,172.4316540931903,0.3588729406954556,-0.3588729406954556,-100.0,0.3767612038794184,2.173738796120581,576.9539893540317,2.539338225452425,-2.539338225452425,-100.0,0.6259573650803603,-0.6259573650803603,-100.0
2014-12-15,1418619600000,106.745,23.57,0.1258,9.932635486525395,10.676155556817164,5.793344443182846,54.26433150352101,7.938667136544176e-21,-7.938667136544176e-21,-100.0,12.811018766665669,5.793381233334342,45.22186204588778,2.042894008698516e-29,-2.042894008698516e-29,-100.0,8.541292346968675,5.793307653031322,67.82706196782246,5.83063359757318e-14,-5.83063359757318e-14,-100.0,1.4210854715202004e-14,-1.4210854715202004e-14,-100.0,0.4959764789731622,5.29902352102684,1068.402181490057,0.4941369713985395,-0.4941369713985395,-100.0,2.1571034633928576,5.772796536607146,267.61797171876253,0.02040074596973529,-0.02040074596973529,-100.0,0.0228118058060085,3.637288194193992,15944.762221480732,2.155835508079903,-2.155835508079903,-100.0,1.1879623112525417,-1.1879623112525417,-100.0
2014-12-16,1418706000000,109.41,19.44,0.124766667,27.30498103946033,10.943109299382641,2.59789070061737,23.73996850021347,0.0004263481573801714,-0.0004263481573801714,-100.0,13.130868926984732,2.598331073015288,19.78795986361238,2.3374675569301503e-05,-2.3374675569301503e-05,-100.0,8.759280858733746,2.593519141266256,29.608813589762878,0.0047605085923768655,-0.0047605085923768655,-100.0,0.00393118695319572,-0.00393118695319572,-100.0,1.3957782155739054,1.2042217844261032,86.2760122625184,1.3939082697680691,-1.3939082697680691,-100.0,2.7434037407033998,2.0447962592966182,74.53501024870435,0.5533711938136712,-0.5533711938136712,-100.0,0.5773000972055584,-0.16550009720555892,-28.667948958724928,2.7635927524836035,-2.7635927524836035,-100.0,0.5291474067611475,-0.5291474067611475,-100.0
2014-12-17,1418792400000,112.65,16.81,0.124,36.501468411350366,11.27686308000304,1.3281369199969504,11.777538758558665,0.01014093846509545,-0.01014093846509545,-100.0,13.521454251185984,1.336545748814018,9.884630188330428,0.001770379459991811,-0.001770379459991811,-100.0,9.058267326816177,1.2937326731838112,14.282341495418587,0.04450691546630692,-0.04450691546630692,-100.0,0.025995417996082185,-0.025995417996082185,-100.0,1.9207456946485448,-0.5807456946485559,-30.235428680985265,1.918832204050844,-1.918832204050844,-100.0,3.2369695403013026,0.35603045969868674,10.998881987179491,0.9820943195155324,-0.9820943195155324,-100.0,1.017728845767124,-1.017728845767124,-100.0,3.2687770853574847,-2.3557770853574738,-72.06906509196352,0.41320699677133677,0.49979300322867415,120.95463221433613
2014-12-18,1418878800000,111.78,16.49,0.123933333,33.96991075622816,11.184957782524235,2.1230422174757706,18.98122691882561,0.005249859876022389,-0.005249859876022389,-100.0,13.415998502657954,2.1276014973420416,15.858689138348696,0.0007285338463938335,-0.0007285338463938335,-100.0,8.971896327169475,2.1005036728305133,23.41203683405909,0.027750450684655537,-0.027750450684655537,-100.0,0.017979264778961834,-0.017979264778961834,-100.0,1.7738107015415068,0.3561892984584887,20.080457184577078,1.7719130097101683,-1.7719130097101683,-100.0,3.096023381597405,1.2695766184025956,41.00668702791104,0.8585636436026931,-0.8585636436026931,-100.0,0.8909736924647547,-0.8909736924647547,-100.0,3.1246380467968033,-3.019038046796794,-96.62040855873644,0.4393756709791461,-0.3337756709791364,-75.9658973004398
2014-12-19,1418965200000,112.94,15.25,0.12443333300000001,30.24862804364432,11.297307155564908,-0.4233071555648991,-3.7469739446393953,0.0015745469664451006,-0.0015745469664451006,-100.0,13.554634213783816,-0.4218342137838107,-3.1121032639511896,0.00014010759865758227,-0.00014010759865758227,-100.0,9.048883952623726,-0.4336839526237384,-4.792678908187254,0.01191284161201267,-0.01191284161201267,-100.0,0.008903855277722528,-0.008903855277722528,-100.0,1.596017951009081,-1.596017951009081,-100.0,1.5940928303441453,-1.1740928303441436,-73.65272636541947,2.960172346233449,-1.1213723462334428,-37.88199520410653,0.6994857279818092,-0.6994857279818092,-100.0,0.7277829142912751,-0.7277829142912751,-100.0,2.9846192912130505,-0.3058192912130409,-10.246509231961223,0.495919358506562,2.1828806414934476,440.1684677256986
2014-12-22,1419224400000,112.54,14.8,0.126,26.08546880691351,11.25597909864949,-2.161979098649496,-19.207383735359766,0.00023088962722180723,-0.00023088962722180723,-100.0,13.506519224828608,-2.161719224828616,-16.005006092574874,9.86489571466135e-06,-9.86489571466135e-06,-100.0,9.008135661585484,-2.1649356615855027,-24.03311565141839,0.0031486034738584245,-0.0031486034738584245,-100.0,0.0026966891151118944,-0.0026966891151118944,-100.0,1.3716435617236868,-1.3716435617236868,-100.0,1.3697011072545138,0.790298892745497,57.698638670856106,2.77045910781618,-2.6796591078161924,-96.72256487223301,0.5177555024363939,-0.5177555024363939,-100.0,0.5408701294424425,-0.5408701294424425,-100.0,2.7896888258838715,1.6211111741161377,58.110824371335134,0.568042113811249,3.84275788618876,676.4917235459842
2014-12-23,1419310800000,112.01,14.37,0.1274,24.37291883345862,11.202839839593167,-2.681839839593166,-23.938928682305953,8.053075319217756e-05,-8.053075319217756e-05,-100.0,13.442922486624965,-2.681722486624963,-19.948954472460454,2.2735369884776743e-06,-2.2735369884776743e-06,-100.0,8.96412847745907,-2.683328477459085,-29.934069822922567,0.0015300728671295285,-0.0015300728671295285,-100.0,0.0013712848977007752,-0.0013712848977007752,-100.0,1.2756379344806987,-1.2756379344806987,-100.0,1.2736831468807353,1.4063168531192716,110.41339885538706,2.6873157877428464,-2.6873157877428464,-100.0,0.4452000958948901,-0.005400095894884771,-1.2129592838541778,0.4660824170805746,-0.4660824170805746,-100.0,2.7042885337286293,2.215911466271379,81.94064496572472,0.6021223358620236,-0.6021223358620236,-100.0
