Unnamed: 0,Datetime,Price,Timestamp,VIX,1-Day-LIBOR,1-Day-VM,100-Calls,100-Calls-P,100-Calls-ROI,100-Puts,100-Puts-P,100-Puts-ROI
632,2012-12-28,33.220001,1356670800000,22.72,0.1665,19.106606074222828,0.13261488462487847,0.517383115375118,390.1395509550949,0.1324633471577279,-0.1324633471577279,-100.0
633,2012-12-31,33.869999,1356930000000,18.02,0.168,37.521036975181595,0.26544419451403556,1.2245578054859756,461.324011145863,0.2652883000828865,-0.2652883000828865,-100.0
634,2013-01-02,35.36000100000001,1357102800000,14.68,0.168,26.57414022103423,0.19629567281509352,-0.19629567281509352,-100.0,0.19613292030833307,0.3938680796916749,200.8169149128509
635,2013-01-03,34.77,1357189200000,14.56,0.1655,67.21283080185083,0.48805333470459544,-0.48805333470459544,-100.0,0.4878956793085969,-0.1178976793085944,-24.16452621094507
636,2013-01-04,34.400002,1357275600000,13.83,0.1665,6.878659044029204,0.04948961536127072,-0.04948961536127072,-100.0,0.049332695162110696,0.010669304837886529,21.62724903398536
637,2013-01-07,34.34,1357534800000,13.79,0.1665,10.049219692986526,0.07213843598815473,-0.07213843598815473,-100.0,0.07198178949612455,0.5880182105038791,816.8985720138809
638,2013-01-08,33.68,1357621200000,13.62,0.16399999999999998,19.824310011364467,0.13949753776229912,-0.13949753776229912,-100.0,0.13934620878719883,-0.09934520878720221,-71.29380099527232
639,2013-01-09,33.639999,1357707600000,13.81,0.16399999999999998,20.44997093736279,0.14372678586020626,-0.14372678586020626,-100.0,0.14357563661522832,-0.03357563661522178,-23.385330134528264
640,2013-01-10,33.529999,1357794000000,13.49,0.1605,2.342529032609917,0.01647523495894987,-0.01647523495894987,-100.0,0.016327795150530733,0.6036712048494692,3697.1997706000557
641,2013-01-11,32.91,1357880400000,13.36,0.1595,17.273765022494445,0.11877885576803848,0.231219144231968,194.66355584659993,0.11863504389047819,-0.11863504389047819,-100.0
642,2013-01-14,33.259998,1358139600000,13.52,0.1595,32.82498221609627,0.22804601754983267,0.4119579824501649,180.646865433703,0.2279006762322986,-0.2279006762322986,-100.0
643,2013-01-15,33.900002,1358226000000,13.55,0.1595,9.51968457495542,0.06746239762721018,0.13253360237278855,196.45551749458227,0.06731425958597725,-0.06731425958597725,-100.0
644,2013-01-16,34.099998,1358312400000,13.42,0.1635,14.791603228752555,0.10540132194159213,0.17460167805840854,165.6541633843678,0.10524857297759738,-0.10524857297759738,-100.0
645,2013-01-17,34.380001,1358398800000,13.57,0.1585,2.5766375231096346,0.018572618963659693,0.1214263810363434,653.792452609584,0.018423325310870098,-0.018423325310870098,-100.0
646,2013-01-18,34.52,1358485200000,12.46,0.158,4.617803389284449,0.033361319906340725,0.6366376800936564,1908.3108278718182,0.03321189118867096,-0.03321189118867096,-100.0
647,2013-01-22,35.189999,1358830800000,12.43,0.158,17.016181716565374,0.12511435456932674,0.684886645430673,547.408527013719,0.12496202558828884,-0.12496202558828884,-100.0
648,2013-01-23,36.0,1358917200000,12.46,0.1605,3.966858957988904,0.029899507262708624,0.9601024927372883,3211.0980435277975,0.02974120624088883,-0.02974120624088883,-100.0
649,2013-01-24,36.990002,1359003600000,12.69,0.1595,4.907227721298557,0.037984708488416175,-0.037984708488416175,-100.0,0.037823067599973115,-0.02782106759997305,-73.55582020532047
650,2013-01-25,36.98,1359090000000,12.89,0.1565,30.75547567044464,0.23757040323717504,0.8124285967628246,341.97382573440683,0.23741184549490413,-0.23741184549490413,-100.0
651,2013-01-28,38.029999,1359349200000,13.57,0.159,31.731316637529535,0.252066340241079,-0.252066340241079,-100.0,0.2519006756747615,-0.17190267567476525,-68.24224477139367
652,2013-01-29,37.950001,1359435600000,13.31,0.16,33.791471135640066,0.26786181403028664,-0.26786181403028664,-100.0,0.26769545822613594,0.16230554177386125,60.63066697110473
653,2013-01-30,37.52,1359522000000,14.32,0.157,10.427595712604555,0.08177829564624517,-0.08177829564624517,-100.0,0.08161690859608228,-0.07161490859608222,-87.74518641780537
654,2013-01-31,37.509998,1359608400000,14.28,0.155,12.492038813145358,0.09792549095687875,0.6920755090431179,706.7368284606014,0.09776620226249122,-0.09776620226249122,-100.0
655,2013-02-01,38.299999,1359694800000,12.9,0.154,23.694763050439875,0.1895816163134043,-0.1895816163134043,-100.0,0.18942002213797338,0.37057697786202937,195.6377016956008
656,2013-02-04,37.740002,1359954000000,14.67,0.155,39.92906287880128,0.3147432586195791,0.07525574138042401,23.91019960538167,0.31458299319794847,-0.31458299319794847,-100.0
657,2013-02-05,38.130001,1360040400000,13.72,0.155,28.073750003221946,0.22360594204591777,0.8163910579540818,365.1025775452939,0.22344402046766731,-0.22344402046766731,-100.0
658,2013-02-06,39.169998,1360126800000,13.41,0.156,18.665882014267293,0.15275700296377082,0.1572449970362264,102.93799563056368,0.15258959182321874,-0.15258959182321874,-100.0
659,2013-02-07,39.48,1360213200000,13.5,0.154,21.357281481826277,0.17615257217515534,-0.17615257217515534,-100.0,0.17598599937587522,0.06401200062412471,36.37334836358562
660,2013-02-08,39.240002,1360299600000,13.02,0.153,15.69323716380232,0.12867103498451016,-0.12867103498451016,-100.0,0.1285065498414184,0.6914974501585789,538.1028834809673
661,2013-02-11,38.419998,1360558800000,12.94,0.153,16.861088470030268,0.13535140163930492,-0.13535140163930492,-100.0,0.13519035376604904,0.3948086462339475,292.0390658324452
662,2013-02-12,37.889999,1360645200000,12.64,0.154,8.113043646493072,0.06427046956737925,0.495731530432618,771.3208473028313,0.06411060525131873,-0.06411060525131873,-100.0
