,Datetime,Timestamp,Price,VIX,9-Day-LIBOR,9-Day-VM,9-Day-VNM
2077,2016-10-17,1476676800000,117.47,15.28,0.46526913,9.923521589688342,12.405011918402769
2078,2016-10-18,1476763200000,117.12,14.41,0.465867826,10.083157460141575,12.408465257723181
2079,2016-10-19,1476849600000,117.06,13.75,0.463984783,10.55815230385813,11.801798127061996
2080,2016-10-20,1476936000000,116.6,13.34,0.463386087,10.709304513194814,11.775166615917142
2081,2016-10-21,1477022400000,117.65,13.02,0.463337391,6.861955668205725,6.91963087058039
2082,2016-10-24,1477281600000,118.25,13.46,0.463184348,8.208621295197112,8.492191714665545
2083,2016-10-25,1477368000000,115.59,14.24,0.462682174,7.274174600711489,7.418597848672636
2084,2016-10-26,1477454400000,114.48,15.36,0.461833043,14.580015584433498,14.753212501880123
2085,2016-10-27,1477540800000,113.72,16.19,0.46275,14.540624837076422,15.415152593892403
2086,2016-10-28,1477627200000,113.54,17.06,0.463724348,14.582988145260073,15.864306684421765
2087,2016-10-31,1477886400000,111.49,18.56,0.466118261,14.531396214828677,15.884926861179652
2088,2016-11-01,1477972800000,111.59,19.32,0.466214783,16.41411700646549,18.860408821208622
2089,2016-11-02,1478059200000,109.83,22.08,0.46491087,16.566887648395987,18.86499948570515
2090,2016-11-03,1478145600000,108.84,22.51,0.466562174,17.452481809976277,20.779879182694383
2091,2016-11-04,1478232000000,110.41,18.71,0.465853043,14.728042490030047,20.79235719058778
2092,2016-11-07,1478494800000,111.06,18.74,0.465080435,17.954203768378633,22.128669324465687
2093,2016-11-08,1478581200000,110.88,14.38,0.465582609,16.680288713529094,18.304665541988868
2094,2016-11-09,1478667600000,107.79,14.74,0.466494783,16.425861922070847,17.495935949086522
2095,2016-11-10,1478754000000,108.43,14.17,0.464163478,21.108320503649324,23.399511510014612
2096,2016-11-11,1478840400000,105.71,14.48,0.466596522,21.966979324473556,23.620937147211365
2097,2016-11-14,1479099600000,107.11,13.37,0.4660852170000001,23.611185288558183,25.65643802051108
2098,2016-11-15,1479186000000,109.99,13.72,0.466423478,25.56740397325519,26.709332621833777
2099,2016-11-16,1479272400000,109.95,13.35,0.466867826,29.286838880817136,29.288125236710723
2100,2016-11-17,1479358800000,110.06,12.85,0.465483478,28.773934072350237,28.837475567807346
2101,2016-11-18,1479445200000,111.73,12.42,0.468138261,27.675352076662474,27.681826950696127
