Datetime,Timestamp,Price,VIX,7-Day-LIBOR,7-Day-VM,119-Calls,119-Calls-P,119-Calls-ROI,119-Puts,119-Puts-P,119-Puts-ROI,116-Calls,116-Calls-P,116-Calls-ROI,116-Puts,116-Puts-P,116-Puts-ROI,116-Straddles,116-Straddles-P,116-Straddles-ROI,122-Calls,122-Calls-P,122-Calls-ROI,122-Puts,122-Puts-P,122-Puts-ROI,122-Straddles,122-Straddles-P,122-Straddles-ROI,119-Strangles,119-Strangles-P,119-Strangles-ROI,90-Calls,90-Calls-P,90-Calls-ROI,90-Puts,90-Puts-P,90-Puts-ROI,87-Calls,87-Calls-P,87-Calls-ROI,87-Puts,87-Puts-P,87-Puts-ROI,87-Straddles,87-Straddles-P,87-Straddles-ROI,93-Calls,93-Calls-P,93-Calls-ROI,93-Puts,93-Puts-P,93-Puts-ROI,93-Straddles,93-Straddles-P,93-Straddles-ROI,90-Strangles,90-Strangles-P,90-Strangles-ROI,54-Calls,54-Calls-P,54-Calls-ROI,54-Puts,54-Puts-P,54-Puts-ROI,51-Calls,51-Calls-P,51-Calls-ROI,51-Puts,51-Puts-P,51-Puts-ROI,51-Straddles,51-Straddles-P,51-Straddles-ROI,57-Calls,57-Calls-P,57-Calls-ROI,57-Puts,57-Puts-P,57-Puts-ROI,57-Straddles,57-Straddles-P,57-Straddles-ROI,54-Strangles,54-Strangles-P,54-Strangles-ROI
2010-12-21,1292907600000,46.315,16.49,0.25375,6.036274550224206,4.052393765493259e-98,-4.052393765493259e-98,-100.0,8.797167935060708,0.23768206493929256,2.7018020650944,2.0412208805607566e-72,-2.0412208805607566e-72,-100.0,7.40778555014321,0.2376144498567925,3.2076313258312243,7.40778555014321,0.2376144498567853,3.207631325831128,4.5875912197138635e-127,-4.5875912197138635e-127,-100.0,10.186550319978195,0.2377496800217997,2.333956762138772,10.186550319978195,0.2377496800217997,2.333956762138772,7.40778555014321,0.2376144498567853,3.207631325831128,4.6335284524750975,-0.2370284524750943,-5.115506571422488,2.6837670270292707e-38,-2.6837670270292707e-38,-100.0,6.022910837392594,-0.2369608373925942,-3.934324179621726,2.5208126759444675e-64,-2.5208126759444675e-64,-100.0,6.022910837392594,-0.2369608373925942,-3.934324179621726,3.244146067557601,-0.2370960675576015,-7.308427629958798,7.782512075302472e-20,-7.782512075302472e-20,-100.0,3.244146067557601,-0.237096067557602,-7.308427629958809,3.244146067557601,-0.2370960675576015,-7.308427629958798,21.30611707148506,-0.2362170714850577,-1.108681937175675,0.0,-0.0,,22.69549945640255,-0.2361494564025541,-1.0405122692108668,0.0,-0.0,,22.69549945640255,-0.23614945640255056,-1.0405122692108513,19.91673468656756,-0.2362846865675614,-1.1863625754221592,0.0,-0.0,,19.91673468656756,-0.23628468656755786,-1.1863625754221414,19.91673468656756,-0.2362846865675614,-1.1863625754221594
2010-12-22,1292994000000,46.4514,15.45,0.25375,5.978025300737282,5.702101312366712e-100,-5.702101312366712e-100,-100.0,8.82307603624482,-0.6273100362448218,-7.1098790678881025,9.098762258405815e-74,-9.098762258405815e-74,-100.0,7.429601850457139,-0.6273778504571368,-8.444299749636444,7.429601850457139,-0.6273778504571439,-8.444299749636539,1.7587613361657175e-129,-1.7587613361657175e-129,-100.0,10.216550222032502,-0.6272422220325069,-6.1394718217097175,10.216550222032502,-0.6272422220325069,-6.1394718217097175,7.429601850457139,-0.6273778504571439,-8.444299749636539,4.6471744263694665,0.6279655736305401,13.512847076866198,5.513049383112791e-39,-5.513049383112791e-39,-100.0,6.040648612157142,0.628033387842855,10.396787301597096,1.619056039721518e-65,-1.619056039721518e-65,-100.0,6.040648612157142,0.6280333878428621,10.396787301597218,3.2537002405817717,0.6278977594182251,19.297959645660384,3.6237095757149286e-20,-3.6237095757149286e-20,-100.0,3.2537002405817717,0.6278977594182247,19.297959645660367,3.2537002405817717,0.6278977594182251,19.297959645660384,21.368864655821678,0.6287793441783229,2.9425023477184125,0.0,-0.0,,22.76233884160936,0.6288471583906414,2.76266495620878,0.0,-0.0,,22.76233884160936,0.6288471583906414,2.7626649562087797,19.975390470034,0.6287115299660079,3.1474304890768834,0.0,-0.0,,19.975390470034,0.6287115299660079,3.1474304890768825,19.975390470034,0.6287115299660009,3.1474304890768465
2010-12-23,1293080400000,46.2286,16.47,0.25438,6.191115009526294,1.9141039806273876e-93,-1.9141039806273876e-93,-100.0,8.780750292080619,-1.0958162920806205,-12.479756918596578,5.260197280891124e-69,-5.260197280891124e-69,-100.0,7.39395994858279,-1.095883948582788,-14.821340069509539,7.39395994858279,-1.0958839485827951,-14.821340069509635,5.757559056110074e-121,-5.757559056110074e-121,-100.0,10.167540635578447,-1.0957486355784525,-10.776929002321255,10.167540635578447,-1.0957486355784525,-10.776929002321253,7.39395994858279,-1.0958839485827951,-14.821340069509635,4.62488969506508,1.0964703049349254,23.708031482456718,1.4653344683787831e-36,-1.4653344683787831e-36,-100.0,6.011680038562907,1.0965379614370931,18.240125129800166,2.5841902624358982e-61,-2.5841902624358982e-61,-100.0,6.011680038562907,1.096537961437094,18.24012512980018,3.2380993515672434,1.0964026484327576,33.85945054163016,5.393808005931583e-19,-5.393808005931583e-19,-100.0,3.2380993515672434,1.0964026484327571,33.859450541630146,3.2380993515672434,1.0964026484327571,33.859450541630146,21.266373817039046,1.0972821829609565,5.1597051401484935,0.0,-0.0,,22.653164160536875,1.0973498394631245,4.844134937117398,0.0,-0.0,,22.653164160536875,1.0973498394631278,4.844134937117415,19.879583473541214,1.0972145264587851,5.519303399485838,0.0,-0.0,,19.879583473541214,1.0972145264587887,5.519303399485857,19.879583473541214,1.0972145264587851,5.519303399485839
2010-12-27,1293426000000,46.3828,17.67,0.25438,6.208639403744319,6.175741573866865e-93,-6.175741573866865e-93,-100.0,8.810039340311342,-1.3288073403113432,-15.082876352563298,1.2379160727734772e-68,-1.2379160727734772e-68,-100.0,7.418623222488371,-1.3288752224883638,-17.91269326712928,7.418623222488371,-1.3288752224883709,-17.912693267129377,2.6514957485397618e-120,-2.6514957485397618e-120,-100.0,10.201455458134319,-1.328739458134315,-13.024998869889885,10.201455458134319,-1.328739458134315,-13.024998869889885,7.418623222488371,-1.3288752224883709,-17.912693267129377,4.640316465310747,1.3294635346892534,28.650277295262523,2.2700990591321637e-36,-2.2700990591321637e-36,-100.0,6.0317325831337225,1.3295314168662742,22.04228053120236,5.5030841377035404e-61,-5.5030841377035404e-61,-100.0,6.0317325831337225,1.3295314168662749,22.04228053120238,3.2489003474877687,1.3293956525122257,40.91832652054681,6.6795585912952095e-19,-6.6795585912952095e-19,-100.0,3.2489003474877687,1.329395652512226,40.91832652054684,3.2489003474877687,1.329395652512226,40.91832652054684,21.33730987918645,1.3302781208135492,6.234516573765344,0.0,-0.0,,22.72872599700943,1.3303460029905736,5.853148140224032,0.0,-0.0,,22.72872599700943,1.33034600299057,5.853148140224018,19.945893761363468,1.3302102386365249,6.669093170511268,0.0,-0.0,,19.945893761363468,1.3302102386365355,6.669093170511325,19.945893761363468,1.3302102386365284,6.669093170511289
2010-12-28,1293512400000,46.4957,17.52,0.25438,6.192105372534863,2.0570737471168475e-93,-2.0570737471168475e-93,-100.0,8.831483786130072,-1.1773007861300755,-13.330724651038112,5.552787560807108e-69,-5.552787560807108e-69,-100.0,7.436680833538567,-1.1773688335385657,-15.83191291777333,7.436680833538567,-1.1773688335385728,-15.831912917773426,6.313797997349165e-121,-6.313797997349165e-121,-100.0,10.22628673872159,-1.1772327387215924,-11.51182994179137,10.22628673872159,-1.1772327387215924,-11.51182994179137,7.436680833538567,-1.1773688335385728,-15.831912917773426,4.651611422254568,1.1779585777454358,25.32366680737267,1.510577160243472e-36,-1.510577160243472e-36,-100.0,6.046414374846081,1.1780266251539189,19.483061400069975,2.7125051905666083e-61,-2.7125051905666083e-61,-100.0,6.046414374846081,1.178026625153918,19.48306140006996,3.2568084696630417,1.177890530336953,36.167018764195866,5.490139364616314e-19,-5.490139364616314e-19,-100.0,3.2568084696630417,1.1778905303369531,36.16701876419588,3.2568084696630417,1.1778905303369531,36.16701876419588,21.389246853352734,1.1787751466472614,5.511064296602336,0.0,-0.0,,22.784049805944253,1.178843194055748,5.173984450069949,0.0,-0.0,,22.784049805944253,1.1788431940557444,5.173984450069933,19.994443900761226,1.1787070992387747,5.89517320456159,0.0,-0.0,,19.994443900761226,1.1787070992387747,5.895173204561589,19.994443900761226,1.1787070992387711,5.895173204561571
2010-12-29,1293598800000,46.47,17.28,0.25438,5.866889019057506,1.167865717252506e-103,-1.167865717252506e-103,-100.0,8.826602278091617,-1.5444022780916242,-17.497132298857085,1.8512439516973875e-76,-1.8512439516973875e-76,-100.0,7.432570287887636,-1.5444702878876342,-20.77976027222446,7.432570287887636,-1.5444702878876422,-20.779760272224568,2.7048105264270622e-134,-2.7048105264270622e-134,-100.0,10.220634268295614,-1.5443342682956145,-15.10996507414551,10.220634268295614,-1.5443342682956158,-15.109965074145524,7.432570287887636,-1.5444702878876413,-20.77976027222456,4.649040293880283,1.5450597061197158,33.23394955628884,2.3493701849599553e-40,-2.3493701849599553e-40,-100.0,6.043072284084276,1.5451277159157255,25.568579081622943,6.813631508487181e-68,-6.813631508487181e-68,-100.0,6.043072284084276,1.5451277159157248,25.568579081622925,3.255008303676292,1.5449916963237058,47.465061596885995,7.877321125217335e-21,-7.877321125217335e-21,-100.0,3.255008303676292,1.5449916963237054,47.46506159688597,3.255008303676292,1.5449916963237054,47.46506159688597,21.377424176328173,1.5458758236718282,7.231347476295205,0.0,-0.0,,22.771456166532158,1.5459438334678381,6.78895465517025,0.0,-0.0,,22.771456166532158,1.5459438334678417,6.788954655170268,19.983392186124174,1.5458078138758182,7.73546252547241,0.0,-0.0,,19.983392186124174,1.545807813875825,7.735462525472449,19.983392186124174,1.5458078138758218,7.735462525472434
2010-12-30,1293685200000,46.2371,17.52,0.25438,6.782696830532285,2.0164804377772638e-78,-2.0164804377772638e-78,-100.0,8.782364798630303,-2.6823157986303063,-30.542067656408893,4.876383341258315e-58,-4.876383341258315e-58,-100.0,7.3953194675723966,-2.6823834675724,-36.27136703606024,7.3953194675723966,-2.6823834675724063,-36.27136703606031,2.2705564675062678e-101,-2.2705564675062678e-101,-100.0,10.169410129688213,-2.682248129688212,-26.375651050376593,10.169410129688213,-2.682248129688213,-26.37565105037661,7.3953194675723966,-2.6823834675724045,-36.2713670360603,4.6257400682628,2.6829699317372047,58.00087968939413,5.742005529843782e-31,-5.742005529843782e-31,-100.0,6.012785399320697,2.683037600679299,44.62220788692074,1.2438540993095327e-51,-1.2438540993095327e-51,-100.0,6.012785399320697,2.683037600679307,44.62220788692087,3.238694737204895,2.6829022627951042,82.83899782140443,2.795844249963504e-16,-2.795844249963504e-16,-100.0,3.2386947372048955,2.682902262795103,82.83899782140442,3.238694737204895,2.6829022627951042,82.83899782140443,21.27028404095768,2.6837819590423244,12.617518195217714,0.0,-0.0,,22.65732937201557,2.6838496279844186,11.845392649405904,0.0,-0.0,,22.65732937201557,2.6838496279844257,11.84539264940594,19.883238709899768,2.6837142901002298,13.497369967016597,0.0,-0.0,,19.883238709899768,2.6837142901002373,13.497369967016635,19.883238709899768,2.68371429010023,13.4973699670166
2011-01-03,1294030800000,46.08,17.75,0.25438,5.875771960459275,2.3241675867829246e-103,-2.3241675867829246e-103,-100.0,8.752524918753217,-2.723024918753218,-31.11130724025529,3.051774033920356e-76,-3.051774033920356e-76,-100.0,7.370192357776247,-2.7230923577762454,-36.94737159611753,7.370192357776247,-2.7230923577762525,-36.94737159611761,6.656389902406337e-134,-6.656389902406337e-134,-100.0,10.134857479730185,-2.7229574797301908,-26.867249837268385,10.134857479730185,-2.722957479730189,-26.867249837268357,7.370192357776247,-2.7230923577762525,-36.94737159611761,4.610023170690852,2.723676829309156,59.081629928141744,3.0176529081798232e-40,-3.0176529081798232e-40,-100.0,5.992355731667807,2.7237442683321897,45.45364778559485,1.0581828792580915e-67,-1.0581828792580915e-67,-100.0,5.992355731667807,2.7237442683321973,45.45364778559497,3.227690609713875,2.7236093902861285,84.3826041470427,8.852302564576046e-21,-8.852302564576046e-21,-100.0,3.227690609713875,2.7236093902861285,84.3826041470427,3.227690609713875,2.7236093902861285,84.3826041470427,21.198013902414502,2.7244860975854976,12.852553593594784,0.0,-0.0,,22.580346463391475,2.724553536608525,12.066039558009988,0.0,-0.0,,22.580346463391475,2.7245535366085285,12.066039558010006,19.815681341437532,2.7244186585624703,13.748801323653236,0.0,-0.0,,19.815681341437532,2.724418658562477,13.748801323653273,19.815681341437532,2.724418658562467,13.748801323653216
2011-01-04,1294117200000,47.0814,17.61,0.25438,14.686164022117092,7.282814786041278e-19,-7.282814786041278e-19,-100.0,8.9427327845006,-2.118666784500604,-23.691491578196807,2.034719130388133e-14,-2.034719130388133e-14,-100.0,7.530359689093046,-2.118735689093043,-28.135916165622398,7.530359689093068,-2.11873568909307,-28.135916165622692,7.654676347404738e-24,-7.654676347404738e-24,-100.0,10.35510587990818,-2.1185978799081795,-20.459451641328517,10.35510587990818,-2.1185978799081795,-20.459451641328517,7.530359689093046,-2.11873568909305,-28.135916165622486,4.710207155707316,2.119332844292685,44.99447209502684,1.7934662911063582e-08,-1.7934662911063582e-08,-100.0,6.122580233180692,2.1194017668193084,34.61615342063513,4.636549408817773e-13,-4.636549408817773e-13,-100.0,6.1225802331811545,2.1194017668188447,34.61615342062494,3.2978747269122834,2.1192232730877123,64.26027210172072,4.0684547209937985e-05,-4.0684547209937985e-05,-100.0,3.2979154114594933,2.1191825885405025,64.25824571415122,3.297874726912747,2.1192232730872487,64.26027210169762,21.658684282663593,2.12015971733641,9.78895896752816,1.3487309429202186e-203,-1.3487309429202186e-203,-100.0,23.07105737807117,2.120228621928831,9.189993276788817,2.2065561548428868e-242,-2.2065561548428868e-242,-100.0,23.07105737807117,2.120228621928831,9.189993276788817,20.246311187256016,2.1200908127439853,10.471491785024376,4.6598506078691245e-170,-4.6598506078691245e-170,-100.0,20.246311187256016,2.120090812743989,10.471491785024396,20.246311187256016,2.1200908127439853,10.471491785024376
2011-01-05,1294203600000,47.3271,17.38,0.25438,13.969648465443045,1.3506660790914327e-20,-1.3506660790914327e-20,-100.0,8.989401520883797,-2.0529525208837995,-22.83747717925901,1.075909767180286e-15,-1.075909767180286e-15,-100.0,7.569657785063207,-2.0530217850632013,-27.12172522665843,7.569657785063207,-2.0530217850632093,-27.12172522665853,4.35809980236548e-26,-4.35809980236548e-26,-100.0,10.409145256704392,-2.0528832567043978,-19.721919582034488,10.409145256704392,-2.0528832567043898,-19.721919582034424,7.569657785063207,-2.0530217850632084,-27.12172522665853,4.7347879291912625,2.0536220708087427,43.373052848842505,3.809254670212675e-09,-3.809254670212675e-09,-100.0,6.1545316612026335,2.053691338797364,33.36876714346223,3.417269288875452e-14,-3.417269288875452e-14,-100.0,6.154531661202668,2.053691338797337,33.36876714346159,3.3150624672998745,2.0535345327001258,61.94557577591395,1.8277738475101085e-05,-1.8277738475101085e-05,-100.0,3.3150807450383497,2.0535162549616515,61.944682886989405,3.3150624672999087,2.0535345327000925,61.94557577591228,21.771712755229203,2.054453244770801,9.436341861883859,1.2377001481448877e-224,-1.2377001481448877e-224,-100.0,23.1914564910498,2.0545225089502,8.858962824275803,1.717815956182809e-267,-1.717815956182809e-267,-100.0,23.1914564910498,2.054522508950204,8.858962824275821,20.351969019408607,2.0543839805914,10.094276276817453,1.413044871958875e-187,-1.413044871958875e-187,-100.0,20.351969019408607,2.0543839805914,10.09427627681745,20.351969019408607,2.0543839805913926,10.094276276817414
2011-01-06,1294290000000,47.7143,17.02,0.25438,14.262091113677261,7.458765188828972e-20,-7.458765188828972e-20,-100.0,9.062947042770547,-2.0657300427705465,-22.79313818145243,3.8009897831742015e-15,-3.8009897831742015e-15,-100.0,7.631587873625072,-2.065799873625068,-27.06907013106034,7.631587873625076,-2.065799873625078,-27.069070131060467,3.9818616269185995e-25,-3.9818616269185995e-25,-100.0,10.49430621191602,-2.0656602119160183,-19.68362815228808,10.49430621191602,-2.06566021191602,-19.683628152288094,7.631587873625072,-2.0657998736250747,-27.06907013106043,4.7735249330748175,2.066405066925185,43.28887134552225,7.439086230382202e-09,-7.439086230382202e-09,-100.0,6.204884094781297,2.0664749052186977,33.304004936316765,1.0478927855561444e-13,-1.0478927855561444e-13,-100.0,6.204884094781402,2.066474905218601,33.30400493631465,3.3421916946321915,2.0663093053678097,61.824978761285784,2.593814193928724e-05,-2.593814193928724e-05,-100.0,3.34221763277413,2.0662833672258705,61.823722876801405,3.3421916946322963,2.0663093053677053,61.8249787612807,21.94983495538144,2.0672430446185643,9.418034572108427,1.164346604202835e-215,-1.164346604202835e-215,-100.0,23.38119412452691,2.0673128754730894,8.841776277390704,8.79817640784319e-257,-8.79817640784319e-257,-100.0,23.38119412452691,2.0673128754730894,8.841776277390704,20.51847578623596,2.067173213764044,10.0746918791635,4.199278127829978e-180,-4.199278127829978e-180,-100.0,20.51847578623596,2.0671732137640437,10.0746918791635,20.51847578623596,2.067173213764036,10.074691879163465
2011-01-07,1294376400000,47.6757,17.4,0.25438,14.545632633638466,3.5259050182981966e-19,-3.5259050182981966e-19,-100.0,9.05561528361551,-0.9858322836155082,-10.88641967155112,1.19523740103595e-14,-1.19523740103595e-14,-100.0,7.625414057978162,-0.9859020579781586,-12.929160967287398,7.625414057978173,-0.9859020579781772,-12.929160967287624,2.9801999086080728e-24,-2.9801999086080728e-24,-100.0,10.485816509252867,-0.985762509252872,-9.400913208647296,10.485816509252867,-0.9857625092528703,-9.400913208647284,7.625414057978162,-0.9859020579781655,-12.92916096728749,4.7696632444967975,0.9865067555032,20.682943531525506,1.3617770869332833e-08,-1.3617770869332833e-08,-100.0,6.199864456516671,0.9865765434833236,15.912872779764307,2.895752461485035e-13,-2.895752461485035e-13,-100.0,6.199864456516961,0.986576543483034,15.91287277975889,3.3394974798763286,0.986401520123664,29.537423701250802,3.5474634666340064e-05,-3.5474634666340064e-05,-100.0,3.339532954510996,0.9863660454889978,29.53604767267316,3.3394974798766186,0.9864015201233745,29.53742370123957,21.932077938527414,0.9873440614725836,4.501826339665456,1.7872319725259804e-207,-1.7872319725259804e-207,-100.0,23.362279164164786,0.9874138358352162,4.2265304206697545,5.183450716603633e-247,-5.183450716603633e-247,-100.0,23.362279164164786,0.9874138358352162,4.2265304206697545,20.50187671289005,0.9872742871099476,4.815531284944384,2.7545465611651353e-173,-2.7545465611651353e-173,-100.0,20.50187671289005,0.9872742871099476,4.815531284944383,20.50187671289005,0.9872742871099476,4.815531284944384
2011-01-10,1294635600000,48.0171,17.14,0.25438,14.358347710741167,1.285070811389434e-19,-1.285070811389434e-19,-100.0,9.12046146432867,-0.3858124643286729,-4.230185784322826,5.686928231135082e-15,-5.686928231135082e-15,-100.0,7.680018738337202,-0.3858827383372017,-5.024502562877196,7.680018738337207,-0.3858827383372132,-5.024502562877343,8.042981109805813e-25,-8.042981109805813e-25,-100.0,10.560904190320144,-0.3857421903201512,-3.6525489046071713,10.560904190320144,-0.3857421903201512,-3.6525489046071713,7.680018738337202,-0.38588273833720704,-5.024502562877267,4.803818229485074,0.3864917705149296,8.045511966766444,9.229444029956942e-09,-9.229444029956942e-09,-100.0,6.24426094624726,0.38656205375274055,6.190677440939759,1.4992580840459118e-13,-1.4992580840459118e-13,-100.0,6.24426094624741,0.3865620537525967,6.1906774409373035,3.363404586723476,0.3863924132765249,11.488133625129421,2.9092459326224285e-05,-2.9092459326224285e-05,-100.0,3.3634336791828017,0.3863633208171988,11.487169293942248,3.363404586723626,0.3863924132763748,11.488133625124444,22.089130932153374,0.3873350678466281,1.7535097647631557,7.985108543176926e-213,-7.985108543176926e-213,-100.0,23.52957365814485,0.38740534185514974,1.64646137445439,2.132568643129025e-253,-2.132568643129025e-253,-100.0,23.52957365814485,0.38740534185514974,1.6464613744543897,20.648688206161896,0.3872647938381064,1.8754934452569263,9.670434383182807e-178,-9.670434383182807e-178,-100.0,20.648688206161896,0.38726479383811,1.875493445256944,20.648688206161896,0.38726479383810286,1.8754934452569094
2011-01-11,1294722000000,48.9221,17.54,0.25438,14.668705926316008,6.912426443876178e-19,-6.912426443876178e-19,-100.0,9.292358926383173,1.3992400736168236,15.057964126246295,1.9775949544719697e-14,-1.9775949544719697e-14,-100.0,7.824767524877743,1.3991684751222593,17.881278525832247,7.824767524877763,1.3991684751222326,17.881278525831863,7.073708032513816e-24,-7.073708032513816e-24,-100.0,10.759950327888632,1.3993116721113663,13.004815352023527,10.759950327888632,1.3993116721113663,13.004815352023526,7.824767524877743,1.3991684751222522,17.88127852583216,4.894357972824941,-1.3985479728249428,-28.57469724507553,1.7988692597045292e-08,-1.7988692597045292e-08,-100.0,6.361949356342173,-1.3984763563421725,-21.981884450998397,4.540387124222794e-13,-4.540387124222794e-13,-100.0,6.361949356342628,-1.398476356342626,-21.98188445100396,3.4268080588773486,-1.3986610588773516,-40.81527283834989,4.150554655516121e-05,-4.150554655516121e-05,-100.0,3.426849564423904,-1.3987025644239068,-40.81598967590065,3.4268080588778025,-1.3986610588778057,-40.81527283835773,22.505454772901754,-1.397688772901752,-6.2104444767082585,4.6797890866389215e-204,-4.6797890866389215e-204,-100.0,23.97304617440721,-1.3976171744072088,-5.829952373341928,6.19226375936203e-243,-6.19226375936203e-243,-100.0,23.97304617440721,-1.3976171744072088,-5.829952373341928,21.037863371396295,-1.397760371396295,-6.644022478521899,1.942388308989805e-170,-1.942388308989805e-170,-100.0,21.037863371396295,-1.3977603713962914,-6.644022478521882,21.037863371396295,-1.3977603713962985,-6.644022478521917
2011-01-12,1294808400000,48.8057,16.89,0.25438,14.342530098272881,1.196586152036416e-19,-1.196586152036416e-19,-100.0,9.270249683749867,2.134233316250132,23.02239302131529,5.418511139347003e-15,-5.418511139347003e-15,-100.0,7.806150111890638,2.134161888109368,27.339493316411208,7.806150111890642,2.134161888109356,27.33949331641105,7.297583381917399e-25,-7.297583381917399e-25,-100.0,10.734349255609107,2.1343047443908887,19.882944867623273,10.734349255609107,2.1343047443908905,19.882944867623287,7.806150111890638,2.134161888109361,27.33949331641113,4.882712853289085,-2.133542853289086,-43.69584936480326,9.066292723424751e-09,-9.066292723424751e-09,-100.0,6.346812416082172,-2.1334714160821733,-33.614849096156924,1.438942155067653e-13,-1.438942155067653e-13,-100.0,6.346812416082318,-2.1334714160823163,-33.61484909615841,3.4186423242665853,-2.133643324266586,-62.41200809810735,2.90519030331218e-05,-2.90519030331218e-05,-100.0,3.4186713761696184,-2.1336723761696192,-62.412327521232825,3.4186423242667288,-2.13364332426673,-62.41200809810892,22.451907706533675,-2.1326857065336746,-9.498906437750263,2.803156584684906e-213,-2.803156584684906e-213,-100.0,23.916007278392915,-2.1326142783929143,-8.917099972283584,6.094305643187886e-254,-6.094305643187886e-254,-100.0,23.916007278392915,-2.1326142783929143,-8.917099972283584,20.98780813467443,-2.1327571346744314,-10.161885991090491,4.0554322617237035e-178,-4.0554322617237035e-178,-100.0,20.98780813467443,-2.1327571346744283,-10.161885991090474,20.98780813467443,-2.1327571346744314,-10.161885991090491
2011-01-13,1294894800000,49.2028,16.24,0.25438,10.989649641240533,1.081911555075399e-31,-1.081911555075399e-31,-100.0,9.345675630912128,0.9985563690878791,10.684688924843645,7.545789393037265e-24,-7.545789393037265e-24,-100.0,7.869663640216872,0.9984843597831414,12.687764120953275,7.869663640216872,0.9984843597831334,12.687764120953169,1.6822831723606909e-40,-1.6822831723606909e-40,-100.0,10.821687621607387,0.9986283783926168,9.228028134897194,10.821687621607387,0.9986283783926186,9.228028134897214,7.869663640216872,0.9984843597831334,12.687764120953169,4.9224402791423,-0.9978602791423016,-20.27165841646679,2.1334038834578228e-13,-2.1334038834578228e-13,-100.0,6.39845226983735,-0.9977882698373576,-15.594212908971524,2.0507380545810477e-21,-2.0507380545810477e-21,-100.0,6.39845226983735,-0.9977882698373576,-15.594212908971524,3.4464284166192414,-0.9979324166192498,-28.955553285455064,1.281724149554913e-07,-1.281724149554913e-07,-100.0,3.4464285447916563,-0.9979325447916648,-28.95555592759263,3.4464284166192414,-0.9979324166192498,-28.95555328545507,22.63458416748525,-0.9969961674852604,-4.404747001791413,0.0,-0.0,,24.110596158180517,-0.9969241581805228,-4.13479679905084,0.0,-0.0,,24.110596158180517,-0.9969241581805228,-4.13479679905084,21.15857217678999,-0.9970681767899948,-4.712360401538503,8.508588178873054e-301,-8.508588178873054e-301,-100.0,21.15857217678999,-0.9970681767899912,-4.712360401538486,21.15857217678999,-0.9970681767899947,-4.712360401538503
2011-01-14,1294981200000,49.3828,16.39,0.25438,11.093453984760316,3.7668797557247094e-31,-3.7668797557247094e-31,-100.0,9.379865181376005,0.6142668186239959,6.548780891261003,1.8868242722606823e-23,-1.8868242722606823e-23,-100.0,7.898453454114431,0.6141945458855744,7.776136802650026,7.898453454114431,0.6141945458855673,7.776136802649933,8.507050898065047e-40,-8.507050898065047e-40,-100.0,10.861276908637583,0.6143390913624174,5.6562326559767175,10.861276908637583,0.6143390913624192,5.656232655976733,7.898453454114431,0.6141945458855673,7.776136802649933,4.940448182152949,-0.6135681821529531,-12.419281804623086,3.439465589298032e-13,-3.439465589298032e-13,-100.0,6.421859909414183,-0.6134959094141834,-9.553243422747727,4.617308481716346e-21,-4.617308481716346e-21,-100.0,6.421859909414183,-0.6134959094141843,-9.553243422747741,3.459036618149653,-0.6136406181496596,-17.740217461991342,1.6325863577966142e-07,-1.6325863577966142e-07,-100.0,3.4590367814082885,-0.6136407814082951,-17.740221344465198,3.459036618149653,-0.6136406181496592,-17.740217461991328,22.71738890929157,-0.612700909291565,-2.697056918548268,0.0,-0.0,,24.19880063655314,-0.6126286365531435,-2.53164876125202,0.0,-0.0,,24.19880063655314,-0.6126286365531435,-2.53164876125202,21.23597718202998,-0.6127731820299829,-2.8855426655313767,2.9014101725820256e-295,-2.9014101725820256e-295,-100.0,21.23597718202998,-0.6127731820299793,-2.8855426655313603,21.23597718202998,-0.6127731820299864,-2.8855426655313936
2011-01-18,1295326800000,49.7828,15.46,0.25438,11.08722024473999,3.5274914928046092e-31,-3.5274914928046092e-31,-100.0,9.455841960184626,0.6642900398153699,7.025181285944414,1.8019191885418006e-23,-1.8019191885418006e-23,-100.0,7.962430818331237,0.6642171816687679,8.341889516196442,7.962430818331237,0.6642171816687599,8.341889516196341,7.79215478578292e-40,-7.79215478578292e-40,-100.0,10.94925310203802,0.6643628979619791,6.067654951170312,10.94925310203802,0.6643628979619809,6.06765495117033,7.962430818331237,0.6642171816687591,8.34188951619633,4.980465744398522,-0.6635857443985174,-13.323768869303947,3.371248216112988e-13,-3.371248216112988e-13,-100.0,6.473876886251575,-0.6635128862515742,-10.249081005242184,4.437026348857681e-21,-4.437026348857681e-21,-100.0,6.473876886251575,-0.6635128862515751,-10.249081005242195,3.4870547648157597,-0.6636587648157644,-19.032071750408228,1.622709743400152e-07,-1.622709743400152e-07,-100.0,3.4870549270867346,-0.6636589270867392,-19.03207551827105,3.4870547648157597,-0.6636587648157644,-19.032071750408228,22.90139944663891,-0.6627114466389088,-2.893759607062662,0.0,-0.0,,24.3948105884923,-0.6626385884923032,-2.7163096269535614,0.0,-0.0,,24.3948105884923,-0.6626385884923032,-2.7163096269535614,21.407988304785512,-0.6627843047855144,-3.0959672405900767,1.375064318320224e-295,-1.375064318320224e-295,-100.0,21.407988304785512,-0.6627843047855109,-3.09596724059006,21.407988304785512,-0.6627843047855144,-3.095967240590077
