Datetime,Timestamp,Price,VIX,2-Day-LIBOR,2-Day-VM,119-Calls,119-Calls-P,119-Calls-ROI,119-Puts,119-Puts-P,119-Puts-ROI,116-Calls,116-Calls-P,116-Calls-ROI,116-Puts,116-Puts-P,116-Puts-ROI,116-Straddles,116-Straddles-P,116-Straddles-ROI,122-Calls,122-Calls-P,122-Calls-ROI,122-Puts,122-Puts-P,122-Puts-ROI,122-Straddles,122-Straddles-P,122-Straddles-ROI,119-Strangles,119-Strangles-P,119-Strangles-ROI
2010-01-21,1264050000000,29.7246,22.27,0.17781666699999998,2.0939559000612387,0.0,-0.0,,5.647329356206843,0.7142446437931547,12.647476333360045,0.0,-0.0,,4.755600044705833,0.7142359552941677,15.018839864157414,4.755600044705833,0.7142359552941606,15.018839864157266,0.0,-0.0,,6.53905866770786,0.7142533322921416,10.922876955048167,6.53905866770786,0.7142533322921407,10.922876955048157,4.755600044705833,0.7142359552941606,15.01883986415727
2010-01-22,1264136400000,28.25,27.31,0.176775,37.58047141927503,2.6366030029331903e-11,-2.6366030029331903e-11,-100.0,5.367174372367129,-1.1696743723671297,-21.79311293460471,7.121542271286133e-09,-7.121542271286133e-09,-100.0,4.519682588562958,-1.1696825885629565,-25.879750748931674,4.5196825956844995,-1.1696825956845058,-25.87975086572111,5.1601279687603684e-14,-5.1601279687603684e-14,-100.0,6.214666163240152,-1.1696661632401586,-18.821061864251888,6.214666163240204,-1.1696661632402092,-18.82106186425255,4.519682588563009,-1.169682588563015,-25.879750748932672
2010-01-25,1264395600000,29.0107,25.41,0.175941667,86.94055020499702,0.002138294951475203,-0.002138294951475203,-100.0,5.5138384753397,-0.6888054753396986,-12.492304198252056,0.007229840429709754,-0.007229840429709754,-100.0,4.648617411228326,-0.6939054112283216,-14.927135314518551,4.6558472516580345,-0.7011352516580382,-15.059240859079962,0.0005717844413048317,-0.0005717844413048317,-100.0,6.382584574419148,-0.68723057441915,-10.767277212017076,6.383156358860452,-0.6878023588604547,-10.775270417835166,4.6491891956696305,-0.6944771956696334,-14.937598072293694
2010-01-26,1264482000000,29.42,24.55,0.175941667,14.100004231510818,2.3265545697467353e-64,-2.3265545697467353e-64,-100.0,5.5894624847735965,0.9503375152264012,17.00230599660058,8.01608466520313e-48,-8.01608466520313e-48,-100.0,4.7068709935608215,0.9503290064391834,20.190249695376608,4.7068709935608215,0.9503290064391824,20.190249695376586,5.7025401061596184e-83,-5.7025401061596184e-83,-100.0,6.472053975986384,0.9503460240136192,14.683839590024126,6.472053975986384,0.9503460240136192,14.683839590024126,4.7068709935608215,0.9503290064391816,20.190249695376565
2010-01-27,1264568400000,29.6977,23.14,0.175941667,5.1804382053869675,0.0,-0.0,,5.64222229891438,2.2604407010856207,40.06295004577456,0.0,-0.0,,4.751299888017382,2.260432111982624,47.57502505121509,4.751299888017382,2.2604321119826167,47.575025051214936,0.0,-0.0,,6.533144709811378,2.2604492901886246,34.59971255181163,6.533144709811378,2.2604492901886246,34.59971255181163,4.751299888017382,2.2604321119826167,47.575025051214936
2010-01-28,1264654800000,28.47,23.73,0.17698333300000002,57.93610771890831,7.415019516755815e-06,-7.415019516755815e-06,-100.0,5.408978864753233,0.6517211352467669,12.048875611136253,8.988585609438597e-05,-8.988585609438597e-05,-100.0,4.554969618369633,0.6516303816303655,14.30592158073723,4.555059504225727,0.6515404957742712,14.303665960232511,4.757959364261271e-07,-4.757959364261271e-07,-100.0,6.263063642749826,0.6517363572501722,10.406031208139293,6.2630641185457625,0.6517358814542353,10.406022820752534,4.554970094165569,0.6516299058344295,14.305909640748201
2010-01-29,1264741200000,27.4376,24.62,0.17698333300000002,5.9291814149501825,0.0,-0.0,,5.212827363864196,-0.5420833638642009,-10.39902774494266,2.3251291228968268e-253,-2.3251291228968268e-253,-100.0,4.389707346287793,-0.5420913462877905,-12.349145478825973,4.389707346287793,-0.5420913462877941,-12.349145478826056,0.0,-0.0,,6.035947381440611,-0.5420753814406112,-8.980783747508964,6.035947381440611,-0.5420753814406112,-8.980783747508964,4.389707346287793,-0.5420913462877941,-12.349145478826054
2010-02-01,1265000400000,27.8186,22.59,0.17656666699999998,56.94101961403847,5.170227332147227e-06,-5.170227332147227e-06,-100.0,5.285218893058612,-0.6424848930586116,-12.156258918668904,6.78982344675021e-05,-6.78982344675021e-05,-100.0,4.450731695280084,-0.6425556952800839,-14.437079996565554,4.450799593514551,-0.6426235935145526,-14.43838528364536,3.032614071556741e-07,-3.032614071556741e-07,-100.0,6.119763951878351,-0.6424719518783562,-10.498312629871306,6.119764255139757,-0.6424722551397632,-10.49831706507608,4.4507319985414915,-0.6425559985414919,-14.437085826602413
2010-02-02,1265086800000,27.98,21.48,0.17865,8.986060235924286,3.8227134457959025e-153,-3.8227134457959025e-153,-100.0,5.315874063725165,0.5446259362748336,10.24527537232852,1.2827415391041663e-112,-1.2827415391041663e-112,-100.0,4.476482280606046,0.5446177193939548,12.166198484766973,4.476482280606046,0.5446177193939548,12.166198484766973,8.346960574040634e-199,-8.346960574040634e-199,-100.0,6.1552658468442845,0.5446341531557124,8.848263693353529,6.1552658468442845,0.5446341531557115,8.848263693353513,4.476482280606046,0.5446177193939548,12.166198484766973
2010-02-03,1265173200000,28.4614,21.6,0.176775,12.654704212388046,4.4604711623969047e-79,-4.4604711623969047e-79,-100.0,5.407337935608479,0.5389280643915271,9.966605949344693,1.4078923642638708e-58,-1.4078923642638708e-58,-100.0,4.5535042061393565,0.53891979386065,11.835276074501927,4.5535042061393565,0.538919793860642,11.835276074501753,3.725694327419325e-102,-3.725694327419325e-102,-100.0,6.261171665077603,0.5389363349224041,8.607595570784026,6.261171665077603,0.5389363349224032,8.607595570784014,4.5535042061393565,0.5389197938606411,11.83527607450173
2010-02-04,1265259600000,27.4357,26.08,0.178858333,60.34827041059165,1.5212920941924191e-05,-1.5212920941924191e-05,-100.0,5.212478244448072,-0.2953952444480734,-5.667078702202844,0.00015432215865231191,-0.00015432215865231191,-100.0,4.389554420117882,-0.2955424201178793,-6.732856956126825,4.389708742276534,-0.2956967422765349,-6.736135803925443,1.191960549757758e-06,-1.191960549757758e-06,-100.0,6.03552715705559,-0.2953731570555931,-4.893908176857409,6.03552834901614,-0.2953743490161429,-4.8939269594234,4.389555612078432,-0.2955436120784327,-6.732882282325028
