Datetime,Timestamp,Price,VIX,5-Day-LIBOR,5-Day-VM,5-Day-VNM
2016-08-12,1470974400000,109.48,11.81,0.4357,0.09384209618474577,0.09667348421328363
2016-08-15,1471233600000,109.38,12.64,0.4357,0.11312152279494452,0.11885173087559477
2016-08-16,1471320000000,109.22,12.19,0.434833333,0.11304418402767603,0.11457927790465375
2016-08-17,1471406400000,109.08,11.43,0.433483333,0.08987364760707589,0.09844984251577955
2016-08-18,1471492800000,109.36,11.34,0.43348,0.09128475217815933,0.09884714607559143
2016-08-19,1471579200000,108.51,12.27,0.432926667,0.09133625027014558,0.09924108852289723
2016-08-22,1471838400000,108.85,12.38,0.433113333,0.05999442368402482,0.06791992522854882
2016-08-23,1471924800000,108.03,13.45,0.433666667,0.06988606339744444,0.072014256967019
2016-08-24,1472011200000,107.57,13.63,0.435336667,0.0846893312977143,0.09331935153108592
2016-08-25,1472097600000,106.94,13.65,0.434966667,0.08533060950187799,0.09883607228565726
2016-08-26,1472184000000,106.82,12.94,0.434776667,0.07173980949991236,0.107499286132266
2016-08-29,1472443200000,106.0,13.12,0.434743333,0.06772170430064225,0.08797817781418185
2016-08-30,1472529600000,106.1,13.42,0.434403333,0.04363507324733157,0.10447168703307275
2016-08-31,1472616000000,106.73,13.48,0.434403333,0.05614296071143437,0.08550816555515098
2016-09-01,1472702400000,107.73,11.98,0.4357,0.08719388307734707,0.09159386493115422
2016-09-02,1472788800000,107.7,12.02,0.434036667,0.10513809090405994,0.10838551830119346
2016-09-06,1473134400000,108.36,11.94,0.43548,0.10397167975267045,0.1080356794274643
2016-09-07,1473220800000,105.52,12.51,0.435666667,0.06366739885820219,0.10129147768057045
2016-09-08,1473307200000,103.13,17.5,0.43548,0.23443790975737241,0.23525674981579636
2016-09-09,1473393600000,105.44,15.16,0.436406667,0.2676286751178588,0.29443959806922687
2016-09-12,1473652800000,107.95,17.85,0.437516667,0.3265336306450472,0.3354598682937798
2016-09-13,1473739200000,111.77,18.14,0.437226667,0.3845543650467946,0.38464382181215734
2016-09-14,1473825600000,115.57,16.3,0.43722,0.4589871426407306,0.47218369154970447
2016-09-15,1473912000000,114.92,15.37,0.437593333,0.3786977998005292,0.4993522647760728
2016-09-16,1473998400000,113.58,15.53,0.440183333,0.26041636418391856,0.46668676545997184
2016-09-19,1474257600000,113.57,15.92,0.442966667,0.35271694958813243,0.44180980092206495
2016-09-20,1474344000000,113.55,13.3,0.441666667,0.35609701981432373,0.3997172569224552
2016-09-21,1474430400000,114.62,12.02,0.4437066670000001,0.2813984119728325,0.287020017910987
2016-09-22,1474516800000,112.71,12.29,0.445743333,0.12490135304126534,0.12834490124390774
2016-09-23,1474603200000,112.88,14.5,0.445923333,0.1663802535328502,0.18030192209897197
2016-09-26,1474862400000,113.09,13.1,0.445,0.15284246219243647,0.1544345088388383
2016-09-27,1474948800000,113.95,12.39,0.443333333,0.15440530608797742,0.1551470770251156
2016-09-28,1475035200000,112.18,14.02,0.442963333,0.16608274855682867,0.166558578570172
2016-09-29,1475121600000,113.05,13.29,0.44352,0.17852324370340783,0.19441458615151788
2016-09-30,1475208000000,112.52,13.57,0.438796667,0.15306307416817108,0.1534419499636374
2016-10-03,1475467200000,113.0,13.63,0.439076667,0.1571042156065147,0.15751933846195176
2016-10-04,1475553600000,113.05,12.99,0.44574,0.16044580370149814,0.1604710850214495
2016-10-05,1475640000000,113.89,12.84,0.449263333,0.14589560456819353,0.14862827529017766
2016-10-06,1475726400000,114.06,13.48,0.446483333,0.08356499236218196,0.09956205975573304
2016-10-07,1475812800000,116.05,13.38,0.446666667,0.07226796636921429,0.07896377403197956
2016-10-10,1476072000000,116.3,15.36,0.44722,0.10842065690282175,0.15481865400674863
2016-10-11,1476158400000,117.34,15.91,0.44574,0.11180121514953954,0.15200481848698194
2016-10-12,1476244800000,116.98,16.69,0.44574,0.10202391332008219,0.16782548227259061
2016-10-13,1476331200000,117.63,16.12,0.44685,0.12684422362480954,0.1589411725231224
