Datetime,Timestamp,Price,VIX,5-Day-LIBOR,5-Day-VM,100-Calls,100-Calls-P,100-Calls-ROI,100-Puts,100-Puts-P,100-Puts-ROI,100-Straddles,100-Straddles-P,100-Straddles-ROI,100-Straps,100-Straps-P,100-Straps-ROI,95-Calls,95-Calls-P,95-Calls-ROI,95-Puts,95-Puts-P,95-Puts-ROI,95-Straddles,95-Straddles-P,95-Straddles-ROI,100-Bear-Spreads,100-Bear-Spreads-P,100-Bear-Spreads-ROI
2009-04-03,1238731200000,16.57,39.7,0.363333333,39.249424278634145,0.3040500505156221,0.30024994948437644,98.75017253744859,0.3032253541448373,-0.3032253541448373,-100.0,0.6072754046604594,-0.0029754046604608675,-0.4899596851159285,0.9113254551760815,0.2972745448239155,32.620019899090565,0.8784312309954156,0.5543687690045829,63.108954855394494,0.04914776944317102,-0.04914776944317102,-100.0,0.9275790004385868,0.5052209995614119,54.46662756730462,0.2540775847016663,4.745922415298334,1867.9028379740453
2009-04-06,1238990400000,16.9214,40.93,0.34896,19.26156941535109,0.15258458124334418,-0.15258458124334418,-100.0,0.1517757112965974,-0.13177571129659782,-86.82266099816464,0.3043602925399416,-0.284360292539942,-93.42884059116386,0.4569448737832858,-0.43694487378328617,-95.62310441642357,0.8482927030916692,-0.022222703091671292,-2.619697541978012,0.0014542766422617481,-0.0014542766422617481,-100.0,0.8497469797339309,-0.02367697973392946,-2.7863564447552487,0.15032143465433564,4.849678565345664,3226.205614985985
2009-04-07,1239076800000,16.4286,40.39,0.350416667,43.16378350288998,0.3314585470554388,0.045641452944563454,13.769882644459187,0.3306699556737165,-0.3306699556737165,-100.0,0.6621285027291552,-0.28502850272915303,-43.047309027526396,0.9935870497845942,-0.2393870497845897,-24.093213557532568,0.8874998665783913,0.31103013342161034,35.045654104798395,0.06532070476575269,-0.06532070476575269,-100.0,0.952820571344144,0.24570942865585946,25.787586461240767,0.2653492509079638,4.734650749092037,1784.3090692327778
2009-04-08,1239163200000,16.6171,38.85,0.3475,40.979069292682794,0.31831283706614144,0.4145871629338593,130.24519110038693,0.3175218364068915,-0.3175218364068915,-100.0,0.6358346734730329,0.09706532652696788,15.265812101246569,0.9541475105391743,0.5116524894608272,53.62404489969272,0.8880891045705539,0.6756658954294466,76.0808675562091,0.056482653944266215,-0.056482653944266215,-100.0,0.94457175851482,0.6191832414851821,65.55174192998776,0.2610391824626253,4.738960817537374,1815.4212608353853
2009-04-09,1239249600000,17.0814,36.53,0.3425,38.29911706369219,0.3058327123300497,0.24416728766995105,79.83687742547619,0.3050313092809205,-0.3050313092809205,-100.0,0.6108640216109702,-0.06086402161096949,-9.963595736160553,0.91669673394102,0.1833032660589815,19.996064049550238,0.9016078799283048,0.5024621200716961,55.72956173715468,0.046776547031629256,-0.046776547031629256,-100.0,0.948384426959934,0.4556855730400667,48.048614052086066,0.2582547622492912,4.741745237750709,1836.0727199963658
2009-04-10,1239336000000,17.1743,37.81,0.332916667,35.28547940966272,0.2833243463214856,-0.2433243463214829,-85.88190513122544,0.2825411298365328,-0.2825411298365328,-100.0,0.5658654761580184,-0.5258654761580157,-92.9311821121187,0.849189822479504,-0.7691898224794986,-90.57925591166205,0.8949302338749661,0.0037847661250367533,0.422911863045353,0.03547117821426116,-0.03547117821426116,-100.0,0.9304014120892272,-0.0316864120892244,-3.4056711089971583,0.24706995162227163,4.752930048377729,1923.7183709187584
2009-04-13,1239595200000,16.9014,37.67,0.332916667,35.92705788005359,0.2838842523185932,0.2090157476814092,73.62710188194528,0.28311348116059604,-0.28311348116059604,-100.0,0.5669977334791892,-0.07409773347918691,-13.068435569311946,0.8508819857977825,0.13491801420222216,15.856254622164053,0.8830198076723246,0.4549501923276775,51.522082333231495,0.03721757507222856,-0.03721757507222856,-100.0,0.9202373827445532,0.41773261725544897,45.39400649097588,0.24589590608836748,4.754104093911632,1933.3807420946457
2009-04-14,1239681600000,16.8057,36.17,0.332916667,26.382399115377265,0.20739392823545802,0.3455060717645395,166.5941113629327,0.20662752137863194,-0.20662752137863194,-100.0,0.4140214496140899,0.13887855038590755,33.54380564469703,0.6214153778495479,0.4843846221504471,77.94860562136304,0.8511382141911952,0.5420467858088021,63.68493116290036,0.010125127677211965,-0.010125127677211965,-100.0,0.8612633418684071,0.5319216581315919,61.76062909837214,0.19650239370141998,4.80349760629858,2444.498265806046
2009-04-15,1239768000000,17.35,35.79,0.3275,32.92840105932017,0.2671256685711292,0.2971743314288702,111.2488863456938,0.2663473127432834,-0.2663473127432834,-100.0,0.5334729813144126,0.030827018685586793,5.778552947448766,0.8005986498855417,0.32800135011445697,40.96951077313832,0.8959400290623858,0.5358599709376133,59.80980350865654,0.027700591025932475,-0.027700591025932475,-100.0,0.9236406200883184,0.5081593799116808,55.017002160763646,0.2386467217173509,4.761353278282649,1995.1471547645706
2009-04-16,1239854400000,17.6314,33.94,0.324586667,29.615522577768512,0.2441864111966208,-0.17558641119662075,-71.90670862320722,0.2434024673430937,-0.2434024673430937,-100.0,0.4875888785397145,-0.4189888785397145,-85.93077015918597,0.7317752897363353,-0.5945752897363353,-81.2510750329607,0.9005363871768033,0.04963361282319667,5.511561057382576,0.018221640515954096,-0.018221640515954096,-100.0,0.9187580276927574,0.031411972307242575,3.418960309508945,0.2251808268271396,4.77481917317286,2120.437712416012
