Datetime,Timestamp,Price,VIX,8-Day-LIBOR,8-Day-VM,100-Calls,100-Calls-P,100-Calls-ROI,100-Puts,100-Puts-P,100-Puts-ROI
2010-12-08,1291784400000,45.8586,17.74,0.255326087,17.217825570583138,0.4676040089848037,-0.29620400898480526,-63.34505335569768,0.4650377472262335,-0.4650377472262335,-100.0
2010-12-09,1291870800000,45.6796,17.25,0.255016087,17.370191769982103,0.46988754446475767,0.1655124555352394,35.223843978195326,0.46733440313903074,-0.46733440313903074,-100.0
2010-12-10,1291957200000,45.7943,17.61,0.25493434800000003,12.177563928091626,0.3306345785023801,0.3264654214976197,98.7390438641824,0.32807584669849277,-0.32807584669849277,-100.0
2010-12-13,1292216400000,45.9528,17.55,0.25373869600000004,8.91480170504361,0.2432251515587005,0.03257484844129621,13.392878258083652,0.24066960540504567,-0.24066960540504567,-100.0
2010-12-14,1292302800000,45.7557,17.61,0.253752609,9.242733238345386,0.2510435688014603,0.3760564311985455,149.79727741838812,0.24849884433387004,-0.24849884433387004,-100.0
2010-12-15,1292389200000,45.7657,17.94,0.253752609,9.049833506582207,0.24588463130357852,0.48411536869641836,196.8872011763562,0.2433393506813495,-0.2433393506813495,-100.0
2010-12-16,1292475600000,45.8928,17.39,0.253752609,7.867794142312771,0.21452988177339805,0.36267011822659967,169.05342753587962,0.21197753242574535,-0.21197753242574535,-100.0
2010-12-17,1292562000000,45.8014,16.11,0.253752609,6.9301415712324435,0.1887393624711713,0.2469606375288258,130.84744713310528,0.18619209637688883,-0.18619209637688883,-100.0
2010-12-20,1292821200000,46.03,16.41,0.25404913,5.588713660237848,0.153216532975204,-0.10321653297520683,-67.36644601657382,0.15065356182110534,-0.15065356182110534,-100.0
2010-12-21,1292907600000,46.315,16.49,0.25404913,5.610915711523519,0.1547724829369237,0.6116275170630807,395.1784616082852,0.1521936428543249,-0.1521936428543249,-100.0
2010-12-22,1292994000000,46.4514,15.45,0.25404913,5.637805919969347,0.155965989306587,0.7197340106934149,461.4685636870563,0.15337955441049544,-0.15337955441049544,-100.0
2010-12-23,1293080400000,46.2286,16.47,0.254651739,6.582680026444247,0.18101792514787363,1.3046820748521277,720.7474474068423,0.17843779038390295,-0.17843779038390295,-100.0
2010-12-27,1293426000000,46.3828,17.67,0.254651739,5.826261732201907,0.16090110264872237,1.1319988973512736,703.5370663821004,0.15831236159383621,-0.15831236159383621,-100.0
2010-12-28,1293512400000,46.4957,17.52,0.254651739,5.755423127642002,0.15934754248486271,1.3620524575151371,854.7684114077416,0.156752500196216,-0.156752500196216,-100.0
2010-12-29,1293598800000,46.47,17.28,0.254651739,5.891139843261237,0.1629841484067498,2.2891158515932517,1404.5021396071243,0.1603905404999182,-0.1603905404999182,-100.0
2010-12-30,1293685200000,46.2371,17.52,0.254651739,6.734903398337919,0.1852079806176974,2.383392019382306,1286.8732823679215,0.18262737144728902,-0.18262737144728902,-100.0
2011-01-03,1294030800000,46.08,17.75,0.254651739,6.677301588136281,0.18301110715547253,2.9397888928445326,1606.3445211263097,0.1804392661323071,-0.1804392661323071,-100.0
