Datetime,Timestamp,Price,VIX,5-Day-LIBOR,5-Day-VM,90-Calls,90-Calls-P,90-Calls-ROI,90-Puts,90-Puts-P,90-Puts-ROI,90-Calls.1,90-Calls-P.1,90-Calls-ROI.1,100-Calls,100-Calls-P,100-Calls-ROI,100-Puts,100-Puts-P,100-Puts-ROI,100-Straps,100-Straps-P,100-Straps-ROI
2009-06-01,1243828800000,19.9271,29.63,0.284583333,15.567786444743454,1.9934091411638235,0.4608008588361798,23.1162208159208,2.0506145993187959e-10,-2.0506145993187959e-10,-100.0,,,,0.1452342836277314,0.3162657163722695,217.762437678235,0.144457460340222,-0.144457460340222,-100.0,0.43492602759568477,0.48807397240431705,112.21999637557667
2009-06-02,1243915200000,20.1357,31.02,0.283333333,15.123587033115045,2.014273356762317,-0.1007033567623168,-4.999488099479426,7.038188753524606e-11,-7.038188753524606e-11,-100.0,,,,0.14257684780128874,-0.14257684780128874,-100.0,0.14179534036580674,-0.04179534036580535,-29.47582075544993,0.4269490359683842,-0.32694903596838276,-76.57800075056113
2009-06-03,1244001600000,20.5343,30.18,0.280836667,16.10144624360751,2.054140960432278,-0.5421109604322787,-26.391127526038705,6.923256730751223e-10,-6.923256730751223e-10,-100.0,,,,0.15477089431342786,-0.15477089431342786,-100.0,0.1539809390468143,0.3874190609531887,251.6019601850869,0.46352272767367003,0.07787727232633296,16.8011766579783
2009-06-04,1244088000000,20.6671,29.62,0.280416667,15.845973553939858,2.0674244879608885,-1.1007144879608894,-53.240855681579454,4.004859932266147e-10,-4.004859932266147e-10,-100.0,,,,0.15330608587676942,-0.15330608587676942,-100.0,0.15251221080965394,0.9474877891903476,621.2537239873072,0.45912438256319277,0.6408756174368087,139.5864915426486
2009-06-05,1244174400000,20.55,29.77,0.27937666699999997,15.174412221088545,2.0557078045451607,-1.1093078045451603,-53.96232879461205,8.166578087013445e-11,-8.166578087013445e-11,-100.0,,,,0.14599253905161014,-0.14599253905161014,-100.0,0.1452060896477274,0.9633939103522716,663.4666030119554,0.4371911677509477,0.6714088322490515,153.57328367427797
2009-06-08,1244433600000,20.3886,28.27,0.281043333,18.16700996792789,2.0395664623028544,-0.9107064623028548,-44.65196300955965,2.7670080794681723e-08,-2.7670080794681723e-08,-100.0,,,,0.17333573382619782,-0.17333573382619782,-100.0,0.17255080645645116,0.737449193543549,427.38090229075135,0.5192222741088468,0.39077772589115334,75.26212671863013
2009-06-09,1244520000000,20.0357,28.46,0.280836667,22.731176217989148,2.004267976211839,-0.6677979762118369,-33.318796894315824,4.279515984583664e-06,-4.279515984583664e-06,-100.0,,,,0.2130299862234768,-0.2130299862234768,-100.0,0.21225921211697066,0.4548407878830272,214.2855348169181,0.6383191845639242,0.02878081543607358,4.508843871853164
2009-06-10,1244606400000,19.9929,28.11,0.285836667,13.808618788547108,1.999994538743696,-0.5822045387436923,-29.11030642660685,1.566201480833988e-12,-1.566201480833988e-12,-100.0,,,,0.12929431850673545,-0.12929431850673545,-100.0,0.1285114976821493,0.452988502317849,352.4886959439511,0.3871001346956202,0.19439986530437814,50.2195292329816
2009-06-11,1244692800000,19.5671,28.15,0.28375,13.01942914362049,1.9573945001437103,0.3579154998562899,18.285302213223343,9.084140855366554e-14,-9.084140855366554e-14,-100.0,,,,0.11932791336568906,0.2392720866343101,200.5164423692246,0.11856735765056035,-0.11856735765056035,-100.0,0.35722318438193845,0.35997681561805983,100.77084337089869
2009-06-12,1244779200000,19.4414,30.81,0.282083333,12.83539799535551,1.9448161082273216,0.18222389177267928,9.369723492200727,4.3412479895694637e-14,-4.3412479895694637e-14,-100.0,,,,0.11688863944019268,0.06601136055980739,56.47371795578372,0.11613740807655225,-0.11613740807655225,-100.0,0.3499146869569376,0.01588531304306251,4.539767444805037
2009-06-15,1245038400000,19.4786,32.68,0.28,15.896382837669144,1.9485323994716952,-0.3349723994716918,-17.191009991032878,4.218967685831332e-10,-4.218967685831332e-10,-100.0,,,,0.14494782854109722,-0.14494782854109722,-100.0,0.144200718485763,0.19009928151423594,131.82963546260314,0.43409637556795744,-0.0997963755679585,-22.98945146394927
2009-06-16,1245124800000,19.3686,31.54,0.27917,14.108224722560346,1.9375266199772376,0.09073338002276188,4.682948821824592,3.945683609810775e-12,-3.945683609810775e-12,-100.0,,,,0.12795756048772766,-0.03655756048772752,-28.57006678494291,0.12721687162851225,-0.12721687162851225,-100.0,0.3831319926039676,-0.20033199260396728,-52.28798337680055
2009-06-17,1245211200000,19.4114,30.03,0.277503333,15.294935937986741,1.9418041046563916,0.5679358953436093,29.24784709135773,1.0403630893961431e-10,-1.0403630893961431e-10,-100.0,,,,0.13899347570605514,0.4296065242939449,309.083949524711,0.13825558175899744,-0.13825558175899744,-100.0,0.4162425331711077,0.7209574668288923,173.2061020617812
2009-06-18,1245297600000,19.9257,27.99,0.279583333,20.999772863028948,1.9932576996629765,0.4222123003370264,21.182022796571406,8.903142506657456e-07,-8.903142506657456e-07,-100.0,,,,0.19575166121589405,0.227148338784108,116.03903505758076,0.19498853971731125,-0.19498853971731125,-100.0,0.5864918621490993,0.2593081378509048,44.213424701361475
2009-06-19,1245384000000,19.6243,31.17,0.281666667,24.32464308511373,1.9631250770893047,0.6564049229106956,33.436734651871326,1.3616256035769991e-05,-1.3616256035769991e-05,-100.0,,,,0.2232563010986333,0.43384369890136654,194.3253994473809,0.2224991223950017,-0.2224991223950017,-100.0,0.6690117245922682,0.6451882754077314,96.43900871856079
2009-06-22,1245643200000,19.1443,30.58,0.287083333,30.80602681040105,1.9154348593133441,1.2017951406866558,62.7426787626431,0.0003272824303851424,-0.0003272824303851424,-100.0,,,,0.2757308253343904,0.9270691746656096,336.2225364325202,0.2749779621311035,-0.2749779621311035,-100.0,0.8264396127998843,1.5791603872001154,191.07994858209884
2009-06-23,1245729600000,19.46,29.05,0.29041999999999996,33.649834718179164,1.947529547694192,0.9427704523058082,48.40853138387637,0.0008327922553607173,-0.0008327922553607173,-100.0,,,,0.3061169919822113,0.6381830080177869,208.47683230040107,0.30534281927239704,-0.30534281927239704,-100.0,0.9175768032368197,0.971023196763177,105.82473241889086
2009-06-24,1245816000000,19.98,26.36,0.28813,38.2768587707673,2.001370628053017,0.019529371946983787,0.9757998680125752,0.002660894982929707,-0.002660894982929707,-100.0,,,,0.3574497658512197,-0.33454976585121976,-93.59350538516466,0.3566611735511245,-0.3566611735511245,-100.0,1.0715607052535638,-1.025760705253564,-95.72586044118124
2009-06-25,1245902400000,20.3486,25.93,0.287503333,35.9763081285331,2.037194213990112,-0.5495342139901105,-26.975052757182908,0.0016129595233314307,-0.0016129595233314307,-100.0,,,,0.3421906716372973,-0.3421906716372973,-100.0,0.3413892777853196,0.20581072221468052,60.286229125246074,1.0257706210599142,-0.4785706210599141,-46.6547404687233
2009-06-26,1245988800000,20.2814,25.35,0.284586667,32.76779566670514,2.029518910629271,-0.9398789106292718,-46.31042882659584,0.0006673307427604996,-0.0006673307427604996,-100.0,,,,0.3106790043538865,-0.3106790043538865,-100.0,0.3098883600355382,0.628611639964463,202.85100088702046,0.9312463687433112,0.007253631256689985,0.7789164607942086
2009-06-29,1246248000000,20.3471,26.35,0.282503333,19.048284712350675,2.035418754768614,-0.7449087547686126,-36.59732195271503,9.57124096637776e-08,-9.57124096637776e-08,-100.0,,,,0.1813569072057284,-0.1813569072057284,-100.0,0.18056950825439344,0.5636304917456059,312.1404589259561,0.5432833226658502,0.20091667733414909,36.98193354220154
2009-06-30,1246334400000,20.4043,26.22,0.285833333,19.600479321790377,2.0411492212090248,-0.9250192212090234,-45.318549550292595,1.9334502936087933e-07,-1.9334502936087933e-07,-100.0,,,,0.1871318409981555,-0.1871318409981555,-100.0,0.18633292114927613,0.7379670788507227,396.04760892441436,0.5605966031455871,0.36370339685441166,64.87791663624436
2009-07-01,1246420800000,20.0029,27.95,0.280833333,21.85189086911313,2.00098456683223,-0.21499456683223173,-10.744439032460447,2.0139935422867285e-06,-2.0139935422867285e-06,-100.0,,,,0.20446967537757565,-0.20446967537757565,-100.0,0.20370017222347592,0.010599827776525572,5.203642029765534,0.6126395229786272,-0.39833952297862574,-65.02021303521457
2009-07-02,1246507200000,19.8014,29.0,0.278963333,15.430324604486367,1.9808210115306863,0.5322189884693138,26.86860576352832,1.4730957314247849e-10,-1.4730957314247849e-10,-100.0,,,,0.14303970205561356,0.3898602979443844,272.55390800017705,0.14228302274074878,-0.14228302274074878,-100.0,0.4283624268519759,0.63743757314802,148.80800303437718
2009-07-06,1246852800000,19.3429,30.85,0.27729333300000003,19.691534674174594,1.9349514649547608,0.9807385350452408,50.68543334590412,2.0470713067145504e-07,-2.0470713067145504e-07,-100.0,,,,0.17820862265529944,0.8031913773447013,450.70287025239867,0.17747388904682104,-0.17747388904682104,-100.0,0.53389113435742,1.4289088656425815,267.64049329314787
2009-07-07,1246939200000,19.6029,31.3,0.276043333,24.523160584988712,1.9609726565665435,1.3793173434334562,70.33842816801412,1.5528787287178488e-05,-1.5528787287178488e-05,-100.0,,,,0.2248222033533125,1.1551777966466863,513.8183771072212,0.2240809502652521,-0.2240809502652521,-100.0,0.6737253569718771,2.086274643028121,309.662479145075
2009-07-08,1247025600000,19.48,29.78,0.272503333,22.92378834325145,1.9486592996708725,1.5936407003291286,81.78139198567415,4.855936001606416e-06,-4.855936001606416e-06,-100.0,,,,0.2088622390561952,1.385437760943805,663.3261077753017,0.20813507935078407,-0.20813507935078407,-100.0,0.6258595574631745,2.5627404425368265,409.47532269451966
2009-07-09,1247112000000,19.7886,29.02,0.267916667,26.241208240301408,1.9795577721577158,1.8893022278422864,95.44062085053216,4.415042863038874e-05,-4.415042863038874e-05,-100.0,,,,0.2428134672842113,1.6471865327157893,678.3752775902543,0.24208722091856136,-0.24208722091856136,-100.0,0.7277141554869839,3.052285844513017,419.434721930129
2009-07-10,1247198400000,20.3343,26.31,0.266463333,31.8745032083182,2.034601108708461,1.50862889129154,74.1486321242201,0.0005031057197922227,-0.0005031057197922227,-100.0,,,,0.302984672646458,1.206815327353544,398.3090355074608,0.3022424471034899,-0.3022424471034899,-100.0,0.9082117923964059,2.111388207603598,232.4775151875636
2009-07-13,1247457600000,20.3243,25.02,0.261876667,21.227403953576133,2.0330873206599023,1.3193426793400995,64.89355700235568,1.1387381298285549e-06,-1.1387381298285549e-06,-100.0,,,,0.20180310650773411,1.118196893492266,554.1029138961303,0.2010740154835453,-0.2010740154835453,-100.0,0.6046802284990136,2.035319771500987,336.59439743105594
