Datetime,Timestamp,Price,VIX,1-Year-LIBOR,1-Year-VM,95-Calls,95-Calls-P,95-Calls-ROI,95-Puts,95-Puts-P,95-Puts-ROI,100-Calls,100-Calls-P,100-Calls-ROI,100-Puts,100-Puts-P,100-Puts-ROI,95-Bull-Spreads,95-Bull-Spreads-P,95-Bull-Spreads-ROI
2014-12-26,1419570000000,327.1582,14.37,0.6288,74.91756350922034,102.28252694041136,4.1331830595886165,4.040947347728867,83.97643621616821,-83.97643621616821,-100.0,96.27009983111981,-6.212299831119835,-6.452989912774223,94.2193832792849,-94.2193832792849,-100.0,6.012427109291551,-1.0124271092915507,-16.838908661810716
2014-12-27,1419656400000,315.1670000000001,14.5,0.6288,74.96680450380705,98.58951768193018,24.52483231806977,24.87569966331701,80.95439285459112,-80.95439285459112,-100.0,92.79908172769122,14.556918272308721,15.686489565731275,90.82352927786066,-90.82352927786066,-100.0,5.7904359542389585,-0.7904359542389585,-13.650715774868562
2014-12-28,1419742800000,316.7959,14.5,0.6288,74.94464622179652,99.07377538638713,21.23511961361284,21.4336432933902,81.34750569035548,-81.34750569035548,-100.0,93.25267957354008,11.216420426459893,12.027987268306322,91.26691673561204,-91.26691673561204,-100.0,5.821095812847048,-0.821095812847048,-14.105519634892543
2014-12-29,1419829200000,312.4412,15.06,0.6288,74.92075313366453,97.68500417942562,38.11385582057443,39.01710005618442,80.20240110485376,-80.20240110485376,-100.0,91.94314625739376,28.23365374260631,30.707730692145912,89.98467986310759,-89.98467986310759,-100.0,5.741857922031855,-0.7418579220318549,-12.92017204370908
2014-12-30,1419915600000,309.8708,15.92,0.6288,74.90730350613133,96.86635066877744,34.901389331222575,36.030457522409996,79.52757396199216,-79.52757396199216,-100.0,91.17129490711294,25.102905092887074,27.533781458804974,89.22894047891796,-89.22894047891796,-100.0,5.695055761664506,-0.6950557616645057,-12.204547079998393
2014-12-31,1420002000000,319.6958,15.92,0.6288,74.98048276163107,100.02195574419129,26.31703425580868,26.311257423435286,82.13342255456165,-82.13342255456165,-100.0,94.14877039741478,16.205429602585212,17.212577003586865,92.14483019780464,-92.14483019780464,-100.0,5.873185346776509,-0.8731853467765092,-14.867321482638989
2015-01-01,1420088400000,313.9247,19.2,0.6288,74.97214827318332,98.20694891036251,38.02758608963754,38.72188934852957,80.6413368034955,-80.6413368034955,-100.0,92.4395123290072,28.098787670992838,30.39694494599311,90.47174695335778,-90.47174695335778,-100.0,5.767436581355312,-0.7674365813553123,-13.306372259666347
2015-01-02,1420174800000,314.5916,17.79,0.6288,74.80495801327413,98.22606793995972,36.49791206004025,37.15705293461349,80.62313953808929,-80.62313953808929,-100.0,92.4408871328777,26.553512867122283,28.724857247370792,90.46894144669828,-90.46894144669828,-100.0,5.785180807082014,-0.7851808070820141,-13.572277743174828
2015-01-03,1420261200000,279.8507,17.79,0.6328,75.6164547325549,88.20060522675217,76.30222977324776,86.5098709664007,72.53103150536302,-72.53103150536302,-100.0,83.07789757540897,67.432402424591,81.16768044519095,81.31259365815721,-81.31259365815721,-100.0,5.122707651343205,-0.12270765134320527,-2.395367053808557
2015-01-04,1420347600000,263.6343,19.92,0.6328,75.73591081164484,83.20298669183738,99.83742830816269,119.99260156120964,68.44141168295998,-68.44141168295998,-100.0,78.38039954452947,91.4783004554706,116.71068403204544,76.71738900886909,-76.71738900886909,-100.0,4.822587147307914,0.17741285269208618,3.6787899787590645
2015-01-05,1420434000000,272.9486,21.12,0.6338,75.25080693430391,85.66701425084523,87.28481574915476,101.88847657696155,70.38133054546151,-70.38133054546151,-100.0,80.66023631044729,78.64416368955274,97.5005371753003,78.93575872583287,-78.93575872583287,-100.0,5.006777940397939,-0.006777940397938664,-0.13537529482284077
2015-01-06,1420520400000,285.5759,21.12,0.6283,75.3922749771953,89.76997430864357,68.39692069135641,76.19131142468281,73.79196327496169,-73.79196327496169,-100.0,84.53588314159809,59.35221685840192,70.20949524947484,82.7472346850908,-82.7472346850908,-100.0,5.234091167045477,-0.23409116704547728,-4.472431976717293
2015-01-07,1420606800000,294.8778,19.31,0.6273,73.8156831005284,91.01698224714542,87.12910775285454,95.72840760229357,74.52131243155848,-74.52131243155848,-100.0,85.56381847077702,77.83838152922297,90.9711405128646,83.71983971752758,-83.71983971752758,-100.0,5.453163776368399,-0.4531637763683989,-8.310107580707742
2015-01-08,1420693200000,283.2513,17.01,0.6273,73.64879271478056,87.2576691292942,97.02359587070576,111.19205548218443,71.41239383344022,-71.41239383344022,-100.0,82.01455167625815,88.10414832374184,107.42501973493877,80.24327768062238,-80.24327768062238,-100.0,5.243117453036049,-0.24311745303604937,-4.636887409326891
2015-01-09,1420779600000,288.8441,17.55,0.6289,73.682309112626,89.01721387768583,85.72389112231411,96.30035291837272,72.85471050828444,-72.85471050828444,-100.0,83.67155516932208,76.62734483067794,91.58111699443243,81.86071478047847,-81.86071478047847,-100.0,5.345658708363757,-0.3456587083637572,-6.466157441419586
2015-01-10,1420866000000,274.0668,17.55,0.6264,73.785749950653,84.56294490071319,104.0375950992868,123.0297682057302,69.23378556953205,-69.23378556953205,-100.0,79.49379448757102,95.403405512429,120.01365154024126,77.78240571790658,-77.78240571790658,-100.0,5.069150413142168,-0.06915041314216808,-1.3641420653624765
