Datetime,Timestamp,Price,VIX,5-Day-LIBOR,5-Day-VM,100-Calls,100-Calls-P,100-Calls-ROI,100-Puts,100-Puts-P,100-Puts-ROI,100-Calls.1,100-Calls-P.1,100-Calls-ROI.1,102-Calls,102-Calls-P,102-Calls-ROI,102-Puts,102-Puts-P,102-Puts-ROI,102-Calls.1,102-Calls-P.1,102-Calls-ROI.1,96-Calls,96-Calls-P,96-Calls-ROI,96-Puts,96-Puts-P,96-Puts-ROI,96-Calls,96-Calls-P,96-Calls-ROI
2018-03-30,1522382400000,166.68,23.62,1.7289599999999998,43.69795877206111,3.419894826926964,-0.04989482692695901,-1.4589579344401449,3.3804223709948498,-3.3804223709948498,-100.0,,,,2.035658852604058,-1.9992588526040718,-98.21188113354934,5.328996947553321,-5.328996947553321,-100.0,,,,7.7038748644091575,2.3333251355908544,30.287682194456398,0.9987813067143207,-0.9987813067143207,-100.0,,,
2018-04-02,1522641600000,168.39,21.1,1.7289599999999998,23.468587356218034,1.8649666366336533,2.9950333633663604,160.59447416027385,1.8250892257000544,-1.8250892257000544,-100.0,,,,0.6535177396823499,0.8386822603176469,128.33351099624295,3.9806427805301183,-3.9806427805301183,-100.0,,,,6.908256190111189,4.68734380988883,67.8513315212386,0.13437387561494066,-0.13437387561494066,-100.0,,,
2018-04-03,1522728000000,171.61,20.06,1.72688,19.702315129890515,1.5988891836849888,-0.7688891836850047,-48.08896023131084,1.5582981114298209,-1.5582981114298209,-100.0,,,,0.44064376949065576,-0.44064376949065576,-100.0,3.8314408757904066,-1.2292408757903956,-32.08299215988318,,,,6.9614809596860985,0.7329190403139023,10.528205773430004,0.058113530321117324,-0.058113530321117324,-100.0,,,
2018-04-04,1522814400000,172.8,18.94,1.7297933330000002,14.567372513089328,1.1957980534048005,0.1442019465951745,12.05905513766206,1.1548565634889345,-1.1548565634889345,-100.0,,,,0.18567453631046504,-0.18567453631046504,-100.0,3.5999142165963183,-1.4839142165962755,-41.22082158944613,,,,6.958964445821124,1.2930355541788572,18.580861624538525,0.007660615501877688,-0.007660615501877688,-100.0,,,
2018-04-05,1522900800000,168.38,21.49,1.7302099999999998,27.75600121225309,2.2018629535245107,4.148137046475483,188.39215400920293,2.16195908538748,-2.16195908538748,-100.0,,,,0.9281929968253452,2.054207003174639,221.3124867565848,4.2550910513255635,-4.2550910513255635,-100.0,,,,7.036794363645782,6.048405636354232,85.95399160166075,0.2632866502342175,-0.2632866502342175,-100.0,,,
2018-04-06,1522987200000,170.05,21.77,1.7302099999999998,27.48856201326871,2.2024720790192447,3.5675279209807367,161.97834946308825,2.162172442621184,-2.162172442621184,-100.0,,,,0.9195459855226248,1.449454014477347,157.6271374458286,4.27944035639662,-4.27944035639662,-100.0,,,,7.097299636630112,5.474700363369892,77.13779386055833,0.2566119856879681,-0.2566119856879681,-100.0,,,
2018-04-09,1523246400000,173.25,20.47,1.72688,29.28194412041909,2.388913811066331,2.6010861889336785,108.88154176531971,2.347934828092093,-2.347934828092093,-100.0,,,,1.0599684858708756,0.4650315141291301,43.87220189353629,4.483169923237156,-4.483169923237156,-100.0,,,,7.2969785641540446,4.6230214358459705,63.35528322032186,0.3276387404987737,-0.3276387404987737,-100.0,,,
2018-04-10,1523332800000,172.44,20.24,1.72688,27.28191411118636,2.216754017410679,3.1832459825893267,143.59942319209497,2.175966624486705,-2.175966624486705,-100.0,,,,0.9185044641620834,1.0326955358379166,112.43228270860996,4.325701323379634,-4.325701323379634,-100.0,,,,7.189807442852357,5.107792557147661,71.04213287694512,0.2530515456453237,-0.2530515456453237,-100.0,,,
2018-04-11,1523419200000,174.14,18.49,1.72688,27.75363470580339,2.27695323232156,-2.27695323232156,-100.0,2.2357637368229604,-0.8957637368229854,-40.0652234433265,,,,0.9597611610557522,-0.9597611610557522,-100.0,4.4005478756471765,0.42225212435279497,9.595444392039376,,,,7.2773584555773425,-1.6517584555772942,-22.697225451515198,0.272216539898654,-0.272216539898654,-100.0,,,
2018-04-12,1523505600000,174.73,17.41,1.7277099999999999,13.75995071144753,1.143271255044965,-1.143271255044965,-100.0,1.1019223444384068,7.908077655561584,717.6619745914967,,,,0.15460476169081971,-0.15460476169081971,-100.0,3.607028872872149,8.897571127127861,246.6731329500848,,,,7.03362978236143,-7.03362978236143,-100.0,0.004734828179117301,2.016065171820862,42579.47903395116,,,
2018-04-13,1523592000000,175.82,16.56,1.7264599999999999,13.590891413334674,1.1365127467819889,-1.1365127467819889,-100.0,1.0949359926061248,9.48506400739386,866.2665280385817,,,,0.1489269897836465,-0.1489269897836465,-100.0,3.6229187005242807,10.473481299475706,289.0896033068605,,,,7.076971694452966,-7.076971694452966,-100.0,0.004258010444105231,3.5429419895558705,83206.51243260104,,,
2018-04-16,1523851200000,178.24,15.25,1.72875,11.053368594177556,0.9410578447654532,-0.9410578447654532,-100.0,0.8988529245349923,14.401147075465019,1602.1694631427304,,,,0.06633666933321257,-0.06633666933321257,-100.0,3.588087650698185,15.276712349301846,425.76196114744414,,,,7.170577843965247,-7.170577843965247,-100.0,0.00046112054401384334,8.169938879455987,1771757.729191679,,,
2018-04-17,1523937600000,177.84,15.6,1.72917,9.659946293005204,0.8232818154279045,-0.8232818154279045,-100.0,0.7811613805421302,13.408838619457867,1716.5260538292432,,,,0.03445541275398867,-0.03445541275398867,-100.0,3.5482925691705134,14.198507430829494,400.1504147147789,,,,7.15410334390191,-7.15410334390191,-100.0,6.772641157899023e-05,7.076332273588399,10448408.691098563,,,
2018-04-18,1524024000000,172.8,15.96,1.73,25.800725320710484,2.1019410201260627,-2.1019410201260627,-100.0,2.0609946393066707,6.519005360693343,316.3038484605845,,,,0.8214960723523745,-0.8214960723523745,-100.0,4.235730763916607,7.800269236083423,184.15403789429797,,,,7.156021082298452,-7.156021082298452,-100.0,0.20471255671182045,1.463287443288186,714.801019923803,,,
2018-04-19,1524110400000,165.72,16.88,1.729376667,37.62236947010119,2.930273787520278,-2.930273787520278,-100.0,2.8910192180755416,0.5089807819244639,17.605582790393072,,,,1.5879867840530508,-1.5879867840530508,-100.0,4.8623471232193936,1.8520528767806184,38.089688577280384,,,,7.342663275548404,-4.113863275548397,-56.026854578063755,0.6761788888813953,-0.6761788888813953,-100.0,,,
2018-04-20,1524196800000,165.24,16.34,1.729376667,35.556055250257494,2.7624178818432483,-2.7424178818432665,-99.27599657780102,2.723277011368652,-2.723277011368652,-100.0,,,,1.4383939494691873,-1.4383939494691873,-100.0,4.703270261585075,-1.4184702615850568,-30.159233526737854,,,,7.222807888563152,-0.5932078885631711,-8.212981678530827,0.5756326529075011,-0.5756326529075011,-100.0,,,
2018-04-23,1524456000000,162.94,18.02,1.729376667,27.215382702583593,2.089596705707791,4.0704032942922055,194.793726615944,2.0510006427984706,-2.0510006427984706,-100.0,,,,0.8636834501607141,2.0375165498392747,235.91010681750754,4.083115465993232,-4.083115465993232,-100.0,,,,6.791592498584747,5.886007501415263,86.66608755813614,0.2369402781917902,-0.2369402781917902,-100.0,,,
2018-04-24,1524542400000,163.65,17.84,1.7327099999999998,29.884392302135854,2.3026270521012013,10.617372947898787,461.09824594522087,2.263788101162902,-2.263788101162902,-100.0,,,,1.0408923715094929,8.606107628490497,826.800912760077,4.274276641552434,-4.274276641552434,-100.0,,,,6.915076021305225,12.550923978694785,181.50088213095,0.3317906284044163,-0.3317906284044163,-100.0,,,
2018-04-25,1524628800000,164.22,16.24,1.7339633330000002,30.40434615487139,2.350518714637289,10.319481285362698,439.0299562858451,2.311516297811778,-2.311516297811778,-100.0,,,,1.0790433994113826,8.3065566005886,769.8074614162712,4.323660934249361,-4.323660934249361,-100.0,,,,6.9590254198705574,12.27977458012944,176.4582515400246,0.35278309971803523,-0.35278309971803523,-100.0,,,
2018-04-26,1524715200000,162.32,15.41,1.7360466669999999,13.408159497504284,1.0355090697643448,20.474490930235678,1977.2391694159805,0.9969115916619132,-0.9969115916619132,-100.0,,,,0.13101851479371973,18.132581485206302,13839.709230222075,3.3380490871292072,-3.3380490871292072,-100.0,,,,6.53332004424783,21.469479955752206,328.61515753624695,0.003466465269493346,-0.003466465269493346,-100.0,,,
2018-04-27,1524801600000,165.26,15.93,1.734563333,20.77537974316427,1.6225955993550656,18.27740440064494,1126.430048738557,1.583332601685882,-1.583332601685882,-100.0,,,,0.4838083730734084,16.110991626926587,3330.035717360778,3.7489601154508723,-3.7489601154508723,-100.0,,,,6.7221070396338405,19.788292960366164,294.37634425773814,0.07401456187140187,-0.07401456187140187,-100.0,,,
2018-04-30,1525060800000,169.1,15.49,1.7351133330000001,21.604253342385483,1.7257345698353392,15.224265430164678,882.190442045633,1.6855465153402065,-1.6855465153402065,-100.0,,,,0.5434607515847674,13.024539248415243,2396.592432928197,3.884468935999735,-3.884468935999735,-100.0,,,,6.894596935667267,16.81940306433276,243.9504908158197,0.09201640335193062,-0.09201640335193062,-100.0,,,
2018-05-01,1525147200000,176.57,15.97,1.735646667,32.833103520279415,2.72748452319776,8.062515476802263,295.60261142562234,2.6855082625717017,-2.6855082625717017,-100.0,,,,1.3359753067909423,5.922624693209058,443.31842535588487,4.824559520952363,-4.824559520952363,-100.0,,,,7.588334556668628,10.264465443331403,135.26637981862558,0.4852373464675921,-0.4852373464675921,-100.0,,,
2018-05-02,1525233600000,176.89,15.9,1.7372933330000002,33.22679636590807,2.7649536803002377,10.385046319699768,375.5956706866817,2.7228614538684606,-2.7228614538684606,-100.0,,,,1.367292721207825,8.244907278792176,603.0096665408176,4.862158650247423,-4.862158650247423,-100.0,,,,7.620239094665152,12.605360905334864,165.4194933878091,0.5042305572906187,-0.5042305572906187,-100.0,,,
2018-05-03,1525320000000,183.83,14.77,1.7385433330000002,26.39098278819054,2.286868321322104,2.473131678677888,108.14490959619837,2.2430932025653334,-2.2430932025653334,-100.0,,,,0.9156560075481864,0.16774399245179694,18.31954260868752,4.547605386416278,-4.547605386416278,-100.0,,,,7.633089021023295,4.480110978976711,58.693288741130196,0.2378649070167533,-0.2378649070167533,-100.0,,,
2018-05-04,1525406400000,185.16,14.75,1.7385433330000002,29.129623261108275,2.5401201235280126,0.4498798764719965,17.7109685603038,2.4960282941802205,-2.4960282941802205,-100.0,,,,1.1216318155098932,-1.1216318155098932,-100.0,4.779858149575119,-4.066658149575119,-85.07905511665871,,,,7.792586659057378,2.6038133409426507,33.4139799127703,0.3438585028834851,-0.3438585028834851,-100.0,,,
2018-05-07,1525665600000,186.05,14.71,1.7383333330000001,31.776597851817602,2.782205076274465,-2.392205076274479,-85.98234172866152,2.737906663620649,-2.737906663620649,-100.0,,,,1.3266718892012859,-1.3266718892012859,-100.0,5.002487508294394,-1.6714875082943763,-33.41312707973703,,,,7.945960353486357,-0.11396035348636245,-1.434192324359653,0.4614338773386564,-0.4614338773386564,-100.0,,,
2018-05-08,1525752000000,187.36,13.42,1.7375,23.87513040454077,2.110730646806928,-1.290730646806935,-61.1508933534237,2.06614170683136,-2.06614170683136,-100.0,,,,0.7551787781395944,-0.7551787781395944,-100.0,4.456898059364477,-1.5296980593644491,-34.32203382238843,,,,7.698320804935918,0.6160791950640885,8.002773730461819,0.16111542255935166,-0.16111542255935166,-100.0,,,
2018-05-09,1525838400000,190.04,13.23,1.7383333330000001,22.146382172365726,1.9875715267133245,-1.9875715267133245,-100.0,1.9423230970399457,1.107676902960037,57.02845755415823,,,,0.6470512034893474,-0.6470512034893474,-100.0,4.401697805222483,2.4491021947775096,55.63994402050325,,,,7.76146935181805,-3.2098693518180137,-41.35646494650053,0.11643085933158125,-0.11643085933158125,-100.0,,,
2018-05-10,1525924800000,188.59,12.65,1.736043333,12.646638737962153,1.1360569750436298,-1.1360569750436298,-100.0,1.0912129359984135,1.1887870640015876,108.94180455383787,,,,0.12250485348567253,-0.12250485348567253,-100.0,3.8485639336595625,2.2032360663404518,57.24826465973285,,,,7.588920930750277,-2.325320930750252,-30.640995629932853,0.0022706532668294037,-0.0022706532668294037,-100.0,,,
2018-05-11,1526011200000,188.15,12.93,1.7383333330000001,13.440394111867844,1.2031505121459816,-1.2031505121459816,-100.0,1.1583520905345068,-0.6383520905344966,-55.1086406068415,,,,0.153190903519814,-0.153190903519814,-100.0,3.870496513476098,0.4125034865239172,10.657637465572787,,,,7.573115547981331,-0.5671155479813308,-7.488536843102831,0.004109063234288168,-0.004109063234288168,-100.0,,,
2018-05-14,1526270400000,186.44,14.63,1.7379200000000001,15.825761201897425,1.399813108570413,-0.6798131085704142,-48.56456225536329,1.355432391008577,-1.355432391008577,-100.0,,,,0.2607275257822579,-0.2607275257822579,-100.0,3.944259193869186,-0.9354591938691784,-23.716980753273567,,,,7.5159674162212875,0.6616325837787258,8.803026239187275,0.015761927361905403,-0.015761927361905403,-100.0,,,
2018-05-15,1526356800000,188.18,13.42,1.735546667,16.49104403863571,1.4712882871568669,-1.2912882871568598,-87.76582389928213,1.426554540375335,-1.426554540375335,-100.0,,,,0.2977135707107088,-0.2977135707107088,-100.0,4.015685148993498,-0.432085148993508,-10.759935925300493,,,,7.591481505076729,0.11571849492329987,1.5243203167381,0.02133710816641976,-0.02133710816641976,-100.0,,,
2018-05-16,1526443200000,186.99,13.43,1.736186667,11.817214087262599,1.054023398902899,0.1059766010970975,10.05448277594267,1.009556146627972,-1.009556146627972,-100.0,,,,0.09273415623559522,-0.09273415623559522,-100.0,3.7871775589151753,-1.2073775589151694,-31.88066944664245,,,,7.523369609987185,1.1162303900128163,14.836841041692724,0.0010810478032498572,-0.0010810478032498572,-100.0,,,
2018-05-17,1526529600000,186.31,13.42,1.7365833330000002,11.197870479862411,0.9963329023652108,1.2736670976347997,127.83549500485435,0.9520172365676274,-0.9520172365676274,-100.0,,,,0.0734589716547962,-0.0734589716547962,-100.0,3.754456992541236,-2.2982569925412406,-61.214098259936286,,,,7.495510315096055,2.2268896849039663,29.709647392773,0.0005672759303722298,-0.0005672759303722298,-100.0,,,
2018-05-18,1526616000000,187.63,13.08,1.7361666669999998,13.07794591390462,1.168051879001908,-0.8980518790018976,-76.88458836000304,1.1234329451332743,-1.1234329451332743,-100.0,,,,0.13827842201712315,-0.13827842201712315,-100.0,3.8453671094710837,-0.36276710947109336,-9.433874559794386,,,,7.5511921406389595,0.22400785936105194,2.9665231024315717,0.003157964125062307,-0.003157964125062307,-100.0,,,
