Datetime,Timestamp,Price,VIX,10-Day-LIBOR,10-Day-VM,100-Calls,100-Calls-P,100-Calls-ROI,100-Puts,100-Puts-P,100-Puts-ROI,97-Calls,97-Calls-P,97-Calls-ROI,97-Puts,97-Puts-P,97-Puts-ROI,103-Calls,103-Calls-P,103-Calls-ROI,103-Puts,103-Puts-P,103-Puts-ROI,100-Strangles,100-Strangles-P,100-Strangles-ROI,95-Calls,95-Calls-P,95-Calls-ROI,95-Puts,95-Puts-P,95-Puts-ROI,100-Bear-Spreads,100-Bear-Spreads-P,100-Bear-Spreads-ROI
2012-01-11,1326258000000,27.620001000000002,20.69,0.21614782600000002,23.53422502647533,0.4300056257217513,-0.08000762572174835,-18.6061811604111,0.4283700568433435,-0.4283700568433435,-100.0,0.9613045101958626,0.2172935198041301,22.604025831508608,0.1311179783838119,-0.1311179783838119,-100.0,0.1414103215540914,-0.1414103215540914,-100.0,0.9683257156093354,-0.4897236856093379,-50.574272449345294,0.2725282999379033,-0.2725282999379033,-100.0,1.4284642376276118,0.3025338123723884,21.178956000665124,0.04591039719312962,-0.04591039719312962,-100.0,0.3824596596502139,4.617540340349786,1207.3274197265273
2012-01-12,1326344400000,28.23,21.05,0.216004348,22.992051407135843,0.42939733074904574,0.2806036692509526,65.34825653467949,0.4277267492926544,-0.4277267492926544,-100.0,0.9752653081975886,0.5816356918024113,59.63871440042775,0.12674484418488952,-0.12674484418488952,-100.0,0.13688649206243753,-0.13688649206243753,-100.0,0.9820657931623522,-0.8451667931623525,-86.06009893093098,0.26363133624732704,-0.26363133624732704,-100.0,1.45596442650319,0.6655365734968086,45.711046326539524,0.04287737411961867,-0.04287737411961867,-100.0,0.38484937517303575,4.615150624826964,1199.2095927794876
2012-01-13,1326430800000,28.25,20.47,0.214904348,23.004356880887475,0.4299268500338176,0.6500731499661807,151.2055248270832,0.42826359822307225,-0.42826359822307225,-100.0,0.9761136955261414,0.9513863044738536,97.46675093632824,0.12700034126972248,-0.12700034126972248,-100.0,0.13715410355431867,0.09534589644567948,69.51734871565004,0.9829409541892532,-0.9829409541892532,-100.0,0.2641544448240412,-0.031654444824043004,-11.983309554048464,1.4570786328761471,1.035421367123849,71.06146118415154,0.04299854365594502,-0.04299854365594502,-100.0,0.38526505456712723,4.614734945432873,1197.807818468731
2012-01-17,1326776400000,22.790001,20.91,0.21240434800000002,109.21711525618284,1.6419897135813315,5.1380092864186695,312.91360986739653,1.6406635342775395,-1.6406635342775395,-100.0,1.9821173243469679,5.48158170565303,276.5518286087834,1.2971309004222975,-1.2971309004222975,-100.0,1.3468495644393739,4.749449405560625,352.63399350302217,2.029183629756469,-2.029183629756469,-100.0,2.643980464861672,3.452318505138328,130.57276901321384,2.234615413893813,5.684883636106187,254.40098554588798,1.0938554935552125,-1.0938554935552125,-100.0,0.546808040722327,4.453191959277673,814.3976729740584
2012-01-18,1326862800000,26.6,22.2,0.21107826100000002,141.3171135800548,2.4772689744104817,-0.007268974410482798,-0.2934269344818563,2.4757307499178327,-2.4757307499178327,-100.0,2.859733915675939,0.4082660843240582,14.276366136237492,2.060241837918074,-2.060241837918074,-100.0,2.1353109911556505,-0.4633109911556499,-21.697588457824665,2.931726619928228,-2.931726619928228,-100.0,4.1955528290737245,-2.5235528290737275,-60.148279187104556,3.137993313078581,0.6620066869214156,21.096497693678728,1.8065319998105664,-1.8065319998105664,-100.0,0.6691987501072663,4.330801249892733,647.1621845077485
2012-01-19,1326949200000,26.809998999999998,20.89,0.21047826100000008,141.38229065937364,2.4979702337594567,0.27203076624054034,10.890072370123193,2.4964242723156898,-2.4964242723156898,-100.0,2.8834275785880426,0.6908733914119569,23.960143703358213,2.0776280259875968,-2.0776280259875968,-100.0,2.1533206135445866,-0.1876195835445884,-8.71303522403695,2.956028243257508,-2.956028243257508,-100.0,4.230948639532183,-2.265247609532185,-53.5399458260182,3.163854928616661,0.9466460213833336,29.920651949653,1.8218863152450844,-1.8218863152450844,-100.0,0.6745379570706054,4.325462042929395,641.2481310487083
2012-01-20,1327035600000,26.76,19.87,0.210378261,141.30310566245902,2.49192167955621,0.9980783204437884,40.052555769792,2.4903793343439222,-2.4903793343439222,-100.0,2.876692741142014,1.4161072588579824,49.22692085272215,2.0723966662861013,-2.0723966662861013,-100.0,2.1479053147616853,0.5392946852383123,25.10793569585949,2.9491166991930324,-2.9491166991930324,-100.0,4.220301981047786,-1.533101981047789,-36.32683130099524,3.1566319208294846,1.6713680791705112,52.947829239822084,1.817166692877816,-1.817166692877816,-100.0,0.6732126414661062,4.326787358533894,642.7073842688279
2012-01-23,1327294800000,26.6,18.28,0.20924782600000005,140.9628495094626,2.4710828016127966,2.078917198387201,84.12980726628658,2.469557915960584,-2.469557915960584,-100.0,2.8536923700716748,2.49430762992832,87.40632508561781,2.054213230989033,-2.054213230989033,-100.0,2.129083113206333,1.6229168867936659,76.22609360465987,2.925512480984551,-2.925512480984551,-100.0,4.183296344195367,-0.43129634419537055,-10.3099639305694,3.1321065938857515,2.747893406114244,87.73307433017963,1.800657952516154,-1.800657952516154,-100.0,0.6688999634444299,4.33110003655557,647.4959296234712
2012-01-24,1327381200000,26.77,18.67,0.20808260899999997,140.97766533914444,2.4871316770039944,2.5428673229960057,102.24096080265244,2.48560559134222,-2.48560559134222,-100.0,2.872180067019789,2.960918932980208,103.08959967306284,2.067599763927872,-2.067599763927872,-100.0,2.142948368736395,2.0839506312636047,97.2468894569038,2.9444765005047677,-2.9444765005047677,-100.0,4.210548132664266,0.0163508673357331,0.3883310870831185,3.152366888739982,3.2161321112600185,102.02277288052356,1.812417107361295,-1.812417107361295,-100.0,0.6731884839809252,4.326811516019075,642.7340364517695
2012-01-25,1327467600000,27.42,18.91,0.209691304,141.3909396032307,2.554958753868039,1.6250412461319603,63.60342387804715,2.553383529101291,-2.553383529101291,-100.0,2.9491824461728195,2.0534175538271766,69.62667082505918,2.1250544781490763,-2.1250544781490763,-100.0,2.20246869739187,1.1549313026081285,52.438034827726746,3.0234462158821214,-3.0234462158821214,-100.0,4.3275231755409465,-0.9701231755409481,-22.417515428318442,3.2359862518219806,2.3150137481780177,71.53966574717612,1.863489788293574,-1.863489788293574,-100.0,0.689893740807717,4.310106259192283,624.7492917019476
