Datetime,Timestamp,Price,VIX,1-Month-LIBOR,1-Month-VM,100-Calls,100-Calls-P,100-Calls-ROI,100-Puts,100-Puts-P,100-Puts-ROI,100-Straddles,100-Straddles-P,100-Straddles-ROI,100-Straps,100-Straps-P,100-Straps-ROI
2014-06-17,1402977600000,227.119995,10.61,0.15425,50.1387631714654,13.026638010609958,-13.026638010609958,-100.0,12.997845376185396,-9.17785337618541,-70.61057514194651,26.024483386795353,-22.20449138679531,-85.32154531859688,39.05112139740531,-35.231129397405326,-90.21797105100855
2014-06-18,1403064000000,227.789993,10.62,0.154,49.20923274815632,12.823501517341526,-7.343490517341536,-57.2658763085165,12.794670745638173,-12.794670745638173,-100.0,25.618172262979694,-20.138161262979708,-78.60889159559972,38.441673780321224,-27.481651780321243,-71.48921750225519
2014-06-19,1403150400000,229.589996,10.85,0.155,32.216979285001585,8.470924731862695,0.4590832681372916,5.419517734710677,8.441677458436786,-8.441677458436786,-100.0,16.91260219029948,-7.982594190299466,-47.19908917906212,25.383526922162176,-7.5235109221622025,-29.63934422995206
2014-06-20,1403236800000,237.220001,10.98,0.153,32.80912909888451,8.912727635856509,-7.6427236358565125,-85.75066969520434,8.882898283944414,-8.882898283944414,-100.0,17.795625919800926,-16.525621919800926,-92.86339235425888,26.708353555657432,-24.16834555565743,-90.48983684184468
2014-06-23,1403496000000,232.5,12.13,0.15325,33.82433325882543,9.005048611943963,7.4249443880560335,82.4531294390556,8.975765011042313,-8.975765011042313,-100.0,17.980813622986275,-1.5508206229862511,-8.624863454475253,26.985862234930238,5.874123765069754,21.767411817089712
2014-06-24,1403582400000,236.889999,11.59,0.154,33.3724298578615,9.052861302789424,6.447138697210576,71.21658535985792,9.022878767604126,-9.022878767604126,-100.0,18.07574007039355,-2.5757400703935502,-14.24970739987782,27.128601373182974,3.871398626817026,14.270542640815833
2014-06-25,1403668800000,235.600006,11.63,0.152,33.55069533494746,9.051354918498546,3.478644081501457,38.43230226661469,9.021922893267174,-9.021922893267174,-100.0,18.073277811765717,-5.543278811765744,-30.671131542929444,27.124632730264267,-2.0646347302642596,-7.611659670365404
2014-06-26,1403755200000,239.059998,11.26,0.1515,33.18543685250107,9.084485988490853,11.175523011509114,123.01767018703528,9.054719959827636,-9.054719959827636,-100.0,18.139205948318487,2.1208030516814773,11.69181858193785,27.22369193680934,13.296326063190595,48.84100986028475
2014-06-27,1403841600000,240.059998,11.57,0.151,33.11981579150682,9.10444361462383,10.795549385376162,118.5745097925152,9.074651715695268,-9.074651715695268,-100.0,18.1790953303191,1.7208976696808946,9.466354834559787,27.28353894494293,12.51644705505706,45.87545288869872
2014-06-30,1404100800000,239.720001,11.15,0.1495,32.86727824666012,9.022248789772677,11.567748210227338,128.21358044726227,8.992794593824797,-8.992794593824797,-100.0,18.015043383597472,2.574953616402567,14.293352292157333,27.03729217337015,14.142701826629871,52.30812958614046
2014-07-01,1404187200000,229.429993,10.82,0.1515,35.88697406324419,9.426524942669957,22.52348705733003,238.93733050421972,9.397957972850831,-9.397957972850831,-100.0,18.82448291552079,13.125529084479167,69.7258413066803,28.251007858190746,35.64901614180923,126.18670569472654
2014-07-02,1404273600000,229.25,10.32,0.1552,35.61576350859065,9.348450551776523,23.4115594482235,250.43251091245816,9.319208910022807,-9.319208910022807,-100.0,18.667659461799328,14.092350538200689,75.49072001789324,28.016110013575855,37.50390998642419,133.86551512058884
2014-07-03,1404360000000,222.660004,11.33,0.1552,36.27416871319397,9.247159435814892,28.032838564185113,303.1508081888582,9.218758371169939,-9.218758371169939,-100.0,18.465917806984827,18.814080193015148,101.8854323390231,27.71307724279972,46.84691875720029,169.0426449100734
2014-07-07,1404705600000,219.070007,11.98,0.1555,36.578952934985416,9.174348297085842,28.515654702914176,310.81940405480293,9.146351138787423,-9.146351138787423,-100.0,18.320699435873266,19.36930356412678,105.72360314039251,27.495047732959108,47.88495826704093,174.15848385540298
2014-07-08,1404792000000,223.059998,11.65,0.1555,36.48412145097146,9.317284813029717,23.332724186970268,250.42407369946156,9.288777733673797,-9.288777733673797,-100.0,18.606062546703512,14.04394645329647,75.48048609448901,27.92334735973323,37.37667064026674,133.85454887892718
2014-07-09,1404878400000,219.460007,12.59,0.1534,36.78955831201996,9.243285587702005,25.636703412298022,277.3548774302409,9.21561733328494,-9.21561733328494,-100.0,18.458902920986947,16.42108607901305,88.96024942166531,27.70218850868895,42.0577894913111,151.82118004185637
2014-07-10,1404964800000,218.130005,12.08,0.1534,36.852231488778855,9.202881231223287,29.44711276877673,319.97710313667164,9.175380655802584,-9.175380655802584,-100.0,18.37826188702587,20.271732112974178,110.30277094530359,27.58114311824916,49.71884488175088,180.2639022921941
2014-07-11,1405051200000,226.699997,11.82,0.1525,38.169419475561696,9.90537868208503,25.944612317914963,261.92448719642243,9.876965326211987,-9.876965326211987,-100.0,19.782344008297017,16.067646991702944,81.22215944159058,29.687722690382046,42.01225930961793,141.5139172100549
2014-07-14,1405310400000,219.580002,11.96,0.15275,39.16498141855296,9.84392728086141,32.31606071913856,328.2842284091995,9.816361193271137,-9.816361193271137,-100.0,19.660288474132546,22.499699525867424,114.44236718841002,29.504215754993957,54.81576024500598,185.78958580089605
2014-07-15,1405396800000,217.160004,11.0,0.1515,39.35727507730182,9.78301235446756,36.306983645532455,371.12274144223403,9.755973155280586,-9.755973155280586,-100.0,19.538985509748144,26.55101049025184,135.88735442280432,29.321997864215707,62.857994135784324,214.37145731633666
2014-07-16,1405483200000,215.399994,14.54,0.152,39.4209309369075,9.719422861368699,38.740568138631296,398.58918262123865,9.692514296441727,-9.692514296441727,-100.0,19.411937157810424,29.04805384218957,149.64016010376398,29.131360019179127,67.78862198082088,232.69981880760488
