Datetime,Price,Timestamp,VIX,1-Year-LIBOR,1-Year-VM,100-Calls,100-Calls-P,100-Calls-ROI,100-Puts,100-Puts-P,100-Puts-ROI,100-Straddles,100-Straddles-P,100-Straddles-ROI
2011-05-19,48.6471,1305777600000,15.52,0.7305,25.452546376313247,5.087490989076088,32.551109010923916,639.826371797375,4.73341874696947,-4.73341874696947,-100.0,9.820909736045557,27.817690263954447,283.2496276984966
2011-05-20,47.8886,1305864000000,17.43,0.73175,25.281347348063086,4.976127970340818,32.18097202965918,646.7070827251067,4.6269821351053615,-4.6269821351053615,-100.0,9.60311010544618,27.55398989455382,286.927772273768
2011-05-23,47.7714,1306123200000,18.27,0.73125,25.273766716135768,4.962412910322693,32.4861870896773,654.6449817204913,4.614358672078608,-4.614358672078608,-100.0,9.576771582401301,27.8718284175987,291.0357439120424
2011-05-24,47.4557,1306209600000,17.82,0.73125,25.267747216071747,4.928492565413741,30.015807434586268,609.0261278920377,4.582738463297414,-4.582738463297414,-100.0,9.511231028711155,25.43306897128885,267.40039112198104
2011-05-25,48.1114,1306296000000,17.07,0.7295,25.273706088943204,4.997334581186973,30.408565418813033,608.4956875469072,4.64763898369074,-4.64763898369074,-100.0,9.644973564877713,25.76092643512229,267.09172670966166
2011-05-26,47.8571,1306382400000,16.09,0.7295,25.24558587133795,4.965615901166107,30.44148409883389,613.0454852878397,4.61776867204917,-4.61776867204917,-100.0,9.583384573215277,25.823715426784723,269.46341586833273
2011-05-27,48.2014,1306468800000,15.98,0.7295,25.248826134825038,5.001955840875564,26.51114415912444,530.0155579638987,4.651606082332798,-4.651606082332798,-100.0,9.653561923208361,21.85953807679164,226.44012904955423
2011-05-31,49.69,1306814400000,15.45,0.7295,25.31865735399159,5.170107926906309,21.96129207309369,424.7743448217512,4.808938344653715,-4.808938344653715,-100.0,9.979046271560023,17.152353728439977,171.88369771692172
2011-06-01,49.3586,1306900800000,18.3,0.72725,25.289255079457664,5.129398065094128,23.663401934905863,461.32902213101335,4.771739757968845,-4.771739757968845,-100.0,9.901137823062975,18.891662176937018,190.8029411824991
2011-06-02,49.4431,1306987200000,18.09,0.72725,25.267235854527698,5.1338880838345515,22.970111916165447,447.42136059594117,4.775617479623204,-4.775617479623204,-100.0,9.909505563457756,18.194494436542243,183.6064808685932
2011-06-03,49.0628,1307073600000,17.95,0.725,25.267336525768126,5.093914021385579,23.40008597861441,459.37339893007135,4.739495042611235,-4.739495042611235,-100.0,9.833409063996815,18.660590936003178,189.76725990506625
2011-06-06,48.2914,1307332800000,18.49,0.725,25.30115876913816,5.020262024237804,23.3854379757622,465.82106397748566,4.671415471012491,-4.671415471012491,-100.0,9.691677495250296,18.714022504749707,193.09373959173826
2011-06-07,47.4343,1307419200000,18.07,0.72175,25.207835830634604,4.913004792687076,22.741195207312924,462.87752947366965,4.5718802464723005,-4.5718802464723005,-100.0,9.484885039159376,18.16931496084062,191.56072936916613
2011-06-08,47.4628,1307505600000,18.79,0.7225,25.191365253261647,4.91303806466561,23.006661935334378,468.27770582111816,4.571355150530106,-4.571355150530106,-100.0,9.484393215195716,18.435306784804276,194.3751842265204
2011-06-09,47.3557,1307592000000,17.77,0.7225,25.16916790278388,4.897808022298039,28.56499197770196,583.2199189444615,4.5568961170390425,-4.5568961170390425,-100.0,9.454704139337082,24.00809586066292,253.92752123014873
2011-06-10,46.5571,1307678400000,18.86,0.72025,25.198658688756428,4.820144816024524,28.753255183975483,596.5226415684766,4.486022007450725,-4.486022007450725,-100.0,9.306166823475248,24.26723317652475,260.7650780051514
2011-06-13,46.6571,1307937600000,19.61,0.72025,25.19464209921764,4.8297592558950635,28.755940744104944,595.3907683702097,4.494918784905497,-4.494918784905497,-100.0,9.32467804080056,24.261021959199443,260.1808003777098
2011-06-14,47.4914,1308024000000,18.26,0.72125,25.20431810647564,4.918151636903139,29.233248363096852,594.3950191317085,4.576852205015585,-4.576852205015585,-100.0,9.495003841918724,24.65639615808127,259.67757958377797
2011-06-15,46.6786,1308110400000,21.32,0.72725,25.25095128928865,4.8438419786758535,32.69605802132415,675.002573685572,4.505603271439867,-4.505603271439867,-100.0,9.349445250115721,28.19045474988428,301.52007948851684
2011-06-16,46.4514,1308196800000,22.73,0.72775,25.215374321706594,4.813857564981647,32.27474243501836,670.4548690804776,4.477034602603009,-4.477034602603009,-100.0,9.290892167584655,27.79770783241535,299.19309503343317
2011-06-17,45.7514,1308283200000,21.85,0.72775,25.25080023331591,4.747703855594659,32.77799614440535,690.3968137309157,4.415956651399097,-4.415956651399097,-100.0,9.163660506993756,28.36203949300625,309.50556790444375
2011-06-20,45.0457,1308542400000,19.99,0.72775,25.28468212181055,4.680488071378829,34.46811192862117,736.4213176697017,4.353857956540112,-4.353857956540112,-100.0,9.03434602791894,30.114253972081062,333.3307566371562
2011-06-21,46.4714,1308628800000,18.86,0.72625,25.394099638501224,4.8483488279172455,32.29165117208275,666.033990503002,4.512072865546628,-4.512072865546628,-100.0,9.360421693463874,27.779578306536127,296.77699591177446
2011-06-22,46.0871,1308715200000,18.52,0.72725,25.38463285516353,4.806746124338716,32.84755387566128,683.36361076653,4.472793496705158,-4.472793496705158,-100.0,9.279539621043874,28.374760378956125,305.7776736532129
