Datetime,Timestamp,Price,VIX,1-Month-LIBOR,1-Month-VM,95-Calls,95-Calls-P,95-Calls-ROI,95-Puts,95-Puts-P,95-Puts-ROI,100-Calls,100-Calls-P,100-Calls-ROI,100-Puts,100-Puts-P,100-Puts-ROI,95-Bull-Spreads,95-Bull-Spreads-P,95-Bull-Spreads-ROI
2016-10-19,1476849600000,628.1538,15.28,0.52456,17.106620657785303,33.915887146125044,119.01550285387493,350.9137247128524,2.25096837736983,-2.25096837736983,-100.0,12.422051504089609,109.10164849591035,878.2900993446351,12.151284379084132,-12.151284379084132,-100.0,21.493835642035435,-16.493835642035435,-76.73751635924155
2016-10-20,1476936000000,628.6225,14.41,0.52456,16.099561369259806,33.55048006382458,119.89064493617548,357.3440520317508,1.8619343625778981,-1.8619343625778981,-100.0,11.707660004924891,110.30233999507523,942.1382235961407,11.436690845717747,-11.436690845717747,-100.0,21.84282005889969,-16.84282005889969,-77.10918285039487
2016-10-21,1477022400000,630.1538,14.41,0.524,15.857289360149641,33.542046778351505,96.41934322164845,287.4581383145611,1.7765844327861942,-1.7765844327861942,-100.0,11.56151514828025,86.89218485171966,751.5639925848706,11.290175837158928,-11.290175837158928,-100.0,21.980531630071255,-16.980531630071255,-77.25259750697035
2016-10-22,1477108800000,652.715,13.75,0.534,19.602568543671765,36.363906500925395,80.27314349907455,220.7495047239541,3.4560608861392983,-3.4560608861392983,-100.0,14.772443725334087,69.22885627466593,468.63509898461484,14.48602728871714,-14.48602728871714,-100.0,21.59146277559131,-16.59146277559131,-76.84269911692878
2016-10-23,1477195200000,649.245,13.34,0.534,19.591289734976804,36.16524737541192,95.277002624588,263.4490554856956,3.4323482905559644,-3.4323482905559644,-100.0,14.685539812149274,84.29446018785075,573.9963342587813,14.400646038616571,-14.400646038616571,-100.0,21.47970756326265,-16.47970756326265,-76.72221567601022
2016-10-24,1477281600000,648.3988,13.34,0.534,19.606617362507947,36.12535818074589,89.49208181925411,247.726489994919,3.4351218490963764,-3.4351218490963764,-100.0,14.677758824692376,78.51974117530763,534.9572922755342,14.393236370324473,-14.393236370324473,-100.0,21.447599356053516,-16.447599356053516,-76.68736758368826
2016-10-25,1477368000000,652.895,13.02,0.53589,19.536620713816284,36.34336184784314,79.80518815215686,219.58669780267726,3.425478108434845,-3.425478108434845,-100.0,14.727802280787161,68.77599771921291,466.9807239939198,14.440293081409836,-14.440293081409836,-100.0,21.615559567055982,-16.615559567055982,-76.86851462489807
2016-10-26,1477454400000,674.3575,13.46,0.53478,21.848575454913806,38.724052705460046,58.913822294539955,152.13754289264554,4.724649506568824,-4.724649506568824,-100.0,16.993592546153366,46.926407453846714,276.14177123758844,16.697247073636163,-16.697247073636163,-100.0,21.73046015930668,-16.73046015930668,-76.99082318853424
2016-10-27,1477540800000,686.52,14.24,0.53478,22.25783613268296,39.64640854449584,40.98339145550409,103.37226740098724,5.03380279146009,-5.03380279146009,-100.0,17.621194153763835,28.682605846236182,162.77333758398922,17.319503887410406,-17.319503887410406,-100.0,22.025214390732007,-17.025214390732007,-77.2987453774618
2016-10-28,1477627200000,688.0963,14.24,0.53433,22.154684474620108,39.68041622125804,35.05309877874185,88.33853602564484,4.988579070605198,-4.988579070605198,-100.0,17.58040978681703,22.748290213182887,129.39567671648405,17.278281207182488,-17.278281207182488,-100.0,22.100006434441013,-17.100006434441013,-77.37557219798852
2016-10-29,1477713600000,712.87,15.36,0.53267,24.63400560721247,42.56953287308284,11.950267126917195,28.072347334761282,6.629600585109586,-6.629600585109586,-100.0,20.232732747358572,-1.3564327473585536,-6.704149974677242,19.92069876001841,-19.92069876001841,-100.0,22.33680012572427,-17.33680012572427,-77.61541504666226
2016-10-30,1477800000000,696.3538,16.19,0.53267,26.617181011683485,42.78327321477508,27.4456167852249,64.15034363417205,7.676018847958063,-7.676018847958063,-100.0,21.342013703574647,14.069186296425354,65.92248740834076,21.037209106925214,-21.037209106925214,-100.0,21.441259511200432,-16.441259511200432,-76.68047440315662
2016-10-31,1477886400000,697.3688,16.19,0.53378,26.58681784689917,42.82734433135994,36.67979566864011,85.64573928480002,7.668313744427081,-7.668313744427081,-100.0,21.349236972717218,23.289463027282864,109.08803465456451,21.043352144366906,-21.043352144366906,-100.0,21.47810735864272,-16.47810735864272,-76.72048138828202
2016-11-01,1477972800000,729.2713,17.06,0.5304399999999999,29.820672531516642,46.924187602114046,13.52307739788597,28.81899099149609,10.158639448282656,-10.158639448282656,-100.0,25.01942100135955,-1.0357210013595477,-4.139668145410987,24.7015439973265,-24.7015439973265,-100.0,21.904766600754495,-16.904766600754495,-77.17391793698556
