Datetime,Timestamp,Price,VIX,7-Day-LIBOR,7-Day-VM,100-Calls,100-Calls-P,100-Calls-ROI,100-Puts,100-Puts-P,100-Puts-ROI,100-Straddles,100-Straddles-P,100-Straddles-ROI,99-Calls,99-Calls-P,99-Calls-ROI,99-Puts,99-Puts-P,99-Puts-ROI,99-Straps,99-Straps-P,99-Straps-ROI
2011-05-12,1305172800000,6.3002,15.91,0.16915,303.87606391104924,1.0500345041718346,-0.5452345041718352,-51.92538930916973,1.049830130724844,-1.049830130724844,-100.0,2.0998646348966785,-1.5950646348966788,-75.96035517666417,1.0765803449767923,-0.5087783449767929,-47.2587436089371,1.0133760152642717,-1.0133760152642717,-100.0,3.1665367052178564,-2.0309327052178574,-64.13734923303629
2011-05-13,1305259200000,8.198,16.95,0.16855,322.3698335770713,1.4481486153073937,-1.4481486153073937,-100.0,1.44788362204786,1.1597163779521409,80.09734762465641,2.8960322373552536,-0.28843223735525303,-9.959565837521833,1.4822586953009038,-1.4822586953009038,-100.0,1.4000163519739632,1.1256036480260376,80.3993215107084,4.364533742575771,-1.8389137425757704,-42.13310862136944
2011-05-14,1305345600000,7.1977,16.95,0.16845,370.40047174119127,1.4570187791248967,-1.4570187791248967,-100.0,1.4567862577313233,-0.3787862577313228,-26.0014985534812,2.9138050368562203,-1.83580503685622,-63.00370181379458,1.485995662964433,-1.485995662964433,-100.0,1.4137884667847938,-0.40776546678479386,-28.842042240740934,4.3857797927136595,-3.3797567927136596,-77.06170743749237
2011-05-15,1305432000000,6.987,16.03,0.16845,381.40333919399535,1.4554243885273257,-1.4554243885273257,-100.0,1.4551986737883262,-1.1582986737883263,-79.59728761798011,2.910623062315652,-2.613723062315652,-89.7994349098646,1.4833395594963572,-1.4833395594963572,-100.0,1.4132461019047478,-1.1862161019047486,-83.9355651012225,4.379925220897462,-4.152895220897462,-94.81657817086017
2011-05-16,1305518400000,8.0339,17.07,0.16835,372.6645156607148,1.6360111096043015,-1.6360111096043015,-100.0,1.6357517288749714,-0.751751728874972,-45.95756896384317,3.2717628384792725,-2.387762838479273,-72.98092668566144,1.6683038232398766,-1.6683038232398766,-100.0,1.5877080363178386,-0.7840470363178396,-49.38231830936475,4.924315682797592,-4.120654682797593,-83.6797424907693
2011-05-17,1305604800000,7.19,17.07,0.16735,285.43315677334635,1.1265836183013418,-0.8965836183013423,-79.58429394288615,1.1263528624016217,-1.1263528624016217,-100.0,2.2529364807029637,-2.022936480702964,-89.79110143716818,1.1572600739064116,-0.8553600739064118,-73.9125191642605,1.0851316255656882,-1.0851316255656882,-100.0,3.3996517733785114,-2.7958517733785118,-82.23935743277747
2011-05-18,1305691200000,6.88,18.24,0.16585,283.57727848280945,1.0710910647143113,0.4486089352856881,41.88336081445551,1.0708722370711508,-1.0708722370711508,-100.0,2.141963301785462,-0.6222633017854626,-29.051072035957237,1.1004818135648584,0.4880181864351414,44.34586563991221,1.031465174198129,-1.031465174198129,-100.0,3.232428801327846,-0.05542880132784633,-1.7147725359047907
2011-05-19,1305777600000,6.805,17.55,0.16585,270.37790494092826,1.0106958952984852,0.9823041047015152,97.19086713134566,1.0104794531310852,-1.0104794531310852,-100.0,2.0211753484295705,-0.028175348429570143,-1.39400811767579,1.040027210177103,1.0210227898228976,98.17269969783104,0.9717629324313776,-0.9717629324313776,-100.0,3.0518173527855836,1.0702826472144178,35.07033755599772
2011-05-20,1305864000000,5.5904,17.55,0.16575,205.4779185092556,0.6325742902537566,2.277225709746243,359.9934023295092,0.6323965872808932,-0.6323965872808932,-100.0,1.2649708775346498,1.64482912246535,130.02901107660443,0.6577553312010176,2.307948668798982,350.8825484675009,0.6016754052578829,-0.6016754052578829,-100.0,1.9171860676599182,4.014221932340082,209.3809255165184
2011-05-21,1305950400000,6.1197,16.23,0.1654,217.5954375886768,0.7329975593773117,1.4474024406226889,197.463473391681,0.7328034422188191,-0.7328034422188191,-100.0,1.4658010015961307,0.7145989984038699,48.751433354577685,0.7603356802321626,1.4812613197678381,194.8167576872818,0.6989465042452547,-0.6989465042452547,-100.0,2.21961786470958,2.263576135290421,101.98044317806898
2011-05-22,1306036800000,6.6901,15.52,0.1654,231.8745760147491,0.8534593230669394,0.8863406769330604,103.8527148251144,0.8532471127948611,-0.8532471127948611,-100.0,1.7067064358618005,0.033093564138199305,1.9390308399164573,0.8830569500071532,0.9236440499928472,104.59620412764605,0.815945861837795,-0.815945861837795,-100.0,2.5820597618521015,1.0313422381478974,39.94261687452654
2011-05-23,1306123200000,7.1499,17.43,0.16465,208.75339434040882,0.8218427883609634,0.8282572116390376,100.78049273765205,0.8216170215899887,-0.8216170215899887,-100.0,1.643459809950952,0.006640190049048922,0.4040372638773013,0.8539762669583695,0.8676227330416317,101.59799125704832,0.7822537578551048,-0.7822537578551048,-100.0,2.4902062917718437,0.9529917082281587,38.26958880382883
2011-05-24,1306209600000,7.42,17.43,0.16365,194.97891435310882,0.7969721050625531,0.5240278949374466,65.75235088012478,0.7967392325251352,-0.7967392325251352,-100.0,1.5937113375876883,-0.2727113375876886,-17.111714722471422,0.8306359648337533,0.5645640351662466,67.96768489060554,0.7562054210217095,-0.7562054210217095,-100.0,2.417477350689216,0.3729226493107838,15.426107268573356
2011-05-25,1306296000000,8.3997,18.27,0.1633,206.92051122592304,0.9570816902204592,0.21321830977954195,22.277963517453575,0.956818634145952,-0.956818634145952,-100.0,1.9139003243664112,-0.7436003243664102,-38.852614992506254,0.9948794017745226,0.2594175982254785,26.075280859445552,0.9106219762607616,-0.9106219762607616,-100.0,2.9003807798098067,-0.3917867798098045,-13.50811529772639
2011-05-26,1306382400000,8.798,17.82,0.1633,204.3922221775314,0.9902999063016704,0.8117000936983292,81.96507830942527,0.9900243765394756,-0.9900243765394756,-100.0,1.980324282841146,-0.17832428284114646,-9.004802111768628,1.0299584827558594,0.8600215172441401,83.50060042643476,0.9417057082912867,-0.9417057082912867,-100.0,3.0016226738030056,0.7783373261969935,25.93055193079459
2011-05-27,1306468800000,8.5002,17.82,0.1638,97.246910464618,0.4564673820220779,5.333332617977922,1168.3929297099185,0.4562003634950234,-0.4562003634950234,-100.0,0.9126677455171012,4.877132254482898,534.3820112454616,0.497955176681919,5.376846823318082,1079.785305004003,0.4126888283401353,-0.4126888283401353,-100.0,1.4085991817039734,10.341004818296025,734.1339504248879
2011-05-28,1306555200000,8.3001,17.07,0.1628,109.6017937230556,0.5022294848572959,10.087670515142703,2008.5779149364407,0.501970343862757,-0.501970343862757,-100.0,1.0041998287200529,9.585700171279948,954.5610243230001,0.5423177300232123,10.130583269976787,1868.0162401371567,0.4590601804386174,-0.4590601804386174,-100.0,1.543695640485042,19.80210635951496,1282.7727072736288
2011-05-29,1306641600000,8.4299,16.09,0.1628,103.70918139866929,0.482714998583015,7.7873850014169825,1613.2469519854267,0.4824518050468085,-0.4824518050468085,-100.0,0.9651668036298237,7.3049331963701745,756.8570706014337,0.5236307530008197,7.830768246999179,1495.4752374879938,0.4390711913999757,-0.4390711913999757,-100.0,1.486332697401615,15.222465302598383,1024.1627146607266
2011-05-30,1306728000000,8.8,16.09,0.1628,100.43503519805122,0.4880295359500808,9.26187046404992,1897.8094114773605,0.4877547873624799,-0.4877547873624799,-100.0,0.9757843233125608,8.77411567668744,899.1859642611763,0.5308613558179829,9.307038644182018,1753.1957340991935,0.4425893547162558,-0.4425893547162558,-100.0,1.5043120663522216,18.171487933647782,1207.9599931489938
2011-05-31,1306814400000,8.741,15.98,0.1627,103.40511340425856,0.4990645966513183,14.683335403348682,2942.1713144696364,0.4987918577584951,-0.4987918577584951,-100.0,0.9978564544098134,14.184543545590188,1421.5014076327939,0.541501254397641,14.72830874560236,2719.902978246272,0.4538212428937456,-0.4538212428937456,-100.0,1.5368237516890275,29.002796248310975,1887.1907866100978
2011-06-01,1306900800000,9.57,15.45,0.1627,84.76497283614063,0.4480533272135672,19.581946672786433,4370.4500074948855,0.4477547216530704,-0.4477547216530704,-100.0,0.8958080488666376,19.134191951133364,2135.9700859287486,0.4953030117782253,19.630396988221776,3963.310644477041,0.39930739227333145,-0.39930739227333145,-100.0,1.3899134158297821,38.86148658417022,2795.9645645243168
2011-06-02,1306987200000,10.6,15.45,0.1627,103.4278274961494,0.6053362828981985,17.7136637171018,2926.251774021081,0.6050055390171867,-0.6050055390171867,-100.0,1.2103418219153852,17.108658178084614,1413.5393711348333,0.6567972031023253,17.768202796897675,2705.279911816173,0.5504697666601226,-0.5504697666601226,-100.0,1.864064172864773,34.98593582713523,1876.8632720067442
2011-06-03,1307073600000,14.29,18.3,0.1627,209.3339756457784,1.6470925294504584,8.012607470549543,486.46978401528526,1.6466466492561498,-1.6466466492561498,-100.0,3.293739178706608,6.365960821293392,193.27458781339178,1.7112899221861326,8.09131007781387,472.8193611680603,1.5679485007937677,-1.5679485007937677,-100.0,4.990528345166033,14.61467165483397,292.84818448111116
2011-06-04,1307160000000,18.89,18.09,0.1627,235.65293128357632,2.448720322633408,-2.448720322633408,-100.0,2.4481309120756443,1.7907690879243567,73.14842025363978,4.896851234709052,-0.657951234709051,-13.436210396702885,2.532077516027332,-2.532077516027332,-100.0,2.3425939995751435,1.7074060004248572,72.88527165759474,7.406749031629808,-3.356749031629807,-45.320140014129464
2011-06-05,1307246400000,16.7,17.95,0.1627,287.7168345060685,2.637335003034885,-0.7909350030348845,-29.98993310006977,2.6368139254110248,-2.6368139254110248,-100.0,5.274148928445909,-3.4277489284459097,-64.99150810775336,2.708476028203662,-0.6950760282036619,-25.662993541968174,2.5409601613560437,-2.5409601613560437,-100.0,7.9579122177633685,-3.931112217763367,-49.398788403175374
2011-06-06,1307332800000,18.5499,17.95,0.1627,284.00608123735884,2.8921882726530086,-1.6020882726530097,-55.39363698419992,2.891609473981464,-2.891609473981464,-100.0,5.783797746634472,-4.4936977466344725,-77.6945865586207,2.9714087164784857,-1.4958097164784867,-50.340086443955116,2.7853367057936564,-2.7853367057936564,-100.0,8.728154138750629,-5.776956138750631,-66.18760446842383
2011-06-07,1307419200000,23.9234,18.49,0.1627,283.25055064142015,3.7201968841856767,-3.7201968841856767,-100.0,3.719450420208037,0.923949579791964,24.841024221537705,7.439647304393714,-2.796247304393713,-37.585750909754864,3.82241806447194,-3.82241806447194,-100.0,3.5824450651340687,0.8217209348659278,22.93743295223917,11.22728119407795,-6.82311519407795,-60.77264010878196
2011-06-08,1307505600000,29.6,18.07,0.1627,283.0385956743721,4.599533732671787,-4.599533732671787,-100.0,4.598610145985188,5.511389854014814,119.8490343615348,9.198143878656976,0.9118561213430284,9.913479647332595,4.726028353706678,-4.726028353706678,-100.0,4.429114002886938,5.384885997113061,121.57930442980562,13.881170710300292,-4.067170710300289,-29.299911334440345
2011-06-09,1307592000000,28.919,18.07,0.1627,312.0008565388249,4.946714089210903,-4.946714089210903,-100.0,4.9458117512585495,6.973188248741453,140.991784553203,9.892525840469453,2.026474159530548,20.48490135088068,5.067892548480302,-5.067892548480302,-100.0,4.777809233907469,6.85200076609253,143.41302531429682,14.913594330868072,-3.283784330868073,-22.018731755840477
2011-06-10,1307678400000,23.9497,18.79,0.1627,359.24384929311486,4.7051066841281575,-4.7051066841281575,-100.0,4.704359399531265,3.564340600468736,75.76675797397368,9.409466083659424,-1.1407660836594218,-12.123600569010904,4.802269601793512,-4.802269601793512,-100.0,4.562032790042585,3.4671702099574144,76.00055434772639,14.16657199362961,-6.137368993629609,-43.32289417926543
2011-06-11,1307764800000,14.6511,17.77,0.1627,496.1466443276664,3.93854284351634,-1.699642843516339,-43.15410320632425,3.9380856961885016,-3.9380856961885016,-100.0,7.876628539704841,-5.63772853970484,-71.57540197923441,3.9925102674399087,-1.6070992674399074,-40.25285246092597,3.8455466915853465,-3.8455466915853465,-100.0,11.830567226465163,-7.059745226465161,-59.67376788724383
2011-06-12,1307851200000,18.5464,17.77,0.1627,524.7796064380922,5.261297690766296,-5.261297690766296,-100.0,5.2607190013026335,-4.224319001302638,-80.29927088401094,10.522016692068927,-9.485616692068934,-90.15017719197122,5.328204050207401,-5.328204050207401,-100.0,5.142167147638379,-4.291231147638381,-83.4518020210447,15.798575248053181,-14.947639248053184,-94.61384342170439
2011-06-13,1307937600000,19.84,18.86,0.1612,521.5438553058503,5.595053446410234,-5.595053446410234,-100.0,5.5944401009321885,-3.2644401009321915,-58.35150688963932,11.189493547342424,-8.859493547342424,-79.17689491359161,5.666796163390858,-5.666796163390858,-100.0,5.467788951367589,-3.336188951367593,-61.01532047123278,16.801381278149304,-14.669781278149305,-87.31294787784974
2011-06-14,1308024000000,19.28,19.61,0.16095,479.0450743278466,5.010826508921211,-5.010826508921211,-100.0,5.010231399968924,-3.2402313999689243,-64.67229038541058,10.021057908890137,-8.251057908890136,-82.33719417557948,5.0827260801069345,-5.0827260801069345,-100.0,4.889336922244168,-3.3121369222441706,-67.74204713067564,15.054789082458036,-13.477589082458039,-89.52359949142188
2011-06-15,1308110400000,19.49,19.61,0.16095,436.8628156536978,4.633489063471179,-4.633489063471179,-100.0,4.6328874725230405,-2.652887472523044,-57.26207442457692,9.26637653599422,-7.286376535994222,-78.63242452636256,4.7083911935517175,-4.7083911935517175,-100.0,4.512895618513058,-2.7277956185130625,-60.44446513061244,13.929678005616493,-12.144578005616497,-87.18491555023571
2011-06-16,1308196800000,17.0,18.26,0.16095,438.7829170706007,4.058748102564037,-3.548748102564036,-87.43454909956549,4.058223369566688,-4.058223369566688,-100.0,8.116971472130723,-7.6069714721307236,-93.71686839419031,4.123992196819821,-3.443992196819819,-83.5111230199616,3.953472711152447,-3.953472711152447,-100.0,12.20145710479209,-10.841457104792083,-88.85379026193625
2011-06-17,1308283200000,15.681,21.32,0.16125,428.7379584745572,3.6606535675883998,-1.8316535675883976,-50.036244451153344,3.660168645531668,-3.660168645531668,-100.0,7.320822213120067,-5.491822213120066,-75.0164674574101,3.7212641105832582,-1.7354541105832562,-46.636144573765456,3.563974037747095,-3.563974037747095,-100.0,11.006502258913612,-7.034882258913607,-63.915693591180705
2011-06-18,1308369600000,16.89,21.32,0.16125,232.55270592563537,2.160906148313176,-1.5409061483131747,-71.3083328267644,2.1603838389235825,-2.1603838389235825,-100.0,4.321289987236758,-3.701289987236757,-85.6524324488471,2.2355946152102746,-1.4466946152102729,-64.71184915938797,2.066177528914576,-2.066177528914576,-100.0,6.537366759335125,-4.959566759335122,-75.8649000723883
2011-06-19,1308456000000,17.51,22.73,0.16125,150.09501122452468,1.4496334485968827,-1.4496334485968827,-100.0,1.4490919662160788,-0.38909196621607656,-26.850743450885833,2.898725414812961,-1.83872541481296,-63.43220387197667,1.5316237185113533,-1.5316237185113533,-100.0,1.3559876509543578,-0.47108765095435606,-34.74129359679638,4.419235087977064,-3.5343350879770625,-79.97617274520078
2011-06-20,1308542400000,17.51,21.85,0.16075,136.7261531657864,1.3209430183312527,-1.3209430183312527,-100.0,1.320403214939704,-0.5604032149397025,-42.441824482023335,2.6413462332709567,-1.8813462332709552,-71.22679373014864,1.4037435444441222,-1.4037435444441222,-100.0,1.2281091390864889,-0.6432091390864878,-52.3739396292523,4.035596227974733,-3.450696227974732,-85.50647867233404
2011-06-21,1308628800000,17.51,19.99,0.16075,136.91530183731555,1.3227645907131205,-1.3227645907131205,-100.0,1.3222247873215736,-0.7620247873215718,-57.63201496662326,2.644989378034694,-2.084789378034692,-78.82033082430573,1.4055534225680957,-1.4055534225680957,-100.0,1.2299190172104622,-0.8448190172104608,-68.68899540447521,4.041025862346654,-3.6559258623466526,-90.47024163868204
2011-06-22,1308715200000,17.51,19.99,0.16075,135.95179257735168,1.313485401348668,-1.313485401348668,-100.0,1.3129455979571176,-0.6479455979571149,-49.35052899109362,2.6264309993057857,-1.9614309993057832,-74.68046942121174,1.3963338787211532,-1.3963338787211532,-100.0,1.220699473363516,-0.7307994733635139,-59.867271946130074,4.013367230805822,-3.52346723080582,-87.79329246923567
2011-06-23,1308801600000,17.51,18.86,0.16075,89.65739621705895,0.867030871946378,-0.867030871946378,-100.0,0.8664910685548275,0.542508931445175,62.6098699840029,1.7335219405012054,-0.32452194050120303,-18.720382645250822,0.9530819049344608,-0.9530819049344608,-100.0,0.7774474995768275,0.4564525004231745,58.711681582566825,2.683611309445749,-1.449711309445747,-54.02091220673677
2011-06-24,1308888000000,17.51,18.52,0.16075,55.57564324634581,0.5377587530790588,-0.5377587530790588,-100.0,0.5372189496875102,1.5757810503124912,293.3219409384372,1.074977702766569,1.0380222972334323,96.56221655221051,0.6271976066451881,-0.6271976066451881,-100.0,0.451563201287553,1.4863367987124478,329.15365877343856,1.7059584145779292,0.23194158542207166,13.595969482026106
2011-06-25,1308974400000,17.51,18.52,0.16075,26.03200904631392,0.2520819081485417,-0.2520819081485417,-100.0,0.251542104756993,1.858457895243008,738.8257711520728,0.5036240129055347,1.6063759870944665,318.9633428769363,0.3481020606269194,-0.3481020606269194,-100.0,0.1724676552692852,1.7624323447307155,1021.8915204586696,0.868671776523124,1.0662282234768767,122.74235819476907
2011-06-26,1309060800000,16.45,19.29,0.16075,45.09274672738545,0.4099932615477169,-0.4099932615477169,-100.0,0.4094861361456061,0.6000138638543929,146.52849288187832,0.819479397693323,0.1900206023066761,23.187965779438468,0.4954912844054107,-0.4954912844054107,-100.0,0.3304892302573217,0.5145107697426772,155.68155408334331,1.321471799068143,-0.4764717990681442,-36.056145837098896
