Datetime,Timestamp,Price,VIX,1-Year-LIBOR,1-Year-VM,100-Calls,100-Calls-P,100-Calls-ROI,100-Puts,100-Puts-P,100-Puts-ROI,97-Calls,97-Calls-P,97-Calls-ROI,97-Puts,97-Puts-P,97-Puts-ROI,103-Calls,103-Calls-P,103-Calls-ROI,103-Puts,103-Puts-P,103-Puts-ROI,100-Strangles,100-Strangles-P,100-Strangles-ROI
2015-08-18,1439870400000,219.0045,13.79,0.84435,68.91930602414149,59.720823909669065,293.0196760903309,490.6490850386438,57.87944419844502,-57.87944419844502,-100.0,62.18445257036061,297.12618242963936,477.81426087726084,53.828179250473355,-53.828179250473355,-100.0,57.3642643943376,288.8061006056624,503.45995656865824,62.0377782917768,-62.0377782917768,-100.0,111.19244364481096,234.97792135518904,211.32544051805698
2015-08-19,1439956800000,225.3944,15.25,0.8496,68.75099559456548,61.32561467171938,285.78248532828064,466.00835043903885,59.418775571759774,-59.418775571759774,-100.0,63.86354550475456,290.0063864952455,454.10317294966796,55.252079577793744,-55.252079577793744,-100.0,58.89817557094737,281.4480924290527,477.8553659782328,63.69596329798897,-63.69596329798897,-100.0,114.15025514874111,226.19601285125896,198.15637955124933
2015-08-20,1440043200000,234.6873,15.25,0.8496,68.68121615143652,63.792717666266434,275.18378233373363,431.3717809819078,61.80726053022415,-61.80726053022415,-100.0,66.43630532944343,279.58081367055655,420.82534885733804,57.46979290748247,-57.46979290748247,-100.0,61.264307891609995,270.6715731083901,441.80956648897023,66.25990604148646,-66.25990604148646,-100.0,118.73410079909246,213.2017802009076,179.56238247145356
2015-08-21,1440129600000,231.9406,19.14,0.8576,68.68005690089326,63.051915818372564,285.70998418162736,453.13450110642793,61.071298260015965,-61.071298260015965,-100.0,65.66467719139361,290.05544080860636,441.7221757798008,56.78526015978773,-56.78526015978773,-100.0,60.552981754470814,281.2507002455292,464.47043910395655,65.4711636693635,-65.4711636693635,-100.0,117.33824191425855,224.46544008574142,191.29776995445604
2015-08-22,1440216000000,229.7444,28.03,0.84785,68.68363860393582,62.44974616464325,288.49585383535685,461.96481419598234,60.51009256507844,-60.51009256507844,-100.0,65.03759995219666,292.8003320478033,450.2016253106123,56.26380396061883,-56.26380396061883,-100.0,59.97464100960161,284.0786269903984,473.66457257312965,64.86912980204988,-64.86912980204988,-100.0,116.23844497022044,227.81482302977957,195.9892211979817
2015-08-23,1440302400000,227.58900000000003,28.03,0.84785,68.61771538482192,61.80767187069023,295.3358281293097,477.8303715227958,59.88621557808263,-59.88621557808263,-100.0,64.37218107052698,299.5989889294729,465.41686788774246,55.680698466697606,-55.680698466697606,-100.0,59.35497342908796,290.96085657091186,490.2046783299904,64.20354344770215,-64.20354344770215,-100.0,115.03567189578557,235.2801581042143,204.52799920824734
2015-08-24,1440388800000,209.1322,40.74,0.83335,69.06581713531547,57.1349773224127,315.0141226775873,551.3507442209393,55.3994158287153,-55.3994158287153,-100.0,59.485528035664395,318.93753796433555,536.1598837504097,51.52806738677802,-51.52806738677802,-100.0,54.88643253256247,310.9887014674375,566.6039622504836,59.372770194054205,-59.372770194054205,-100.0,106.4144999193405,259.4606340806595,243.82075213182796
2015-08-25,1440475200000,221.7118,36.02,0.82735,69.32377089306776,60.78085716761446,295.50234283238547,486.1766625263003,58.95409188189404,-58.95409188189404,-100.0,63.26917918910654,299.66537481089335,473.6356289927794,54.84586286195777,-54.84586286195777,-100.0,58.40022994520095,291.231616054799,498.6823105458184,63.170015700908955,-63.170015700908955,-100.0,113.24609280715872,236.38575319284126,208.736343421023
2015-08-26,1440561600000,225.3798,36.02,0.83105,69.30162466941134,61.7707941362348,288.58320586376516,467.1839012257122,59.90553665471487,-59.90553665471487,-100.0,64.30063496802224,292.8147590319777,455.3839307770433,55.72994121094796,-55.72994121094796,-100.0,59.35046687874782,284.2421391212522,478.92148801787016,64.19064567278222,-64.19064567278222,-100.0,115.08040808969578,228.51219791030422,198.56742055710964
2015-08-27,1440648000000,224.261,30.32,0.83105,69.30117860961438,61.46378565388814,292.4315143461119,475.7785600659841,59.60778743193946,-59.60778743193946,-100.0,63.98107439727704,296.6420556027229,463.6403161359662,55.452926121986806,-55.452926121986806,-100.0,59.05546763756341,288.11200236243656,487.8667698148531,63.87161946895626,-63.87161946895626,-100.0,114.50839375955022,232.65907624044976,203.18080500631032
