Datetime,Price,Timestamp,VIX,5-Month-LIBOR,5-Month-VM,107-Calls,107-Calls-P,107-Calls-ROI,107-Puts,107-Puts-P,107-Puts-ROI,107-Straddles,107-Straddles-P,107-Straddles-ROI
2013-09-12,66.4143,1378958400000,14.16,0.3402333333333333,26.18595692768348,2.6722009512576013,1.2558980487424023,46.99863788879152,7.221909313553276,-7.221909313553276,-100.0,9.894110264810877,-5.966011264810874,-60.29861306508203
2013-09-13,64.3028,1379044800000,14.38,0.3372166666666667,26.478857015520763,2.632908632961765,4.444495367038222,168.80552980065238,7.03882058588205,-7.03882058588205,-100.0,9.671729218843815,-2.594325218843828,-26.82379913810243
2013-09-16,65.0457,1379304000000,14.53,0.3349166666666667,26.321890444924044,2.63820902410918,3.7198919758908096,141.00065392456432,7.095680090660168,-7.095680090660168,-100.0,9.733889114769347,-3.3757881147693567,-34.68077430271147
2013-09-17,66.3828,1379390400000,13.59,0.33675,26.45494418824122,2.7141577647722173,1.2205462352277792,44.96961271262771,7.262723601206338,-7.262723601206338,-100.0,9.976881365978556,-6.042177365978574,-60.56178423232101
2013-09-18,67.4714,1379476800000,13.16,0.333,26.538862880997616,2.7721355108180816,6.143466489181911,221.61494144883702,7.396403542688078,-7.396403542688078,-100.0,10.168539053506159,-1.252937053506166,-12.321701740174243
2013-09-19,66.7728,1379563200000,13.12,0.3321333333333333,26.51179939703074,2.7389403162863037,7.519863683713679,274.5537622342124,7.315582720740822,-7.315582720740822,-100.0,10.054523037027126,0.2042809629728577,2.031732009768795
2013-09-20,70.0914,1379649600000,14.31,0.33186666666666664,27.243745032403275,3.000522287440546,6.8716797125594695,229.01611967098674,7.804705337412108,-7.804705337412108,-100.0,10.805227624852655,-0.9330256248526538,-8.634946502252673
2013-09-23,69.8714,1379908800000,14.08,0.3297333333333333,27.052941033095518,2.9582410440049003,6.897860955995108,233.17440510718845,7.747999482763981,-7.747999482763981,-100.0,10.70624052676888,-0.8501385267688875,-7.940588712193423
2013-09-24,68.79,1379995200000,14.01,0.3282,27.11992342623143,2.923590444214671,7.769609555785318,265.7557446584272,7.639680955763048,-7.639680955763048,-100.0,10.563271399977719,0.12992860002227147,1.2300034250994019
2013-09-25,69.46,1380081600000,14.06,0.3277,27.114512995838613,2.9510965089263053,7.223803491073703,244.78370901200836,7.713273252278789,-7.713273252278789,-100.0,10.664369761205094,-0.48946976120508623,-4.589767348331096
2013-09-26,68.9643,1380168000000,15.46,0.3271166666666667,27.02650057921197,2.9151190613417945,7.9473799386582185,272.62625544358156,7.643487279101969,-7.643487279101969,-100.0,10.558606340443763,0.3038926595562508,2.8781512422924425
2013-09-27,68.1071,1380254400000,16.6,0.3286166666666667,27.023570905708972,2.8785401275732454,10.098262872426744,350.8119541463572,7.547687905996817,-7.547687905996817,-100.0,10.426228033570062,2.5505749664299273,24.463065244858075
2013-09-30,69.7086,1380513600000,15.54,0.32695,27.151383629616063,2.96787981992118,7.3596181800788125,247.97561311880432,7.747330162310412,-7.747330162310412,-100.0,10.715209982231592,-0.3877119822316004,-3.618333031965968
2013-10-01,69.9371,1380600000000,16.6,0.32595,27.134502693468946,2.9746185624227586,6.811184437577242,228.97673414737545,7.770042733892659,-7.770042733892659,-100.0,10.744661296315417,-0.9588582963154302,-8.924043949568182
2013-10-02,69.0586,1380686400000,17.67,0.32461666666666666,26.98227838742403,2.911388707374268,7.194409292625738,247.1126330332666,7.64698052914254,-7.64698052914254,-100.0,10.558369236516807,-0.45257123651679976,-4.286374404785473
2013-10-03,69.0043,1380772800000,16.74,0.3242833333333333,26.7808613145125,2.8750731085323658,6.9392258914676255,241.35824132172698,7.607042396264049,-7.607042396264049,-100.0,10.482115504796415,-0.6678165047964235,-6.371008833959553
2013-10-04,69.6786,1380859200000,19.41,0.32495,26.604601198275947,2.8732237259609974,7.2606742740389905,252.70131972095345,7.651229139499207,-7.651229139499207,-100.0,10.524452865460205,-0.3905548654602171,-3.710927973671335
2013-10-07,68.7057,1381118400000,20.34,0.3253,26.616043439730497,2.8350594219013807,8.472641578098628,298.85234547981037,7.546245474738513,-7.546245474738513,-100.0,10.381304896639893,0.9263961033601156,8.923696130531349
2013-10-08,69.5126,1381204800000,19.6,0.3276333333333333,26.61729563627625,2.8687941230607663,7.5912238769392255,264.61375586059887,7.634597472009232,-7.634597472009232,-100.0,10.50339159507,-0.043373595070008264,-0.4129484717142854
2013-10-09,69.9483,1381291200000,16.48,0.3251333333333333,26.625587292634158,2.887948122729232,6.384470877270753,221.07290733592416,7.684391107354933,-7.684391107354933,-100.0,10.572339230084165,-1.2999202300841795,-12.29548354242348
2013-10-10,70.4017,1381377600000,15.72,0.3234666666666667,26.579241286480336,2.8985352997245784,7.1301457002754285,245.99133572576955,7.726583763592849,-7.726583763592849,-100.0,10.625119063317428,-0.5964380633174358,-5.613471809239312
2013-10-11,70.8628,1381464000000,16.07,0.32486666666666664,26.42534011033285,2.8910375359733287,7.65576646402668,264.8103446864866,7.750271919812902,-7.750271919812902,-100.0,10.641309455786232,-0.09450545578622283,-0.8880998732241107
2013-10-14,71.24,1381723200000,18.66,0.32345,26.43084628086129,2.9072430168859533,7.253056983114053,249.4823081863672,7.792786116639775,-7.792786116639775,-100.0,10.700029133525728,-0.5397291335257215,-5.044183775487323
2013-10-15,71.5877,1381809600000,14.71,0.32495,26.41172383769477,2.918241872544037,7.098619127455969,243.24985513512638,7.82715821332512,-7.82715821332512,-100.0,10.745400085869157,-0.7285390858691514,-6.780008934494899
2013-10-16,72.0714,1381896000000,13.48,0.3202833333333333,26.22883278013856,2.9053510324295573,6.731050967570432,231.67771785365602,7.848912665633378,-7.848912665633378,-100.0,10.754263698062935,-1.1178616980629457,-10.394590735805517
2013-10-17,72.6985,1381982400000,13.04,0.32011666666666666,26.029698535363035,2.895352553026864,7.050052446973144,243.49547482923506,7.881981787879312,-7.881981787879312,-100.0,10.777334340906176,-0.8319293409061821,-7.7192496269558255
2013-10-18,74.4803,1382068800000,13.16,0.3184666666666667,26.202792955099632,2.997544828168841,6.68423417183115,222.9902988945275,8.106933267390595,-8.106933267390595,-100.0,11.104478095559436,-1.4226990955594445,-12.811940221921523
2013-10-21,74.2668,1382328000000,13.33,0.3165833333333333,26.19486975218925,2.987324409794681,6.691499590205312,223.99641526262016,8.082680873729743,-8.082680873729743,-100.0,11.070005283524424,-1.391181283524432,-12.567123934393582
2013-10-22,74.9943,1382414400000,13.42,0.31683333333333336,26.21972101406012,3.021154924251082,7.503444075748928,248.3634326567667,8.16634195932631,-8.16634195932631,-100.0,11.187496883577392,-0.6628978835773829,-5.92534586132917
2013-10-23,75.9871,1382500800000,13.2,0.3148833333333333,26.149753823511997,3.047990975254564,6.074312024745439,199.2890423252687,8.261942460966821,-8.261942460966821,-100.0,11.309933436221385,-2.187630436221383,-19.34255801378318
2013-10-24,75.1368,1382587200000,13.09,0.3144833333333333,26.195019025641667,3.0221279044382072,6.388596095561808,211.39396801107281,8.177866962102897,-8.177866962102897,-100.0,11.199994866541104,-1.7892708665411021,-15.975640059321588
