Datetime,Price,Timestamp,VIX,9-Day-LIBOR,9-Day-VM,100-Calls,100-Calls-P,100-Calls-ROI,100-Puts,100-Puts-P,100-Puts-ROI,100-Calls,100-Calls-P,100-Calls-ROI
2013-08-06,66.4257,1375761600000,12.98,0.1528908695652174,13.573479028215436,0.5660543979453223,4.589645602054674,810.8135222894261,0.5635502548103517,-0.5635502548103517,-100.0,,,
2013-08-07,65.8586,1375848000000,12.73,0.1539591304347826,15.768164494848476,0.6517686244392921,5.255331375560708,806.3185582278987,0.6492685131252998,-0.6492685131252998,-100.0,,,
2013-08-08,64.9214,1375934400000,13.41,0.15330652173913042,17.347943747651374,0.7067311594031622,6.2232688405968295,880.5708872172003,0.7042770724675691,-0.7042770724675691,-100.0,,,
2013-08-09,66.7657,1376020800000,12.81,0.15285,21.811420542851444,0.9134645097489128,3.8951354902510857,426.4134455887897,0.9109482219563532,-0.9109482219563532,-100.0,,,
2013-08-12,69.9386,1376280000000,12.31,0.15280652173913042,31.14017102138833,1.3654969919978086,0.5487030080021995,40.18339192380147,1.3628618726604032,-1.3628618726604032,-100.0,,,
2013-08-13,71.2143,1376366400000,13.04,0.15280652173913042,31.53258274237201,1.4079047017912316,-1.4079047017912316,-100.0,1.4052215171259732,0.01047848287402786,0.7456819260396012,,,
2013-08-14,71.13,1376452800000,14.73,0.15189347826086955,31.971754103751067,1.4257929263966602,-1.4257929263966602,-100.0,1.4231289311344355,-0.42112893113444017,-29.591762342905973,,,
2013-08-15,71.7614,1376539200000,14.37,0.15189347826086955,31.73597592074155,1.4278534305415531,-1.4278534305415531,-100.0,1.4251657877802657,0.09343421221972648,6.556024079503957,,,
2013-08-16,72.5343,1376625600000,15.1,0.15139347826086955,30.18194107325425,1.3726361026620566,-1.3726361026620566,-100.0,1.369928455125624,1.562071544874378,114.02577550892131,,,
2013-08-19,71.5814,1376884800000,14.91,0.1517891304347826,32.213093778848645,1.4456588020943073,-1.4456588020943073,-100.0,1.4429797424722324,0.3413202575277694,23.65384956430444,,,
2013-08-20,71.7657,1376971200000,15.94,0.15183260869565215,30.88595912056959,1.3897361325576796,-1.3897361325576796,-100.0,1.3870494058370184,-0.8629494058370284,-62.214756172746384,,,
2013-08-21,71.8514,1377057600000,14.76,0.1514369565217391,28.06936813672617,1.2646506455436397,-1.2646506455436397,-100.0,1.2619677198530823,-0.16336771985307766,-12.94547533054941,,,
2013-08-22,71.5743,1377144000000,13.98,0.1514369565217391,27.13231971701435,1.2177691285384498,-1.2177691285384498,-100.0,1.215096549740352,-0.8150965497403604,-67.08080521786803,,,
2013-08-23,71.8528,1377230400000,14.99,0.1514369565217391,14.341281461573319,0.6468468538163776,-0.18964685381637736,-29.31866371421093,0.6441638758499266,-0.6441638758499266,-100.0,,,
2013-08-26,69.7986,1377489600000,16.77,0.15130652173913042,19.47239418810608,0.8526875283506925,0.011512471649318456,1.350139560688358,0.8500834988314239,-0.8500834988314239,-100.0,,,
2013-08-27,70.128,1377576000000,16.49,0.15126304347826086,19.818730965284733,0.8719242386818351,-0.8719242386818351,-100.0,0.8693086717768352,2.442991328223158,281.0269134011712,,,
2013-08-28,70.2428,1377662400000,16.81,0.15176304347826086,18.9751212019142,0.8362391544897818,-0.8362391544897818,-100.0,0.8336106461367478,1.8820893538632504,225.77558990945357,,,
2013-08-29,69.6023,1377748800000,17.01,0.15080652173913042,17.514525431044376,0.764928470845895,-0.764928470845895,-100.0,0.7623403456260576,2.425659654373945,318.18592158885644,,,
2013-08-30,69.7971,1377835200000,16.61,0.15084999999999998,17.07098554914909,0.7476784132231202,-0.7476784132231202,-100.0,0.7450822962232522,4.749217703776743,637.408475258378,,,
2013-09-03,71.2416,1378180800000,15.88,0.15080652173913042,21.022260422658007,0.9394705754142194,-0.9394705754142194,-100.0,0.9368214936789768,5.259078506321032,561.3746633489575,,,
2013-09-04,70.7528,1378267200000,15.77,0.15077521739130434,21.2129466442489,0.9414748971344123,-0.9414748971344123,-100.0,0.9388445372842896,3.4311554627157013,365.465774838579,,,
2013-09-05,71.1743,1378353600000,15.85,0.15092043478260872,21.53158217299215,0.9612895857979424,-0.9612895857979424,-100.0,0.9586410074981869,2.7442589925018126,286.2655541581349,,,
2013-09-06,72.31,1378440000000,15.63,0.15046391304347828,23.183858601401898,1.051457062626234,-1.051457062626234,-100.0,1.0487743614335088,4.488425638566491,427.96866548411055,,,
2013-09-09,70.6628,1378699200000,14.53,0.15042043478260872,20.876849951283287,0.925398729362719,-0.925398729362719,-100.0,0.9227778968186372,-0.35137789681862586,-38.078274092827094,,,
2013-09-10,66.8157,1378785600000,13.82,0.14868130434782612,36.597823224160926,1.5328447653040769,1.5228552346959106,99.34830122173626,1.5303952702367098,-1.5303952702367098,-100.0,,,
2013-09-11,67.5271,1378872000000,14.29,0.1492204347826087,37.43546693162754,1.58458820813955,-0.32168820813954824,-20.30106033145604,1.5821036563415234,-1.5821036563415234,-100.0,,,
2013-09-12,66.4143,1378958400000,14.16,0.14620739130434784,37.93984937389635,1.57942649540378,1.4662735045962163,92.83581786573514,1.57703222749538,-1.57703222749538,-100.0,,,
2013-09-13,64.3028,1379044800000,14.38,0.14510217391304348,40.093078456086886,1.6158983242870093,3.04560167571298,188.4773088713243,1.613597700111825,-1.613597700111825,-100.0,,,
2013-09-16,65.0457,1379304000000,14.53,0.14352173913043478,38.24092572111253,1.5591206816619518,1.5022793183380545,96.35426789007076,1.556818825190028,-1.556818825190028,-100.0,,,
2013-09-17,66.3828,1379390400000,13.59,0.14347826086956522,41.537322555824865,1.7281822632831452,1.597617736716856,92.44497936703466,1.7258338007636451,-1.7258338007636451,-100.0,,,
2013-09-18,67.4714,1379476800000,13.16,0.14295652173913045,42.89439393000345,1.8138454312395995,0.6518545687603989,35.93771318843388,1.8114671364458488,-1.8114671364458488,-100.0,,,
2013-09-19,66.7728,1379563200000,13.12,0.14357173913043478,40.90088380296362,1.711728498614761,0.5740715013852338,33.53753249126884,1.7093646998200072,-1.7093646998200072,-100.0,,,
2013-09-20,70.0914,1379649600000,14.31,0.14337826086956526,49.66428198716347,2.181337425336011,-2.181337425336011,-100.0,2.1788594897599443,-1.0917594897599514,-50.106924971111205,,,
2013-09-23,69.8714,1379908800000,14.08,0.14300434782608698,37.613752924851646,1.6473473344705385,-1.6473473344705385,-100.0,1.6448836182941164,-1.4520836182941252,-88.27880599844862,,,
2013-09-24,68.79,1379995200000,14.01,0.14293913043478262,38.911107643089814,1.6777319261589339,-1.6777319261589339,-100.0,1.6753074471028808,-1.5910074471028683,-94.96808778915216,,,
2013-09-25,69.46,1380081600000,14.06,0.14293913043478262,37.394409454336035,1.628107274028821,-1.5755072740288083,-96.7692546529903,1.6256591810613232,-1.6256591810613232,-100.0,,,
2013-09-26,68.9643,1380168000000,15.46,0.1429,31.378545381458068,1.356686996567575,-0.3726869965675661,-27.47037433914131,1.3542570397556022,-1.3542570397556022,-100.0,,,
2013-09-27,68.1071,1380254400000,16.6,0.1426478260869565,33.010986351360714,1.4094473036031732,0.8851526963968297,62.801404077611586,1.4070517849709532,-1.4070517849709532,-100.0,,,
2013-09-30,69.7086,1380513600000,15.54,0.14147826086956522,33.46424774738034,1.4623661050406724,-0.30816610504068365,-21.07311595765636,1.4599343594166712,-1.4599343594166712,-100.0,,,
2013-10-01,69.9371,1380600000000,16.6,0.14000434782608695,32.83963717677311,1.4397915366554912,-0.13689153665549725,-9.507733110689358,1.437377236337568,-1.437377236337568,-100.0,,,
2013-10-02,69.0586,1380686400000,17.67,0.13891956521739132,33.16758420704308,1.4358793586409746,1.093220641359025,76.13596746691394,1.4335138562463214,-1.4335138562463214,-100.0,,,
2013-10-03,69.0043,1380772800000,16.74,0.13855869565217396,19.755904245127525,0.8551306048658418,2.2119693951341546,258.67035778484177,0.8527731023377072,-0.8527731023377072,-100.0,,,
2013-10-04,69.6786,1380859200000,19.41,0.14029130434782608,20.62171170942479,0.9012886058957504,2.118611394104242,235.0647040521109,0.8988782992258777,-0.8988782992258777,-100.0,,,
2013-10-07,68.7057,1381118400000,20.34,0.14081086956521738,20.275859373631448,0.8738250652871642,4.9007749347128415,560.8416523394536,0.8714396112405751,-0.8714396112405751,-100.0,,,
2013-10-08,69.5126,1381204800000,19.6,0.1426,20.60320756264056,0.8983552902822538,3.855844709717744,429.2115548744949,0.8959111559691095,-0.8959111559691095,-100.0,,,
2013-10-09,69.9483,1381291200000,16.48,0.1418608695652174,20.337832490683088,0.8923530725631394,4.153646927436853,465.4712417256743,0.8899063663154507,-0.8899063663154507,-100.0,,,
2013-10-10,70.4017,1381377600000,15.72,0.14250000000000002,18.60361375831482,0.8216688294160903,4.763731170583903,579.7629166447989,0.8191951693063402,-0.8191951693063402,-100.0,,,
2013-10-11,70.8628,1381464000000,16.07,0.14482173913043478,14.776550390562887,0.6571979013029008,3.6168020986971,550.3368302800051,0.6546674734580549,-0.6546674734580549,-100.0,,,
2013-10-14,71.24,1381723200000,18.66,0.14238695652173913,14.878336507697865,0.6652170612780566,3.791282938721949,569.9317049141672,0.6627159320052556,-0.6627159320052556,-100.0,,,
2013-10-15,71.5877,1381809600000,14.71,0.1424021739130435,12.047553935430141,0.5415242790734212,1.681875720926577,310.5817755400297,0.5390106739721432,-0.5390106739721432,-100.0,,,
2013-10-16,72.0714,1381896000000,13.48,0.13899130434782608,11.760882089162545,0.5322109701839821,2.381489029816024,447.47086460708573,0.5297409938511706,-0.5297409938511706,-100.0,,,
2013-10-17,72.6985,1381982400000,13.04,0.1389021739130435,11.634579499729922,0.5310892954215376,1.4421107045784678,271.5382736972381,0.528599425260289,-0.528599425260289,-100.0,,,
2013-10-18,74.4803,1382068800000,13.16,0.14023478260869565,9.634538622806996,0.4508052957503139,-0.4508052957503139,-100.0,0.44822992772565584,-0.2579299277256624,-57.54411112939592,,,
2013-10-21,74.2668,1382328000000,13.33,0.14162173913043474,11.280391745177246,0.5260937177190499,0.4571062822809466,86.88685435416193,0.5235003344967595,-0.5235003344967595,-100.0,,,
2013-10-22,74.9943,1382414400000,13.42,0.13630434782608694,11.324589520450408,0.5332746083267637,-0.4634746083267629,-86.91105878470198,0.5307541454120894,-0.5307541454120894,-100.0,,,
2013-10-23,75.9871,1382500800000,13.2,0.13655217391304347,11.635758054528715,0.5551479398566244,-0.5551479398566244,-100.0,0.552589466949847,1.0174105330501462,184.11688855851574,,,
2013-10-24,75.1368,1382587200000,13.09,0.13860869565217393,15.678560218911517,0.7392320233843037,-0.7392320233843037,-100.0,0.7366640802923712,1.1870359197076257,161.13666343505008,,,
2013-10-25,75.6965,1382673600000,13.31,0.13768695652173912,15.667545515234853,0.7442078274249084,-0.7442078274249084,-100.0,0.7416379590944473,0.5891620409055491,79.44065344564159,,,
2013-10-28,73.8111,1382932800000,13.41,0.13545,23.119766583561052,1.0701867617954832,-0.7315867617954837,-68.36066263500396,1.0677216133330916,-1.0677216133330916,-100.0,,,
2013-10-29,74.9851,1383019200000,13.65,0.13353260869565214,24.00932140771061,1.1289694156106689,-1.1289694156106689,-100.0,1.1265005081975232,-0.4285005081975157,-38.03819927992269,,,
2013-10-30,74.6717,1383105600000,13.75,0.13371304347826085,24.252909699254605,1.135644845660963,-1.135644845660963,-100.0,1.1331829349470723,-0.8377829349470716,-73.93183475589508,,,
2013-10-31,74.29,1383192000000,13.28,0.13567608695652175,20.896425557971217,0.973677971804733,0.1877220281952674,19.279683183888878,0.9711926876644624,-0.9711926876644624,-100.0,,,
2013-11-01,75.25,1383278400000,12.93,0.13590434782608696,21.912756177315693,1.034164685647724,-1.034164685647724,-100.0,1.0316430506504377,-0.7803430506504371,-75.64079941782586,,,
2013-11-04,75.0641,1383541200000,13.27,0.13083695652173913,21.40529937008752,1.007704894311594,-1.007704894311594,-100.0,1.0052832778809488,-0.030983277880949345,-3.0820444906095963,,,
2013-11-05,74.4171,1383627600000,12.67,0.13065869565217392,20.29984624895612,0.9474908442960128,-0.9474908442960128,-100.0,0.9450933713824128,-0.7493933713824106,-79.29305125548106,,,
2013-11-06,73.2131,1383714000000,13.91,0.13074565217391307,21.159295441908288,0.9715741537116926,-0.6132741537116928,-63.12170320389948,0.9692138999613108,-0.9692138999613108,-100.0,,,
2013-11-07,74.3657,1383800400000,12.9,0.13453478260869564,22.798207467697317,1.0632420907127624,-0.9809420907127446,-92.2595238921696,1.0607752012314435,-1.0607752012314435,-100.0,,,
2013-11-08,74.1497,1383886800000,12.53,0.13015217391304348,18.22914706138007,0.8479084229383815,-0.7405084229383831,-87.33353778609613,0.8455288254548634,-0.8455288254548634,-100.0,,,
2013-11-11,74.2871,1384146000000,12.82,0.13099565217391304,15.893796786899955,0.7408186746197245,-0.20791867461972655,-28.0660682219512,0.7384192179190947,-0.7384192179190947,-100.0,,,
2013-11-12,74.3763,1384232400000,12.52,0.1309782608695652,15.813035135950935,0.7379454905972479,1.0857545094027543,147.13207455526438,0.7355434716916989,-0.7355434716916989,-100.0,,,
2013-11-13,75.4514,1384318800000,12.37,0.13257608695652173,17.2853967445469,0.8182132385929037,1.724686761407085,210.7869538230719,0.8157467730908792,-0.8157467730908792,-100.0,,,
2013-11-14,74.9987,1384405200000,12.19,0.13353260869565214,16.3185310383083,0.7678915141447575,3.671908485855248,478.18063075548525,0.7654221589474304,-0.7654221589474304,-100.0,,,
2013-11-15,74.0898,1384491600000,13.1,0.13230434782608694,17.481851106869062,0.8125623700421443,3.8447376299578617,473.1621561257448,0.8101453786718622,-0.8101453786718622,-100.0,,,
2013-11-18,74.2214,1384750800000,13.39,0.1322608695652174,16.992144161642013,0.7912384088118499,5.890461591188142,744.4610278757139,0.7888179200030834,-0.7888179200030834,-100.0,,,
2013-11-19,73.5714,1384837200000,13.4,0.1319891304347826,15.12297670383146,0.6981675710287121,6.444732428971284,923.0924918892067,0.6957732092792313,-0.6957732092792313,-100.0,,,
2013-11-20,74.44800000000002,1384923600000,12.66,0.13194565217391305,14.029560840705091,0.6554955384226844,6.025204461577289,919.1831383132993,0.6530734460643473,-0.6530734460643473,-100.0,,,
2013-11-21,74.2571,1385010000000,12.26,0.13135869565217392,14.00747428984936,0.6527820338652148,5.0929179661347845,780.1866016408105,0.6503768990577257,-0.6503768990577257,-100.0,,,
2013-11-22,74.82,1385096400000,12.79,0.13309347826086956,14.538890101440616,0.6826521737454172,5.415847826254583,793.3539267208612,0.6801968034492063,-0.6801968034492063,-100.0,,,
2013-11-25,76.2,1385355600000,12.81,0.13482391304347827,17.24506293917526,0.8244270096273709,3.768372990372626,457.0899480932673,0.8218938396913842,-0.8218938396913842,-100.0,,,
2013-11-26,77.9943,1385442000000,12.98,0.13305,19.62727665246502,0.9602023422706836,1.2397976577293193,129.11837465397653,0.9576436369949092,-0.9576436369949092,-100.0,,,
2013-11-27,79.4385,1385528400000,13.7,0.13140869565217392,20.0635556550951,0.9996742887560686,-0.36107428875607184,-36.1191933029877,0.9971003527300866,-0.9971003527300866,-100.0,,,
