Datetime,Price,Timestamp,VIX,1-Month-LIBOR,1-Month-VM,100-Calls,100-Calls-P,100-Calls-ROI,100-Puts,100-Puts-P,100-Puts-ROI,100-Calls.1,100-Calls-P.1,100-Calls-ROI.1,100-Straddles,100-Straddles-P,100-Straddles-ROI
2017-02-19,12.82,1487480400000,11.57,0.77722,54.85290427694335,0.8073041451182181,29.04269585488179,3597.4912343140386,0.7991172038573753,-0.7991172038573753,-100.0,,,,1.6064213489755934,28.243578651024407,1758.1675361221508
2017-02-20,12.52,1487566800000,11.74,0.77722,55.1999746727,0.7933652959137838,28.33663470408621,3571.70081046318,0.7853699367417288,-0.7853699367417288,-100.0,,,,1.5787352326555126,27.551264767344485,1745.1479005128592
2017-02-21,12.77,1487653200000,11.74,0.7794399999999999,54.797827322087024,0.8033648037336345,29.62663519626637,3687.818418055746,0.7951865068455586,-0.7951865068455586,-100.0,,,,1.598551310579193,28.83144868942081,1803.5985769499316
2017-02-22,12.69,1487739600000,11.71,0.7794399999999999,54.96031791186361,0.8006823011820527,39.69931769881796,4958.185992148144,0.7925552387302384,-0.7925552387302384,-100.0,,,,1.5932375399122911,38.906762460087705,2441.993832396741
2017-02-23,13.13,1487826000000,11.47,0.7794399999999999,54.678013525044356,0.8242193712167802,36.66578062878322,4448.546334776648,0.8158105193655318,-0.8158105193655318,-100.0,,,,1.640029890582312,35.84997010941768,2185.933946404399
2017-02-24,13.11,1487912400000,11.47,0.77833,54.70662466650614,0.8233858216831376,36.696614178316864,4456.794519888972,0.8150017314165918,-0.8150017314165918,-100.0,,,,1.6383875530997294,35.88161244690028,2190.0564600246416
2017-02-25,13.57,1487998800000,12.09,0.78056,55.49006782201536,0.8644057743178699,34.625594225682136,4005.710657475223,0.8557026492374709,-0.8557026492374709,-100.0,,,,1.7201084235553408,33.769891576444664,1963.242032536805
2017-02-26,14.59,1488085200000,12.92,0.7844399999999999,59.27176217258118,0.9922727604959058,34.66772723950409,3493.7699209014136,0.9828689598014276,-0.9828689598014276,-100.0,,,,1.9751417202973336,33.68485827970267,1705.440067087025
2017-02-27,15.55,1488171600000,12.92,0.7844399999999999,61.9687847651915,1.1053329281332287,36.41466707186677,3294.452390318875,1.095310371532876,-1.095310371532876,-100.0,,,,2.2006432996661047,35.31935670033389,1604.956001078992
2017-02-28,16.07,1488258000000,12.54,0.78889,61.92803423514961,1.14157741388982,34.698422586110176,3039.515512826983,1.1311609592562295,-1.1311609592562295,-100.0,,,,2.2727383731460495,33.56726162685395,1476.9522978744048
2017-03-01,17.55,1488344400000,11.81,0.8105600000000001,67.06733442623603,1.3495424784949763,31.010457521505018,2297.849679847662,1.3378543219213377,-1.3378543219213377,-100.0,,,,2.6873968004163142,29.672603199583683,1104.139262016945
2017-03-02,19.08,1488430800000,11.81,0.8105600000000001,70.90840693838894,1.5505791222509622,29.969420877749037,1932.7888817593966,1.5378719981811582,-1.5378719981811582,-100.0,,,,3.0884511204321203,28.431548879567885,920.5762944239146
