Datetime,Timestamp,Price,VIX,10-Day-LIBOR,10-Day-VM,100-Calls,100-Calls-P,100-Calls-ROI,100-Puts,100-Puts-P,100-Puts-ROI,105-Calls,105-Calls-P,105-Calls-ROI,105-Puts,105-Puts-P,105-Puts-ROI,100-Bull-Spreads,100-Bull-Spreads-P,100-Bull-Spreads-ROI,95-Calls,95-Calls-P,95-Calls-ROI,95-Puts,95-Puts-P,95-Puts-ROI,95-Calls.1,95-Calls-P.1,95-Calls-ROI.1,90-Calls,90-Calls-P,90-Calls-ROI,90-Puts,90-Puts-P,90-Puts-ROI,90-Calls,90-Calls-P,90-Calls-ROI
2015-03-04,1425445200000,202.440002,14.23,0.143291304,41.22762771258892,5.514024357602963,-5.514024357602963,-100.0,5.506077145964213,-3.77608214596421,-68.58026224227469,1.9730105494463857,-1.9730105494463857,-100.0,12.086666077225685,-0.2346709772257043,-1.9415691285447467,3.5410138081565776,1.4589861918434224,41.20249936565366,11.88826386184104,-3.496258761841034,-29.409330096241625,1.7587139107842449,-1.7587139107842449,-100.0,,,,20.597737417598463,-2.083732217598424,-10.116316056238817,0.3465847271235951,-0.3465847271235951,-100.0,,,
2015-03-05,1425531600000,200.630005,14.04,0.139956522,36.11348606893237,4.787459460951979,-4.787459460951979,-100.0,4.779766600849996,0.2002443991500229,4.189417933386392,1.4366698604835904,-1.4366698604835904,-100.0,11.460092607376538,3.551418642623504,30.989441048125173,3.3507896004683886,1.6492103995316114,49.218560285046756,11.303840328422835,-6.252351078422862,-55.3117427066065,1.2650318613260154,-1.2650318613260154,-100.0,,,,20.247923139099182,-5.164933639099188,-25.50846130547379,0.17799906500740192,-0.17799906500740192,-100.0,,,
2015-03-06,1425618000000,193.880005,15.2,0.14300000000000002,34.305015706891155,4.3950414870765115,-0.19504448707651534,-4.43783039705172,4.387445789098663,-4.387445789098663,-100.0,1.2212657753556468,-1.2212657753556468,-100.0,10.907290542478963,-5.413287292478942,-49.629990797408716,3.1737757117208645,1.8262242882791355,57.54106320540628,10.770643734457453,3.1233535155425334,28.99876360732551,1.0694275713785402,-1.0694275713785402,-100.0,,,,19.524052574588726,4.0639449254112785,20.815068541152424,0.12921594640867884,-0.12921594640867884,-100.0,,,
2015-03-09,1425873600000,190.880005,15.06,0.14326087,28.606168025642052,3.608991167043939,5.141008832956062,142.45002536725437,3.601499359116048,-3.601499359116048,-100.0,0.7289341630787654,-0.7289341630787654,-100.0,10.265068014754464,-9.471067764754453,-92.265026896473,2.880057003965174,2.119942996034826,73.60767488685654,10.174687954084844,8.119312295915137,79.79912831287828,0.6235704865533584,-0.6235704865533584,-100.0,,,,19.133636536396693,8.704363963603328,45.49247053504739,0.038893409261540064,-0.038893409261540064,-100.0,,,
2015-03-10,1425960000000,190.320007,16.69,0.14369565199999998,28.3947509330338,3.5718524748898943,7.828141525110098,219.16194972054126,3.564359976486813,-3.564359976486813,-100.0,0.7108422299389616,1.1731514200610178,165.03682120317382,10.21897545661574,-10.21897545661574,-100.0,2.8610102449509327,2.138989755049068,74.76344269734524,10.130534263775983,10.785460086223994,106.46486952608059,0.6074160402930957,-0.6074160402930957,-100.0,,,,19.07544612772511,11.356548572274876,59.53490417070118,0.03670217916234275,-0.03670217916234275,-100.0,,,
2015-03-11,1426046400000,193.740005,16.87,0.143608696,30.98498419162832,3.9673052878569735,-3.407307287856966,-85.88467588531604,3.959682766720718,-3.959682766720718,-100.0,0.9310148782692592,-0.9310148782692592,-100.0,10.610011481076214,-1.4830092310762095,-13.977451708900347,3.036290409587714,1.9637095904122857,64.67463007528751,10.49956753854957,-0.25256928854958005,-2.4055208714288665,0.8053258934701508,-0.8053258934701508,-100.0,,,,19.44980463951188,0.4841938604881193,2.489453593299797,0.06894387048923889,-0.06894387048923889,-100.0,,,
2015-03-12,1426132800000,191.070007,15.42,0.143630435,28.69613684421013,3.623941003220197,-3.623941003220197,-100.0,3.6164223927361534,-2.9564193927361373,-81.74983648686391,0.7365182477216798,-0.7365182477216798,-100.0,10.282124056713457,-0.06862070671346032,-0.6673787082801841,2.887422755498517,2.112577244501483,73.16480555119625,10.190988427126427,-1.2974910771264376,-12.731749097788875,0.6303453971666642,-0.6303453971666642,-100.0,,,,19.153610141677266,-0.7066124416772368,-3.6891867196340433,0.03984269224160642,-0.03984269224160642,-100.0,,,
2015-03-13,1426219200000,188.679993,16.0,0.14363913,28.217738726398306,3.5190241120934482,-3.5190241120934482,-100.0,3.5115990992774897,0.16839390072250635,4.7953623395436376,0.6915683039397749,-0.6915683039397749,-100.0,10.11777169048301,2.996220959516989,29.61344702347156,2.8274558081536734,2.172544191846326,76.8374234384585,10.031444191073804,-4.277437541073823,-42.640296447843276,0.5903907788986693,-0.5903907788986693,-100.0,,,,18.909402114817254,-3.7213958148172415,-19.680134740490747,0.03472030328288067,-0.03472030328288067,-100.0,,,
2015-03-16,1426478400000,195.699997,15.61,0.143391304,32.752220645541925,4.235726560282913,-4.235726560282913,-100.0,4.228038580402283,0.901951419597708,21.332620373390498,1.0930147982739271,-1.0930147982739271,-100.0,10.869942269399305,4.045047580600709,37.213146862685655,3.1427117620089864,1.857288237991014,59.09826858584506,10.744327234560473,-6.0893173845604744,-56.67472007901455,0.9520238036739102,-0.9520238036739102,-100.0,,,,19.675995701223485,-5.235986001223465,-26.611034484510913,0.0990768193309144,-0.0990768193309144,-100.0,,,
2015-03-17,1426564800000,194.729996,15.66,0.143630435,32.08396208196075,4.128841509068209,-4.128841509068209,-100.0,4.121178877907681,1.8388131220923185,44.61861949136948,1.0293467990976095,-1.0293467990976095,-100.0,10.75780083637909,4.938690963620928,45.9079977286809,3.0994947099706,1.9005052900294004,61.31661667031617,10.638104224411878,-6.861596424411888,-64.50018048014779,0.8943249248093892,-0.8943249248093892,-100.0,,,,19.566642810068547,-6.053635210068535,-30.938548165010065,0.08674684202407867,-0.08674684202407867,-100.0,,,
