Datetime,Timestamp,Price,VIX,1-Month-LIBOR,1-Month-VM,100-Calls,100-Calls-P,100-Calls-ROI,100-Puts,100-Puts-P,100-Puts-ROI,97-Calls,97-Calls-P,97-Calls-ROI,97-Puts,97-Puts-P,97-Puts-ROI,103-Calls,103-Calls-P,103-Calls-ROI,103-Puts,103-Puts-P,103-Puts-ROI,100-Strangles,100-Strangles-P,100-Strangles-ROI,90-Calls,90-Calls-P,90-Calls-ROI,90-Puts,90-Puts-P,90-Puts-ROI,90-Calls,90-Calls-P,90-Calls-ROI
2012-12-24,1356325200000,34.279999,17.84,0.2097,28.316135607933322,1.1127504492803908,4.0872505507196095,367.31061788047896,1.1068425892803508,-1.1068425892803508,-100.0,1.6870737609119324,4.541327209088063,269.18367852709,0.6529431667118981,-0.6529431667118981,-100.0,0.6882432131765963,3.4833578168234016,506.1230899387898,1.7105580873765582,-1.7105580873765582,-100.0,1.3411863798884944,2.8304146501115035,211.03812956606544,3.553436641992107,5.074564258007894,142.80722492811972,0.12011966799207575,-0.12011966799207575,-100.0,,,
2012-12-26,1356498000000,33.59,19.48,0.2097,28.493484671175946,1.0971597865316944,4.552842213468299,414.9661944738783,1.0913708418645314,-1.0913708418645314,-100.0,1.6593621516235617,4.998339848376439,301.22055293872637,0.646046875296415,-0.646046875296415,-100.0,0.6808630484270477,3.9614389515729465,581.8261044897051,1.6826004354198716,-1.6826004354198716,-100.0,1.3269099237234627,3.3153920762765385,249.8581114664637,3.484700602804942,5.524301397195053,158.53015873869836,0.12049055260449525,-0.12049055260449525,-100.0,,,
2012-12-27,1356584400000,33.689999,19.47,0.2097,28.154919677933673,1.087392285936378,3.642606714063621,334.9855209729477,1.0815861073103683,-1.0815861073103683,-100.0,1.6523469346881754,4.0883520353118215,247.42697489757862,0.6360149714209449,-0.6360149714209449,-100.0,0.6705005835219211,3.0487984464780813,454.7048162827445,1.675220189537125,-1.675220189537125,-100.0,1.306515554942866,2.412783475057136,184.67315340632493,3.489760689805188,4.609238210194814,132.07891944166866,0.11553522904177438,-0.11553522904177438,-100.0,,,
2012-12-28,1356670800000,33.220001,22.72,0.2097,28.4178598566941,1.0822036984731795,3.58779430152682,331.52670856592323,1.0764785199190892,-1.0764785199190892,-100.0,1.6384491429801216,4.028148887019866,245.85132253132977,0.6362956897826509,-0.6362956897826509,-100.0,0.6706328023685746,3.002765167631429,447.7510132260325,1.661335898457846,-1.661335898457846,-100.0,1.3069284921512256,2.366469477848764,181.0710755837541,3.4451365092198927,4.546861590780106,131.97914156991376,0.11798374852120695,-0.11798374852120695,-100.0,,,
2012-12-31,1356930000000,33.869999,18.02,0.2117,28.2070656746658,1.0952472394662074,3.484754760533793,318.1706043132475,1.0893543723345154,-1.0893543723345154,-100.0,1.6630591635031386,3.9330428064968608,236.4944610997562,0.6412431123853963,-0.6412431123853963,-100.0,0.6760197952396858,2.8878822347603155,427.1890046853442,1.686050112094044,-1.686050112094044,-100.0,1.317262907625082,2.246639122374919,170.55358572461643,3.5092666443143408,4.457735255685662,127.02754471245485,0.1169631638958104,-0.1169631638958104,-100.0,,,
2013-01-02,1357102800000,35.36000100000001,14.68,0.2097,29.300524045713605,1.1875815440667985,1.7224174559331935,145.03572108698177,1.1814875551052104,-1.1814875551052104,-100.0,1.7767937184604214,2.1940053115395663,123.48114971053906,0.7100825191676883,-0.7100825191676883,-100.0,0.7478157435872799,1.1013832264127092,147.28002664524854,1.802338964956845,-1.802338964956845,-100.0,1.4578982627549681,0.391300707245021,26.840055800984768,3.6820661987856873,2.7639329012143072,75.0647259445207,0.1405815087202571,-0.1405815087202571,-100.0,,,
2013-01-03,1357189200000,34.77,14.56,0.2087,28.45389413625454,1.1341156495297255,1.1358853504702682,100.15604237021827,1.1281519152832582,-1.1281519152832582,-100.0,1.7161933475094528,1.5969076524905432,93.04940231868294,0.6673085252903821,-0.6673085252903821,-100.0,0.7032750660531075,0.5236259339468834,74.45535313594381,1.7402324197792431,-1.7402324197792431,-100.0,1.3705835913434896,-0.1436825913434916,-10.483314717247517,3.606446366822393,2.140554633177601,59.353569011026885,0.12407900600057165,-0.12407900600057165,-100.0,,,
2013-01-04,1357275600000,34.400002,13.83,0.2087,28.68302852427773,1.1310539870986285,3.748943012901368,331.4557090699207,1.1251537147372233,-1.1251537147372233,-100.0,1.7062023410676908,4.2057947189322995,246.50034862221776,0.6684790168771375,-0.6684790168771375,-100.0,0.7043623555498737,3.143634584450121,446.30928380549005,1.7302851350176238,-1.7302851350176238,-100.0,1.3728413724270112,2.475155567572984,180.29436009764325,3.571794526090152,4.7482026739098435,132.9360532703275,0.12648408096488373,-0.12648408096488373,-100.0,,,
2013-01-07,1357534800000,34.34,13.79,0.2077,28.21559831141387,1.1107256731465365,3.089275326853457,278.1312615294068,1.1048639121283443,-1.1048639121283443,-100.0,1.6863744924348831,3.5438265075651114,210.14469345111684,0.6504885842472419,-0.6504885842472419,-100.0,0.6856788647404457,2.484122135259547,362.28652551510055,1.7098412508917136,-1.7098412508917136,-100.0,1.3361674489876876,1.833633551012312,137.2308203138399,3.5580078620017868,4.075993137998207,114.55829486855022,0.11873227708541335,-0.11873227708541335,-100.0,,,
2013-01-08,1357621200000,33.68,13.62,0.2077,28.66828231467321,1.1067997840994046,0.37320021590059227,33.71885514092892,1.1010506836016631,-1.1010506836016631,-100.0,1.6699526701473673,0.8204473298526267,49.12997502978485,0.6539760426645547,-0.6539760426645547,-100.0,0.6890696988976188,-0.21946969889761905,-31.85014509399108,1.6935481253849325,-1.6935481253849325,-100.0,1.3430457415621735,-0.8734457415621808,-65.03469796540406,3.4967773918823326,1.3512226081176664,38.64193961144025,0.12360320143436175,-0.12360320143436175,-100.0,,,
2013-01-09,1357707600000,33.639998999999996,13.81,0.2077,28.6665788075288,1.1054197805501111,1.3645822194498831,123.44470792541813,1.0996775081333965,-1.0996775081333965,-100.0,1.6679091386087352,1.8112928313912704,108.59661293672971,0.6531391643645215,-0.6531391643645215,-100.0,0.6881889647735555,0.7726130652264409,112.26757544429162,1.6914743941843362,-1.6914743941843362,-100.0,1.3413281291380772,0.11947390086193364,8.907134523355321,3.4925971050326794,2.3414047949673176,67.03907506518448,0.12342915985762914,-0.12342915985762914,-100.0,,,
2013-01-10,1357794000000,33.529999,13.49,0.2077,28.65989924463462,1.101549231520842,-0.2515472315208385,-22.83576841804361,1.0958257358575307,-1.0958257358575307,-100.0,1.6622200786603862,0.19368189133961167,11.652000467693991,0.6507683178669801,-0.6507683178669801,-100.0,0.6856950043465968,-0.6856950043465968,-100.0,1.6856997738133863,-1.5298018038133885,-90.75173572294395,1.3364633222135769,-1.3364633222135769,-100.0,3.4810701649908538,0.7219317350091501,20.738787234730932,0.12291911889387208,-0.12291911889387208,-100.0,,,
