Datetime,Timestamp,Price,VIX,2-Day-LIBOR,2-Day-VM,103-Calls,103-Calls-P,103-Calls-ROI,103-Puts,103-Puts-P,103-Puts-ROI,103-Puts,103-Puts-P,103-Puts-ROI
2016-09-23,1474603200000,112.88,14.5,0.428063333,20.554405901671053,0.01730034168665373,-0.01730034168665373,-100.0,3.4009732842060463,-1.0845732842060585,-31.890085383580164,,,
2016-09-26,1474862400000,113.09,13.1,0.42866499999999996,0.39455221294779136,0.0,-0.0,,3.389964029030935,0.9127359709690666,26.924650620259943,,,
2016-09-27,1474948800000,113.95,12.39,0.428248333,6.41747313849648,2.1300932873393967e-11,-2.1300932873393967e-11,-100.0,3.415745902774688,0.902754097225312,26.42919359112703,,,
2016-09-28,1475035200000,112.18,14.02,0.42898833299999994,26.076536860034828,0.06010878697175226,-0.06010878697175226,-100.0,3.4227927844532218,-0.397392784453217,-11.610191135678086,,,
2016-09-29,1475121600000,113.05,13.29,0.42996,26.244553180986372,0.06235427558071915,-0.06235427558071915,-100.0,3.4511110099593054,-0.009611009959314742,-0.2784903160628285,,,
2016-09-30,1475208000000,112.52,13.57,0.42517166700000003,13.946679650072825,0.0007301189600848745,-0.0007301189600848745,-100.0,3.373630121619442,-0.5280301216194516,-15.65168979953207,,,
2016-10-03,1475467200000,113.0,13.63,0.424686667,10.053141408295057,6.9948406246894e-06,-6.9948406246894e-06,-100.0,3.387298572591064,-0.8872985725910638,-26.19487339471046,,,
2016-10-04,1475553600000,113.05,12.99,0.42927,4.28171520690929,2.248074953971106e-22,-2.248074953971106e-22,-100.0,3.388761136720717,-1.0072611367207287,-29.72358027262579,,,
2016-10-05,1475640000000,113.89,12.84,0.429318333,7.81313238781198,2.0051706644757207e-08,-2.0051706644757207e-08,-100.0,3.413940495419695,-2.1572404954197,-63.189165081053886,,,
2016-10-06,1475726400000,114.06,13.48,0.429868333,6.635435887952029,8.181039437693816e-11,-8.181039437693816e-11,-100.0,3.4190328159306205,-2.2372328159306107,-65.43466928736285,,,
2016-10-07,1475812800000,116.05,13.38,0.43283166700000003,17.74101411430882,0.006568274366967275,-0.006568274366967275,-100.0,3.4852334028661005,-1.2937334028661098,-37.120423607847925,,,
2016-10-10,1476072000000,116.3,15.36,0.43338999999999994,16.999749098872034,0.004733524865297101,-0.004733524865297101,-100.0,3.4908888816714665,-0.6818888816714691,-19.533388337040826,,,
