Datetime,Timestamp,Price,VIX,6-Month-LIBOR,6-Month-VM,100-Calls,100-Calls-P,100-Calls-ROI,100-Puts,100-Puts-P,100-Puts-ROI,100-Straddles,100-Straddles-P,100-Straddles-ROI
2015-05-19,1432008000000,244.350006,12.88,0.41275,40.79101280346593,28.04959879039008,-28.04959879039008,-100.0,27.55273522340757,54.19726477659243,196.70375495260762,55.602334013797645,26.147665986202355,47.02620213697117
2015-05-20,1432094400000,245.61999500000002,12.11,0.41425,40.74180942880844,28.162715093463177,-28.162715093463177,-100.0,27.66145590528384,69.96853409471615,252.94595604185417,55.82417099874702,41.805819001253,74.88838303069711
2015-05-21,1432180800000,247.729996,12.13,0.4155,40.60129781269409,28.30889814182956,-28.30889814182956,-100.0,27.80180890010931,71.67818709989069,257.81842957567,56.110707041938866,43.369288958061134,77.29235870374187
2015-05-22,1432267200000,247.460007,14.06,0.41700000000000004,40.547889371585434,28.242246474768706,-28.242246474768706,-100.0,27.733883112868444,76.05612588713157,274.23540215268935,55.976129587637146,47.81387941236285,85.41833771751699
2015-05-26,1432612800000,247.42999300000002,13.27,0.41815,40.5218514032676,28.22159744029254,-28.22159744029254,-100.0,27.711895390470104,69.2480966095299,249.88581846820824,55.933492830762646,41.02649916923738,73.34871665063152
2015-05-27,1432699200000,251.44999700000002,13.31,0.41865,40.55322333755139,28.702245027658147,-28.702245027658147,-100.0,28.18364309458113,72.22636090541891,256.2704922959583,56.88588812223928,43.52411587776079,76.51127074650566
2015-05-28,1432785600000,250.80000299999998,13.84,0.41865,40.5530599025764,28.627936652535038,-28.627936652535038,-100.0,28.110675296705594,67.51932970329442,240.19106261459072,56.738611949240635,38.89139305075935,68.54484400420701
2015-05-29,1432872000000,249.44999700000002,13.97,0.425,40.555075114044314,28.478709675812865,-28.478709675812865,-100.0,27.956437323079452,52.81356667692054,188.91379493953,56.43514699889232,24.334857001107707,43.12003830092856
2015-06-01,1433131200000,248.350006,14.24,0.42305,38.96792265264924,27.259657484465194,-27.259657484465194,-100.0,26.742071431741252,54.83793056825876,205.0623890831785,54.001728916206446,27.57827308379356,51.06924099890634
2015-06-02,1433217600000,248.99000499999997,13.66,0.42315,38.8380834552876,27.240327259427506,-27.240327259427506,-100.0,26.72128485163405,55.688718148365936,208.4058399795116,53.961612111061555,28.448390888938405,52.719683078383774
2015-06-03,1433304000000,245.919998,14.71,0.42465,38.863280941516585,26.92245385699616,-26.92245385699616,-100.0,26.407995823837947,41.771997176162046,158.17935391543546,53.33044968083411,14.849543319165889,27.844399227900222
2015-06-04,1433390400000,249.13999900000002,14.21,0.42365,38.878733392805245,27.28509204739818,-27.28509204739818,-100.0,26.76512392696318,45.16486807303676,168.74522306073715,54.050215974361365,17.879776025638606,33.079934470788885
