Datetime,Timestamp,Price,VIX,7-Day-LIBOR,7-Day-VM,100-Calls,100-Calls-P,100-Calls-ROI,100-Puts,100-Puts-P,100-Puts-ROI,95-Calls,95-Calls-P,95-Calls-ROI,95-Puts,95-Puts-P,95-Puts-ROI,100-Bear-Spreads,100-Bear-Spreads-P,100-Bear-Spreads-ROI,105-Calls,105-Calls-P,105-Calls-ROI,105-Puts,105-Puts-P,105-Puts-ROI,100-Bull-Spreads,100-Bull-Spreads-P,100-Bull-Spreads-ROI,110-Calls,110-Calls-P,110-Calls-ROI,110-Puts,110-Puts-P,110-Puts-ROI,105-Bull-Spreads,105-Bull-Spreads-P,105-Bull-Spreads-ROI,115-Calls,115-Calls-P,115-Calls-ROI,115-Puts,115-Puts-P,115-Puts-ROI,110-Bull-Spreads,110-Bull-Spreads-P,110-Bull-Spreads-ROI,110-Straddles,110-Straddles-P,110-Straddles-ROI,95-Straddles,95-Straddles-P,95-Straddles-ROI
2016-03-10,1457586000000,102.26,16.5,0.3971,15.195135770641238,0.8623166690462298,3.597683330953764,417.21138650062295,0.8545292362106451,-0.8545292362106451,-100.0,5.125434111756321,4.447565888243673,86.77442322479952,0.005036050562512773,-0.005036050562512773,-100.0,0.8494931856481324,-0.8494931856481324,-100.0,0.007725901467706242,-0.007725901467706242,-100.0,5.112549096990335,-4.4595490969903295,-87.2275065214647,0.8545907675785236,4.145409232421477,485.07535883724336,1.3810842653505086e-06,-1.3810842653505086e-06,-100.0,10.217435204965113,-4.451435204965109,-43.567050983616284,0.0077245203834408905,1.7122754796165582,22166.75462838023,5.295649584467092e-12,-5.295649584467092e-12,-100.0,15.330044452244366,-4.451044452244361,-29.034778510330504,1.381078969700924e-06,-1.381078969700924e-06,-100.0,10.21743658604938,-4.4514365860493585,-43.56705861162118,5.130470162318834,4.4425298376811595,86.59108614079253
2016-03-11,1457672400000,102.52,16.92,0.3982,14.757281637028287,0.8397224001319117,2.7702775998680877,329.9039777232221,0.8318935415899631,-0.8318935415899631,-100.0,5.137360467871403,3.598639532128587,70.04841405687141,0.0039230522565737455,-0.0039230522565737455,-100.0,0.8279704893333893,-0.8279704893333893,-100.0,0.00613423377145339,-0.00613423377145339,-100.0,5.123913932302415,-3.6079139323024094,-70.4132422981821,0.8335881663604583,4.1664118336395415,499.81657631136665,6.889541090973833e-07,-6.889541090973833e-07,-100.0,10.243388944557992,-3.601388944557982,-35.15817825575483,0.006133544817344292,1.1238664551826512,18323.27778880181,1.2947897347949243e-12,-1.2947897347949243e-12,-100.0,15.368996812678065,-3.6009968126780616,-23.430265856438712,6.889528143076484e-07,-6.889528143076484e-07,-100.0,10.243389633512102,-3.601389633512092,-35.158182616912725,5.141283520127977,3.5947164798720275,69.91865875124016
2016-03-14,1457928000000,104.58,16.84,0.4018,16.872721862324532,0.9788441485294967,0.11115585147050666,11.355827343657769,0.9707857820809024,-0.9707857820809024,-100.0,5.248344087573429,1.0706559124265738,20.39988031580436,0.011688639447242407,-0.011688639447242407,-100.0,0.95909714263366,-0.95909714263366,-100.0,0.016889158454099332,-0.016889158454099332,-100.0,5.2374278736830755,-1.0984278736830788,-20.97265872056085,0.9619549900753974,4.038045009924603,419.77483890468767,1.3058023677427024e-05,-1.3058023677427024e-05,-100.0,10.449148854930217,-1.0811488549302195,-10.346764793384123,0.016876100430421904,0.6531238995695798,3870.1114766549877,4.703570021892642e-10,-4.703570021892642e-10,-100.0,15.67773287905446,-1.080732879054466,-6.89342577394166,1.3057553320424836e-05,-1.3057553320424836e-05,-100.0,10.449161912953894,-1.0811619129538848,-10.346876830509835,5.260032727020671,1.0589672729793316,20.132332400508464
2016-03-15,1458014400000,105.97,14.99,0.402,15.040120881138177,0.8845765338955971,-0.8845765338955971,-100.0,0.8764069973116548,-0.0964069973116537,-11.00025417498702,5.311043265148045,-0.7925432651480548,-14.922553358750749,0.004782205393292549,-0.004782205393292549,-100.0,0.8716247919183623,-0.8716247919183623,-100.0,0.007386645027231964,-0.007386645027231964,-100.0,5.297308631614087,0.7811913683859188,14.746948360225904,0.8771898888683651,4.122810111131635,470.00201022042575,1.125305547628255e-06,-1.125305547628255e-06,-100.0,10.588014635063217,0.7889853649367922,7.451683739876898,0.007385519721684336,0.1826144802783134,2472.601619925896,3.376284092999703e-12,-3.376284092999703e-12,-100.0,15.886105032931823,0.7893949670681764,4.969090695496248,1.1253021713441622e-06,-1.1253021713441622e-06,-100.0,10.588015760368766,0.7889842396312439,7.451672319797951,5.315825470541337,-0.7973254705413337,-14.999090450953766
2016-03-16,1458100800000,105.8,14.44,0.3994,12.814706609765015,0.7530637139102652,1.1269362860897445,149.64687121069147,0.7449600341370655,-0.7449600341370655,-100.0,5.298708096902629,1.8712919030973725,35.31600286098492,0.001009601118095116,-0.001009601118095116,-100.0,0.7439504330189703,-0.7439504330189703,-100.0,0.001758926294559926,-0.001758926294559926,-100.0,5.283250062532716,-1.873250062532719,-35.456395975221156,0.7513047876157053,4.248695212384295,565.5088696915793,1.3860015222581089e-08,-1.3860015222581089e-08,-100.0,10.571085966109493,-1.8710859661095045,-17.700035475145462,0.0017589124345447035,2.6782410875654623,152266.88008824777,4.3586027514613564e-16,-4.3586027514613564e-16,-100.0,15.860680768260837,-1.8706807682608402,-11.79445444740494,1.3860014786720816e-08,-1.3860014786720816e-08,-100.0,10.571085979969508,-1.8710859799695052,-17.700035583050877,5.299717698020724,1.8702823019792918,35.29022503741629
2016-03-17,1458187200000,105.92,14.02,0.39765,12.770035650977842,0.7512863066574198,2.8887136933425808,384.50237515906304,0.7432089813413185,-0.7432089813413185,-100.0,5.304646223255176,3.6313537767448167,68.45609723840265,0.0009727642048854568,-0.0009727642048854568,-100.0,0.7422362171364331,-0.7422362171364331,-100.0,0.0016997226417105329,-0.0016997226417105329,-100.0,5.2892185310598006,-3.633218531059797,-68.69102703404103,0.7495865840157092,4.250413415984291,567.0343502166007,1.2419103744973554e-08,-1.2419103744973554e-08,-100.0,10.583114954571402,-3.6311149545714017,-34.31045557152277,0.0016997102226067881,4.558300289777397,268181.024574088,3.475899887144026e-16,-3.475899887144026e-16,-100.0,15.8787110758865,-3.630711075886495,-22.865275767880892,1.2419103397383565e-08,-1.2419103397383565e-08,-100.0,10.583114966990506,-3.6311149669904927,-34.3104556486082,5.305618987460061,3.630381012539946,68.42521148089271
2016-03-18,1458273600000,105.91,13.79,0.3987,12.893045601442564,0.7584230111743011,2.3215769888256967,306.10582150337103,0.7503251229918959,-0.7503251229918959,-100.0,5.304273122076907,3.071226877923081,57.900994297226745,0.0010801283036173392,-0.0010801283036173392,-100.0,0.7492449946882785,-0.7492449946882785,-100.0,0.0018717759048581528,-0.0018717759048581528,-100.0,5.288868993313329,-3.0733689933133235,-58.11013653767861,0.7565512352694429,4.243448764730557,560.8937725439399,1.6805251672993178e-08,-1.6805251672993178e-08,-100.0,10.582092339804603,-3.071092339804593,-29.02159838704735,0.0018717590996064801,3.988128240900388,213068.45746008962,6.463555124559674e-16,-6.463555124559674e-16,-100.0,15.877187428590233,-3.0706874285902326,-19.340248028191766,1.6805251026637665e-08,-1.6805251026637665e-08,-100.0,10.582092356609856,-3.0710923566098463,-29.021598499767016,5.3053532503805245,3.070146749619478,57.86884689345187
2016-03-21,1458532800000,106.72,14.17,0.4017,12.602426128043987,0.7471205444581557,2.5228794555418403,337.68037490811366,0.7388993277668661,-0.7388993277668661,-100.0,5.3446560653590325,3.261343934640962,61.02065118425685,0.0008459095023052865,-0.0008459095023052865,-100.0,0.7380534182645608,-0.7380534182645608,-100.0,0.0014960026997016262,-0.0014960026997016262,-100.0,5.328863725173846,-3.2628637251738297,-61.23000874951786,0.7456245417584542,4.2543754582415465,570.5787859675568,8.177096134207406e-09,-8.177096134207406e-09,-100.0,10.662956669816666,-3.2609566698166645,-30.582105609107128,0.001495994522605492,4.988504005477388,333457.37100622425,1.4622146195096028e-16,-1.4622146195096028e-16,-100.0,15.99854560080503,-3.2605456008050173,-20.380262569873537,8.177095987985945e-09,-8.177095987985945e-09,-100.0,10.662956677993762,-3.2609566779937467,-30.582105662341448,5.345501974861338,3.2604980251386566,60.99517015374845
2016-03-22,1458619200000,106.13,14.94,0.39725,14.370430518130606,0.8466011097330792,4.143398890266931,489.4157168744182,0.8385159109413323,-0.8385159109413323,-100.0,5.317378978781008,4.979121021219001,93.63863364052428,0.003198039928836605,-0.003198039928836605,-100.0,0.8353178710124957,-0.8353178710124957,-100.0,0.0050920843905784,-0.0050920843905784,-100.0,5.303102625659236,-4.986602625659245,-94.03179567997431,0.8415090253425008,4.158490974657498,494.17069210457487,3.6619354817306993e-07,-3.6619354817306993e-07,-100.0,10.604106647522599,-4.9811066475226085,-46.973373741826016,0.005091718197030228,4.99490828180297,98098.67884511515,3.469898619925257e-13,-3.469898619925257e-13,-100.0,15.910202021389821,-4.980702021389831,-31.30508345961748,3.6619320118320787e-07,1.1199996338068037,305849379.559197,10.604107013716147,-4.9811070137161435,-46.97337557300398,5.3205770187098445,4.975922981290164,93.5222432415187
2016-03-23,1458705600000,105.67,14.74,0.39405,10.65881005742536,0.6262333678337058,3.513766632166296,561.0954019140296,0.6182480573892875,-0.6182480573892875,-100.0,5.291182262694846,4.132317737305144,78.09819303409363,9.62177726713878e-05,-9.62177726713878e-05,-100.0,0.618151839616616,-0.618151839616616,-100.0,0.00020320310145983256,-0.00020320310145983256,-100.0,5.275318627134837,-4.131818627134834,-78.32358420744212,0.6260301647322459,4.373969835267754,698.6835589844952,1.3404318395028267e-11,-1.3404318395028267e-11,-100.0,10.558216158524573,-4.131216158524566,-39.12797480651193,0.00020320308805551416,4.809796796911948,2366990.011292511,2.58086956042974e-22,-2.58086956042974e-22,-100.0,15.841316892988928,-4.130816892988932,-26.076221572318612,1.340431839477018e-11,-1.340431839477018e-11,-100.0,10.558216158537977,-4.1312161585379705,-39.127974806589215,5.2912784804675175,4.132221519532487,78.09495445734656
