Datetime,Timestamp,Price,VIX,1-Month-LIBOR,1-Month-VM,100-Calls,100-Calls-P,100-Calls-ROI,100-Puts,100-Puts-P,100-Puts-ROI,100-Straddles,100-Straddles-P,100-Straddles-ROI,110-Calls,110-Calls-P,110-Calls-ROI,110-Puts,110-Puts-P,110-Puts-ROI,110-Straddles,110-Straddles-P,110-Straddles-ROI
2014-07-25,1406260800000,99.02,12.56,0.155,15.398942777838831,1.750027908357538,-1.750027908357538,-100.0,1.7374138351614548,-0.7074138351614536,-40.71648451537253,3.4874417435189926,-2.4574417435189915,-70.46545646492484,0.02536538522501908,-0.02536538522501908,-100.0,9.913489904709323,1.0185100952906794,10.273981262711981,9.938855289934342,0.9931447100656747,9.992546234891762
2014-07-28,1406520000000,98.38,13.28,0.15425,15.460853070278848,1.7456510212804657,0.8743489787195386,50.08727220164475,1.7331791146361797,-1.7331791146361797,-100.0,3.4788301359166454,-0.8588301359166408,-24.687325979207248,0.025921894699427076,-0.025921894699427076,-100.0,9.850202797390736,-2.6322027973907325,-26.7223208651906,9.876124692090164,-2.6581246920901602,-26.914653013839175
2014-07-29,1406606400000,98.15,13.33,0.156,15.483983323452629,1.7442351260594007,1.5357648739406002,88.04804186063038,1.731651220496893,-1.731651220496893,-100.0,3.475886346556294,-0.1958863465562928,-5.635579734946327,0.02613598516726534,-0.02613598516726534,-100.0,9.827293689048489,-3.2922936890484915,-33.50152944668191,9.853429674215754,-3.318429674215743,-33.677915040073195
2014-07-30,1406692800000,95.6,16.95,0.155,17.54501917743205,1.9241569742033988,4.135843025796604,214.94311957104446,1.9119785718852207,-1.9119785718852207,-100.0,3.83613554608862,2.223864453911382,57.971477472397105,0.056858624252245075,-0.056858624252245075,-100.0,9.603462381702258,-6.103462381702258,-63.55481116197584,9.660321005954502,-6.160321005954502,-63.769319903110436
2014-07-31,1406779200000,96.13,17.03,0.155,17.52989740493308,1.9331624153055456,3.5668375846944533,184.50791079189784,1.920916496740212,-1.920916496740212,-100.0,3.8540789120457575,1.6459210879542423,42.70595194120149,0.05688338569529039,-0.05688338569529039,-100.0,9.656412875273418,-5.543412875273418,-57.40654368112298,9.713296260968708,-5.600296260968694,-57.65598114692093
2014-08-01,1406865600000,95.59,15.12,0.1558,17.301579869784188,1.8973815906483584,3.372618409351638,177.7511928003462,1.885141616550556,-1.885141616550556,-100.0,3.782523207198914,1.487476792801082,39.32498788031519,0.05231291588460252,-0.05231291588460252,-100.0,9.597848944377006,-5.3088489443770035,-55.31290370523332,9.650161860261608,-5.361161860261593,-55.55514962229096
2014-08-04,1407124800000,95.12,16.87,0.156,17.393053207496433,1.8980079626328887,4.561992037367107,240.35684397439388,1.88581253627418,-1.88581253627418,-100.0,3.783820498907069,2.676179501092925,70.72691481707234,0.05372744507333272,-0.05372744507333272,-100.0,9.552312476078768,-6.500312476078761,-68.04962141216663,9.606039921152101,-6.55403992115208,-68.2283227526502
2014-08-05,1407211200000,94.96,16.37,0.156,17.272216677443627,1.8816963762071808,4.948303623792832,262.9703541103067,1.8695214636018207,-1.8695214636018207,-100.0,3.7512178398090015,3.0787821601910115,82.07420340983906,0.05143982209741571,-0.05143982209741571,-100.0,9.534047418231523,-6.868047418231527,-72.03705957134294,9.58548724032894,-6.919487240328943,-72.18712066316924
2014-08-06,1407297600000,94.48,16.66,0.1569,17.381979058726394,1.8840756133233825,4.595924386676606,243.93524093068143,1.87189236164938,-1.87189236164938,-100.0,3.7559679749727626,2.7240320250272267,72.52543267616602,0.05316530614566961,-0.05316530614566961,-100.0,9.487763729304293,-6.519763729304272,-68.71760211699905,9.540929035449963,-6.5729290354499454,-68.89191829252461
2014-08-07,1407384000000,94.74,15.77,0.1585,17.335046108034042,1.884237989622328,4.43576201037768,235.41410558582214,1.871896637353906,-1.871896637353906,-100.0,3.756134626976234,2.563865373023773,68.25807985183263,0.05245907958764296,-0.05245907958764296,-100.0,9.51288359209238,-6.358883592092383,-66.84496378551536,9.565342671680025,-6.411342671680028,-67.02679550270582
2014-08-08,1407470400000,95.99,14.23,0.1588,17.406771669862984,1.916981798025624,4.733018201974382,246.8994857879769,1.9044539482170533,-1.9044539482170533,-100.0,3.8214357462426776,2.828564253757329,74.01836486557275,0.05448108454935463,-0.05448108454935463,-100.0,9.639700449759944,-6.6907004497599445,-69.40776307967705,9.6941815343093,-6.745181534309301,-69.57969077056167
