Datetime,Price,Timestamp,VIX,1-Day-LIBOR,1-Day-VM,100-Calls,100-Calls-P,100-Calls-ROI,100-Puts,100-Puts-P,100-Puts-ROI,100-Calls,100-Calls-P,100-Calls-ROI
2011-06-28,47.8943,1309233600000,19.17,0.1255,8.570298560575921,0.0857944971930813,-0.0857944971930813,-100.0,0.08562981981454243,0.08867018018545991,103.55058597285657,,,
2011-06-29,47.72,1309320000000,17.27,0.128,14.925627624797206,0.14881239616422093,0.08398760383578363,56.43858038755029,0.14864504960833713,-0.14864504960833713,-100.0,,,
2011-06-30,47.9528,1309406400000,16.52,0.1255,9.555256147753964,0.09576192703894293,0.9885380729610559,1032.287155791104,0.09559704851691464,-0.09559704851691464,-100.0,,,
2011-07-01,49.0371,1309492800000,15.87,0.125,19.63625254519224,0.20115263045346052,0.680347369546535,338.2244457916462,0.20098469546704933,-0.20098469546704933,-100.0,,,
2011-07-05,49.9186,1309838400000,16.06,0.1245,5.0999946857039085,0.05324639169811718,0.2795536083018817,525.0188780618666,0.05307612169535858,-0.05307612169535858,-100.0,,,
2011-07-06,50.2514,1309924800000,16.34,0.1245,12.54030975644026,0.1316744041653699,0.6455255958346306,490.24379485622353,0.1315029989974299,-0.1315029989974299,-100.0,,,
2011-07-07,51.0286,1310011200000,15.95,0.1245,9.769232638361856,0.1041836464561463,0.2543163535438531,244.10390900543263,0.10400959029546186,-0.10400959029546186,-100.0,,,
2011-07-08,51.3871,1310097600000,15.95,0.1245,9.369421702573565,0.10062545815891256,-0.10062545815891256,-100.0,0.10045017917154908,0.7152498208284506,712.0443454928488,,,
2011-07-11,50.5714,1310356800000,18.39,0.1255,25.819543384570693,0.27274173009471525,-0.27274173009471525,-100.0,0.2725678479087108,-0.2368678479087123,-86.90234366455604,,,
2011-07-12,50.5357,1310443200000,19.87,0.124,17.168356055195652,0.1812567501497213,0.4287432498502781,236.53919067628019,0.18108506751531905,-0.18108506751531905,-100.0,,,
2011-07-13,51.1457,1310529600000,19.91,0.12300000000000001,14.260863612507636,0.15239213432498389,-0.15239213432498389,-100.0,0.15221978061265062,-0.11651978061265213,-76.54706907583628,,,
2011-07-14,51.11,1310616000000,20.8,0.12225,14.251959653132912,0.15219021258180732,0.8692097874181925,571.1338283011881,0.15201902937532807,-0.15201902937532807,-100.0,,,
2011-07-15,52.1314,1310702400000,19.53,0.12175,22.9949517283604,0.2504050111193976,1.0181949888806017,406.61925427487074,0.25023112105461465,-0.25023112105461465,-100.0,,,
2011-07-18,53.4,1310961600000,20.95,0.12225,4.7773594138693,0.05336061129190739,0.3823393887080968,716.5198813344217,0.05318175816676885,-0.05318175816676885,-100.0,,,
2011-07-19,53.8357,1311048000000,19.21,0.12225,17.867037044382304,0.2009458991253972,1.2347541008746001,614.4709129416325,0.20076558670612954,-0.20076558670612954,-100.0,,,
2011-07-20,55.2714,1311134400000,19.09,0.1225,20.421266253678574,0.2357842884789214,-0.18008428847891975,-76.37671264725466,0.2355987888860973,-0.2355987888860973,-100.0,,,
2011-07-21,55.3271,1311220800000,17.56,0.12225,28.412125130841602,0.32833948402771185,0.5302605159722837,161.4976394150421,0.3281541764483116,-0.3281541764483116,-100.0,,,
2011-07-22,56.1857,1311307200000,17.52,0.1225,16.15518912646176,0.189633678035154,0.5532663219648519,291.755308285635,0.18944510990638008,-0.18944510990638008,-100.0,,,
2011-07-25,56.9286,1311566400000,19.35,0.122,2.541174807401552,0.03030364989536238,0.6710963501046372,2214.57267498111,0.03011336831747613,-0.03011336831747613,-100.0,,,
2011-07-26,57.63,1311652800000,20.23,0.12225,0.9992027297887688,0.012121204479562664,-0.012121204479562664,-100.0,0.011928183775403056,1.5337718162246006,12858.385191778903,,,
2011-07-27,56.0843,1311739200000,22.98,0.12375,44.26316767183095,0.5184616414856684,-0.5184616414856684,-100.0,0.5182714929826702,-0.4082714929826707,-78.77560284727495,,,
2011-07-28,55.9743,1311825600000,23.74,0.13125,28.313971189021093,0.3310399416153942,-0.3310399416153942,-100.0,0.3308386645286525,-0.13933866452865473,-42.11680177320605,,,
2011-07-29,55.7828,1311912000000,25.25,0.12861,1.6431333595302895,0.01923817504731673,0.8765618249526845,4556.366821680127,0.019041621259138,-0.019041621259138,-100.0,,,
2011-08-01,56.6786,1312171200000,23.66,0.17167000000000002,21.729542428039263,0.25730903108317804,-0.25730903108317804,-100.0,0.2570424559494633,0.8629575440505413,335.7256842504671,,,
2011-08-02,55.5586,1312257600000,24.79,0.17833,40.28589881898579,0.4675036319897679,0.05529636801023585,11.82800821779415,0.4672321870326464,-0.4672321870326464,-100.0,,,
2011-08-03,56.0814,1312344000000,23.38,0.15278,32.916424939958496,0.3855858525980267,-0.3855858525980267,-100.0,0.3853511101771971,1.7860488898228084,463.48611503974234,,,
2011-08-04,53.91,1312430400000,31.66,0.13610999999999998,54.83859624214733,0.6174108960399423,-0.6174108960399423,-100.0,0.6172098638092898,-0.08150986380929126,-13.20618295148906,,,
2011-08-05,53.3743,1312516800000,32.0,0.13610999999999998,33.11544650675123,0.3691792561355278,-0.3691792561355278,-100.0,0.36898022154846544,2.546719778451536,690.2049567220569,,,
2011-08-08,50.4586,1312776000000,48.0,0.13610999999999998,51.84761420352535,0.5463717837199589,2.425028216280044,443.84213982817687,0.5461836218777449,-0.5461836218777449,-100.0,,,
